date,open,high,low,close,volume
2005-02-25,25.5,25.5,24.0,25.5,4233.33333418
2005-02-28,25.5,26.4,25.2,26.28,2851.666667237
2005-03-01,26.28,28.2,26.28,27.72,2400.00000048
2005-03-02,27.72,27.72,26.28,27.0,300.00000006
2005-03-03,27.0,27.0,26.94,26.94,100.00000002
2005-03-04,26.82,27.0,24.0,27.0,2233.33333378
2005-03-07,26.28,27.72,26.28,27.72,5879.0000011758
2005-03-08,27.72,27.72,27.0,27.0,1300.00000026
2005-03-09,26.28,27.0,26.28,27.0,846.666666836
2005-03-10,26.28,27.0,26.28,27.0,100.00000002
2005-03-11,27.0,27.0,26.34,26.82,630.000000126
2005-03-14,26.46,27.0,26.4,26.4,2051.0000004102
2005-03-15,26.34,27.0,25.08,26.7,3656.666667398
2005-03-16,25.98,25.98,25.5,25.98,1533.33333364
2005-03-17,25.32,26.7,25.32,26.4,1266.66666692
2005-03-18,26.16,27.48,26.16,27.3,1600.00000032
2005-03-21,26.4,27.18,26.4,27.0,1950.00000039
2005-03-22,27.0,27.0,25.98,26.7,717.3333334768
2005-03-24,25.8,27.0,25.8,27.0,833.0000001666
2005-03-29,25.5,25.8,25.5,25.8,466.66666676
2005-03-30,25.2,26.1,25.2,26.1,1300.00000026
2005-03-31,26.1,27.0,26.1,27.0,2200.00000044
2005-04-01,27.0,27.48,26.7,27.48,3416.66666735
2005-04-04,28.32,28.32,25.2,27.72,600.6666667868
2005-04-05,27.6,27.6,27.0,27.18,700.00000014
2005-04-07,27.18,27.18,26.46,27.18,930.000000186
2005-04-08,26.82,26.82,25.86,26.7,1183.33333357
2005-04-11,25.8,26.7,25.8,26.7,2577.0000005154
2005-04-12,26.7,26.7,24.54,26.7,1750.3333336834
2005-04-14,25.98,26.28,25.98,26.28,1241.0000002482
2005-04-15,26.28,26.28,25.98,25.98,2133.33333376
2005-04-18,24.3,26.82,24.0,26.82,5120.6666676908
2005-04-19,26.64,26.7,26.64,26.7,2550.00000051
2005-04-20,26.28,26.7,24.18,26.7,616.66666679
2005-04-21,25.5,26.28,25.32,25.68,4887.6666676442
2005-04-22,25.8,26.28,25.8,26.28,733.33333348
2005-04-25,26.28,27.0,25.5,27.0,2833.3333339
2005-04-26,27.0,27.0,27.0,27.0,33.33333334
2005-04-27,25.5,26.28,25.5,26.28,703.333333474
2005-04-28,26.1,27.0,26.1,27.0,605.000000121
2005-05-02,26.28,27.0,26.28,27.0,416.66666675
2005-05-03,26.4,26.4,26.28,26.4,1016.66666687
2005-05-04,26.28,26.28,25.32,26.28,533.33333344
2005-05-05,25.5,25.5,25.5,25.5,33.33333334
2005-05-06,25.5,25.8,25.44,25.8,866.66666684
2005-05-09,25.5,25.8,25.5,25.8,1183.33333357
2005-05-10,25.5,25.8,25.5,25.8,233.33333338
2005-05-11,25.8,25.8,25.02,25.5,1354.6666669376
2005-05-12,25.08,25.5,25.08,25.5,500.0000001
2005-05-13,24.06,25.8,24.06,25.8,1783.33333369
2005-05-16,24.96,25.98,24.9,25.32,583.33333345
2005-05-17,25.32,26.4,25.32,26.28,7780.000001556
2005-05-18,26.1,26.34,25.68,26.34,283.33333339
2005-05-20,26.34,26.34,26.34,26.34,150.00000003
2005-05-24,24.9,25.32,24.3,25.32,366.66666674
2005-05-25,25.32,25.5,24.72,25.5,6309.0000012618
2005-05-26,25.5,25.5,24.0,25.02,1241.666666915
2005-05-27,24.72,25.5,24.0,25.5,551.3333334436
2005-05-31,24.3,24.3,21.6,22.38,5580.6666677828
2005-06-01,22.5,24.18,21.78,24.18,952.0000001904
2005-06-02,16.8,23.7,16.5,23.7,3798.333334093
2005-06-03,22.8,24.18,21.54,23.1,4739.3333342812
2005-06-06,23.28,24.3,23.28,24.3,6311.3333345956
2005-06-07,24.18,25.5,24.18,25.5,233.33333338
2005-06-08,25.5,25.5,25.5,25.5,733.33333348
2005-06-09,25.5,25.5,24.48,25.5,7503.6666681674
2005-06-10,25.2,25.5,25.2,25.5,933.33333352
2005-06-13,25.2,26.34,25.2,26.34,5066.66666768
2005-06-14,26.34,26.34,25.68,26.34,8933.33333512
2005-06-15,26.4,26.4,26.28,26.4,733.33333348
2005-06-16,26.7,26.94,26.7,26.94,906.666666848
2005-06-17,27.0,27.6,27.0,27.6,28424.333339018
2005-06-20,27.84,28.02,27.6,28.02,4365.000000873
2005-06-21,28.2,28.32,27.6,27.9,9750.00000195
2005-06-22,27.9,28.08,27.6,28.02,3391.666667345
2005-06-23,28.26,28.5,28.26,28.44,2250.00000045
2005-06-24,28.44,28.62,27.9,28.44,2320.000000464
2005-06-27,27.96,28.5,27.96,28.2,819.3333334972
2005-06-28,28.2,28.8,28.2,28.8,1550.6666669768
2005-06-29,28.5,28.8,28.2,28.5,1823.6666670314
2005-06-30,28.5,28.5,27.9,28.5,1066.66666688
2005-07-01,28.5,28.5,27.9,28.2,500.0000001
2005-07-05,28.2,29.04,28.2,28.92,2868.0000005736
2005-07-06,29.1,30.72,28.5,30.0,6533.6666679734
2005-07-07,30.0,30.6,30.0,30.3,2657.6666671982
2005-07-08,30.0,30.3,29.28,30.3,2938.0000005876
2005-07-11,30.48,30.6,30.48,30.6,2107.6666670882
2005-07-12,30.48,33.72,30.48,33.3,27666.6666722
2005-07-13,33.6,34.32,32.16,34.32,7420.6666681508
2005-07-14,34.8,36.0,34.8,35.28,5545.000001109
2005-07-15,34.5,35.7,32.82,35.34,1955.3333337244
2005-07-18,35.34,36.0,35.28,35.28,1639.3333336612
2005-07-19,35.1,35.28,33.24,34.5,2333.3333338
2005-07-20,34.5,35.82,34.5,35.28,20293.333337392
