date,open,high,low,close,volume
2020-08-21,24.319,24.328,24.211,24.323,146853
2020-08-24,24.628,24.697,24.628,24.697,14291
2020-08-25,24.662,24.721,24.647,24.721,28010
2020-08-26,24.652,24.73,24.632,24.66,101620
2020-08-27,24.769,24.848,24.701,24.819,80872
2020-08-28,24.789,24.884,24.779,24.884,6127
2020-08-31,24.71,24.75,24.707,24.707,6938
2020-09-01,24.672,24.672,24.657,24.657,392
2020-09-02,25.005,25.543,24.965,25.142,192196
2020-09-03,24.623,25.122,24.485,24.625,150604
2020-09-04,24.417,24.76,24.387,24.644,57811
2020-09-08,24.192,24.241,24.116,24.116,34274
2020-09-09,24.358,24.524,24.299,24.408,5418
2020-09-10,24.076,24.076,24.076,24.076,1
2020-09-11,24.083,24.198,24.055,24.198,35676
2020-09-14,24.407,24.672,24.407,24.623,204799
2020-09-15,24.623,24.692,24.517,24.517,191573
2020-09-16,24.769,24.878,24.71,24.71,217164
2020-09-17,24.583,24.583,24.491,24.581,40849
2020-09-18,24.583,24.583,24.337,24.421,143738
2020-09-21,23.701,23.823,23.662,23.823,24682
2020-09-22,23.897,23.907,23.883,23.901,6141
2020-09-23,23.946,23.946,23.426,23.426,39609
2020-09-24,23.3,23.584,23.29,23.476,29727
2020-09-25,23.388,23.8,23.388,23.77,31270
2020-09-28,24.182,24.182,24.121,24.121,694
2020-09-29,23.887,24.015,23.878,23.973,49685
2020-09-30,24.211,24.338,24.093,24.15,87332
2020-10-01,24.113,24.116,24.055,24.116,10643
2020-10-02,23.996,24.319,23.996,24.239,28944
2020-10-05,24.583,24.652,24.519,24.624,73016
2020-10-06,24.809,24.946,24.407,24.43,134938
2020-10-07,24.828,24.868,24.682,24.806,111512
2020-10-08,24.965,25.093,24.965,25.093,8362
2020-10-09,25.112,25.171,25.112,25.123,2852
2020-10-12,25.304,25.347,25.304,25.326,23259
2020-10-13,25.289,25.299,25.122,25.137,83316
2020-10-14,25.24,25.24,25.015,25.015,8243
2020-10-15,24.838,25.142,24.799,25.102,75155
2020-10-16,25.22,25.22,25.11,25.11,4707
2020-10-19,24.955,24.955,24.736,24.736,18920
2020-10-20,25.098,25.113,24.887,24.887,8985
2020-10-21,24.878,24.916,24.76,24.76,60341
2020-10-22,24.799,24.99,24.799,24.975,25754
2020-10-23,25.121,25.121,25.121,25.121,610
2020-10-26,24.398,24.57,24.398,24.57,5418
2020-10-27,24.437,24.456,24.231,24.231,48127
2020-10-28,23.565,23.81,23.528,23.528,43754
2020-10-29,23.829,23.848,23.785,23.785,8066
2020-10-30,23.515,23.652,23.476,23.64,42702
2020-11-02,24.103,24.241,24.035,24.212,56433
2020-11-03,24.809,24.819,24.701,24.789,34666
2020-11-04,25.074,25.132,24.886,24.886,35139
2020-11-05,25.328,25.337,25.24,25.299,6437
2020-11-06,25.289,25.289,25.007,25.057,14532
2020-11-09,25.98,25.98,25.98,25.98,69
2020-11-10,26.21,26.298,26.21,26.272,6774
2020-11-11,26.288,26.288,26.18,26.243,52978
2020-11-12,26.161,26.161,25.818,25.889,4523
2020-11-13,26.451,26.451,26.451,26.451,48
