date,open,high,low,close,volume
2022-02-24,46.2736,46.7561,46.2736,46.7561,106.67096651525
2022-02-25,47.2242,47.2242,47.2242,47.2242,22.350107269861
2022-02-28,46.4004,46.4004,46.4004,46.4004,7.1113977676831
2022-03-01,46.0471,46.0471,45.939,45.939,192.00773972745
2022-03-02,46.0964,46.2048,45.5846,45.6338,926532.84009781
2022-03-03,45.6141,45.624,45.4914,45.4914,12619.683295737
2022-03-04,44.9251,44.9251,44.3541,44.3541,64232.176465647
2022-03-07,44.2556,44.302,44.0195,44.0195,5425.9964967423
2022-03-08,44.108,44.5904,44.108,44.4526,13119.512967409
2022-03-09,44.7085,44.8759,44.551,44.5801,11126.289764523
2022-03-10,44.5257,44.6691,44.5257,44.6642,12184.872117942
2022-03-11,44.6101,44.6396,44.3296,44.3509,4905.8485457346
2022-03-14,44.3443,44.3886,44.2103,44.2404,2493.0528745564
2022-03-15,44.3541,44.4427,44.3541,44.435,2950.2141596217
2022-03-16,44.9152,45.1909,44.5757,45.0728,17413.781305122
2022-03-17,44.9644,45.7027,44.9644,45.534,4545.1990875164
2022-03-18,45.3089,45.6928,45.3089,45.427,4166.2631778956
2022-03-21,45.2105,45.2105,44.6744,44.6744,3886.8868370222
2022-03-22,44.6893,44.7872,44.589,44.589,3927.5233956948
2022-03-23,44.5805,44.7098,44.4723,44.551,5770.3913314915
2022-03-24,44.423,44.7569,44.423,44.7331,3710.117806797
2022-03-25,44.6396,44.8759,44.4821,44.6199,13429.366727286
2022-03-28,44.9152,45.2302,44.9152,45.1879,5632.2270320051
2022-03-29,45.4763,45.6437,45.4664,45.5157,14924.792086434
2022-03-30,45.3393,45.7125,45.3393,45.606,4850.9891915267
2022-03-31,45.5472,45.6143,45.5472,45.6143,1515.7436384833
2022-04-01,45.3827,45.8307,45.3827,45.6505,1830.676968195
2022-04-04,45.6879,46.0964,45.6879,45.8794,13551.276403303
2022-04-05,45.4586,45.5057,45.1807,45.1807,3726.372430266
