date,open,high,low,close,volume
2025-04-03,25.22,25.33,25.22,25.2554,5731
2025-04-04,24.3,24.36,24.17,24.205,7235
2025-04-07,23.83,23.83,23.7879,23.7879,116
2025-04-08,23.93,24.39,23.93,23.9414,1806
2025-04-09,23.725,24.775,23.725,24.775,3127
2025-04-10,24.46,24.48,24.28,24.4586,1262
2025-04-11,24.52,24.6994,24.52,24.6994,185
2025-04-14,24.98,24.995,24.94,24.94,8837
2025-04-15,25.29,25.32,25.26,25.265,3045
2025-04-16,25.35,25.35,25.15,25.2491,639
2025-04-17,25.58,25.78,25.58,25.6083,1230
2025-04-21,26.07,26.07,25.9399,25.9628,1017
2025-04-22,26.2493,26.2759,26.2493,26.2759,1242
2025-04-23,26.26,26.27,26.18,26.199,34151
2025-04-24,26.2,26.3644,26.2,26.3644,658
2025-04-25,25.88,25.9,25.7,25.8709,3545
2025-04-28,25.97,25.997,25.94,25.997,13909
2025-04-29,26.14,26.24,26.14,26.1947,1167
2025-04-30,25.9478,26.0509,25.91,26.0509,6365
2025-05-01,26.0749,26.14,26.0599,26.0641,2408
2025-05-02,26.25,26.2537,26.25,26.2537,2142
2025-05-05,26.46,26.48,26.46,26.4637,1190
2025-05-06,26.155,26.21,26.155,26.165,4034
2025-05-07,26.07,26.07,26.0427,26.0427,449
2025-05-08,25.62,25.62,25.385,25.385,8309
2025-05-09,25.73,25.73,25.5,25.5613,125773
2025-05-12,26.51,26.51,26.438,26.4437,838
2025-05-13,26.39,26.528,26.39,26.528,11333
2025-05-14,26.61,26.67,26.5496,26.5496,6380
2025-05-15,26.89,26.9574,26.89,26.9574,7708
2025-05-16,26.9,26.947,26.851,26.947,11634
2025-05-19,27.03,27.15,26.98,27.0527,4196
2025-05-20,26.76,26.77,26.69,26.7159,3239
2025-05-21,26.83,26.83,26.74,26.74,2060
2025-05-22,26.65,26.65,26.6209,26.6209,1117
2025-05-27,26.8922,27.02,26.8922,26.9683,1857
2025-05-29,26.97,27.0483,26.91,27.0483,3399
2025-05-30,27.01,27.01,26.85,26.9825,1332
2025-06-02,26.92,27.0196,26.92,27.0196,533
2025-06-03,26.9,26.9,26.7745,26.7983,4695
2025-06-04,26.79,26.84,26.79,26.84,865
2025-06-05,26.9,26.98,26.9,26.98,520
2025-06-06,27.25,27.2759,27.25,27.2759,488
2025-06-09,27.37,27.4409,27.37,27.4409,374
2025-06-10,27.46,27.47,27.43,27.47,1600
2025-06-11,27.48,27.5,27.4396,27.4396,1897
2025-06-12,27.17,27.21,27.08,27.08,1272
2025-06-13,26.98,26.98,26.84,26.8733,20126
2025-06-16,27.19,27.19,26.98,26.98,20361
2025-06-17,26.77,26.84,26.77,26.84,253
2025-06-18,29.52,29.52,26.74,26.85,5446
2025-06-20,26.83,26.92,26.7019,26.7019,2426
2025-06-23,27.685,27.685,26.71,26.88,2022
2025-06-24,27.15,27.2,27.11,27.11,1414
2025-06-25,27.37,27.4,27.25,27.25,2404
2025-06-26,27.639,27.74,27.639,27.7296,8223
2025-06-27,27.8,27.89,27.8,27.83,2780
2025-06-30,27.64,27.74,27.61,27.61,9529
2025-07-01,27.78,27.86,27.78,27.85,1878
2025-07-02,27.62,27.78,27.62,27.67,7586
2025-07-07,27.15,27.78,27.15,27.5,4674
2025-07-08,27.61,27.85,27.6,27.85,13236
2025-07-09,27.5709,27.65,27.5709,27.65,342
2025-07-10,27.54,27.66,27.46,27.63,13669
2025-07-11,27.4,27.41,27.38,27.38,15758
2025-07-14,27.48,27.54,27.39,27.49,20186
2025-07-15,27.56,27.56,27.38,27.38,271
2025-07-16,27.46,27.609,27.46,27.6,739
2025-07-17,27.3901,27.5065,27.3901,27.5065,298
2025-07-18,27.34,27.34,27.21,27.21,9801
2025-07-21,27.35,27.47,27.35,27.435,482
2025-07-22,27.47,27.47,27.42,27.42,1519
2025-07-23,27.35,27.35,27.3279,27.33,514
2025-07-24,27.29,27.29,27.05,27.0515,706
2025-07-25,26.84,27.33,26.79,26.9916,20469
2025-07-28,26.76,26.76,26.52,26.5717,8138
2025-07-29,26.63,26.67,26.59,26.62,4133
2025-07-30,26.3986,26.45,26.28,26.28,1983
2025-07-31,26.339,26.339,26.29,26.29,500
2025-08-04,26.1898,26.23,26.1898,26.21,294
2025-08-06,25.925,25.97,25.925,25.97,1474
2025-08-11,26.02,26.02,25.98,25.98,313
2025-08-12,26.07,26.11,26.07,26.075,4352
2025-08-14,26.2,26.2,26.065,26.065,2468
2025-08-19,26.78,26.78,26.7653,26.7653,290
2025-08-22,26.79,26.8,26.775,26.775,284
2025-08-26,26.2299,26.2299,26.1225,26.1225,1485
2025-08-28,26.19,26.28,26.19,26.26,2346
2025-09-02,26.1,26.12,26.1,26.1,7731
2025-09-03,26.37,26.48,26.37,26.47,13247
2025-09-04,26.34,26.49,26.33,26.49,11060
2025-09-05,26.46,26.46,26.35,26.38,10817
2025-09-08,26.56,26.64,26.55,26.61,10812
2025-09-09,26.51,26.625,26.49,26.56,32455
