date,open,high,low,close,volume
2024-03-05,25.21,25.21,25.1099,25.1108,61273
2024-03-06,25.3451,25.3451,25.3451,25.3451,73
2024-03-07,25.54,25.71,25.53,25.6924,19108
2024-03-08,25.69,25.69,25.58,25.5888,109414
2024-03-11,25.43,25.6,25.43,25.5652,178682
2024-03-12,25.64,25.71,25.62,25.66,128014
2024-03-13,25.765,25.815,25.69,25.7391,235427
2024-03-14,25.605,25.605,25.51,25.5917,411106
2024-03-15,25.54,25.57,25.53,25.5453,477176
2024-03-18,25.63,25.64,25.5968,25.5968,7957
2024-03-19,25.65,25.69,25.65,25.6591,236134
2024-03-20,25.7185,25.9232,25.715,25.9232,5729
2024-03-21,26.052,26.0587,26.0199,26.0199,3465
2024-03-22,25.93,25.9513,25.9164,25.939,10512
2024-03-25,25.8921,25.92,25.82,25.8289,10477
2024-03-26,25.8206,25.869,25.7757,25.7757,92266
2024-03-27,25.7848,25.9099,25.7848,25.8997,2513
2024-03-28,25.9,25.9399,25.9,25.913,7441
2024-04-01,25.79,25.79,25.76,25.7786,10908
2024-04-02,25.49,25.63,25.49,25.6022,6218
2024-04-03,25.69,25.7582,25.65,25.6739,22620
2024-04-04,25.8696,25.91,25.52,25.5704,9878
2024-04-05,25.64,25.7499,25.64,25.7296,19617
2024-04-08,25.81,26.295,25.76,25.76,5077
2024-04-09,25.73,25.86,25.68,25.7958,10884
2024-04-10,25.59,25.59,25.48,25.55,28383
2024-04-11,25.43,25.66,25.43,25.6133,38073
2024-04-12,25.34,25.34,25.23,25.26,9092
2024-04-15,25.28,25.28,24.98,25.008,14177
2024-04-16,24.92,25.03,24.88,24.9079,7304
2024-04-17,24.82,24.84,24.79,24.8037,9886
2024-04-18,24.77,24.85,24.7602,24.8009,10266
2024-04-19,24.83,24.84,24.735,24.82,45723
2024-04-22,24.93,25.12,24.93,25.0375,14079
2024-04-23,25.19,25.2601,24.22,25.2216,19755
2024-04-24,25.085,25.21,25.0699,25.1757,9904
2024-04-25,24.939,25.17,24.939,25.1213,9318
2024-04-26,25.53,25.53,25.35,25.3986,25380
2024-04-29,25.4132,25.46,25.37,25.4097,9225
2024-04-30,25.22,25.23,25.0182,25.0182,23751
2024-05-01,25.0,25.14,24.9828,24.9828,16283
2024-05-02,25.1599,25.3,25.1599,25.2414,7385
2024-05-03,25.45,25.61,25.45,25.575,14597
2024-05-06,25.7,25.78,25.7,25.7558,5883
2024-05-07,25.83,25.84,25.79,25.8131,11945
2024-05-08,25.79,25.84,25.7706,25.8151,7798
2024-05-09,25.53,25.95,25.53,25.9258,3244
2024-05-10,25.965,26.0,25.95,25.97,8474
2024-05-13,26.05,26.07,26.0115,26.0383,8087
2024-05-14,26.032,26.16,26.0244,26.1303,8352
2024-05-15,25.9,26.4018,25.9,26.4018,11082
2024-05-16,26.43,26.43,26.3553,26.3553,9679
2024-05-17,26.43,26.48,26.41,26.4553,21009
2024-05-20,26.48,26.5,26.4,26.4086,10617
2024-05-21,26.16,26.56,26.16,26.4036,2926
2024-05-22,26.34,26.36,26.24,26.2544,11798
2024-05-23,26.15,26.22,25.99,26.0048,11569
2024-05-24,26.1381,26.1381,26.0761,26.0761,1537
2024-05-28,26.0,26.0,25.93,25.9633,10418
2024-05-29,25.74,25.79,25.7,25.7177,12482
2024-05-30,25.747,25.77,25.6753,25.7111,5695
2024-05-31,25.68,25.9143,25.6354,25.9143,9175
2024-06-03,25.63,25.7576,25.63,25.7576,4500
2024-06-04,25.57,25.68,25.53,25.66,8184
2024-06-05,25.8622,25.92,25.8622,25.9191,6869
2024-06-06,25.95,26.0,25.9463,25.9463,6744
2024-06-07,25.945,26.0,25.85,25.8766,4983
2024-06-10,25.94,25.99,25.9,25.94,7194
2024-06-11,25.9083,25.95,25.85,25.9386,28382
2024-06-12,26.16,26.169,26.01,26.0247,14553
2024-06-13,25.86,25.93,25.79,25.8785,2247
2024-06-14,25.7124,25.83,25.7101,25.7725,6911
2024-06-17,25.79,25.99,25.76,25.98,16129
2024-06-18,26.05,26.05,25.89,25.94,7650
2024-06-20,26.06,26.06,25.91,25.91,4826
2024-06-21,25.9,25.9742,25.8501,25.8982,9899
2024-06-24,26.08,26.19,26.08,26.1061,20288
2024-06-25,26.37,26.37,26.0,26.16,7464
2024-06-26,25.81,26.1382,25.81,26.03,9449
2024-06-27,26.1286,26.17,26.0846,26.114,6423
2024-06-28,26.1318,26.1926,26.04,26.0744,12056
2024-07-01,25.8999,26.01,25.8601,25.9834,19911
2024-07-02,25.97,26.13,25.955,26.0755,28632
2024-07-03,26.22,26.28,26.15,26.17,2490
2024-07-05,26.25,26.31,26.24,26.24,7348
2024-07-08,26.23,26.32,26.18,26.2,8290
2024-07-09,25.93,26.37,25.93,26.2,6931
2024-07-10,26.3778,26.49,26.35,26.43,7125
2024-07-11,26.6287,26.6492,26.44,26.48,3470
2024-07-12,26.76,26.87,26.68,26.79,6571
2024-07-15,26.86,27.06,26.66,27.06,14316
2024-07-16,26.88,26.98,26.8201,26.88,79759
2024-07-17,26.86,26.86,26.6301,26.7,9701
2024-07-18,26.72,26.72,26.43,26.4912,8258
2024-07-19,26.48,26.48,26.312,26.3462,46895
2024-07-22,26.42,26.63,26.42,26.51,4494
2024-07-23,26.4508,26.47,26.31,26.31,11809
2024-07-24,26.1254,26.16,25.89,25.9,5391
2024-07-25,26.13,26.15,25.94,25.95,11475
2024-07-26,26.1981,26.289,26.0515,26.1655,3668
2024-07-29,26.16,26.249,26.1001,26.1579,8343
2024-07-30,26.03,26.12,25.92,25.94,7016
2024-07-31,26.29,26.4799,26.29,26.4005,24804
2024-08-01,26.5,26.5,26.01,26.03,9941
2024-08-02,25.69,25.69,25.4501,25.5231,16114
2024-08-05,24.9,25.08,24.82,24.843,6424
2024-08-06,25.21,25.33,25.11,25.114,9424
2024-08-07,25.46,25.46,24.9,24.9,2442
2024-08-08,25.55,25.68,25.44,25.67,5485
2024-08-09,25.76,25.87,25.7,25.7,7133
2024-08-12,25.87,25.91,25.72,25.72,5085
2024-08-13,26.05,26.2199,26.03,26.12,2697
2024-08-14,26.19,26.31,26.19,26.28,6194
2024-08-15,26.49,26.659,26.49,26.59,1724
2024-08-16,26.63,26.73,26.4601,26.6263,15739
2024-08-19,26.67,27.0,26.64,26.8701,15764
2024-08-20,26.9,26.9,26.65,26.67,5169
2024-08-21,26.88,26.92,26.73,26.8611,8441
2024-08-22,26.86,26.88,26.57,26.57,11893
2024-08-23,26.98,27.03,26.83,26.99,5737
2024-08-26,26.94,26.94,26.72,26.8124,3571
2024-08-27,26.755,26.89,26.72,26.72,8866
2024-08-28,26.6109,26.72,26.4501,26.54,2849
2024-08-29,26.683,26.85,26.54,26.54,7067
2024-08-30,26.1,26.73,26.1,26.73,5914
2024-09-03,26.32,27.43,26.24,27.43,4115
2024-09-04,26.2586,26.26,26.215,26.25,4088
2024-09-05,26.18,26.1999,26.095,26.135,8881
2024-09-06,26.0343,26.0343,25.7,25.7381,7874
2024-09-09,25.8962,26.005,25.8,25.863,5641
2024-09-10,25.83,25.83,25.6,25.73,6946
2024-09-11,25.69,26.05,25.39,25.99,4664
2024-09-12,26.08,26.365,26.055,26.19,8738
2024-09-13,26.52,26.54,26.43,26.475,10582
2024-09-16,26.59,26.65,26.5,26.53,7677
2024-09-17,26.59,26.6892,26.52,26.67,7986
2024-09-18,26.645,26.74,26.53,26.5871,4575
2024-09-19,26.975,27.14,26.975,26.98,7857
2024-09-20,26.8,26.94,26.75,26.89,5024
2024-09-23,26.885,26.94,26.79,26.8646,1531
2024-09-24,26.9113,27.1799,26.91,27.0894,5941
2024-09-25,27.01,27.029,26.86,26.86,3932
2024-09-26,27.163,27.22,27.1,27.1,3608
2024-09-27,27.11,27.1695,27.01,27.12,5411
2024-09-30,27.0,27.0499,26.8001,26.96,6752
