date,open,high,low,close,volume
2025-10-27,10.05,10.05,9.93,9.93,265830
2025-10-28,9.95,9.96,9.93,9.94,632736
2025-10-29,9.95,9.96,9.94,9.94,191512
2025-10-30,9.94,9.95,9.93,9.945,605486
2025-10-31,9.9482,9.95,9.935,9.935,143378
2025-11-03,9.94,9.945,9.93,9.93,179393
2025-11-04,9.94,9.95,9.94,9.94,224489
2025-11-05,9.95,9.95,9.945,9.945,11111
2025-11-06,9.95,9.95,9.92,9.93,966599
2025-11-07,9.93,9.93,9.9,9.91,112809
2025-11-10,9.92,9.92,9.915,9.92,5281
2025-11-11,9.915,9.92,9.915,9.92,1005
2025-11-12,9.91,9.92,9.91,9.915,4377
2025-11-13,9.91,9.92,9.91,9.91,7929
2025-11-14,9.915,9.925,9.915,9.915,29218
2025-11-17,9.93,9.93,9.9,9.9,152654
2025-11-18,9.92,9.92,9.9,9.91,194387
2025-11-19,9.91,9.91,9.9,9.91,2882
2025-11-20,9.91,9.9155,9.9,9.905,109587
2025-11-21,9.93,9.93,9.9,9.9,33746
2025-11-24,9.9,9.905,9.9,9.905,14167
2025-11-25,9.915,9.9187,9.905,9.91,26555
2025-11-26,9.915,9.915,9.9,9.9,64562
2025-11-28,9.9,9.91,9.9,9.905,19424
2025-12-01,9.9101,9.915,9.89,9.89,1082929
2025-12-02,9.9,9.9,9.89,9.9,15131
2025-12-03,9.9,9.9,9.89,9.89,134895
2025-12-04,9.9,9.9,9.895,9.9,757554
2025-12-05,9.8966,9.8966,9.8966,9.8966,1005
2025-12-08,9.9,9.9,9.885,9.885,52546
2025-12-09,9.9,9.9,9.88,9.885,61575
2025-12-10,9.9,9.9,9.89,9.89,108269
2025-12-11,9.88,9.9,9.88,9.88,185997
2025-12-12,9.89,9.89,9.88,9.88,34365
2025-12-15,9.885,9.895,9.8845,9.89,370741
2025-12-16,9.89,9.9,9.87,9.87,107639
2025-12-17,9.88,9.8811,9.87,9.87,100045
2025-12-18,9.88,9.885,9.88,9.885,3539
2025-12-19,9.885,9.9,9.88,9.88,73857
2025-12-22,9.88,9.9,9.88,9.9,6863
2025-12-23,9.88,9.9,9.88,9.9,238859
2025-12-24,9.9,9.9,9.9,9.9,198
2025-12-26,9.89,9.9,9.88,9.9,116258
2025-12-29,9.9,9.9,9.89,9.9,27681
2025-12-30,9.89,9.89,9.89,9.89,56970
2026-01-02,9.89,9.89,9.88,9.89,2876
2026-01-05,9.89,9.9,9.885,9.9,34061
2026-01-06,9.89,9.9,9.89,9.9,129207
2026-01-07,9.895,9.9372,9.89,9.93,1365653
2026-01-08,9.93,9.93,9.895,9.9,47827
2026-01-09,9.905,9.905,9.9,9.9,12771
2026-01-12,9.92,9.98,9.91,9.92,246851
2026-01-13,9.92,9.93,9.92,9.93,1812
2026-01-14,9.92,9.93,9.92,9.93,10428
2026-01-15,9.94,9.95,9.93,9.94,15232
2026-01-16,9.931,9.94,9.93,9.94,18030
2026-01-20,9.92,9.95,9.92,9.93,1411
2026-01-21,9.95,9.95,9.92,9.94,18884
2026-01-22,9.94,9.97,9.94,9.97,50485
2026-01-23,9.95,9.97,9.945,9.97,10548
2026-01-26,9.95,9.97,9.95,9.97,722064
2026-01-27,9.96,9.96,9.9546,9.96,13939
2026-01-28,9.96,9.97,9.96,9.97,762
2026-01-29,9.97,9.97,9.96,9.97,51665
2026-01-30,9.97,9.97,9.965,9.97,10713
2026-02-02,9.97,9.97,9.96,9.97,516776
2026-02-03,9.99,9.99,9.975,9.99,475666
2026-02-04,9.99,9.99,9.98,9.99,800
2026-02-05,9.98,10,9.98,10,847014
2026-02-06,9.985,10,9.97,9.99,3168
2026-02-09,9.99,10,9.99,10,1291
2026-02-10,9.995,9.995,9.995,9.995,541
