date,open,high,low,close,volume
2011-02-01,6.48979,6.56627,6.38354,6.48979,172958.94102907
2011-02-02,6.55059,6.61432,6.44271,6.55059,182206.10920337
2011-02-03,6.52434,6.55059,6.43281,6.53794,157342.71613449
2011-02-04,6.46135,6.55421,6.46135,6.51462,151447.73840101
2011-02-07,6.55421,6.55421,6.43806,6.52434,125983.07442207
2011-02-08,6.52434,6.55421,6.47392,6.52434,112467.09302099
2011-02-09,6.5094,6.56627,6.45831,6.48979,103401.7777618
2011-02-10,6.48979,6.55421,6.46135,6.5071,105367.47112157
2011-02-11,6.56627,6.64144,6.5071,6.56627,225336.78527023
2011-02-14,6.64144,6.64916,6.55421,6.64916,122174.67493412
2011-02-15,6.64144,6.76654,6.60262,6.60262,156809.77146423
2011-02-16,6.64144,6.654,6.55809,6.61698,146544.01673076
2011-02-18,6.61995,6.61995,6.57541,6.61995,86430.590973769
2011-02-22,6.52947,6.63031,6.52947,6.54297,146591.31951215
2011-02-23,6.58674,6.63373,6.48979,6.55421,178518.59460118
2011-02-24,6.57541,6.65734,6.56942,6.61432,410898.23843319
2011-02-25,6.61698,6.65734,6.58674,6.64916,104675.79934043
2011-02-28,6.64916,6.64916,6.55477,6.60682,240448.44716336
2011-03-01,6.63231,6.63231,6.36214,6.41189,365265.77081753
2011-03-02,6.37611,6.52213,6.37611,6.49027,182380.60390803
2011-03-03,6.58456,6.58456,6.39437,6.46202,156647.8908346
2011-03-04,6.48438,6.52061,6.43472,6.46135,100178.88159009
2011-03-07,6.47971,6.51462,6.39171,6.39437,114650.37917516
2011-03-08,6.43806,6.47725,6.37109,6.40228,200753.00419798
2011-03-09,6.36832,6.39732,6.33273,6.33273,1130893.8738943
2011-03-10,6.36099,6.44327,6.29022,6.34473,577110.75166382
2011-03-11,6.33273,6.36099,6.33273,6.353,204215.56779536
2011-03-14,6.353,6.353,6.1752,6.18965,335072.93104592
2011-03-15,6.14875,6.14875,5.86563,6.05475,472151.1356351
2011-03-16,6.07852,6.10822,5.99597,6.01414,138827.35632749
2011-03-17,6.04877,6.15247,5.98608,6.01205,328653.41802553
2011-03-18,6.05475,6.10424,6.00871,6.05475,237017.41875356
2011-03-21,6.08205,6.14276,6.07852,6.07852,162911.83026289
2011-03-22,6.10822,6.1752,6.01414,6.13754,216091.71944177
2011-03-23,6.11783,6.32759,6.11431,6.23237,243491.5927658
2011-03-24,6.20925,6.29079,6.15095,6.23237,419362.28278233
2011-03-25,6.26862,6.28365,6.2257,6.23408,181750.95132917
2011-03-28,6.23475,6.2496,6.14276,6.1693,246262.48458204
2011-03-29,6.15588,6.1752,6.11783,6.14875,178542.77157835
2011-03-30,6.1752,6.22628,6.16588,6.22628,191726.5823368
2011-03-31,6.23475,6.23475,6.1713,6.21524,100932.57257349
2011-04-01,6.22742,6.24882,6.18339,6.24882,126449.7951984
2011-04-04,6.26443,6.32503,6.25274,6.31437,190938.20264705
