date,open,high,low,close,volume
2006-09-14,0.900742,0.900742,0.86121,0.86121,95540.410935929
2006-09-18,0.821769,0.86121,0.782624,0.86121,45549.469845361
2006-09-19,0.86121,0.86121,0.86121,0.86121,636.6964559604
2006-09-20,0.86121,0.86121,0.742992,0.742992,11007.660179742
2006-09-22,0.821769,0.86121,0.703456,0.703456,20370.178871662
2006-09-25,0.782624,0.782624,0.782624,0.782624,6334.1028070383
2006-09-26,0.821769,0.86121,0.782624,0.86121,32274.348738586
2006-09-29,0.86121,0.86121,0.703456,0.703456,44294.561669258
2006-10-02,0.84514,0.86121,0.84514,0.86121,2534.4626666295
2006-10-03,0.84514,0.86121,0.84514,0.84514,8229.815158172
2006-10-05,0.84514,0.84514,0.821769,0.821769,26567.700019599
2006-10-06,0.821769,0.821769,0.782624,0.782624,22777.302247099
2006-10-13,0.821769,0.948263,0.782624,0.821769,30375.55559815
2006-10-16,0.86121,1.05879,0.86121,1.01955,67217.687943368
2006-10-17,0.979907,0.979907,0.940376,0.979907,160033.65420565
2006-10-18,0.979907,0.979907,0.86121,0.940376,165402.44303107
2006-10-19,0.940376,0.95625,0.940376,0.95625,10389.448459599
2006-10-20,0.86121,0.948263,0.86121,0.89305,358130.46025029
2006-10-23,0.95625,0.972314,0.932197,0.972314,152348.11182434
2006-10-24,0.972314,0.972314,0.907947,0.907947,7338.4401198275
2006-10-25,0.979907,1.00355,0.979907,0.979907,35303.791553236
2006-10-26,1.00355,1.00355,0.91652,0.91652,52076.635448723
2006-10-27,1.01955,1.01955,1.01955,1.01955,62069.689017998
2006-10-30,1.01955,1.01955,1.01955,1.01955,7720.4579934038
2006-10-31,1.01955,1.02751,1.01955,1.01955,19429.511204469
2006-11-01,1.01955,1.05879,0.995572,0.995572,45430.34599231
2006-11-02,1.01127,1.01955,1.00355,1.01955,56949.417196355
2006-11-03,1.01955,1.01955,0.987696,1.01955,80232.99581892
2006-11-06,1.03531,1.20858,1.01127,1.13776,301821.84722896
2006-11-07,1.13776,1.17729,1.05879,1.09823,82893.770846974
2006-11-08,1.08295,1.17729,1.08295,1.13776,32024.804805041
2006-11-09,1.13776,1.1852,1.13776,1.16958,106431.00112216
2006-11-10,1.17729,1.41471,1.17729,1.28743,183780.37815343
2006-11-13,1.31158,1.4856,1.14597,1.44588,371064.64067419
2006-11-14,1.47782,1.47782,1.24861,1.33523,440773.66023394
2006-11-15,1.32756,1.4067,1.30387,1.3191,166511.52718016
2006-11-16,1.34303,1.34303,1.27991,1.27991,132815.9076431
2006-11-17,1.28743,1.31158,1.27206,1.31158,95005.380526969
2006-11-20,1.32756,1.32756,1.22501,1.24861,113751.98343594
2006-11-21,1.24861,1.26465,1.20858,1.22501,199303.44852166
2006-11-22,1.22501,1.26465,1.21722,1.26465,104017.71616812
2006-11-24,1.24861,1.32756,1.24861,1.28743,35179.533051348
2006-11-27,1.28743,1.28743,1.24087,1.26465,119212.16901067
2006-11-28,1.26465,1.28743,1.26465,1.28743,36477.572277692
2006-11-29,1.26465,1.27991,1.22501,1.27991,51123.644624317
2006-11-30,1.25713,1.26465,1.24087,1.26465,37678.053176108
2006-12-01,1.25713,1.27991,1.233,1.24861,156664.29763789
2006-12-04,1.24861,1.24861,1.22501,1.233,39103.431693645
2006-12-05,1.22501,1.27991,1.22501,1.26465,57959.916087749
2006-12-06,1.26465,1.27991,1.22501,1.24861,38372.257699058
2006-12-07,1.20858,1.27206,1.20858,1.24861,170821.55141511
2006-12-08,1.20084,1.233,1.20084,1.233,70073.579627281
2006-12-11,1.21722,1.27991,1.20858,1.27991,102542.01809196
2006-12-12,1.28743,1.39873,1.28743,1.35162,95504.46839406
2006-12-13,1.35162,1.35162,1.35162,1.35162,9886.2528734368
2006-12-14,1.32756,1.38295,1.25713,1.38295,48845.914399607
2006-12-15,1.33523,1.33523,1.28743,1.31158,27253.689104408
2006-12-18,1.28743,1.3191,1.28743,1.31158,18225.94951675
2006-12-19,1.3191,1.36717,1.3191,1.36717,34610.613960054
2006-12-20,1.37498,1.4067,1.33523,1.33523,140346.38362949
2006-12-21,1.33523,1.36717,1.33523,1.36717,23791.908857565
2006-12-22,1.36717,1.38295,1.36717,1.37498,31128.295117858
2006-12-26,1.37498,1.4067,1.37498,1.39873,82903.013214882
2006-12-27,1.39873,1.4067,1.39873,1.4067,188758.93366714
