date,open,high,low,close,volume
2007-06-12,210.0,210.0,210.0,210.0,0
2007-06-14,210.0,230.0,201.0,210.2,210872
2007-06-15,212.8,212.8,203.8,208.2,9674
2007-06-18,210.0,210.0,207.0,207.8,4753
2007-06-19,220.0,220.0,207.0,208.0,3951
2007-06-20,206.4,213.0,203.6,204.0,13745
2007-06-21,204.0,207.0,203.2,204.0,10621
2007-06-22,206.6,210.0,204.2,206.0,10740
2007-06-25,207.4,213.0,206.0,206.8,7831
2007-06-26,208.8,210.4,205.0,208.0,3071
2007-06-27,208.0,208.8,206.0,208.4,2484
2007-06-28,210.0,210.0,208.6,208.6,3685
2007-06-29,213.0,213.0,210.2,213.0,4801
2007-07-02,213.0,217.2,212.0,215.2,16871
2007-07-03,218.4,239.4,215.8,226.6,2665
2007-07-05,227.0,227.0,222.0,223.4,5494
2007-07-06,225.0,225.0,218.0,218.8,4179
2007-07-09,222.0,223.0,212.0,220.0,6212
2007-07-10,220.0,222.0,214.2,217.8,10474
2007-07-11,218.0,218.2,215.0,216.2,3375
2007-07-12,213.0,218.0,208.0,211.8,5813
2007-07-13,207.6,211.0,207.6,208.8,2696
2007-07-16,207.2,207.6,201.2,205.0,4955
2007-07-17,204.0,205.0,186.0,196.0,22132
2007-07-18,197.6,197.6,180.0,182.2,15449
2007-07-19,180.0,181.8,172.8,178.2,15910
2007-07-20,179.6,187.2,175.0,184.0,2898
2007-07-23,185.6,190.0,184.8,188.0,2825
2007-07-24,190.0,190.0,180.0,181.8,5115
2007-07-25,186.8,188.6,182.0,182.4,5402
2007-07-26,184.8,184.8,177.0,178.0,5256
2007-07-27,180.0,183.8,172.6,175.2,7777
2007-07-30,175.0,179.6,175.0,179.6,5620
2007-07-31,179.6,181.4,178.0,178.8,3934
2007-08-01,174.4,177.2,160.0,168.0,5624
2007-08-02,170.0,172.0,155.6,159.2,7430
2007-08-03,157.0,158.6,141.0,147.4,9096
2007-08-06,151.0,151.4,140.6,146.0,7576
2007-08-07,144.2,157.8,141.0,152.8,5658
2007-08-08,155.6,178.2,148.4,167.6,11613
2007-08-09,172.8,177.6,160.8,165.0,4924
2007-08-10,164.0,164.0,157.4,159.2,1501
2007-08-13,158.2,168.0,155.4,157.0,1879
2007-08-14,155.4,157.4,146.0,147.6,3168
2007-08-15,147.4,149.8,145.6,146.2,1894
2007-08-16,144.2,158.8,136.0,139.6,6346
2007-08-17,142.6,145.0,132.4,138.0,6217
2007-08-20,140.2,141.0,138.0,139.4,1069
2007-08-21,138.0,139.2,133.2,137.8,1848
2007-08-22,136.8,137.2,128.0,132.6,6659
2007-08-23,130.2,132.0,120.2,126.0,3978
2007-08-24,129.2,129.8,111.4,122.2,14107
2007-08-27,122.2,125.8,119.0,125.0,2895
2007-08-28,125.0,125.0,115.0,118.0,4495
2007-08-29,119.0,122.8,115.0,122.4,3734
2007-08-30,120.8,126.4,120.6,122.8,2509
2007-08-31,125.8,128.0,123.0,125.0,5236
2007-09-04,126.2,129.4,120.0,126.2,12710
2007-09-05,126.2,153.0,125.6,142.8,7064
2007-09-06,142.0,147.2,140.8,143.6,3732
2007-09-07,144.4,146.6,142.0,145.0,3709
2007-09-10,145.0,145.0,140.0,140.6,2023
2007-09-11,141.2,144.0,140.2,142.0,2282
2007-09-12,140.0,146.6,137.2,143.0,5106
2007-09-13,142.0,148.0,140.8,145.0,6077
2007-09-14,145.0,145.0,138.2,141.0,2581
2007-09-17,140.2,140.4,138.0,139.4,387
2007-09-18,142.0,142.0,132.4,134.6,3450
2007-09-19,134.8,138.0,134.8,135.2,955
2007-09-20,131.6,132.2,122.0,124.4,4197
2007-09-21,124.2,126.8,121.8,123.0,3232
2007-09-24,124.2,124.6,115.4,117.2,3617
2007-09-25,117.2,118.8,112.2,113.2,2663
2007-09-26,113.0,113.2,108.6,109.4,7378
2007-09-27,109.4,115.0,108.4,114.4,5007
2007-09-28,114.4,115.8,108.2,115.8,3833
2007-10-01,114.8,116.0,107.4,110.6,5430
2007-10-02,103.8,110.6,102.2,103.4,7758
2007-10-03,103.0,108.2,91.6,92.2,12520
2007-10-04,88.8,90.0,85.0,85.8,25835
2007-10-05,85.8,94.0,85.2,94.0,4939
2007-10-08,95.0,95.2,90.8,93.0,2489
2007-10-09,94.0,95.8,90.8,92.4,3876
2007-10-10,93.2,93.2,90.0,92.6,4226
2007-10-11,93.8,93.8,90.0,92.6,3805
2007-10-12,93.2,93.2,86.2,89.2,4074
2007-10-15,93.0,115.0,93.0,104.8,24896
2007-10-16,107.6,109.0,100.0,105.8,7653
2007-10-17,106.0,109.0,100.6,100.6,6408
2007-10-18,100.8,110.6,100.8,107.2,4216
2007-10-19,110.6,110.6,104.0,107.6,2693
2007-10-22,108.4,108.4,102.2,106.4,2345
2007-10-23,107.6,108.0,103.2,105.8,1479
2007-10-24,104.0,104.8,101.0,103.2,2081
2007-10-25,102.8,105.0,100.2,101.0,2773
2007-10-26,101.4,104.2,98.0,103.0,2544
2007-10-29,103.8,110.6,102.4,105.8,5080
2007-10-30,106.0,112.0,106.0,108.8,1612
2007-10-31,108.8,111.8,105.0,109.8,2645
2007-11-01,109.4,110.8,105.0,106.4,2964
2007-11-02,106.6,107.0,101.0,104.2,2502
2007-11-05,103.8,106.2,100.0,102.8,1825
2007-11-06,102.6,106.2,101.0,104.0,3714
2007-11-07,105.0,106.2,100.0,105.2,1254
2007-11-08,106.0,113.6,100.6,110.8,4258
2007-11-09,108.4,108.4,100.6,102.2,5339
2007-11-12,99.2,103.0,97.0,97.8,1880
2007-11-13,97.6,103.0,92.6,93.2,14254
2007-11-14,104.8,115.0,94.4,99.0,10147
2007-11-15,99.4,106.2,93.4,97.8,5364
2007-11-16,97.2,104.0,92.6,100.0,4230
2007-11-19,100.0,100.4,92.6,93.2,5995
2007-11-20,93.8,95.0,82.0,86.0,6009
2007-11-21,84.6,85.4,78.6,84.4,13830
2007-11-23,84.4,84.4,80.2,80.8,5598
2007-11-26,82.4,86.0,82.0,83.6,5336
2007-11-27,84.0,85.8,82.2,85.2,10751
2007-11-28,85.2,89.6,80.0,84.2,7276
2007-11-29,84.6,98.6,82.2,96.8,3420
2007-11-30,98.4,102.0,98.0,99.8,4040
2007-12-03,100.4,102.0,96.4,102.0,1712
2007-12-04,102.0,109.4,94.2,105.2,4393
2007-12-05,113.6,113.6,102.4,106.6,5434
2007-12-06,106.0,108.0,102.8,103.4,2466
2007-12-07,104.2,106.8,98.8,99.6,4482
2007-12-10,98.8,106.8,98.8,104.6,2719
2007-12-11,104.2,109.2,102.4,107.6,3910
2007-12-12,108.8,111.6,105.4,109.4,4429
2007-12-13,108.0,115.0,103.0,113.2,3674
2007-12-14,116.0,124.0,116.0,122.0,7717
2007-12-17,123.8,125.6,123.0,124.8,8169
2007-12-18,126.4,128.2,122.0,124.6,14790
2007-12-19,125.0,128.8,122.8,127.0,8349
2007-12-20,128.6,145.0,128.6,137.6,9123
2007-12-21,137.6,148.4,134.6,141.8,11105
2007-12-24,143.8,145.8,141.0,145.8,3453
2007-12-26,145.0,145.0,137.4,142.0,7773
2007-12-27,142.6,142.6,132.6,138.0,4537
2007-12-28,137.6,138.8,132.0,136.6,2427
2007-12-31,135.8,141.0,130.0,140.6,3475
2008-01-02,141.4,141.4,135.2,139.6,4772
2008-01-03,142.0,145.0,136.8,144.8,3587
2008-01-04,143.0,145.4,140.2,144.2,2118
2008-01-07,143.6,148.8,139.0,144.6,4318
2008-01-08,144.0,155.0,140.0,145.6,5853
2008-01-09,145.6,145.6,138.2,139.8,6852
2008-01-10,138.4,140.0,133.4,139.6,4495
2008-01-11,139.0,140.2,132.0,136.0,8338
2008-01-14,122.0,136.0,122.0,134.6,10065
2008-01-15,128.4,133.0,124.6,129.6,11285
2008-01-16,128.6,134.6,127.8,132.0,5229
2008-01-17,132.0,135.6,126.2,133.2,9500
2008-01-18,126.0,133.2,120.0,127.8,4693
2008-01-22,120.0,131.4,115.0,129.0,4520
2008-01-23,126.0,132.4,119.2,127.8,7026
2008-01-24,128.8,129.6,121.2,129.0,2169
2008-01-25,130.0,131.0,126.6,130.0,1569
2008-01-28,129.0,130.0,124.4,130.0,2114
2008-01-29,135.0,135.0,128.8,129.8,3966
2008-01-30,134.8,134.8,127.6,128.8,2767
2008-01-31,127.2,130.0,124.0,129.0,2218
2008-02-01,130.0,130.0,120.0,129.0,2223
2008-02-04,128.2,130.0,126.0,126.6,1477
2008-02-05,126.2,127.6,124.0,124.2,1751
2008-02-06,125.0,128.4,120.0,124.0,2253
2008-02-07,123.2,127.8,123.0,124.0,3172
2008-02-08,123.2,127.6,123.2,125.4,1661
2008-02-11,126.0,126.6,122.6,124.4,1721
2008-02-12,124.0,125.8,112.0,112.0,4665
2008-02-13,111.8,113.0,107.2,108.6,6052
2008-02-14,108.0,119.2,108.0,113.0,2677
2008-02-15,112.2,119.2,112.2,118.8,2276
2008-02-19,120.0,126.8,115.4,126.8,2682
2008-02-20,123.6,126.2,120.0,125.8,3674
2008-02-21,125.8,125.8,112.8,120.6,841
2008-02-22,119.6,119.6,113.0,116.2,1649
2008-02-25,116.4,116.4,113.0,114.8,776
2008-02-26,115.0,115.0,114.4,115.0,441
2008-02-27,114.0,115.0,112.4,115.0,1251
2008-02-28,115.0,115.0,112.6,115.0,1028
2008-02-29,107.2,115.0,107.2,111.8,934
2008-03-03,111.2,111.2,102.0,106.0,1195
2008-03-04,104.2,104.6,95.0,96.0,2620
2008-03-05,95.4,97.8,95.0,97.0,781
2008-03-06,97.6,100.0,88.0,88.0,1769
2008-03-07,88.0,92.0,81.6,85.0,2597
2008-03-10,86.0,89.2,81.8,82.0,1866
2008-03-11,84.0,88.0,83.8,88.0,720
2008-03-12,91.0,91.0,88.4,89.0,484
2008-03-13,88.0,88.0,84.2,86.0,3388
2008-03-14,86.8,88.4,77.6,80.2,1128
2008-03-17,79.0,83.0,77.4,78.8,1372
2008-03-18,79.4,86.4,79.4,82.4,1608
2008-03-19,83.6,85.8,75.8,76.4,3002
2008-03-20,75.2,83.8,75.2,82.0,2706
2008-03-24,83.4,91.6,81.4,89.2,2439
2008-03-25,89.4,90.8,89.0,90.0,2053
2008-03-26,89.8,92.4,89.8,91.8,1343
2008-03-27,84.6,95.6,84.6,95.0,1198
2008-03-28,96.6,100.0,94.0,96.8,1909
2008-03-31,96.8,96.8,90.8,91.6,829
2008-04-01,91.2,95.0,91.2,95.0,826
2008-04-02,97.8,97.8,92.0,94.6,1250
2008-04-03,92.6,95.0,92.6,95.0,522
2008-04-04,97.0,97.0,94.4,95.0,1374
2008-04-07,96.0,97.0,92.0,94.6,751
2008-04-08,96.0,96.0,91.6,93.4,1725
2008-04-09,92.4,94.0,90.2,90.4,1631
2008-04-10,91.2,94.8,90.0,91.6,642
2008-04-11,92.0,92.0,85.8,90.0,99
2008-04-14,88.2,88.2,82.0,85.4,1411
2008-04-15,84.4,87.8,83.0,83.0,435
2008-04-16,82.0,83.8,80.0,80.8,843
2008-04-17,80.8,82.4,80.4,82.4,166
2008-04-18,82.4,82.4,80.6,82.4,602
2008-04-21,83.4,83.4,79.2,82.2,1318
2008-04-22,80.6,81.0,77.0,77.2,773
2008-04-23,77.0,84.8,77.0,83.0,463
2008-04-24,82.0,82.4,81.0,81.0,543
2008-04-25,77.2,84.0,77.2,84.0,3319
2008-04-28,85.2,88.0,80.6,81.0,1367
2008-04-29,81.0,81.0,77.4,78.0,610
2008-04-30,79.2,80.0,77.8,79.8,697
2008-05-01,80.0,80.0,78.0,79.6,460
2008-05-02,79.0,84.2,75.6,83.2,400
2008-05-05,84.2,85.0,78.4,78.8,406
2008-05-06,78.0,80.0,78.0,78.2,591
2008-05-07,80.8,81.0,78.0,78.8,916
2008-05-08,80.2,80.2,75.4,75.6,2063
2008-05-09,76.4,76.4,75.4,75.8,836
2008-05-12,76.4,79.8,76.4,76.4,772
2008-05-13,79.4,80.0,77.2,78.2,1334
2008-05-14,79.4,79.4,72.0,72.8,2457
2008-05-15,73.0,74.0,65.4,71.0,2849
2008-05-16,72.0,72.0,67.0,67.0,1174
2008-05-19,68.0,75.2,67.8,73.2,9851
2008-05-20,74.0,79.8,73.4,75.8,6841
2008-05-21,76.8,82.0,75.0,79.0,5666
2008-05-22,78.2,82.0,78.2,81.0,1593
2008-05-23,81.8,83.6,76.2,83.6,4930
2008-05-27,84.0,84.8,82.0,82.2,1273
2008-05-28,83.4,84.8,82.0,83.4,1044
2008-05-29,84.4,85.6,82.4,83.8,1267
2008-05-30,85.2,89.6,84.0,87.4,1440
2008-06-02,86.2,89.0,83.4,86.0,751
2008-06-03,87.4,100.2,87.2,99.2,16839
2008-06-04,100.6,101.8,90.2,91.0,3104
2008-06-05,90.2,95.6,90.2,93.8,788
2008-06-06,94.6,99.8,94.6,94.8,2173
2008-06-09,94.8,96.0,86.0,88.0,1331
2008-06-10,87.6,87.8,81.0,81.2,2550
2008-06-11,81.6,82.6,77.8,78.0,6196
2008-06-12,71.0,72.0,58.2,59.2,9695
2008-06-13,63.6,65.0,60.4,62.4,5293
2008-06-16,63.0,67.6,61.0,66.4,3282
2008-06-17,66.0,66.6,60.0,61.4,978
2008-06-18,62.0,62.4,57.2,58.6,1893
2008-06-19,58.0,61.8,58.0,61.0,1803
2008-06-20,60.0,61.4,59.0,61.2,1417
2008-06-23,60.8,61.8,59.6,60.0,731
2008-06-24,59.0,65.8,58.0,58.6,1684
2008-06-25,58.0,58.0,52.4,52.4,2447
2008-06-26,57.0,60.0,51.4,51.4,5268
2008-06-27,52.0,54.8,52.0,52.0,1982
2008-06-30,52.8,55.4,48.2,51.0,4754
2008-07-01,51.6,53.6,50.0,52.0,2608
2008-07-02,52.8,53.2,49.0,52.0,2325
2008-07-03,52.0,52.0,50.6,52.0,1316
2008-07-07,51.8,54.6,51.8,53.4,294
2008-07-08,52.6,53.8,50.0,53.2,37283
2008-07-09,53.6,53.6,51.4,51.4,3599
2008-07-10,52.0,54.8,50.2,50.4,1200
2008-07-11,50.0,54.8,50.0,50.2,256
2008-07-14,50.0,52.0,50.0,50.6,231
2008-07-15,51.2,52.0,50.2,50.4,421
2008-07-16,50.8,52.2,50.0,52.0,1777
2008-07-17,52.0,52.0,50.2,50.2,1410
2008-07-18,50.4,55.0,50.4,52.2,3905
2008-07-21,52.0,53.0,51.0,51.6,996
2008-07-22,50.8,52.8,50.6,50.8,1751
2008-07-23,52.4,57.0,50.4,52.0,4062
2008-07-24,51.2,53.6,50.4,50.4,897
2008-07-25,50.0,54.0,50.0,50.6,1231
