date,open,high,low,close,volume
2025-07-09,10.04,11.04,10.03,10.04,10101583
2025-07-10,10.05,10.08,10.05,10.07,1054982
2025-07-11,10.07,10.08,10.06,10.07,493326
2025-07-14,10.07,10.09,10.07,10.075,141668
2025-07-15,10.07,10.09,10.07,10.085,394631
2025-07-16,10.1,10.1,10.07,10.08,352460
2025-07-17,10.0812,10.09,10.07,10.0701,194707
2025-07-18,10.0705,10.08,10.07,10.07,105617
2025-07-21,10.0801,10.09,10.07,10.075,130656
2025-07-22,10.075,10.09,10.07,10.09,98299
2025-07-23,10.09,10.12,10.0801,10.115,732887
2025-07-24,10.12,10.2,10.12,10.18,914560
2025-07-25,10.18,10.21,10.18,10.2,164034
2025-07-28,10.19,10.22,10.19,10.22,79931
2025-07-29,10.24,10.2407,10.19,10.2,192113
2025-07-30,10.21,10.21,10.1781,10.19,45303
2025-07-31,10.17,10.18,10.155,10.16,39694
2025-08-01,10.16,10.18,10.15,10.17,186847
2025-08-04,10.1602,10.2,10.1535,10.2,59959
2025-08-05,10.162,10.19,10.16,10.19,1666
2025-08-06,10.17,10.2,10.17,10.19,713
2025-08-07,10.1622,10.17,10.15,10.17,8603
2025-08-08,10.16,10.18,10.16,10.18,7610
2025-08-11,10.15,10.18,10.15,10.18,5561
2025-08-12,10.17,10.19,10.1647,10.18,26409
2025-08-13,10.15,10.19,10.15,10.165,18943
2025-08-14,10.15,10.18,10.15,10.16,27845
2025-08-15,10.16,10.19,10.15,10.18,17892
2025-08-18,10.18,10.18,10.15,10.17,18385
2025-08-19,10.16,10.17,10.15,10.17,8408
2025-08-20,10.17,10.19,10.11,10.15,5377
2025-08-21,10.18,10.18,10.16,10.17,105469
2025-08-22,10.1523,10.1782,10.1523,10.1607,15093
2025-08-25,10.1641,10.18,10.1641,10.18,3307
2025-08-26,10.15,10.18,10.15,10.17,8890
2025-08-27,10.19,10.19,10.1558,10.18,1516
2025-08-28,10.16,10.18,10.16,10.17,14881
2025-08-29,10.18,10.19,10.18,10.19,25133
2025-09-02,10.16,10.16,10.12,10.15,24696
2025-09-03,10.1714,10.18,10.15,10.176,20843
2025-09-04,10.16,10.19,10.15,10.15,13582
2025-09-05,10.15,10.17,10.13,10.16,48292
2025-09-08,10.16,10.19,10.16,10.1649,9558
2025-09-09,10.16,10.19,10.16,10.19,3509
2025-09-10,10.19,10.19,10.17,10.17,671
2025-09-11,10.16,10.17,10.15,10.17,7957
2025-09-12,10.158,10.18,10.158,10.16,14029
2025-09-15,10.1629,10.17,10.16,10.16,4451
2025-09-16,10.18,10.19,10.17,10.19,130024
2025-09-17,10.2058,10.23,10.19,10.21,3846
2025-09-19,10.17,10.17,10.17,10.17,305
