date,open,high,low,close,volume
2025-11-17,39.81,39.84,39.395,39.604,5577
2025-11-18,38.91,39.4612,38.91,39.2,15001
2025-11-19,39.29,39.435,39.15,39.3338,9967
2025-11-20,39.52,40.088,38.7859,38.7859,17694
2025-11-21,38.86,39.2201,38.69,39.1559,542819
2025-11-24,39.16,39.865,39.16,39.8303,8911
2025-11-25,39.39,40.3,39.39,40.2796,33159
2025-11-26,40.13,40.67,40.13,40.5945,14775
2025-11-28,40.33,40.7772,40.33,40.7772,11833
2025-12-01,40.581,40.75,40.581,40.5812,5189
2025-12-02,40.44,40.8399,40.44,40.6684,21995
2025-12-03,40.645,40.85,40.645,40.768,17397
2025-12-04,40.66,40.81,40.66,40.7624,15413
2025-12-05,40.885,40.8899,40.79,40.8525,10435
2025-12-08,40.69,40.91,40.6,40.6819,8229
2025-12-09,40.24,40.7912,40.24,40.6597,3208
2025-12-10,40.41,41.02,40.41,40.9923,19811
2025-12-11,40.87,41.093,40.685,41.0786,6673
2025-12-12,40.6947,40.73,40.43,40.5634,4185
2025-12-15,40.45,40.5194,40.45,40.48,2099
2025-12-16,40.3,40.46,40.2,40.4156,23423
2025-12-17,40.35,40.35,39.9345,39.9353,39751
2025-12-18,40.36,40.565,40.27,40.3405,5324
2025-12-19,40.34,40.6925,40.34,40.6755,2618
2025-12-22,40.87,40.95,40.87,40.93,7360
2025-12-23,40.67,40.85,40.66,40.8424,15041
2025-12-24,40.87,40.99,40.87,40.9893,6849
2025-12-26,40.9,40.9867,40.9,40.9867,4720
2025-12-29,40.71,40.8225,40.71,40.8225,3011
2025-12-30,40.88,40.88,40.7688,40.7688,5166
2025-12-31,40.606,40.66,40.445,40.4624,2180
2026-01-02,40.46,40.79,40.405,40.545,6389
2026-01-05,40.9,40.9437,40.84,40.84,8972
2026-01-06,40.83,41.2215,40.83,41.2215,3004
2026-01-07,41.2,41.2635,40.99,41.0305,13561
2026-01-08,40.93,41.08,40.93,41.0338,30840
2026-01-09,41.02,41.4089,41.02,41.3802,7480
2026-01-12,41.03,41.48,41.03,41.48,11395
2026-01-13,41.39,41.39,41.27,41.3183,1741
2026-01-14,41.04,41.18,40.81,41.0263,20135
2026-01-15,41.24,41.41,41.17,41.2019,9596
2026-01-16,41.42,41.42,41.105,41.1991,8222
2026-01-20,41.02,41.02,40.24,40.33,67799
2026-01-21,40.33,40.9603,40.33,40.8145,6217
2026-01-22,40.81,41.18,40.81,40.9953,9311
2026-01-23,40.93,41.05,40.91,41.02,5063
2026-01-26,40.97,41.215,40.97,41.1702,7484
2026-01-27,41.17,41.42,41.17,41.39,17280
2026-01-28,41.37,41.51,41.37,41.4745,4289
2026-01-29,41.43,41.43,40.85,41.407,31865
2026-01-30,41.33,41.33,40.92,41.0656,3834
2026-02-02,40.77,41.47,40.77,41.377,10473
2026-02-03,41.37,41.44,40.7701,41.15,5913
2026-02-04,41.15,41.15,40.61,40.8594,6517
2026-02-05,40.43,40.62,40.28,40.3841,11714
2026-02-06,40.38,41.2298,40.38,41.2298,6969
2026-02-09,41.28,41.48,41.06,41.41,11114
2026-02-10,41.39,41.485,41.19,41.19,6849
2026-02-11,41.28,41.53,41.16,41.3296,8904
2026-02-12,41.32,41.57,40.63,40.7208,16190
2026-02-13,40.67,40.99,40.64,40.7506,8013
2026-02-17,40.55,40.9559,40.4944,40.8149,6315
2026-02-18,40.61,41.19,40.61,41.0792,9963
2026-02-19,40.84,41.025,40.75,40.75,42018
2026-02-20,40.9,41.25,40.9,41.24,24155
2026-02-23,41.1,41.1,40.7519,40.7769,6100
2026-02-24,40.73,41.18,40.73,41.1562,33100
2026-02-25,41.15,41.515,41.15,41.4914,7200
2026-02-26,41.39,41.39,40.98,41.2373,16345
2026-02-27,40.79,41.095,40.79,41.0792,9095
2026-03-02,40.61,41.22,40.61,41.1559,6034
2026-03-03,40.31,40.785,40.22,40.67,15060
2026-03-04,40.83,41.07,40.68,41.0101,3612
2026-03-05,40.92,40.93,40.4211,40.76,3926
2026-03-06,40.2,40.34,40.09,40.2,5603
