date,open,high,low,close,volume
2005-02-25,1.98338,2.03776,1.97886,2.03458,3246576
2005-02-28,2.05022,2.09742,2.05022,2.09704,7567875
2005-03-01,2.10822,2.11083,2.07252,2.09519,2802337
2005-03-02,2.09034,2.09082,2.05022,2.05464,3082788
2005-03-03,2.0769,2.08364,2.03948,2.05778,2831511
2005-03-04,2.06672,2.12595,2.06672,2.122,3064844
2005-03-07,2.1394,2.17638,2.1278,2.17596,3470936
2005-03-08,2.1847,2.205,2.17638,2.20406,7603758
2005-03-09,2.21513,2.22849,2.16384,2.16822,2593674
2005-03-10,2.1616,2.1616,2.11801,2.13051,3111947
2005-03-11,2.13261,2.15006,2.122,2.15006,2797833
2005-03-14,2.1394,2.15048,2.07029,2.10774,3129920
2005-03-15,2.08673,2.09034,2.04847,2.06805,3930904
2005-03-16,2.06853,2.07066,1.94374,1.99984,6387705
2005-03-17,1.99984,1.99984,1.91654,1.95976,5986097
2005-03-18,1.95219,1.98381,1.95082,1.95662,2945916
2005-03-21,1.93432,1.93656,1.85898,1.90176,7015913
2005-03-22,1.87862,1.89648,1.82561,1.83226,7069775
2005-03-23,1.76057,1.79932,1.72882,1.78282,10596799
2005-03-24,1.78282,1.85136,1.78282,1.83178,4538930
2005-03-28,1.84429,1.84742,1.81852,1.82964,2088835
2005-03-29,1.82964,1.84343,1.80198,1.80726,5784155
2005-03-30,1.8162,1.83178,1.81396,1.82736,1341712
2005-03-31,1.83848,1.8866,1.83848,1.87328,3186008
2005-04-01,1.89862,1.91374,1.85588,1.86525,2993045
2005-04-04,1.87195,1.91692,1.85498,1.9058,2322178
2005-04-05,1.8934,1.90314,1.87509,1.87862,2263855
2005-04-06,1.90851,1.97092,1.90851,1.96955,3403638
2005-04-07,1.97934,2.0132,1.97587,1.97982,2452316
2005-04-08,1.97002,1.9705,1.94459,1.94459,2270588
2005-04-11,1.9589,1.96328,1.91208,1.9232,1018615
2005-04-12,1.91208,1.93432,1.88846,1.93432,1527922
2005-04-13,1.94545,1.95219,1.91654,1.91692,982715
2005-04-14,1.92544,1.94374,1.91873,1.9223,1693958
2005-04-15,1.91654,1.91692,1.84742,1.8479,2638542
2005-04-18,1.82736,1.86748,1.78054,1.86748,3266764
2005-04-19,1.88978,1.93789,1.88798,1.92544,2353602
2005-04-20,1.9397,1.94374,1.86036,1.86258,2975089
2005-04-21,1.86525,1.87862,1.84343,1.87862,5286053
2005-04-22,1.86748,1.90314,1.85184,1.87195,2295263
2005-04-25,1.87195,1.91113,1.86387,1.90362,1368639
2005-04-26,1.87195,1.90314,1.87195,1.90314,1023114
2005-04-27,1.8982,1.90447,1.85232,1.89064,2371537
2005-04-28,1.84971,1.89292,1.84742,1.87419,4761036
2005-04-29,1.86706,1.96642,1.86706,1.9348,6681634
2005-05-02,1.9655,1.9745,1.91255,1.929,6553745
2005-05-03,1.929,1.929,1.89862,1.9156,10984976
2005-05-04,1.91422,1.95529,1.90899,1.93789,5420670
2005-05-05,1.94854,1.9745,1.92938,1.93299,2984069
2005-05-06,1.93432,1.94769,1.90942,1.9223,2286300
2005-05-09,1.91654,1.93703,1.9107,1.9192,4146287
2005-05-10,1.91374,1.94635,1.85864,1.86925,4884443
2005-05-11,1.86478,1.88846,1.85774,1.88846,1801659
2005-05-12,1.88893,1.89782,1.83322,1.83896,1561596
2005-05-13,1.84837,1.88978,1.84837,1.86302,2708092
2005-05-16,1.85413,1.87642,1.85413,1.86302,729181
2005-05-17,1.86083,1.88179,1.85456,1.85456,2468024
2005-05-18,1.85456,1.91783,1.85456,1.91374,5308490
2005-05-19,1.92277,1.92277,1.90224,1.90984,706747
2005-05-20,1.9058,1.9223,1.89468,1.90808,558668
2005-05-23,1.89862,1.9156,1.89554,1.9049,1696204
2005-05-24,1.91208,1.91654,1.87909,1.88536,1202589
2005-05-25,1.87148,1.88304,1.81263,1.83274,1781471
2005-05-26,1.83274,1.88978,1.83274,1.86925,2106801
2005-05-27,1.86083,1.88536,1.85184,1.87862,2380517
2005-05-31,1.87195,1.88136,1.85774,1.86706,1815113
2005-06-01,1.87376,1.88536,1.84072,1.87195,2241420
2005-06-02,1.86748,1.88136,1.86748,1.87552,2203267
2005-06-03,1.86434,1.88304,1.85232,1.85631,1584035
2005-06-06,1.87195,1.88304,1.85413,1.87909,2993045
2005-06-07,1.88256,1.97492,1.88256,1.96242,7163999
2005-06-08,1.97002,1.98742,1.97002,1.97796,1597492
2005-06-09,1.96822,1.9936,1.96774,1.98466,1023114
2005-06-10,1.98918,1.99446,1.9705,1.98604,4345975
2005-06-13,1.98604,2.04442,1.98514,2.0284,3390175
2005-06-14,2.03287,2.06401,2.0324,2.0614,5577737
2005-06-15,2.07252,2.07965,2.05246,2.07475,3432808
2005-06-16,2.08545,2.08811,2.05735,2.08278,2811298
2005-06-17,2.08811,2.11707,2.08146,2.10328,3194963
2005-06-20,2.09886,2.10371,2.07295,2.07917,2712581
2005-06-21,2.09034,2.09477,2.06586,2.07736,1469603
2005-06-22,2.07252,2.07475,2.02484,2.03458,1355185
2005-06-23,2.02351,2.03458,1.97626,1.99142,1649084
2005-06-24,1.99223,2.00568,1.96328,1.99941,2151667
2005-06-27,2.01632,2.02698,2.00787,2.02127,2784378
2005-06-28,2.00968,2.03505,2.00968,2.03505,2631819
2005-06-29,2.05064,2.09477,2.05022,2.0787,3035678
2005-06-30,2.09477,2.1608,2.05959,2.07295,5003356
2005-07-01,2.08412,2.15048,2.08412,2.13441,3643704
2005-07-05,2.13488,2.1394,2.11259,2.12824,3289203
2005-07-06,2.16032,2.18518,2.15942,2.18518,2409681
2005-07-07,2.15048,2.17096,2.1394,2.16122,3643704
2005-07-08,2.1838,2.22849,2.18124,2.2185,3226390
2005-07-11,2.2185,2.25069,2.21718,2.21994,6719759
2005-07-12,2.20634,2.21048,2.16122,2.16122,3636967
2005-07-13,2.1616,2.17049,2.09924,2.1028,3832162
2005-07-14,2.10594,2.1135,2.08944,2.09704,3859104
2005-07-15,2.09704,2.09704,2.0168,2.0324,5566532
2005-07-18,2.04352,2.0614,2.04352,2.05294,3452996
2005-07-19,2.08412,2.13892,2.06448,2.12382,2735012
2005-07-20,2.14606,2.16032,2.13712,2.16032,2918997
2005-07-21,2.15718,2.17733,2.05022,2.06805,4083464
2005-07-22,2.0769,2.17002,2.0765,2.1394,3551711
2005-07-25,2.20406,2.26082,2.19787,2.25939,6681634
2005-07-26,2.24204,2.31782,2.23001,2.27104,4543413
2005-07-27,2.34876,2.34876,2.24926,2.25378,3120936
2005-07-28,2.27104,2.28852,2.24593,2.26034,6035455
2005-07-29,2.26034,2.28639,2.21946,2.2639,3078307
2005-08-01,2.25284,2.27294,2.22754,2.25616,3850122
2005-08-02,2.25663,2.30645,2.25663,2.30645,2719306
2005-08-03,2.30645,2.3199,2.29105,2.3133,1038799
2005-08-04,2.32462,2.32866,2.26866,2.27152,2091090
2005-08-05,2.27337,2.27337,2.1394,2.20272,6336088
2005-08-08,2.18314,2.20112,2.16208,2.17638,1658064
2005-08-09,2.18751,2.2399,2.1838,2.2399,3022215
2005-08-10,2.27104,2.30645,2.25284,2.28944,2084354
2005-08-11,2.29509,2.29794,2.2552,2.26485,2227957
2005-08-12,2.27104,2.27337,2.22849,2.22849,1745575
2005-08-15,2.2399,2.2571,2.22849,2.23942,612528
2005-08-16,2.23942,2.23942,2.17966,2.17966,901954
2005-08-17,2.18845,2.1955,2.1616,2.1914,1539153
2005-08-18,2.20064,2.20064,2.15048,2.17966,1545885
2005-08-19,2.17966,2.20182,2.16208,2.20182,1729861
2005-08-22,2.20634,2.2399,2.19502,2.21233,1839797
2005-08-23,2.19502,2.19502,2.09567,2.1087,3024449
2005-08-24,2.10822,2.11445,2.03458,2.05996,4660094
2005-08-25,2.08231,2.11887,2.05064,2.11887,3890500
2005-08-26,2.11036,2.11924,2.05464,2.10774,1498781
2005-08-29,2.09704,2.13756,2.09429,2.13756,2032756
2005-08-30,2.12861,2.15048,2.1251,2.14164,1395557
2005-08-31,2.14825,2.14958,2.12908,2.13441,2337886
2005-09-01,2.13441,2.13712,2.11492,2.12062,2046212
2005-09-02,2.09477,2.12062,2.09429,2.11492,1166696
