date,open,high,low,close,volume
2025-03-27,49.98,50.05,49.86,49.8765,920
2025-03-28,49.435,49.435,49.16,49.2403,5554
2025-03-31,49.35,49.35,49.3012,49.3012,406
2025-04-01,49.25,49.4339,49.2,49.4339,698
2025-04-02,49.62,49.64,49.4888,49.64,764
2025-04-03,48.65,48.65,48.2,48.2,175
2025-04-04,47.34,47.42,46.9012,46.9012,4794
2025-04-07,47.01,47.03,46.94,46.9602,684
2025-04-08,47.93,47.93,46.44,46.5215,5644
2025-04-09,46.8275,49.2047,46.8275,49.2047,4663
2025-04-10,48.23,48.23,47.85,48.0538,3342
2025-04-11,48.17,48.5274,48.0667,48.5274,996
2025-04-14,48.95,48.95,48.69,48.69,1015
2025-04-16,48.21,48.21,47.9586,47.9586,130
2025-04-23,48.74,48.77,48.5712,48.5712,4323
2025-04-24,49.12,49.213,49.1,49.213,443
2025-04-28,49.34,49.473,49.34,49.473,390
2025-05-08,50.63,50.63,50.4229,50.4229,1003
2025-05-13,51.71,51.75,51.7048,51.7048,1436
2025-05-15,51.69,51.7534,51.6207,51.7534,1014
2025-05-20,51.81,51.8259,51.81,51.8259,570
2025-05-22,51.66,51.66,51.55,51.58,973
2025-05-27,51.81,51.9321,51.81,51.9321,882
2025-05-30,51.79,52.0016,51.65,52.0016,3903
2025-06-02,52.01,52.1537,52.01,52.1537,971
2025-06-03,51.94,52.255,51.94,52.255,3037
2025-06-05,52.5282,52.5282,52.19,52.22,1130
2025-06-06,52.47,52.47,52.4376,52.4376,267
2025-06-18,52.6,52.7,52.6,52.67,2442
2025-06-20,52.615,52.6481,52.615,52.6481,121
2025-06-24,53.25,53.25,53.205,53.205,1419
2025-06-25,53.25,53.25,53.2347,53.2347,103
2025-06-26,53.27,53.37,53.27,53.315,4739
2025-06-30,53.459,53.4867,53.4168,53.4867,1488
2025-07-01,53.28,53.4,53.27,53.2902,17081
2025-07-03,53.6304,53.64,53.5701,53.5701,704
2025-07-07,53.57,53.57,53.475,53.475,209
2025-07-09,53.62,53.62,53.615,53.615,376
2025-07-10,53.63,53.685,53.63,53.685,164
2025-07-11,53.72,53.77,53.71,53.71,229
2025-07-14,53.72,53.78,53.661,53.705,2087
2025-07-15,53.824,53.824,53.7959,53.7959,455
2025-07-17,53.88,53.9575,53.871,53.9575,486
2025-07-18,53.871,53.96,53.871,53.96,1625
2025-07-21,54.011,54.011,54.0093,54.0093,203
2025-07-22,53.91,53.91,53.8676,53.8676,301
2025-07-23,53.89,54.06,53.89,54.06,485
2025-07-24,54.13,54.13,54.0843,54.0843,666
2025-07-28,54.23,54.26,54.2,54.2,529
2025-07-31,54.48,54.5,54.1456,54.1456,5100
2025-08-04,54.21,54.25,54.145,54.25,8010
2025-08-05,54.22,54.22,54.143,54.143,408
2025-08-07,54.62,56.83,54.5413,54.5413,1153
2025-08-13,55.0717,55.12,55.01,55.095,3560
2025-08-15,55.3028,55.33,55.2,55.2,5011
2025-08-18,55.15,55.225,55.14,55.225,4314
2025-08-19,54.92,54.9251,54.92,54.9251,8807
2025-08-25,55.319,55.319,55.2095,55.2095,638
2025-08-29,55.37,55.37,55.0518,55.0518,15566
2025-09-03,55.32,55.3817,55.22,55.3817,1829
2025-09-04,55.54,55.745,55.54,55.745,2917
2025-09-05,55.89,55.89,55.742,55.7571,1814
2025-09-08,56.12,56.12,56.0,56.01,1152
2025-09-09,56.11,56.17,55.999,56.17,2366
2025-09-10,56.265,56.3,56.227,56.227,231
2025-09-11,56.37,56.42,56.3588,56.3588,1166
2025-09-12,56.45,56.54,56.44,56.4514,7890
2025-09-15,56.73,56.8,56.73,56.7392,915
2025-09-16,56.84,56.84,56.775,56.775,361
2025-09-17,56.68,56.78,56.55,56.695,1936
2025-09-18,56.9,56.98,56.83,56.83,3344
2025-09-19,57.0,57.0,56.9898,56.9898,108
2025-09-22,57.16,57.16,57.1449,57.1449,159
2025-09-23,57.08,57.08,56.81,56.8985,101664
2025-09-24,56.8384,56.87,56.8384,56.87,391
2025-09-26,56.94,56.94,56.925,56.925,186
2025-09-29,57.06,57.08,57.025,57.025,2805
2025-09-30,56.98,57.22,56.98,57.1626,287
2025-10-01,57.264,57.275,57.264,57.275,305
2025-10-02,57.53,57.53,57.2824,57.2824,1153
2025-10-03,57.3898,57.39,57.261,57.2941,3461
2025-10-06,57.45,57.57,57.4496,57.4496,6841
2025-10-07,57.4,57.4,57.285,57.285,763
2025-10-08,57.5,57.5,57.5,57.5,115
2025-10-09,57.51,57.5269,57.5,57.5,223
2025-10-10,57.42,57.63,56.6908,56.6908,1671
2025-10-13,57.26,57.3,57.26,57.3,114
2025-10-14,56.87,57.31,56.87,57.0979,1541
2025-10-16,57.49,57.49,57.2196,57.2224,261
2025-10-17,57.2,57.41,57.2,57.3602,2509
2025-10-21,57.58,57.71,57.58,57.6561,6198
2025-10-22,57.289,57.39,57.16,57.39,2489
2025-10-23,57.49,57.7,57.49,57.6069,2777
2025-10-24,57.8896,57.96,57.8,57.93,1938
2025-10-27,58.085,58.15,58.085,58.14,1468
2025-10-28,58.22,58.22,58.12,58.21,1123
2025-10-29,58.39,58.4749,58.38,58.4749,1290
2025-10-31,58.76,58.77,58.3589,58.3589,28085
2025-11-03,58.35,58.36,58.29,58.3296,3496
2025-11-04,58.1463,58.1463,57.8575,57.8575,2152
2025-11-05,58.11,58.23,58.0,58.0533,6795
2025-11-06,57.77,57.86,57.682,57.6855,6915
2025-11-07,57.3519,57.62,57.21,57.5706,4575
2025-11-10,58.15,58.28,58.15,58.215,3856
2025-11-11,58.13,58.23,58.1,58.1431,1037
2025-11-12,58.25,58.25,58.171,58.171,4321
2025-11-13,57.95,57.95,57.465,57.465,7408
2025-11-14,57.43,57.58,57.43,57.5326,412
2025-11-17,57.78,57.78,57.3649,57.3649,1782
2025-11-18,57.03,57.29,56.9,57.0966,4668
2025-11-19,57.52,57.53,57.04,57.1675,3125
2025-11-20,57.92,57.92,56.5232,56.5232,2753
2025-11-21,56.43,56.6974,56.43,56.6974,427
2025-11-24,57.28,57.6606,57.28,57.6606,264
2025-11-25,57.58,57.9376,57.57,57.9376,2130
2025-11-26,58.26,58.36,58.26,58.2878,28385
2025-12-01,58.63,58.63,58.3875,58.3875,483
2025-12-02,58.619,58.619,58.5365,58.5365,288
2025-12-04,58.56,58.56,58.554,58.554,414
2025-12-08,58.75,58.7607,58.75,58.7607,126
2025-12-11,58.84,59.05,58.84,58.9955,529
2025-12-12,58.5,58.5,58.2681,58.2681,2514
2025-12-19,58.395,58.395,58.3767,58.3767,281
2025-12-22,58.6013,58.6019,58.6013,58.6019,168
2025-12-26,58.9931,58.9931,58.9631,58.9631,114
2025-12-29,58.8,58.8,58.68,58.7499,894
2025-12-30,58.68,58.686,58.68,58.686,108
2025-12-31,58.55,58.55,58.3399,58.3399,785
2026-01-07,59.169,59.179,58.9894,58.9894,2446
2026-01-08,58.799,58.799,58.69,58.775,574
2026-01-09,59.0201,59.2049,59.0201,59.2049,583
2026-01-12,59.2701,59.3067,59.2701,59.3067,184
2026-01-20,58.29,58.29,58.16,58.2282,3284
2026-02-05,57.85,57.9011,57.84,57.9011,737
2026-02-10,58.88,58.88,58.88,58.88,1193
