date,open,high,low,close,volume
2010-08-23,45.811,45.811,45.584,45.584,544
2010-08-23,45.811,45.811,45.584,45.584,544
2010-08-24,45.549,45.811,45.549,45.811,630
2010-08-25,45.897,46.028,45.811,45.942,973
2010-08-26,45.985,45.985,45.985,45.985,1204
2010-08-27,45.985,45.985,45.985,45.985,230
2010-08-30,46.028,46.683,46.028,46.683,1868
2010-08-31,45.462,46.028,45.462,46.028,345
2010-09-01,46.772,48.061,46.683,47.905,8076
2010-09-02,47.992,47.992,47.992,47.992,1374
2010-09-03,47.992,47.992,47.948,47.948,5272
2010-09-07,47.948,48.428,47.948,48.428,688
2010-09-08,47.992,48.428,47.992,47.992,7220
2010-09-09,47.992,47.992,47.992,47.992,5901
2010-09-10,47.992,47.992,47.992,47.992,7449
2010-09-13,47.555,47.555,46.246,47.53,916
2010-09-14,47.337,47.337,47.058,47.119,606
2010-09-15,46.683,46.683,45.811,45.811,2234
2010-09-16,46.664,46.664,46.664,46.664,803
2010-09-20,46.011,46.011,46.003,46.003,345
2010-09-23,47.119,47.337,47.119,47.337,1146
2010-09-24,47.032,47.032,47.032,47.032,262
2010-09-27,47.032,47.032,47.032,47.032,345
2010-09-30,46.246,46.246,45.811,46.055,1146
2010-10-01,46.945,46.945,46.945,46.945,230
2010-10-06,46.726,46.726,45.82,45.82,688
2010-10-07,45.811,46.692,45.811,46.692,1148
2010-10-08,46.246,46.246,45.541,46.246,2430
2010-10-11,46.597,46.597,45.462,45.462,2398
2010-10-14,46.246,46.612,46.246,46.612,2075
2010-10-15,46.664,46.664,46.664,46.664,803
2010-10-18,46.683,46.91,46.683,46.91,282
2010-10-19,46.919,46.919,46.919,46.919,1204
2010-10-20,46.919,46.928,46.919,46.928,714
2010-10-21,46.928,46.928,46.928,46.928,230
2010-10-28,45.723,45.723,45.723,45.723,173
2010-10-29,45.811,46.919,45.811,46.919,459
2010-11-03,47.119,47.119,47.119,47.119,147
2010-11-04,47.555,47.555,47.119,47.119,1490
2010-11-05,47.992,47.992,47.992,47.992,459
2010-11-08,47.992,47.992,47.119,47.119,1721
2010-11-09,47.992,47.992,47.119,47.381,3782
2010-11-12,47.381,47.381,47.356,47.356,916
2010-11-17,47.119,47.992,47.119,47.992,345
2010-11-23,47.207,47.207,47.207,47.207,230
2010-11-26,47.992,47.992,47.992,47.992,803
2010-12-03,47.773,47.773,47.773,47.773,459
2010-12-07,47.992,47.992,47.992,47.992,1262
2010-12-08,47.337,47.948,47.337,47.923,1305
2010-12-09,47.73,47.73,47.73,47.73,492
2010-12-10,47.992,47.992,47.992,47.992,459
2010-12-14,47.73,47.73,47.555,47.555,803
2010-12-15,48.428,48.428,47.818,47.818,767
2010-12-16,46.815,46.815,46.815,46.815,230
2010-12-17,46.772,46.772,46.772,46.772,230
2010-12-20,47.992,47.992,47.818,47.992,1272
2010-12-21,47.119,47.119,47.119,47.119,459
2010-12-27,47.207,47.207,47.207,47.207,116
2010-12-28,47.294,47.381,47.207,47.381,701
2010-12-29,47.555,47.555,47.555,47.555,230
2010-12-30,47.818,47.818,47.818,47.818,973
2010-12-31,47.818,47.818,47.818,47.818,803
2011-01-03,47.555,47.555,47.555,47.555,459
2011-01-04,46.265,46.265,46.246,46.246,345
2011-01-10,47.181,47.181,47.181,47.181,116
2011-01-11,47.207,47.207,47.207,47.207,345
2011-01-13,47.207,47.207,46.369,46.369,1582
2011-01-14,45.844,45.844,45.844,45.844,230
2011-01-19,45.811,45.811,45.811,45.811,230
2011-01-21,45.374,45.811,45.374,45.811,459
2011-01-24,46.099,46.099,46.099,46.099,116
2011-01-25,45.811,46.028,45.374,46.028,1885
2011-01-26,46.465,46.465,46.465,46.465,230
2011-02-01,46.876,46.876,46.876,46.876,230
2011-02-04,46.028,46.028,46.028,46.028,230
2011-02-14,46.683,46.683,46.683,46.683,116
2011-02-15,46.99,46.99,46.246,46.901,575
2011-02-16,46.116,46.116,46.116,46.116,230
2011-02-22,46.683,46.683,46.683,46.683,230
2011-02-23,46.246,46.246,46.246,46.246,116
2011-02-25,46.824,47.146,46.824,47.146,230
2011-02-28,47.207,47.337,47.075,47.075,996
2011-03-01,47.555,48.21,47.555,48.21,1228
2011-03-03,48.21,48.21,48.21,48.21,116
2011-03-07,48.428,48.428,48.428,48.428,116
2011-03-14,47.659,47.659,47.659,47.659,230
2011-03-15,47.635,47.635,47.425,47.425,1455
2011-03-18,47.425,47.425,47.119,47.119,803
2011-03-24,46.552,46.552,46.552,46.552,205
2011-04-11,46.815,46.815,46.815,46.815,116
2011-04-21,47.512,47.512,47.512,47.512,116
2011-04-25,47.948,47.992,47.172,47.294,1834
2011-04-27,46.815,47.172,46.815,47.172,345
2011-04-29,46.597,46.597,46.552,46.552,345
2011-05-04,46.422,47.644,46.422,47.451,1548
2011-05-05,48.036,48.097,48.036,48.08,659
2011-05-06,47.825,47.825,47.825,47.825,116
2011-05-12,48.28,48.28,48.28,48.28,459
2011-05-16,47.573,47.573,47.573,47.573,116
2011-05-19,47.119,47.546,47.119,47.546,544
2011-05-27,47.983,47.983,47.983,47.983,116
2011-06-01,47.773,47.773,47.773,47.773,116
2011-06-03,47.773,47.773,47.773,47.773,230
2011-06-06,48.009,48.489,48.009,48.428,517
2011-06-08,48.009,48.403,47.705,47.705,459
2011-06-09,47.555,47.555,46.901,46.901,916
