date,open,high,low,close,volume
2023-09-25,24.74,24.74,24.74,24.74,2
2023-09-26,24.665,24.665,24.665,24.665,1
2023-09-27,24.58,24.6056,24.58,24.6056,300
2023-09-28,24.735,24.735,24.735,24.735,37
2023-09-29,24.68,24.68,24.68,24.68,1
2023-10-02,24.53,24.53,24.5057,24.5057,732
2023-10-03,24.3542,24.3542,24.3542,24.3542,1
2023-10-04,24.45,24.45,24.45,24.45,45
2023-10-05,24.46,24.46,24.44,24.4465,810
2023-10-06,24.36,24.36,24.3505,24.3505,3911
2023-10-09,24.48,24.6,24.48,24.59,4445
2023-10-10,24.54,24.6,24.525,24.6,1080
2023-10-11,24.69,24.72,24.69,24.7162,1600
2023-10-12,24.645,24.645,24.55,24.5706,3580
2023-10-13,24.741,24.7464,24.71,24.725,5533
2023-10-16,24.65,24.6681,24.63,24.6681,6624
2023-10-17,24.52,24.52,24.47,24.5045,1596
2023-10-18,24.525,24.525,24.4289,24.4464,3316
2023-10-19,24.47,24.4799,24.44,24.475,1783
2023-10-20,24.5124,24.57,24.5124,24.56,1675
2023-10-23,24.51,24.55,24.51,24.542,1115
2023-10-24,24.52,24.555,24.48,24.555,9718
2023-10-25,24.46,24.46,24.43,24.44,2967
2023-10-26,24.47,24.5866,24.47,24.5866,3428
2023-10-27,24.55,24.6337,24.55,24.6331,4761
2023-10-30,24.5397,24.5906,24.5382,24.5836,5782
2023-10-31,24.61,24.61,24.5399,24.5399,14033
2023-11-01,24.5796,24.7491,24.5796,24.7491,650
2023-11-02,24.9,24.92,24.82,24.8396,785
2023-11-03,25.04,25.04,24.985,24.985,4694
2023-11-06,24.95,24.95,24.88,24.9007,7410
2023-11-07,24.99,24.9997,24.9735,24.9735,4128
2023-11-08,24.97,25.01,24.97,25.0,4068
2023-11-09,24.97,24.97,24.8,24.8,3656
2023-11-10,24.83,24.84,24.78,24.8,9641
2023-11-13,24.7216,24.789,24.7216,24.78,11737
2023-11-14,25.04,25.0568,25.0255,25.05,21998
2023-11-15,24.93,24.939,24.8883,24.9153,1776
2023-11-16,25.0,25.0232,25.0,25.0229,4154
2023-11-17,25.0289,25.0695,25.0091,25.035,2809
2023-11-20,25.04,25.12,25.02,25.12,3001
2023-11-21,25.095,25.11,25.02,25.06,5152
2023-11-22,25.019,25.0564,25.0165,25.055,3162
2023-11-24,25.01,25.01,24.96,24.965,5637
2023-11-27,24.98,25.04,24.98,25.04,3590
2023-11-28,25.0372,25.16,25.0372,25.16,598
2023-11-29,25.24,25.2599,25.24,25.2584,1115
2023-11-30,25.217,25.219,25.1796,25.1796,3929
2023-12-01,25.27,25.365,25.24,25.365,18360
2023-12-04,25.2493,25.265,25.23,25.265,3859
2023-12-05,25.3901,25.4,25.3624,25.3624,583
2023-12-06,25.36,25.385,25.36,25.368,3012
2023-12-07,25.3783,25.4187,25.36,25.36,3622
2023-12-08,25.275,25.31,25.245,25.31,891
2023-12-11,25.2486,25.265,25.22,25.265,1017
2023-12-12,25.2529,25.2797,25.25,25.2697,6835
2023-12-13,25.27,25.6478,25.27,25.6478,24678
2023-12-14,25.708,25.7613,25.68,25.7166,3916
2023-12-15,25.6794,25.6897,25.67,25.6897,3328
2023-12-18,25.6392,25.64,25.625,25.625,16617
2023-12-19,25.6886,25.6886,25.635,25.635,1527
2023-12-20,25.6793,25.745,25.6793,25.745,1460
2023-12-21,25.75,25.75,25.7083,25.715,6723
2023-12-22,25.72,25.72,25.6891,25.695,6157
2023-12-26,25.6869,25.689,25.6794,25.68,2334
2023-12-27,25.7371,25.82,25.7371,25.8,3538
2023-12-28,25.805,25.805,25.725,25.725,9624
2023-12-29,25.68,25.68,25.6603,25.68,1237
2024-01-02,25.66,25.66,25.61,25.63,4203
2024-01-03,25.63,25.69,25.57,25.69,3239
2024-01-04,25.59,25.6,25.566,25.575,1919
2024-01-05,25.5296,25.5296,25.51,25.51,2993
2024-01-08,25.5899,25.5899,25.5631,25.575,561
2024-01-09,25.5897,25.5897,25.5518,25.555,1555
2024-01-10,25.54,25.55,25.52,25.52,14321
2024-01-11,25.68,25.68,25.66,25.66,551
2024-01-12,25.8,25.81,25.78,25.79,1645
2024-01-16,25.69,25.69,25.6427,25.65,647
2024-01-17,25.5597,25.5597,25.5597,25.5597,46
2024-01-18,25.59,25.59,25.59,25.59,25
2024-01-19,25.5741,25.5741,25.5741,25.5741,258
2024-01-22,25.6126,25.6126,25.5953,25.5953,619
2024-01-23,25.53,25.53,25.53,25.53,132
2024-01-24,25.52,25.52,25.4737,25.4737,999
2024-01-25,25.565,25.565,25.565,25.565,61
2024-01-26,25.5451,25.5451,25.5228,25.535,1177
2024-01-29,25.655,25.655,25.655,25.655,267
2024-01-30,25.63,25.65,25.63,25.65,368
2024-01-31,25.7899,25.85,25.7377,25.85,3510
2024-02-01,25.96,25.96,25.8524,25.86,1344
