date,open,high,low,close,volume
2022-08-30,23.929,23.9955,23.809,23.9955,991
2022-08-31,24.1684,24.2,24.1684,24.1977,773
2022-09-01,24.19,24.3064,23.84,24.3064,1375
2022-09-02,24.57,24.6,24.0341,24.0341,965
2022-09-06,23.8,23.9,23.5584,23.5584,1398
2022-09-07,23.7,24.383,23.7,24.383,213
2022-09-08,24.795,24.975,24.795,24.975,304
2022-09-09,25.17,25.1702,25.17,25.1702,369
2022-09-12,25.309,25.37,25.309,25.3345,1961
2022-09-13,24.6284,24.63,24.3474,24.3474,275
2022-09-14,24.41,24.6825,24.41,24.6825,100
2022-09-15,24.851,24.86,24.7399,24.8318,620
2022-09-16,24.349,24.349,24.069,24.2977,312
2022-09-19,23.9701,24.2,23.97,24.2,1019
2022-09-20,24.2752,24.2752,24.2752,24.2752,1
2022-09-21,24.1299,24.13,23.6223,23.6223,380
2022-09-22,23.5,23.6365,23.22,23.6365,1602
2022-09-23,23.31,23.31,22.9775,22.9775,1418
2022-09-26,23.2833,23.2833,22.983,22.983,337
2022-09-27,23.25,23.25,23.2375,23.2375,141
2022-09-28,24.64,25.0109,24.6399,25.0109,1308
2022-09-29,24.68,24.7499,24.58,24.692,443
2022-09-30,25.25,25.25,24.8049,24.8049,142
2022-10-03,24.97,25.22,24.97,25.1376,470
2022-10-04,25.59,25.67,25.48,25.67,923
2022-10-05,25.3757,25.3757,25.3757,25.3757,53
2022-10-06,25.3986,25.3986,25.3986,25.3986,76
2022-10-07,24.4409,24.4409,24.4409,24.4409,126
2022-10-10,24.42,24.42,24.0003,24.0003,1200
2022-10-11,24.0,24.0,24.0,24.0,109
2022-10-12,23.888,23.9251,23.888,23.9251,189
2022-10-13,23.465,24.5301,23.465,24.5301,1496
2022-10-14,24.86,24.86,24.2763,24.2763,1508
2022-10-17,24.78,24.9597,24.72,24.9597,313
2022-10-18,25.0072,25.0072,25.0072,25.0072,1
2022-10-19,24.1437,24.1437,24.1437,24.1437,60
2022-10-20,24.42,24.42,24.152,24.152,198
2022-10-21,24.6092,24.6092,24.6092,24.6092,24
2022-10-24,24.55,24.55,24.2,24.2,221
2022-10-25,24.9926,24.9926,24.83,24.9926,140
2022-10-26,25.2679,25.2679,25.05,25.2679,140
2022-10-27,24.9299,24.9299,24.9299,24.9299,98
2022-10-28,25.5026,25.5026,25.5026,25.5026,14
2022-10-31,25.42,25.44,25.2811,25.2811,532
2022-11-01,25.76,25.78,25.6183,25.6183,1029
