date,open,high,low,close,volume
2024-04-18,117.0,117.59,96.0,103.25,4177215
2024-04-19,103.25,103.5,95.03,98.0,970878
2024-04-22,99.16,101.695,93.15,101.4,471532
2024-04-23,100.15,110.0,99.48,109.9,486870
2024-04-24,109.9,110.95,103.465,105.14,796812
2024-04-25,103.34,109.64,102.7689,104.68,137256
2024-04-26,103.83,108.7599,103.83,108.17,96268
2024-04-29,109.45,110.6303,106.51,106.94,105077
2024-04-30,104.91,107.08,102.05,102.27,78738
2024-05-01,100.97,103.35,99.31,99.5,167201
2024-05-02,99.83,103.99,99.34,103.99,140020
2024-05-03,104.5,105.295,100.81,101.01,69411
2024-05-06,103.18,105.52,101.04,103.9,103521
2024-05-07,102.56,105.78,102.38,102.38,90314
2024-05-08,100.05,102.2802,96.2901,96.74,121616
2024-05-09,95.89,99.22,95.8121,98.41,57863
2024-05-10,97.33,103.18,97.25,102.21,111932
2024-05-13,104.79,105.75,100.1118,104.96,131004
2024-05-14,104.69,106.865,104.0,105.38,118862
2024-05-15,106.44,106.9,104.17,106.06,88764
2024-05-16,106.37,107.4,105.2,105.47,57827
2024-05-17,105.01,106.95,104.615,106.19,42376
2024-05-20,105.86,107.6499,105.69,106.4,108468
2024-05-21,105.53,106.645,104.825,105.73,93762
2024-05-22,105.83,106.51,103.44,104.0,72345
2024-05-23,103.57,104.67,102.81,103.59,106507
2024-05-24,103.96,106.625,102.9501,105.56,61855
2024-05-28,106.86,108.65,105.381,105.84,126999
2024-05-29,104.4,107.4199,104.4,106.59,90055
2024-05-30,106.5,107.8899,104.65,104.8,117025
2024-05-31,104.33,105.15,96.48,97.13,218178
2024-06-03,97.69,97.69,85.035,85.73,368748
2024-06-04,85.47,86.29,79.875,85.02,338627
2024-06-05,84.93,84.93,80.5,81.39,199030
2024-06-06,80.51,81.088,77.21,77.77,152908
2024-06-07,76.94,78.785,76.11,76.19,107120
2024-06-10,77.0,83.37,77.0,82.7,111663
2024-06-11,82.68,83.45,78.74,78.98,82855
2024-06-12,80.01,81.75,76.89,77.21,96628
2024-06-13,77.76,79.55,77.76,78.19,52025
2024-06-14,78.19,79.1294,77.09,77.76,62919
2024-06-17,76.64,78.07,72.41,72.75,59470
2024-06-18,72.09,73.71,72.0461,72.42,72081
2024-06-20,72.75,72.88,69.02,70.61,107942
2024-06-21,69.56,70.845,67.11,70.22,682832
2024-06-24,70.96,71.55,69.4823,70.08,93115
2024-06-25,69.49,69.51,66.32,66.57,182075
2024-06-26,66.29,69.81,65.165,69.7,198995
2024-06-27,69.76,75.13,69.09,75.06,217932
2024-06-28,75.43,75.85,71.74,75.16,1359390
2024-07-01,74.61,74.955,71.64,71.69,426278
2024-07-02,71.54,72.82,68.02,70.38,113255
2024-07-03,70.91,74.86,70.03,74.74,86247
2024-07-05,73.85,74.05,71.9,72.58,82764
2024-07-08,71.65,72.18,69.97,71.09,140295
2024-07-09,70.325,71.44,68.17,69.34,119546
2024-07-10,68.51,70.98,67.42,67.5,129142
2024-07-11,68.58,70.0175,67.98,69.5,116403
2024-07-12,70.57,70.94,69.31,70.5,100682
2024-07-15,71.28,71.28,68.75,69.19,74248
2024-07-16,69.25,69.89,67.72,68.78,82905
2024-07-17,67.84,68.8795,66.37,67.5,125194
2024-07-18,66.93,69.64,66.61,66.69,62167
2024-07-19,67.04,67.3,64.58,64.64,67632
2024-07-22,64.67,66.21,62.84,65.89,126390
2024-07-23,65.82,67.125,64.66,65.92,253533
2024-07-24,65.98,68.39,64.54,68.2,122176
2024-07-25,68.29,71.6,67.41,67.64,84600
2024-07-26,68.3,70.4,66.8504,69.23,63614
2024-07-29,68.92,69.96,65.865,66.1,70499
2024-07-30,66.95,66.95,65.15,66.14,45946
2024-07-31,66.2,68.1,66.2,67.24,39476
2024-08-01,67.59,67.59,64.52,65.54,106974
2024-08-02,63.67,65.32,60.66,61.84,105481
2024-08-05,58.53,60.01,58.0,59.14,65973
2024-08-06,58.58,60.34,57.0,59.03,65346
2024-08-07,59.92,60.66,55.53,55.76,33748
2024-08-08,56.6,56.6,54.73,55.72,61666
2024-08-09,55.5,55.5,52.32,52.59,85665
2024-08-12,52.27,57.6,51.34,56.81,316486
2024-08-13,57.18,59.3,57.0,58.19,191939
2024-08-14,54.41,55.98,42.17,42.66,1398084
2024-08-15,43.53,45.44,41.87,45.08,413167
2024-08-16,45.3,47.42,44.02,46.47,298574
2024-08-19,47.16,47.635,44.62,47.36,213133
2024-08-20,48.02,52.28,47.3263,50.87,352950
2024-08-21,52.09,52.09,50.2836,50.68,234329
2024-08-22,50.96,51.23,49.18,49.94,174613
2024-08-23,53.0,58.26,52.5,57.78,315676
2024-08-26,58.45,58.73,55.915,57.28,167029
2024-08-27,57.45,58.48,56.74,57.94,122760
2024-08-28,57.11,57.27,53.53,54.83,207020
2024-08-29,55.25,56.62,54.7318,55.6,124562
2024-08-30,56.8,59.115,56.64,57.19,246654
2024-09-03,55.86,58.46,54.04,54.05,346325
2024-09-04,53.74,55.83,53.51,54.53,250309
2024-09-05,54.0,55.57,52.5,53.34,278142
2024-09-06,52.84,53.145,50.095,51.09,284013
2024-09-09,51.09,52.2,50.38,50.58,248272
2024-09-10,50.12,51.73,49.44,51.04,184876
2024-09-11,51.0,51.9,49.84,50.62,149282
2024-09-12,51.62,56.36,50.925,56.16,154731
2024-09-13,56.5,60.38,56.015,59.48,241822
2024-09-16,59.45,61.24,58.56,60.1,163608
2024-09-17,60.59,61.91,60.0301,60.42,154249
2024-09-18,60.27,63.925,60.23,61.29,152543
2024-09-19,63.74,64.48,61.09,61.14,147426
2024-09-20,61.43,64.005,61.43,63.14,215767
2024-09-23,62.77,65.47,61.525,64.07,165174
2024-09-24,64.68,65.99,63.505,64.24,297959
2024-09-25,64.24,64.93,61.655,62.66,275293
2024-09-26,64.02,64.02,60.77,62.12,131881
2024-09-27,62.66,63.79,62.195,62.58,203194
2024-09-30,60.8,63.12,60.715,61.61,149091
2024-10-01,61.61,62.06,59.0,59.03,131794
2024-10-02,60.41,62.98,59.9,61.85,177031
2024-10-03,60.75,61.92,59.6,59.77,121755
2024-10-04,61.0,63.515,59.2431,63.08,140355
2024-10-07,63.77,63.77,61.32,61.96,116318
2024-10-08,61.9,62.69,61.44,62.22,88950
2024-10-09,62.22,67.06,62.22,66.42,176447
2024-10-10,65.26,67.45,63.9,66.9,102792
2024-10-11,66.9,67.84,65.755,66.67,99816
2024-10-14,70.06,71.62,68.5073,71.62,186865
2024-10-15,70.79,71.11,68.82,69.54,125782
2024-10-16,68.92,70.0,64.82,67.92,385314
2024-10-17,68.05,70.31,68.05,68.72,215821
2024-10-18,68.0,68.055,65.7001,67.19,139103
2024-10-21,69.45,72.4,68.53,70.37,344977
2024-10-22,70.37,71.92,68.895,71.56,154720
2024-10-23,71.7,71.73,69.62,71.41,106036
2024-10-24,71.73,72.4899,69.62,70.49,120039
2024-10-25,72.49,74.67,71.5,72.87,152130
2024-10-28,74.78,76.945,73.2795,76.78,213059
2024-10-29,76.82,77.26,75.3,76.89,105431
2024-10-30,76.82,78.14,75.04,75.41,157296
2024-10-31,75.0,76.3,73.0,73.29,138894
2024-11-01,74.36,75.83,73.49,73.99,111864
2024-11-04,73.45,73.45,68.33,71.98,156936
2024-11-05,71.64,74.94,71.64,72.92,184254
2024-11-06,75.0,78.0,69.87,70.98,291463
2024-11-07,70.92,74.43,70.3,72.5,174069
2024-11-08,72.55,75.71,72.48,74.88,238557
2024-11-11,75.44,77.535,74.735,75.63,177091
2024-11-12,75.48,77.39,73.2,76.5,319298
2024-11-13,75.92,79.8017,74.79,74.93,579554
