date,open,high,low,close,volume
2006-09-27,11.5875,11.5875,11.5875,11.5875,0.0
2006-09-28,11.5875,13.0256,11.5875,11.8296,1655399.1761519
2006-09-29,11.9271,12.3116,11.7797,12.213,213420.12852398
2006-10-02,12.3983,12.4261,11.71,12.213,118878.67653008
2006-10-03,12.1672,12.213,11.259,11.7499,388480.86316418
2006-10-04,11.5965,11.9271,11.5875,11.6812,205222.70707365
2006-10-05,11.9271,11.9271,11.5965,11.6623,69243.309730147
2006-10-06,11.6912,11.7599,11.5875,11.5965,41276.286254361
2006-10-09,11.6812,12.0497,11.6155,11.6155,54145.755966389
2006-10-10,11.9093,12.0028,11.5965,11.5965,60670.357213855
2006-10-11,11.5965,11.7997,11.5965,11.6343,25214.802481743
2006-10-12,11.7699,12.1672,11.73,12.1492,169003.03699077
2006-10-13,12.1772,12.1772,11.73,11.7997,50140.425960828
2006-10-16,12.1672,12.7378,11.9938,12.5537,116820.28432366
2006-10-17,12.8694,12.8882,12.3316,12.7378,106696.00694936
2006-10-18,12.8782,13.9429,12.8125,13.9429,200093.79615151
2006-10-19,14.2715,15.7884,14.0007,14.648,245296.08900446
2006-10-20,14.8412,14.9678,14.4279,14.7247,36261.842020774
2006-10-23,14.678,15.3342,13.8095,14.4837,69405.972919143
2006-10-24,13.924,14.8412,13.924,14.2437,11536.033199775
2006-10-25,14.3881,14.7247,14.0007,14.0963,19218.354551631
2006-10-26,14.0963,14.4748,14.0007,14.2715,9172.3964905511
2006-10-27,14.1451,14.2915,13.9529,14.1163,82366.815163263
2006-10-30,14.0674,14.3104,14.0007,14.185,84851.947217352
2006-10-31,14.2148,14.2715,13.9329,14.0963,20012.592715181
2006-11-01,13.9817,14.3881,13.9817,14.3881,86865.155204606
2006-11-02,14.3782,14.3782,14.0504,14.2248,14811.387042378
2006-11-03,14.0963,15.0742,14.0007,14.9478,78013.064623248
2006-11-06,14.5813,15.644,14.5813,15.3621,102145.45403255
2006-11-07,16.9944,16.9944,16.2604,16.388,548542.44522902
2006-11-08,16.1719,16.6956,15.7984,15.8771,183829.48543953
2006-11-09,16.0384,16.0782,15.2675,15.7684,92136.647440555
2006-11-10,15.6141,16.2306,15.5066,15.6041,44252.420156712
2006-11-13,15.886,16.9944,15.6629,16.6061,109799.66075914
2006-11-14,16.5324,16.7623,15.9438,16.1239,80299.386113011
2006-11-15,16.6857,16.6956,16.1239,16.2703,71022.5638715
2006-11-16,16.6061,16.6061,15.9538,16.359,50093.233554143
2006-11-17,16.4657,16.6061,16.1719,16.4178,27993.129913527
2006-11-20,16.4178,17.4476,16.349,16.9447,111330.90374197
2006-11-21,16.9546,16.9546,16.2206,16.6061,55533.413541644
2006-11-22,16.7534,16.7534,16.369,16.5134,34083.962657006
2006-11-24,16.369,16.4944,16.2703,16.4178,19402.10370957
2006-11-27,16.2206,16.6558,15.7386,16.2006,66081.418482337
2006-11-28,15.634,16.1619,15.4587,16.1619,51162.593407723
2006-11-29,16.0782,16.4178,15.9338,16.369,54043.338402949
2006-11-30,16.4457,16.841,16.0782,16.7923,100259.76595271
2006-12-01,16.8022,16.8022,16.5034,16.5971,28494.172699384
2006-12-04,16.5502,17.2852,16.5502,16.871,94316.534991839
2006-12-05,16.8022,17.2563,16.8022,17.0811,61807.995443061
2006-12-06,17.2465,17.2465,16.6458,16.7056,28373.681448276
2006-12-07,16.6159,17.0243,16.3193,16.369,54551.409845118
2006-12-08,16.4855,16.7335,15.9915,16.2106,89404.508321694
2006-12-11,16.2206,16.7056,16.0294,16.2006,38843.367075749
2006-12-12,16.1719,16.2703,15.654,15.9058,62624.323669314
2006-12-13,16.1239,16.369,15.7485,15.8571,24098.250221481
2006-12-14,15.9627,16.1818,15.654,16.0582,88355.2303433
2006-12-15,16.0095,16.369,15.644,16.2803,46732.531742007
2006-12-18,15.4677,15.7884,12.5537,13.4788,2237983.4121
2006-12-19,13.8195,14.3881,13.6351,14.1063,487080.86213289
2006-12-20,14.155,14.4179,14.0007,14.0007,165388.29945755
2006-12-21,14.1063,14.2437,14.0007,14.165,107839.66974113
2006-12-22,14.1163,14.5036,14.0963,14.4837,76531.022234627
2006-12-26,14.3881,14.4837,13.9329,14.3782,20783.736722268
2006-12-27,14.4279,14.4279,14.0007,14.175,23228.705025989
2006-12-28,14.1063,14.3881,14.1063,14.185,23056.000899402
2006-12-29,14.155,14.2248,14.0206,14.0206,11594.27063781
2007-01-03,14.2437,14.3502,13.7238,14.0504,134121.82388893
2007-01-04,14.0674,14.6958,14.0106,14.6859,138172.33811365
2007-01-05,14.6191,14.6191,14.3782,14.4837,43925.085591204
2007-01-08,14.4179,14.4748,13.7637,14.165,38566.237198202
2007-01-09,14.1948,14.3981,13.9429,14.1451,33422.264869675
2007-01-10,14.4578,14.4578,14.0206,14.2437,139412.39390631
2007-01-11,14.4936,14.4936,14.1948,14.2437,91909.722250968
2007-01-12,14.2627,14.3981,14.0206,14.3602,21546.847979281
2007-01-16,14.0406,14.5623,14.0406,14.4748,151174.34820191
2007-01-17,14.4578,14.6281,14.1948,14.3782,105361.56634335
2007-01-18,14.3204,14.3881,14.0504,14.185,178036.86854255
2007-01-19,14.1948,14.2915,13.9329,14.1451,72115.017881541
2007-01-22,14.2048,14.2048,13.6054,13.8373,85976.532227688
2007-01-23,13.9329,14.1948,13.5077,14.0007,118138.65942953
2007-01-24,14.175,14.185,13.6641,13.8095,103675.6929216
2007-01-25,14.0206,14.1948,13.7637,13.7736,51569.25138021
2007-01-26,13.7637,13.8195,13.5466,13.6441,46528.700708883
2007-01-29,13.7736,13.914,13.3314,13.3912,144366.59251434
2007-01-30,13.5277,13.5376,13.2696,13.3066,163128.08440551
2007-01-31,13.2597,13.5077,13.0655,13.2229,63619.380584709
2007-02-01,13.2129,13.44,13.0944,13.2597,60034.765864265
2007-02-02,13.2507,13.3813,13.1043,13.2796,29461.114989519
2007-02-05,13.1233,13.43,13.0944,13.3613,80055.391329518
2007-02-06,13.2876,13.44,13.1233,13.2229,34555.886723844
2007-02-07,13.2319,13.2796,13.0158,13.2129,30771.457345312
2007-02-08,12.9579,13.3513,12.8882,13.1632,29891.871212228
2007-02-09,13.2597,13.2796,12.8882,12.8982,30657.994750519
2007-02-12,12.8882,13.3413,12.7947,13.3066,21460.495915988
2007-02-13,13.3314,13.3314,13.1233,13.2319,11287.017947486
2007-02-14,13.1432,13.3813,13.1432,13.3713,81967.18584709
2007-02-15,13.3813,13.5854,13.3066,13.4887,98772.703095295
2007-02-16,13.421,13.5564,13.3513,13.4689,25890.557581703
2007-02-20,13.5177,13.6351,13.3413,13.5077,62892.416703028
2007-02-21,13.5764,13.7238,13.5077,13.7038,84683.259465802
2007-02-22,13.7038,13.7736,13.5466,13.6054,42913.963175661
2007-02-23,13.5376,13.8652,13.3713,13.7736,82715.235697715
2007-02-26,13.7637,13.7637,13.6351,13.6541,23251.799182451
2007-02-27,13.9729,13.9907,13.3813,13.4977,40558.359216511
2007-02-28,13.8095,14.4648,13.684,14.2627,287507.18654865
2007-03-01,14.408,15.0155,14.0007,14.7058,249992.23551637
2007-03-02,14.7247,15.0544,14.5136,14.9001,47200.439433808
2007-03-05,14.7437,14.9678,14.3104,14.9578,20948.408098781
2007-03-06,14.8314,15.1331,14.4379,14.8024,63431.615051734
2007-03-07,14.8024,14.8124,14.5036,14.6191,6834.8662190675
2007-03-08,14.7157,14.7247,14.3403,14.4837,44226.313718973
2007-03-09,14.4837,14.4936,14.0963,14.2437,43782.504277394
2007-03-12,14.3403,14.3981,14.2437,14.3403,5271.492235949
2007-03-13,14.2248,14.5136,14.0007,14.185,29887.854837191
2007-03-14,14.2437,14.4379,14.2248,14.3602,32514.564111333
2007-03-15,14.3782,14.3782,14.2815,14.3403,6454.31468432
2007-03-16,14.3782,14.7247,14.0007,14.648,52024.10585314
2007-03-19,14.4936,14.7735,14.4936,14.7247,62662.479232165
2007-03-20,14.5335,15.654,14.5335,15.654,1155440.8115569
2007-03-21,19.0709,19.5539,17.8728,18.0471,2841667.6743045
2007-03-22,18.537,18.8688,18.2313,18.3469,657520.75729311
2007-03-23,18.1636,18.31,17.4973,17.6806,390392.65768174
2007-03-26,18.0073,18.8209,17.8917,18.2512,487030.65744492
2007-03-27,18.2313,18.6367,17.7593,17.9984,189105.99814427
2007-03-28,17.4675,17.9495,17.4276,17.7493,293849.04273194
2007-03-29,17.593,18.4535,17.593,18.2612,215904.25648431
2007-03-30,18.1636,18.547,17.9595,18.2512,126468.62125609
2007-04-02,18.3768,19.1486,18.31,18.7234,346144.25390007
2007-04-03,18.8209,18.8886,18.2512,18.7911,184427.92532003
2007-04-04,18.7911,18.7911,18.1448,18.4703,171050.38416583
2007-04-05,18.4156,18.7234,18.31,18.5282,40053.300055619
2007-04-09,18.7522,18.8299,17.9207,18.3279,99138.193223654
2007-04-10,18.3768,18.3768,18.1538,18.2612,78530.17290925
2007-04-11,18.2512,19.8238,18.2512,18.7334,592774.78351054
2007-04-12,18.9833,20.0071,18.8299,19.5928,600874.80786624
2007-04-13,19.4255,20.761,19.4255,20.6943,399514.84948433
2007-04-16,20.4902,22.2081,20.4513,21.484,542299.99432789
2007-04-17,21.977,22.0159,20.9054,21.4173,255325.98156538
2007-04-18,21.3506,21.4073,20.5679,20.8097,139287.88628015
2007-04-19,20.8097,21.0021,19.8995,20.5757,286280.18397489
2007-04-20,20.8587,21.1475,20.3547,20.6943,234106.46815162
2007-04-23,20.761,20.8954,20.3736,20.6446,124470.47467523
2007-04-24,20.6544,20.6743,19.6027,20.2601,147481.29135547
2007-04-25,20.2601,20.6056,19.9882,20.0549,121262.39511449
2007-04-26,19.9484,20.4224,19.805,20.0748,109958.3075731
2007-04-27,19.9184,20.761,19.9184,20.0161,188683.27467164
2007-04-30,20.6644,21.2549,20.5001,20.6943,455330.41337232
2007-05-01,20.9921,21.245,20.5757,20.9541,220119.44208556
2007-05-02,20.8854,21.7659,20.0449,21.3586,199719.26917932
2007-05-03,21.4641,21.7181,21.0408,21.1972,172728.22483749
2007-05-04,21.4073,21.4073,20.8187,21.2351,94054.46652068
2007-05-07,21.6105,21.6105,21.0598,21.0985,144198.90885654
2007-05-08,20.9154,21.4552,20.3188,21.3785,198898.92457804
2007-05-09,21.3874,22.6812,21.3207,22.6144,371036.7422851
2007-05-10,22.5865,22.6901,21.6404,21.8804,236478.13761091
2007-05-11,21.9193,22.2081,21.7281,22.1125,246155.59326235
2007-05-14,22.9251,23.1621,22.4999,22.9053,686700.72603004
2007-05-15,23.4659,23.6552,19.0122,19.5241,2435510.7446029
2007-05-16,19.3328,20.0449,18.9733,19.6326,475748.65996623
2007-05-17,19.4554,19.777,19.1097,19.4065,199823.69493028
2007-05-18,19.4255,19.6904,19.1686,19.1974,164909.34673439
2007-05-21,19.1874,19.3886,18.3569,18.6667,372969.62277162
2007-05-22,18.7811,19.052,18.4893,18.9365,218651.45700957
2007-05-23,18.9076,19.4852,18.7334,18.7621,138980.63358984
2007-05-24,18.7811,18.9643,18.3279,18.4535,142330.29037062
2007-05-25,18.4893,18.6765,17.7981,18.0371,155112.4039256
2007-05-29,18.0571,18.2115,17.4007,17.5541,284025.99348541
