date,open,high,low,close,volume
2022-11-21,25.0182,25.04,24.9914,25.015,14410
2022-11-22,25.03,25.0475,24.98,25.015,103675
2022-11-23,25.039,25.1388,24.93,25.01,64708
2022-11-25,25.021,25.04,25.02,25.0229,15050
2022-11-28,25.0499,25.06,25.0101,25.04,54055
2022-11-29,25.024,25.06,25.024,25.05,30316
2022-11-30,25.0334,25.185,24.97,25.05,24949
2022-12-01,25.0799,25.08,25.05,25.08,16857
2022-12-02,25.02,25.0844,24.83,25.0844,58360
2022-12-05,24.81,24.8399,24.7501,24.8337,26609
2022-12-06,24.76,24.785,24.64,24.7519,16352
2022-12-07,24.88,24.89,24.705,24.77,76028
2022-12-08,24.929,24.95,24.8,24.86,39421
2022-12-09,24.85,24.86,24.73,24.73,50319
2022-12-12,24.75,24.9566,24.6884,24.9566,76100
2022-12-13,25.23,25.34,24.99,25.04,34947
2022-12-14,25.15,25.29,24.96,25.0035,55014
2022-12-15,24.86,24.86,24.5896,24.6193,28667
2022-12-16,24.24,24.41,24.184,24.39,38103
2022-12-19,24.39,24.47,24.2,24.295,20268
2022-12-20,24.12,24.36,24.12,24.2863,44432
2022-12-21,24.45,24.61,24.42,24.6039,35266
2022-12-22,24.4843,24.4843,24.14,24.4312,51570
2022-12-23,24.51,24.6299,24.495,24.62,30798
2022-12-27,24.6,24.751,24.6,24.7426,40696
2022-12-28,24.7178,24.7178,24.49,24.5058,33341
2022-12-29,24.57,24.68,24.55,24.6026,39951
2022-12-30,24.415,24.45,24.29,24.4384,15553
2023-01-03,24.36,24.4522,24.26,24.4522,20514
2023-01-04,24.64,24.735,24.37,24.6093,119683
2023-01-05,24.4201,24.49,24.27,24.3049,43112
2023-01-06,24.681,24.88,24.68,24.8365,13723
2023-01-09,24.84,24.92,24.64,24.64,28471
2023-01-10,24.66,24.68,24.58,24.67,12272
2023-01-11,24.81,24.8502,24.73,24.8502,22588
2023-01-12,24.83,24.84,24.72,24.72,13282
2023-01-13,24.61,24.7398,24.61,24.69,13411
2023-01-17,24.77,24.81,24.61,24.61,17829
2023-01-18,24.6,24.6,24.09,24.09,25129
2023-01-19,24.06,24.1,23.91,23.91,45621
2023-01-20,23.84,24.09,23.82,24.09,24256
2023-01-23,24.07,24.275,24.02,24.07,29254
2023-01-24,23.95,24.23,23.95,24.23,21617
2023-01-25,24.1,24.23,24.0243,24.21,59789
2023-01-26,24.16,24.24,24.15,24.15,33923
2023-01-27,24.181,24.31,24.15,24.17,24275
2023-01-30,24.22,24.39,24.13,24.17,23969
2023-01-31,24.17,24.38,24.131,24.38,28889
2023-02-01,24.33,24.525,24.1301,24.36,31019
2023-02-02,24.33,24.4238,24.25,24.3187,43662
2023-02-03,24.03,24.3399,23.791,23.8,36554
2023-02-06,23.66,23.7399,23.47,23.51,69891
2023-02-07,23.32,24.04,23.32,24.04,43358
2023-02-08,23.93,23.99,23.57,23.6,52035
2023-02-09,24.0311,24.0598,23.48,23.5011,14955
2023-02-10,23.28,23.4398,23.07,23.18,24740
2023-02-13,23.22,23.62,23.16,23.58,18239
2023-02-14,23.34,24.04,23.34,23.79,51047
2023-02-15,23.79,24.04,23.77,24.04,20295
2023-02-16,23.645,23.81,23.46,23.46,48602
2023-02-17,23.32,23.32,23.0,23.1832,50760
2023-02-21,22.92,22.96,22.43,22.47,46519
2023-02-22,22.61,22.61,22.381,22.4637,36886
2023-02-23,22.84,22.84,22.37,22.68,45740
2023-02-24,22.28,22.28,22.13,22.22,32096
2023-02-27,22.589,22.59,22.2907,22.31,53956
2023-02-28,22.36,22.555,22.3,22.38,18592
2023-03-01,22.39,22.5,22.23,22.29,28527
2023-03-02,22.36,22.5017,22.14,22.45,63526
2023-03-03,22.66,22.995,22.66,22.96,24890
2023-03-06,23.02,23.1599,22.76,22.76,37910
2023-03-07,22.82,22.9,22.43,22.43,37860
2023-03-08,22.37,22.66,22.25,22.66,25785
2023-03-09,22.55,22.68,21.84,21.8768,51936
2023-03-10,21.37,21.67,21.11,21.22,45097
2023-03-13,20.47,21.07,20.47,20.88,322957
2023-03-14,21.32,21.43,20.94,21.26,31396
2023-03-15,20.81,20.93,20.5456,20.84,45405
2023-03-16,20.74,21.44,20.74,21.41,49932
2023-03-17,21.25,21.25,20.89,20.97,58547
2023-03-20,21.06,21.26,20.96,21.09,68965
2023-03-21,21.51,21.591,21.37,21.54,27714
2023-03-22,21.56,21.84,21.09,21.09,36475
2023-03-23,21.39,21.71,21.07,21.26,23714
2023-03-24,21.02,21.19,20.91,21.16,29739
2023-03-27,21.3,21.3,21.0016,21.11,32517
2023-03-28,21.08,21.1026,20.96,21.07,32233
2023-03-29,21.4159,21.62,21.315,21.62,58473
2023-03-30,21.92,21.94,21.74,21.77,65375
2023-03-31,21.92,22.19,21.92,22.19,51280
2023-04-03,22.03,22.06,21.86,22.01,33997
2023-04-04,22.02,22.02,21.68,21.73,31625
2023-04-05,21.48,21.54,21.23,21.37,48007
2023-04-06,21.11,21.4,21.11,21.25,20136
2023-04-10,21.01,21.59,21.01,21.59,24862
2023-04-11,21.691,21.82,21.64,21.69,38469
2023-04-12,21.68,21.68,21.33,21.33,25062
2023-04-13,21.44,21.74,21.44,21.65,74105
2023-04-14,21.47,21.8,21.4501,21.55,28276
2023-04-17,21.6,21.6699,21.48,21.64,57162
2023-04-18,21.89,21.89,21.67,21.72,26398
2023-04-19,21.51,21.77,21.51,21.71,71053
2023-04-20,21.5,21.7,21.43,21.5,167301
2023-04-21,21.46,21.49,21.31,21.4602,33577
2023-04-24,21.47,21.47,21.3,21.4649,37343
2023-04-25,21.1553,21.19,20.8064,20.8064,50094
2023-04-26,20.83,20.87,20.61,20.65,29489
2023-04-27,20.71,20.99,20.67,20.9781,92270
2023-04-28,20.9,21.27,20.89,21.27,49696
2023-05-01,21.379,21.42,21.27,21.3154,34998
2023-05-02,21.2,21.21,20.78,20.96,98938
2023-05-03,21.0,21.0685,20.82,20.83,52154
2023-05-04,20.75,20.775,20.62,20.66,31872
2023-05-05,20.87,21.07,20.87,21.05,39969
2023-05-08,21.02,21.07,21.01,21.055,23965
2023-05-09,20.97,21.019,20.95,20.96,44771
2023-05-10,21.07,21.14,20.885,21.05,81159
2023-05-11,21.0,21.0237,20.929,21.02,53570
2023-05-12,21.08,21.08,20.88,20.99,119395
2023-05-15,20.95,21.06,20.93,21.06,95345
2023-05-16,20.97,21.03,20.92,20.92,226561
2023-05-17,21.03,21.2,20.96,21.17,109873
2023-05-18,21.16,21.4,21.16,21.4,146546
2023-05-19,21.42,21.44,21.31,21.34,93791
2023-05-22,21.33,21.425,21.3,21.35,154734
2023-05-23,21.25,21.3,21.1,21.12,195699
2023-05-24,21.02,21.02,20.92,20.96,196506
2023-05-25,21.13,21.22,21.05,21.15,187425
2023-05-26,21.2,21.4327,21.2,21.4,119799
2023-05-30,21.51,21.51,21.365,21.44,33384
2023-05-31,21.33,21.352,21.24,21.29,22247
2023-06-01,21.34,21.54,21.28,21.51,70823
2023-06-02,21.77,21.86,21.77,21.8235,27094
2023-06-05,21.8,21.895,21.75,21.78,70321
2023-06-06,21.73,21.84,21.73,21.84,45068
2023-06-07,21.85,21.9,21.73,21.745,44292
2023-06-08,21.73,21.89,21.73,21.89,26598
2023-06-09,21.95,21.99,21.87,21.9,14448
2023-06-12,21.94,22.115,21.94,22.115,41798
2023-06-13,22.21,22.29,22.16,22.26,34126
2023-06-14,22.27,22.38,22.13,22.27,39053
2023-06-15,22.24,22.61,22.24,22.55,33970
2023-06-16,22.68,22.68,22.48,22.48,69123
2023-06-20,22.4,22.42,22.2508,22.375,42317
2023-06-21,22.25,22.32,22.24,22.24,54821
2023-06-22,22.21,22.3234,22.21,22.3234,23017
2023-06-23,22.16,22.25,22.13,22.16,23071
2023-06-26,22.21,22.21,22.07,22.07,18656
2023-06-27,22.14,22.3396,22.11,22.33,24270
2023-06-28,22.24,22.37,22.2293,22.31,51249
2023-06-29,22.31,22.42,22.31,22.4,167619
2023-06-30,22.56,22.715,22.56,22.69,72728
2023-07-03,22.64,22.72,22.64,22.7158,4441
2023-07-05,22.64,22.7,22.385,22.65,40397
2023-07-06,22.49,22.5,22.36,22.5,82845
2023-07-07,22.49,22.622,22.42,22.42,32552
2023-07-10,22.44,22.48,22.39,22.47,93644
2023-07-11,22.51,22.63,22.48,22.625,44437
2023-07-12,22.83,22.87,22.77,22.79,106705
2023-07-13,22.9068,23.01,22.9,23.0,34309
2023-07-14,23.04,23.07,22.94,22.98,60392
2023-07-17,22.93,23.08,22.93,23.05,47416
2023-07-18,23.04,23.25,23.02,23.24,41303
2023-07-19,23.28,23.33,23.235,23.28,128319
2023-07-20,23.26,23.26,23.1,23.14,64909
2023-07-21,23.21,23.22,23.11,23.11,59404
2023-07-24,23.21,23.26,23.17,23.212,65034
2023-07-25,23.25,23.33,23.24,23.29,24625
2023-07-26,23.25,23.26,23.2,23.2592,14214
2023-07-27,23.4401,23.4401,23.1294,23.1294,35073
2023-07-28,23.34,23.38,23.27,23.3588,79897
2023-07-31,23.39,23.39,23.33,23.3601,30859
2023-08-01,23.34,23.35,23.31,23.3426,19920
2023-08-02,23.13,23.13,22.988,23.0195,28933
2023-08-03,22.88,23.03,22.88,22.9719,69632
2023-08-04,23.04,23.1283,22.83,22.84,20996
2023-08-07,22.97,23.031,22.91,23.031,62177
2023-08-08,22.87,22.96,22.78,22.96,77367
2023-08-09,22.92,22.92,22.78,22.782,27010
2023-08-10,22.87,23.0,22.7701,22.7909,23184
2023-08-11,22.68,22.7985,22.68,22.7521,30677
2023-08-14,22.73,22.8701,22.73,22.8662,76322
2023-08-15,22.7,22.75,22.63,22.6435,19929
2023-08-16,22.67,22.7,22.4885,22.4885,43492
2023-08-17,22.49,22.51,22.301,22.3255,45930
2023-08-18,22.21,22.3165,22.16,22.2901,60378
2023-08-21,22.34,22.48,22.2683,22.45,27371
2023-08-22,22.53,22.53,22.37,22.399,80765
2023-08-23,22.52,22.655,22.52,22.62,59285
2023-08-24,22.67,22.67,22.34,22.36,82358
2023-08-25,22.43,22.5087,22.26,22.49,26447
2023-08-28,22.601,22.65,22.55,22.6246,28213
2023-08-29,22.6396,22.9415,22.6396,22.9415,49304
2023-08-30,23.0,23.07,22.96,23.0377,32062
2023-08-31,23.085,23.09,23.0253,23.0253,19348
2023-09-01,23.0757,23.0757,23.0,23.048,84754
2023-09-05,22.9859,23.002,22.95,22.95,6228
2023-09-06,22.88,22.89,22.72,22.79,24661
2023-09-07,22.6901,22.73,22.68,22.7174,37374
2023-09-08,22.815,22.815,22.705,22.77,17890
2023-09-11,22.84,22.94,22.82,22.91,24078
2023-09-12,22.79,22.91,22.75,22.79,50648
2023-09-13,22.8299,22.86,22.74,22.81,26561
2023-09-14,22.89,23.03,22.89,23.0,33721
2023-09-15,22.89,22.89,22.7199,22.73,19825
2023-09-18,22.73,22.7912,22.7,22.7332,16091
2023-09-19,22.6815,22.7154,22.5775,22.6966,27066
2023-09-20,22.76,22.77,22.47,22.47,24632
2023-09-21,22.29,22.29,22.11,22.11,26477
2023-09-22,22.24,22.24,22.06,22.06,46771
2023-09-25,22.1,22.16,22.06,22.16,16560
2023-09-26,22.02,22.03,21.83,21.85,66796
2023-09-27,21.89,21.91,21.76,21.83,19131
2023-09-28,21.82,22.03,21.82,21.9634,17736
2023-09-29,22.11,22.11,21.89,21.9,34766
2023-10-02,21.9001,21.92,21.77,21.8913,40723
2023-10-03,21.82,21.82,21.56,21.5978,32978
2023-10-04,21.44,21.44,21.24,21.33,64409
2023-10-05,21.5,21.59,21.46,21.57,19174
2023-10-06,21.5,21.85,21.44,21.8366,40937
2023-10-09,21.59,21.8,21.58,21.78,54417
2023-10-10,22.11,22.21,22.1,22.1383,31335
2023-10-11,22.26,22.31,22.16,22.2649,39049
2023-10-12,22.26,22.26,22.08,22.15,18996
2023-10-13,21.91,21.92,21.9,21.9128,15571
2023-10-16,22.0575,22.1175,22.05,22.1,11059
2023-10-17,22.0,22.1225,22.0,22.1225,23186
2023-10-18,21.9223,21.9223,21.7601,21.7862,14333
2023-10-19,21.68,21.77,21.595,21.595,13393
2023-10-20,21.41,21.4101,21.3413,21.3413,5436
2023-10-23,21.32,21.49,21.32,21.3783,30327
2023-10-24,21.44,21.4653,21.38,21.46,57035
2023-10-25,21.39,21.54,21.37,21.3899,60061
2023-10-26,21.25,21.2573,21.12,21.1793,37979
2023-10-27,21.2,21.3725,21.06,21.06,26026
2023-10-30,21.35,21.43,21.3383,21.4279,23858
2023-10-31,21.43,21.5201,21.42,21.52,97882
2023-11-01,21.64,21.77,21.6,21.76,56549
2023-11-02,22.03,22.2,22.03,22.2,19158
2023-11-03,22.17,22.2801,22.16,22.2144,41701
2023-11-06,22.38,22.4,22.27,22.37,55475
2023-11-07,22.365,22.37,22.31,22.3151,63985
2023-11-08,22.386,22.386,22.31,22.31,39916
2023-11-09,22.37,22.37,22.16,22.2,85765
2023-11-10,22.27,22.54,22.27,22.539,31986
2023-11-13,22.42,22.55,22.42,22.49,66249
2023-11-14,22.68,22.9561,22.68,22.91,39045
2023-11-15,22.98,23.04,22.98,22.9991,58661
2023-11-16,22.94,23.04,22.94,23.04,11481
2023-11-17,23.01,23.09,23.01,23.03,50288
2023-11-20,23.14,23.26,23.14,23.2141,17707
2023-11-21,23.17,23.19,23.12,23.15,109932
2023-11-22,23.2001,23.285,23.2001,23.2552,56863
2023-11-24,23.25,23.25,23.24,23.25,3666
2023-11-27,23.2,23.24,23.2,23.2,53326
2023-11-28,23.15,23.2312,23.15,23.2312,20949
2023-11-29,23.33,23.38,23.2,23.2014,40231
2023-11-30,23.23,23.31,23.15,23.31,18085
2023-12-01,23.26,23.43,23.26,23.4287,30751
2023-12-04,23.33,23.33,23.23,23.33,23930
2023-12-05,23.25,23.32,23.25,23.3,27765
2023-12-06,23.39,23.39,23.2,23.2,15776
2023-12-07,23.32,23.4105,23.32,23.4105,76766
2023-12-08,23.5,23.53,23.425,23.4995,22495
2023-12-11,23.49,23.591,23.49,23.591,24522
2023-12-12,23.62,23.75,23.62,23.7402,83883
2023-12-13,23.74,24.07,23.74,24.037,41527
2023-12-14,24.22,24.22,24.01,24.0902,76507
2023-12-15,24.05,24.125,23.96,24.09,17736
2023-12-18,24.12,24.24,24.12,24.2247,20438
2023-12-19,24.29,24.3475,24.29,24.3475,63688
2023-12-20,24.33,24.39,24.0346,24.0346,26479
2023-12-21,24.08,24.2459,24.08,24.2459,18552
2023-12-22,24.35,24.35,24.2,24.2878,27398
2023-12-26,24.395,24.42,24.3893,24.3893,9102
2023-12-27,24.415,24.4403,24.37,24.41,42414
2023-12-28,24.37,24.37,24.22,24.22,28818
2023-12-29,24.23,24.23,24.12,24.1528,13830
2024-01-02,24.1,24.1,23.92,24.01,36686
2024-01-03,23.89,23.93,23.8102,23.825,30427
2024-01-04,23.88,23.9,23.7495,23.7495,19101
2024-01-05,23.77,23.89,23.72,23.785,24530
2024-01-08,23.84,24.1116,23.84,24.1116,27611
2024-01-09,24.04,24.1015,23.98,24.086,15777
2024-01-10,24.11,24.25,24.11,24.2055,17599
2024-01-11,24.08,24.2285,24.04,24.22,20074
2024-01-12,24.26,24.3,24.16,24.2262,40222
2024-01-16,24.12,24.22,24.06,24.14,38640
2024-01-17,23.95,24.009,23.91,24.009,43387
2024-01-18,24.07,24.23,24.02,24.21,32674
2024-01-19,24.25,24.53,24.25,24.5069,21372
2024-01-22,24.63,24.66,24.55,24.58,9722
2024-01-23,24.6,24.64,24.5459,24.6396,9364
2024-01-24,24.82,24.82,24.66,24.66,35284
2024-01-25,24.76,24.79,24.67,24.77,18687
2024-01-26,24.82,24.85,24.74,24.7699,18249
2024-01-29,24.74,24.95,24.74,24.93,46835
2024-01-30,24.88,24.97,24.88,24.95,52139
2024-01-31,24.86,24.86,24.56,24.56,14978
2024-02-01,24.64,24.84,24.64,24.8356,24076
2024-02-02,24.75,25.14,24.75,25.1172,130986
2024-02-05,25.0,25.08,24.94,25.03,59068
2024-02-06,25.06,25.1084,25.04,25.1084,17570
2024-02-07,25.19,25.25,25.17,25.24,40891
2024-02-08,25.2,25.2,25.06,25.19,58768
2024-02-09,25.24,25.35,25.19,25.35,40575
2024-02-12,25.29,25.47,25.29,25.39,65160
2024-02-13,25.1,25.19,24.96,25.05,49094
2024-02-14,25.26,25.36,25.21,25.36,46577
2024-02-15,25.49,25.64,25.49,25.64,25965
2024-02-16,25.49,25.76,25.49,25.6734,24809
2024-02-20,25.83,25.8553,25.78,25.8553,41733
2024-02-21,25.75,25.79,25.69,25.75,8809
2024-02-22,26.08,26.22,26.08,26.22,42691
2024-02-23,26.25,26.31,26.25,26.2939,7608
2024-02-26,26.3,26.3201,26.3,26.3145,7217
2024-02-27,26.38,26.38,26.33,26.36,18706
2024-02-28,26.23,26.261,26.22,26.2381,12672
2024-02-29,26.45,26.45,26.23,26.33,30859
2024-03-01,26.45,26.65,26.45,26.65,13571
2024-03-04,26.69,26.69,26.63,26.66,22872
2024-03-05,26.7,26.76,26.6271,26.6855,22296
2024-03-06,26.94,27.02,26.94,26.9926,13196
2024-03-07,27.17,27.3477,27.17,27.3163,25193
2024-03-08,27.46,27.46,27.25,27.2573,9886
2024-03-11,26.96,26.96,26.8,26.8992,5322
2024-03-12,26.91,27.16,26.91,27.1594,16429
2024-03-13,27.21,27.21,27.15,27.1716,10124
2024-03-14,27.17,27.17,26.985,27.0369,2234
2024-03-15,27.06,27.2003,27.06,27.1665,49686
2024-03-18,27.36,27.42,27.3521,27.3832,23149
2024-03-19,27.425,27.5356,27.4,27.5161,18566
2024-03-20,27.57,27.7488,27.53,27.7488,5690
2024-03-21,27.91,27.945,27.85,27.9313,12827
2024-03-22,27.935,27.9642,27.93,27.9516,8722
2024-03-25,27.9,27.91,27.87,27.87,4652
2024-03-26,28.03,28.0499,27.9469,27.9469,13283
2024-03-27,28.08,28.08,27.92,28.04,10060
2024-03-28,27.98,28.03,27.95,27.9716,16553
2024-04-01,27.7,27.7,27.55,27.6,26798
2024-04-02,27.36,27.41,27.3,27.4001,27825
2024-04-03,27.33,27.67,27.33,27.64,16482
2024-04-04,27.83,27.83,27.36,27.36,37533
2024-04-05,27.33,27.6,27.33,27.51,50817
2024-04-08,27.66,27.74,27.64,27.6858,13592
2024-04-09,27.76,27.78,27.51,27.61,13350
2024-04-10,27.15,27.37,27.15,27.24,15354
