date,open,high,low,close,volume
2011-03-03,5.66568,5.8101,5.62769,5.72644,115762.23148511
2011-03-04,5.7722,5.79491,5.73431,5.7874,15824.125213246
2011-03-07,5.70374,5.7874,5.55916,5.58971,41819.348061207
2011-03-08,5.56675,5.65816,5.52125,5.61233,35010.748192006
2011-03-09,5.60491,5.77963,5.56675,5.70374,84984.382387563
2011-03-10,5.6201,5.69632,5.47559,5.60491,42676.006211276
2011-03-11,5.41482,6.08392,5.37648,5.81787,207398.31244968
2011-03-14,5.71143,6.32718,5.69632,6.25113,186951.89807376
2011-03-15,5.84826,6.2362,5.7874,6.17525,166512.35528728
2011-03-16,6.26641,6.83685,5.76452,5.7722,364219.43609807
2011-03-17,5.9547,6.26641,5.77963,5.8101,78576.62523564
2011-03-18,5.89392,5.9698,5.55164,5.55164,122110.43486189
2011-03-21,5.6201,5.63529,5.55164,5.55916,31589.841916261
2011-03-22,6.11439,6.35023,5.89392,6.16006,408586.99857627
2011-03-23,6.16006,6.38062,6.08392,6.35023,205478.84846637
2011-03-24,6.411,6.44899,6.35023,6.41869,197631.49332697
2011-03-25,6.42628,6.50994,6.28937,6.45667,243625.33197239
2011-03-28,6.6011,6.7456,6.45667,6.53264,248310.61070493
2011-03-29,6.53264,6.73809,6.49456,6.69233,82587.342938237
2011-03-30,6.73032,6.73809,6.63139,6.66204,51007.808406135
2011-03-31,6.66963,6.70753,6.62388,6.69233,34136.911068339
2011-04-01,6.69233,6.71513,6.5935,6.61638,73922.268655585
2011-04-04,6.6011,6.68466,6.50994,6.57071,71587.07351121
2011-04-05,6.63139,6.71513,6.57822,6.62388,121148.41234042
2011-04-06,6.548,6.69233,6.53264,6.61638,42974.920351875
2011-04-07,6.57822,6.69233,6.57822,6.68466,26129.218842022
2011-04-08,6.67706,6.70753,6.52504,6.70753,118623.10322157
2011-04-11,6.70753,6.70753,6.58581,6.68466,34993.569218408
2011-04-12,6.6011,6.61638,6.50994,6.5935,81418.027468691
2011-04-13,6.60869,6.60869,6.54023,6.56302,8592.9225935433
2011-04-14,6.54023,6.6011,6.50994,6.56302,89326.081648142
2011-04-15,6.49456,6.58581,6.47963,6.52504,71593.94510065
2011-04-18,6.51736,6.63139,6.46419,6.62388,165255.99968484
2011-04-19,6.2362,6.49456,6.2362,6.42628,267830.50577149
2011-04-20,6.49456,6.52504,6.2362,6.52504,171989.0120702
2011-04-21,6.50225,6.60869,6.411,6.51736,196205.63851836
2011-04-25,6.38813,6.50225,6.27401,6.41869,48398.894949106
2011-04-26,6.40333,6.57071,6.2437,6.52504,83786.435295353
2011-04-27,6.50225,6.548,6.36534,6.44148,60786.080177917
2011-04-28,6.44148,6.47963,6.25113,6.31208,96924.914302835
2011-04-29,6.29706,6.31208,5.81787,6.14478,301266.51471704
2011-05-02,6.08392,6.14478,5.85593,5.86336,153947.65399796
2011-05-03,5.85593,6.18294,5.85593,6.06873,116125.28046047
2011-05-04,5.99276,6.10671,5.92422,6.09929,91031.381093935
2011-05-05,6.03834,6.44899,6.03834,6.31208,113810.70008442
2011-05-06,6.20564,6.41869,6.16006,6.38062,71442.770132991
2011-05-09,6.35023,6.42628,6.14478,6.31967,91389.849009672
2011-05-10,6.31208,6.45667,6.16006,6.2362,99334.551666131
2011-05-11,6.22083,6.41869,6.14478,6.28178,93200.512826864
2011-05-12,6.22861,6.30448,6.16006,6.2437,68588.769985967
2011-05-13,6.19045,6.35765,6.09151,6.09929,88735.124956382
2011-05-16,6.08392,6.2362,5.9698,6.08392,96811.53307709
2011-05-17,6.16006,6.30448,6.07632,6.08392,74349.452465712
2011-05-18,6.11439,6.28178,6.04593,6.08392,95722.386150999
2011-05-19,6.25113,6.35023,5.98525,6.04593,99278.433685712
2011-05-20,6.03834,6.19045,6.02315,6.08392,47152.846730823
2011-05-23,6.54023,6.54023,6.34255,6.411,259859.46202218
2011-05-24,6.44899,6.55552,6.36534,6.46419,153920.1676402
2011-05-25,6.46419,6.75329,6.42628,6.73032,155078.03046068
2011-05-26,6.76088,7.46055,6.70753,7.44501,470964.99697423
2011-05-27,7.49041,7.70433,7.36188,7.46055,194802.68900789
2011-05-31,7.54472,7.56672,7.22462,7.3693,118615.08636722
2011-06-01,7.22462,7.22462,6.84444,6.928,142048.35161932
2011-06-02,6.90539,7.33141,6.83685,7.1793,79765.410208598
2011-06-03,6.928,7.28548,6.82925,6.86723,116179.10791108
2011-06-06,6.85213,7.08055,6.69233,6.73032,75856.621082679
2011-06-07,6.76839,7.02702,6.76839,6.96616,70400.579068067
2011-06-08,6.96616,6.96616,6.66204,6.69233,57452.214035066
2011-06-09,6.73809,7.65797,6.73809,7.39157,441574.06367847
2011-06-10,7.33141,7.58951,7.08055,7.30844,151133.73812267
