date,open,high,low,close,volume
2011-08-15,19.032,19.051,19.032,19.051,471
2011-08-16,18.763,18.763,18.439,18.505,5302
2011-08-18,17.901,18.038,17.901,18.038,1185
2011-08-19,18.103,18.103,17.854,18.01,2045
2011-08-22,18.644,18.644,18.644,18.644,238
2011-08-24,18.373,18.373,18.373,18.373,322
2011-08-26,18.244,18.244,18.188,18.216,322
2011-08-29,18.561,18.561,18.561,18.561,1077
2011-08-30,18.533,18.606,18.533,18.606,3283
2011-08-31,18.68,18.745,18.68,18.745,1884
2011-09-07,19.088,19.088,19.088,19.088,107
2011-09-08,18.901,18.948,18.781,18.781,322
2011-09-09,18.634,18.634,18.514,18.57,1109
2011-09-12,18.103,18.188,18.103,18.188,2154
2011-09-13,18.085,18.085,18.066,18.085,3229
2011-09-15,18.29,18.29,18.271,18.271,754
2011-09-20,17.854,17.854,17.807,17.807,322
2011-09-22,16.748,16.748,16.748,16.748,269
2011-09-23,17.138,17.138,17.138,17.138,107
2011-09-26,17.835,17.835,16.608,16.906,12359
2011-09-27,17.175,17.417,17.175,17.417,970
2011-09-30,16.673,16.673,16.581,16.581,14856
2011-10-03,16.861,16.861,16.832,16.851,5383
2011-10-04,16.478,16.543,16.478,16.543,1831
2011-10-05,16.468,16.468,16.468,16.468,429
2011-10-07,16.889,16.889,16.832,16.832,3552
2011-10-11,17.304,17.304,17.304,17.304,215
2011-10-12,17.389,17.611,17.389,17.491,11088
2011-10-13,17.23,17.23,17.166,17.183,4845
2011-10-17,17.36,17.37,17.258,17.258,14103
2011-10-18,17.304,17.304,17.304,17.304,10979
2011-10-25,17.276,17.276,17.276,17.276,161
2011-10-27,18.327,18.781,18.327,18.781,322
2011-11-03,18.281,18.281,18.281,18.281,107
2011-11-09,17.601,17.601,17.417,17.417,222
2011-11-10,17.398,17.398,17.351,17.351,2691
2011-11-17,16.256,16.256,16.256,16.256,107
2011-11-21,15.931,15.931,15.67,15.67,808
2011-11-22,15.633,15.633,15.633,15.633,107
2011-11-23,15.253,15.253,15.253,15.253,113
2011-11-29,15.67,15.763,15.67,15.763,429
2011-12-02,16.404,16.404,16.311,16.311,6460
2011-12-05,16.338,16.338,16.338,16.338,107
2011-12-12,14.891,15.16,14.891,15.16,308
2011-12-13,15.317,15.317,15.317,15.317,322
2011-12-15,14.863,14.863,14.863,14.863,754
2011-12-16,14.938,14.938,14.938,14.938,322
2011-12-19,14.639,14.639,14.639,14.639,429
2011-12-20,14.583,14.797,14.406,14.797,10873
2011-12-23,15.067,15.067,15.067,15.067,128
2011-12-30,14.9,14.9,14.9,14.9,108
2012-01-03,15.03,15.039,14.816,15.039,4631
2012-01-04,14.946,14.973,14.938,14.938,2260
2012-01-10,15.568,15.568,14.956,15.512,925
2012-01-11,15.253,15.392,15.244,15.392,6028
2012-01-12,15.419,15.512,15.419,15.485,11197
2012-01-13,15.623,15.623,15.456,15.512,1077
2012-01-18,16.088,16.116,16.088,16.116,970
2012-01-19,16.273,16.273,16.273,16.273,937
2012-01-20,16.247,16.247,16.247,16.247,1893
2012-01-23,16.376,16.376,16.33,16.376,1291
2012-01-24,16.283,16.357,16.283,16.357,2306
2012-01-25,16.459,16.682,16.459,16.682,11088
2012-01-26,16.832,16.889,16.729,16.842,7849
2012-01-30,16.72,16.87,16.72,16.72,1831
2012-01-31,17.148,17.148,17.055,17.055,845
2012-02-01,17.36,17.426,17.36,17.426,754
2012-02-02,17.538,17.538,17.528,17.538,1956
2012-02-03,18.216,18.216,18.178,18.178,215
2012-02-06,18.056,18.056,18.056,18.056,322
2012-02-07,17.807,17.826,17.788,17.788,906
2012-02-08,17.835,17.835,17.835,17.835,107
2012-02-10,17.835,17.882,17.835,17.835,2426
2012-02-14,18.094,18.094,18.094,18.094,215
2012-02-15,18.355,18.439,18.308,18.364,1888
2012-02-17,18.57,18.57,18.542,18.542,593
2012-02-21,18.717,18.717,18.717,18.717,646
2012-02-22,18.392,18.392,18.075,18.075,215
2012-02-24,18.587,18.587,18.587,18.587,215
2012-02-28,18.439,18.439,18.392,18.392,873
2012-03-01,18.197,18.197,18.188,18.188,5657
2012-03-02,17.723,17.983,17.723,17.76,1302
2012-03-05,18.019,18.019,18.019,18.019,107
2012-03-06,17.175,17.332,17.119,17.129,2590
2012-03-07,17.5,17.519,17.481,17.481,2691
2012-03-08,17.398,17.826,17.36,17.741,2367
2012-03-12,17.835,17.835,17.835,17.835,375
2012-03-13,17.882,18.066,17.882,18.028,13176
2012-03-14,18.113,18.113,18.113,18.113,107
2012-03-15,18.094,18.094,17.556,17.983,777
2012-03-16,17.62,18.028,17.528,17.723,7966
2012-03-19,17.733,17.826,17.566,17.63,8895
2012-03-20,17.639,17.639,17.323,17.611,5491
2012-03-21,17.705,17.798,17.454,17.667,13135
2012-03-22,17.138,17.351,17.11,17.157,17548
2012-03-23,17.407,17.407,17.389,17.389,2961
2012-03-26,17.705,17.705,17.454,17.481,6460
2012-03-27,17.5,17.788,17.5,17.601,9473
2012-03-28,17.389,17.639,17.351,17.379,4362
2012-03-29,17.445,17.445,17.202,17.276,8289
2012-03-30,17.491,17.807,17.491,17.667,13565
2012-04-02,17.769,18.019,17.769,18.019,7321
2012-04-03,18.056,18.16,17.974,17.974,15825
2012-04-04,17.751,17.769,17.751,17.76,4738
2012-04-05,17.891,18.056,17.76,18.028,10012
2012-04-10,17.983,17.983,17.648,17.658,437
2012-04-17,18.345,18.345,18.038,18.038,2756
2012-04-18,18.206,18.206,18.206,18.206,1077
2012-04-19,18.16,18.281,17.974,18.038,7213
2012-04-20,18.271,18.271,18.113,18.113,14428
2012-04-23,17.37,17.592,17.323,17.592,20078
2012-04-24,17.556,17.667,17.463,17.472,6890
2012-04-25,17.556,17.854,17.556,17.741,18516
2012-04-26,17.556,17.769,17.556,17.769,9259
2012-04-27,17.547,17.798,17.547,17.76,8828
