date,open,high,low,close,volume
2025-06-12,0.21,0.249,0.16,0.18,1322593
2025-06-13,0.224,0.247,0.17,0.17,197923
2025-06-16,0.18,0.23,0.18,0.23,340043
2025-06-18,0.229,0.2301,0.229,0.2301,6274
2025-06-20,0.23,0.23,0.2004,0.23,23747
2025-06-23,0.23,0.23,0.23,0.23,1500
2025-06-24,0.2404,0.25,0.23,0.23,20904
2025-06-25,0.2527,0.27,0.207,0.207,21868
2025-06-26,0.22,0.22,0.1901,0.1901,12552
2025-06-27,0.1901,0.2,0.19,0.19,13224
2025-06-30,0.19,0.195,0.1899,0.19,72536
2025-07-01,0.2,0.21,0.19,0.19,18226
2025-07-02,0.19,0.19,0.19,0.19,18093
2025-07-03,0.19,0.19,0.19,0.19,1669
2025-07-07,0.18,0.19,0.18,0.19,11800
2025-07-08,0.19,0.2,0.19,0.19,30339
2025-07-09,0.18,0.18,0.175,0.18,15100
2025-07-10,0.18,0.18,0.1799,0.1799,10762
2025-07-11,0.1701,0.1701,0.17,0.1701,1089
2025-07-14,0.19,0.19,0.17,0.180002,7081
2025-07-15,0.18,0.18,0.175,0.18,2500
2025-07-16,0.175,0.18,0.175,0.18,1300
2025-07-17,0.18,0.18,0.18,0.18,100
2025-07-18,0.1752,0.18,0.1752,0.18,848
2025-07-21,0.18,0.23125,0.1799,0.19,66989
2025-07-22,0.19,0.19,0.17,0.17,17763
2025-07-23,0.175,0.1875,0.175,0.1875,17100
2025-07-25,0.18,0.18,0.17,0.18,2200
2025-07-29,0.1701,0.170101,0.17,0.170101,4216
2025-07-31,0.18,0.18,0.18,0.18,588
2025-08-01,0.1733,0.1733,0.1733,0.1733,4004
2025-08-04,0.17,0.1842,0.17,0.1842,58479
2025-08-05,0.188,0.1998,0.1879,0.188,5643
2025-08-06,0.2,0.2,0.17,0.17,242733
2025-08-07,0.195,0.195,0.1784,0.19,6432
2025-08-08,0.19,0.2,0.176101,0.176101,5292
2025-08-11,0.19,0.19,0.185,0.188,3533
2025-08-12,0.19,0.1982,0.17,0.19,46004
2025-08-13,0.19,0.19,0.1794,0.19,10355
2025-08-14,0.19,0.19,0.1899,0.19,1800
2025-08-15,0.19,0.19,0.1794,0.1799,2582
2025-08-18,0.1867,0.19,0.1867,0.1899,5149
2025-08-19,0.19,0.19,0.18,0.19,1186
2025-08-22,0.1887,0.1887,0.1887,0.1887,100
2025-08-27,0.19,0.19,0.1805,0.1805,1275
2025-08-28,0.1805,0.195,0.18,0.19,129925
2025-08-29,0.19,0.19,0.1895,0.1895,1599
2025-09-02,0.19,0.1975,0.19,0.19,16200
2025-09-04,0.1802,0.1802,0.1802,0.1802,1100
2025-09-09,0.1862,0.188,0.1862,0.188,1368
2025-09-11,0.18,0.188,0.1799,0.185,3667
2025-09-15,0.185,0.185,0.185,0.185,209
2025-09-16,0.188,0.19,0.1834,0.19,5610
2025-09-17,0.183249,0.19,0.178723,0.18,6843
2025-09-18,0.19,0.195,0.1886,0.194,39403
2025-09-19,0.183249,0.19,0.183249,0.19,1510
2025-09-23,0.19,0.2008,0.19,0.2004,73443
2025-09-24,0.23,0.237501,0.23,0.237501,200
2025-09-25,0.195,0.195,0.1949,0.1949,15685
2025-09-26,0.2,0.2046,0.2,0.2046,207078
2025-09-29,0.2047,0.2047,0.2046,0.2046,3045
2025-09-30,0.21,0.22,0.21,0.2104,9290
2025-10-01,0.2093,0.2093,0.2093,0.2093,132
2025-10-03,0.21,0.21,0.21,0.21,12334
2025-10-06,0.21,0.21,0.21,0.21,10664
