date,open,high,low,close,volume
2023-09-05,24.9899,24.9899,24.8493,24.8601,7072
2023-09-06,24.84,24.86,24.81,24.822,29319
2023-09-07,24.83,24.9,24.75,24.818,890082
2023-09-08,24.81,24.82,24.706,24.78,56502
2023-09-11,24.96,24.97,24.83,24.9503,18425
2023-09-12,24.89,24.9,24.8324,24.8599,6178
2023-09-13,24.86,24.88,24.775,24.7922,27621
2023-09-14,25.0,25.07,24.9899,25.0156,25090
2023-09-15,25.11,25.11,25.01,25.02,8546
2023-09-18,24.96,24.97,24.91,24.96,69063
2023-09-19,24.97,24.98,24.9,24.9501,36004
2023-09-20,25.0202,25.12,24.895,24.91,24799
2023-09-21,24.74,24.74,24.61,24.6222,13736
2023-09-22,24.74,24.74,24.6425,24.66,27376
2023-09-25,24.5,24.59,24.49,24.5502,41134
2023-09-26,24.45,24.45,24.3449,24.3449,30424
2023-09-27,24.46,24.46,24.25,24.3031,29160
2023-09-28,24.41,24.49,24.3901,24.4505,8739
2023-09-29,24.51,24.51,24.37,24.41,14670
2023-10-02,24.1929,24.1929,24.17,24.1752,4849
2023-10-03,23.9901,24.02,23.94,23.9901,1102
2023-10-04,24.005,24.03,23.9952,24.011,2610
2023-10-05,24.1692,24.17,24.1499,24.17,1816
2023-10-06,24.13,24.3471,24.11,24.3471,579
2023-10-09,24.14,24.34,24.14,24.3002,7523
2023-10-10,24.575,24.575,24.5451,24.5451,743
2023-10-11,24.6,24.6,24.53,24.5952,8354
2023-10-12,24.5,24.5,24.41,24.4549,3484
2023-10-13,24.34,24.36,24.285,24.3201,1082
2023-10-16,24.44,24.44,24.4348,24.4348,234
2023-10-17,24.49,24.52,24.4,24.4397,9957
2023-10-18,24.25,24.25,24.1652,24.1652,19637
2023-10-19,24.16,24.16,24.0349,24.0349,1697
2023-10-20,23.9201,23.955,23.91,23.9101,3857
2023-10-23,23.941,23.9652,23.89,23.9299,8430
2023-10-24,23.99,24.0049,23.99,24.0049,1070
2023-10-25,23.98,23.98,23.88,23.9101,43138
2023-10-26,23.85,23.85,23.7725,23.8052,972
2023-10-27,23.95,23.95,23.766,23.766,13772
2023-10-30,23.98,24.0885,23.93,24.04,56035
2023-10-31,23.9408,24.05,23.9408,24.0352,64069
2023-11-01,24.13,24.23,24.075,24.23,9769
2023-11-02,24.38,24.4993,24.34,24.4652,7499
2023-11-03,24.64,24.69,24.6313,24.6549,1537
2023-11-06,24.6,24.6,24.5702,24.5702,7118
2023-11-07,24.4652,24.5099,24.4306,24.4621,2403
2023-11-08,24.53,24.53,24.39,24.4422,4458
2023-11-09,24.5991,24.86,24.4302,24.4302,16127
2023-11-10,24.58,24.58,24.32,24.5101,11954
2023-11-13,24.4893,24.57,24.4674,24.5502,12283
2023-11-14,24.77,24.99,24.77,24.98,4418
2023-11-15,24.99,25.0,24.9028,24.9302,10415
2023-11-16,24.9689,24.9689,24.8913,24.9144,10134
2023-11-17,25.05,25.102,25.03,25.07,19395
2023-11-20,25.12,25.22,25.12,25.1798,37441
2023-11-21,25.12,25.1989,25.0782,25.1102,51870
2023-11-22,25.14,25.15,25.09,25.1227,6228
2023-11-24,25.14,25.29,25.14,25.2561,1397
2023-11-27,25.22,25.4252,25.2,25.24,15481
2023-11-28,25.26,25.28,25.195,25.26,35995
2023-11-29,25.24,25.32,25.24,25.2601,9631
2023-11-30,25.25,25.28,25.246,25.2499,5373
2023-12-01,25.25,25.47,25.25,25.4284,1700
2023-12-04,25.3,25.31,25.2,25.31,2097
2023-12-05,25.2,25.2501,25.2,25.2501,1050
2023-12-06,25.45,25.45,25.26,25.3001,7501
2023-12-07,25.36,25.42,25.35,25.3973,4727
2023-12-08,25.38,25.429,25.34,25.429,77823
2023-12-11,25.44,25.4699,25.4193,25.4699,1727
2023-12-12,25.4237,25.4768,25.4237,25.4768,1877
2023-12-13,25.51,25.96,25.4336,25.752,9411
2023-12-14,25.9106,25.9252,25.8635,25.8901,5840
2023-12-15,25.79,25.815,25.715,25.715,1210
2023-12-18,25.7367,25.7599,25.7367,25.7599,290
2023-12-19,25.9101,25.9101,25.9101,25.9101,2
2023-12-20,25.925,25.925,25.7489,25.7489,417
2023-12-21,25.97,25.9859,25.97,25.9859,344
2023-12-22,26.05,26.05,26.0317,26.0317,199
