date,open,high,low,close,volume
2012-10-25,43.1659,43.1659,43.1659,43.1659,1162.213635254
2012-10-26,43.1749,43.1749,43.1749,43.1749,585.12137249835
2012-10-31,43.2098,43.2098,43.2098,43.2098,2551.249620739
2012-11-05,43.2446,43.2576,43.2307,43.2307,13094.474351605
2012-11-06,43.2128,43.2496,43.2128,43.2496,6768.5395130856
2012-11-09,43.2526,43.2526,43.2526,43.2526,454.64833917968
2012-11-14,43.2736,43.2736,43.2736,43.2736,2316.3981607654
2012-11-15,43.2736,43.2776,43.2736,43.2736,613.22325659776
2012-11-16,43.2904,43.2904,43.2904,43.2904,200.72774356719
2012-11-19,43.2446,43.2446,43.2406,43.2406,1892.8626218386
2012-11-20,43.2128,43.2128,43.1908,43.1908,6405.222297229
2012-11-26,43.2606,43.2606,43.2606,43.2606,434.57556482296
2012-11-27,43.2646,43.2646,43.2646,43.2646,1049.8060988564
2012-11-29,43.2347,43.2904,43.2128,43.2168,64021.110172037
2012-12-04,43.2128,43.2128,43.2048,43.2048,28991.108003409
2012-12-05,43.5316,43.5316,43.2307,43.2347,1132.1044737189
2012-12-06,43.1908,43.2257,43.1908,43.2257,2361.561903068
2012-12-10,43.2307,43.2307,43.1799,43.1799,12335.723480921
2012-12-11,43.2208,43.2208,43.1699,43.2128,2061.473926435
2012-12-12,43.2208,43.2208,43.2048,43.2048,1386.0250693314
2012-12-13,43.1659,43.1699,43.1659,43.1699,454.64833917968
2012-12-14,43.156,43.2048,43.156,43.2048,7574.4614035079
2012-12-17,43.1948,43.1948,43.1868,43.1868,1713.211291346
2012-12-18,43.156,43.1699,43.156,43.156,3880.0672831537
2012-12-19,43.14,43.152,43.14,43.152,2732.9082286673
2012-12-21,43.14,43.148,43.14,43.148,1614.854696998
2012-12-24,43.14,43.14,43.14,43.14,474.7211135364
2012-12-26,43.1301,43.156,43.1301,43.147,7999.0005811525
2012-12-27,43.144,43.1699,43.134,43.1699,14157.327753794
2012-12-28,43.1789,43.1789,43.1789,43.1789,1042.7806278315
2012-12-31,43.1898,43.1928,43.1729,43.1729,3720.4887270178
2013-01-03,43.2696,43.2696,43.1699,43.1699,5106.5137963493
2013-01-04,43.147,43.147,43.147,43.147,290.05158945459
2013-01-07,43.152,43.156,43.144,43.147,16927.370615021
2013-01-08,43.1121,43.1739,43.1121,43.1739,1691.1312395536
2013-01-09,43.1649,43.2247,43.1649,43.2247,28072.778576589
2013-01-10,43.1819,43.1819,43.1819,43.1819,543.97218506708
2013-01-14,43.1898,43.1898,43.1829,43.1829,763.76906427315
2013-01-15,43.147,43.1988,43.144,43.1739,46097.126310205
2013-01-16,43.1649,43.1649,43.1649,43.1649,200.72774356719
2013-01-17,43.1789,43.1829,43.1649,43.1649,68862.663346878
2013-01-18,43.16,43.1868,43.16,43.1699,1276.6284490873
2013-01-22,43.1699,43.1699,43.134,43.1649,3630.1612424126
2013-01-23,43.162,43.1759,43.153,43.153,26439.85838267
2013-01-24,43.144,43.1898,43.14,43.144,14607.961538102
2013-01-25,43.14,43.14,43.0942,43.0942,15384.777905707
