date,open,high,low,close,volume
2016-05-24,45.6925,45.6925,45.6747,45.6747,220.90025734415
2016-05-25,45.9086,45.9483,45.9086,45.9483,220.90025734415
2016-05-26,46.0217,46.0217,46.0217,46.0217,1086672.9212022
2016-06-01,46.2368,46.2368,46.2368,46.2368,107.92843623664
2016-06-03,46.5639,46.5639,46.5639,46.5639,107.92843623664
2016-06-08,47.1578,47.1578,47.1578,47.1578,1100.4665788241
2016-06-10,46.7583,46.7583,46.7583,46.7583,107.92843623664
2016-06-15,46.1287,46.1287,46.1287,46.1287,220.90025734415
2016-06-21,46.5739,46.5739,46.5739,46.5739,636.47517070393
2016-06-22,46.7206,46.8574,46.7206,46.8574,263.26469025947
2016-06-24,45.8462,45.8462,45.8462,45.8462,107.92843623664
2016-06-27,45.0461,45.0461,44.6713,44.6713,717.16932863787
2016-06-29,46.0911,46.0911,46.0911,46.0911,658.66606413577
2016-07-01,47.1389,47.1389,47.0567,47.0567,441.80051468831
2016-07-05,46.7127,46.7127,46.7127,46.7127,110.95446715916
2016-07-12,48.0293,48.0293,48.0293,48.0293,107.92843623664
2016-07-14,48.1869,48.1869,48.1869,48.1869,220.90025734415
2016-07-18,48.2037,48.2037,48.1789,48.2037,768.61185432076
2016-07-20,48.0957,48.0957,48.0957,48.0957,3120.846558095
2016-07-21,48.294,48.294,48.2037,48.2037,823.08041092616
2016-08-01,48.4139,48.4139,48.3951,48.3951,3230.79234828
2016-08-02,47.8488,47.8488,47.8488,47.8488,27045.655708533
2016-08-03,48.0213,48.0213,48.0213,48.0213,3754.2956978764
2016-08-05,48.4496,48.4496,48.3812,48.3872,3439.5884819341
2016-08-09,48.405,48.4675,48.3326,48.3504,2687.1154592001
2016-08-11,48.4417,48.4417,48.4417,48.4417,50469.152402807
2016-08-12,48.5141,48.5685,48.3772,48.3772,4364.5452672519
2016-08-15,48.6459,48.6459,48.6459,48.6459,433.73109889491
2016-08-16,48.3436,48.3504,48.3128,48.3426,870.48822871235
2016-08-17,48.1235,48.1235,48.1235,48.1235,220.90025734415
2016-08-18,48.3406,48.4932,48.3406,48.4932,927.98281624028
2016-08-22,48.4764,48.5953,48.4764,48.5517,1280.0110802271
2016-08-23,48.869,48.869,48.7956,48.8094,3983.265371014
2016-08-24,48.6301,48.6301,48.4675,48.5051,693.96975823186
2016-08-25,48.5685,48.5685,48.4377,48.4377,3746.2262820831
2016-08-26,48.2662,48.5309,48.171,48.171,4719.5995621612
2016-08-29,48.3872,48.5507,48.3772,48.4675,135688.23524289
2016-08-30,48.5309,48.5309,48.3286,48.3286,478.11288575858
2016-08-31,48.1512,48.3326,48.1512,48.3326,252.16924354356
2016-09-01,48.1235,48.171,48.1105,48.1105,3785.5646840758
2016-09-02,48.4853,48.518,48.4377,48.518,1507.9720763905
2016-09-06,48.5865,48.5865,48.5507,48.5597,1679.4471620001
2016-09-07,48.9314,48.9314,48.6211,48.7232,1953.8072989755
2016-09-08,49.0117,49.0117,48.5875,48.5875,2946.3454415629
2016-09-09,48.0391,48.0391,47.2401,47.2401,1736.941749528
2016-09-12,47.1013,47.7972,47.1013,47.7972,2043.579549677
2016-09-13,47.4919,47.4919,47.0339,47.1301,836.19321159043
