date,open,high,low,close,volume
2005-02-25,4.80904,4.80904,4.78064,4.79779,586444.6265643
2005-02-28,4.81251,4.82863,4.78447,4.80904,832134.88582202
2005-03-01,4.84242,4.84242,4.79368,4.80125,880692.35116909
2005-03-02,4.79779,4.80125,4.77677,4.79047,853926.07620741
2005-03-03,4.79047,4.79047,4.73197,4.74677,906272.71100776
2005-03-04,4.69378,4.72604,4.69117,4.7224,1673560.8620683
2005-03-07,4.69718,4.73629,4.69378,4.71883,1247903.7170114
2005-03-08,4.71883,4.74677,4.69718,4.73629,873132.14225988
2005-03-09,4.70121,4.71191,4.61578,4.62262,2040798.8896715
2005-03-10,4.60106,4.62262,4.57444,4.60106,1470636.0672285
2005-03-11,4.56732,4.57444,4.49576,4.509,1569471.2147334
2005-03-14,4.37087,4.46079,4.36168,4.44353,2542326.8743697
2005-03-15,4.44044,4.46415,4.40265,4.41598,1614541.32176
2005-03-16,4.38146,4.3884,4.32313,4.35098,2014924.1839929
2005-03-17,4.33364,4.40622,4.33364,4.40265,1629680.9360462
2005-03-18,4.40622,4.42009,4.35765,4.37481,1123470.0796706
2005-03-21,4.36767,4.36767,4.28226,4.29605,1451712.615841
2005-03-22,4.27868,4.31658,4.26481,4.28562,1457256.1291589
2005-03-23,4.28562,4.28562,4.18597,4.2063,1793350.0206675
2005-03-24,4.21653,4.26481,4.19581,4.23032,1654387.8565992
2005-03-28,4.23387,4.24409,4.18209,4.19581,1285705.8280278
2005-03-29,4.22366,4.28226,4.19936,4.28226,900460.44714049
2005-03-30,4.30589,4.3478,4.28874,4.34085,1197900.1177552
2005-03-31,4.3478,4.35765,4.32313,4.3539,1235396.1517571
2005-04-01,4.3539,4.36168,4.29229,4.31273,1294431.6891218
2005-04-04,4.30589,4.3478,4.29229,4.34415,718161.19050142
2005-04-05,4.30936,4.34415,4.29229,4.30936,828353.18166174
2005-04-06,4.32689,4.33701,4.3027,4.33016,719318.31092271
2005-04-07,4.31658,4.36767,4.3027,4.33016,642849.18136743
2005-04-08,4.31975,4.35098,4.29605,4.3478,641695.26035745
2005-04-11,4.35098,4.3539,4.30936,4.33016,898413.89037694
2005-04-12,4.33016,4.3478,4.30589,4.3478,703616.66671755
2005-04-13,4.30936,4.31975,4.27868,4.3027,755961.16857706
2005-04-14,4.28562,4.29913,4.24409,4.27868,688790.594739
