date,open,high,low,close,volume
2025-03-13,0.14,0.1419,0.14,0.14,1154000
2025-03-14,0.15,0.15,0.14,0.14,2000
2025-03-17,0.14,0.14,0.1,0.11,1161320
2025-03-18,0.1,0.11,0.1,0.11,73110
2025-03-24,0.116,0.12,0.116,0.12,3700
2025-03-25,0.1181,0.12,0.1181,0.12,26036
2025-03-26,0.12,0.12,0.12,0.12,6036
2025-03-27,0.12,0.12,0.12,0.12,31200
2025-04-07,0.1101,0.13,0.1,0.13,1049909
2025-04-10,0.13,0.13,0.13,0.13,120000
2025-04-14,0.1249,0.1249,0.1249,0.1249,100
2025-04-24,0.1,0.13,0.1,0.12,713100
2025-04-30,0.106,0.106,0.1,0.1,5000
2025-05-07,0.13,0.14,0.13,0.14,9778
2025-05-08,0.138,0.1419,0.138,0.14,166504
2025-05-09,0.14,0.14,0.13,0.13,3100
2025-05-13,0.14,0.14,0.13,0.13,6274
2025-05-14,0.14,0.14,0.13,0.13,118722
2025-05-15,0.13,0.13,0.13,0.13,1400
2025-05-16,0.13,0.1484,0.13,0.1483,1500
2025-05-30,0.13,0.1315,0.13,0.13,400
2025-06-02,0.14,0.14,0.14,0.14,137236
2025-06-05,0.15,0.15,0.14,0.1499,65756
2025-06-10,0.15,0.15,0.1301,0.1302,1268
2025-06-11,0.1485,0.15,0.134,0.134,18911
2025-06-13,0.15,0.1525,0.125,0.1525,40300
2025-06-16,0.15,0.15,0.15,0.15,1102
2025-06-23,0.1666,0.17,0.153,0.1593,3000
2025-06-24,0.15,0.1597,0.15,0.1597,5100
2025-07-01,0.15,0.15,0.15,0.15,10209
2025-07-08,0.15,0.165,0.145,0.145,120491
2025-07-09,0.14,0.14,0.14,0.14,50747
2025-07-10,0.1425,0.15,0.1425,0.15,409800
2025-07-11,0.16,0.16,0.15,0.15,800
2025-07-16,0.15,0.15,0.15,0.15,125000
2025-07-21,0.1,0.14926,0.1,0.14926,1615
2025-07-25,0.135,0.16,0.135,0.16,359
2025-07-30,0.15,0.15,0.134,0.15,50345
2025-08-18,0.145453,0.145453,0.145453,0.145453,200
2025-08-27,0.1325,0.15,0.13,0.15,1356
2025-09-05,0.14,0.15,0.14,0.15,200125
2025-09-09,0.15,0.15,0.15,0.15,199840
2025-09-11,0.16,0.16,0.16,0.16,316
2025-09-12,0.16,0.16,0.1598,0.16,10465
2025-09-15,0.1441,0.16,0.1441,0.15,16717
2025-09-18,0.139,0.15,0.1339,0.15,2900
