date,open,high,low,close,volume
2024-09-06,25.0,25.02,24.73,24.7312,25462
2024-09-09,24.864,24.93,24.81,24.8974,38619
2024-09-10,24.91,24.98,24.89,24.9795,16545
2024-09-11,24.909,25.12,24.74,25.12,42420
2024-09-12,25.1054,25.22,25.1054,25.22,8201
2024-09-13,25.3,25.3,25.25,25.289,13125
2024-09-16,25.25,25.31,25.25,25.27,28005
2024-09-17,25.35,25.35,25.26,25.2925,9747
2024-09-18,25.34,25.38,25.2878,25.38,3464
2024-09-19,25.42,25.47,25.42,25.44,62595
2024-09-20,25.46,25.46,25.29,25.377,7379
2024-09-23,25.23,25.365,25.23,25.365,3738
2024-09-24,25.46,25.46,25.345,25.3852,9450
2024-09-25,25.42,25.42,25.36,25.3802,9119
2024-09-26,25.42,25.4261,25.4,25.4261,2195
2024-09-27,25.45,25.45,25.419,25.419,3481
2024-09-30,25.22,25.29,25.19,25.29,8289
2024-10-01,25.2,25.22,25.19,25.2002,7253
2024-10-02,25.17,25.2184,25.1699,25.21,4931
2024-10-03,25.2,25.22,25.15,25.1939,7556
2024-10-04,25.23,25.2969,25.23,25.2969,248
2024-10-07,25.26,25.29,25.1829,25.2011,12860
2024-10-08,25.26,25.288,25.26,25.288,918
2024-10-09,25.34,25.3472,25.3113,25.3472,1091
2024-10-10,25.3193,25.35,25.3193,25.33,7902
2024-10-11,25.8,25.84,25.31,25.38,87596
2024-10-14,25.42,25.47,25.41,25.4213,10277
2024-10-15,25.4,25.4,25.34,25.3539,1130
2024-10-16,25.4,25.42,25.3593,25.4056,19799
2024-10-17,25.365,25.4,25.3307,25.3307,38831
2024-10-18,25.37,25.37,25.3188,25.3297,7092
2024-10-21,25.29,25.34,25.24,25.34,5575
2024-10-22,25.16,25.32,25.16,25.2902,11420
2024-10-23,25.3,25.3,25.13,25.204,126194
2024-10-24,25.22,25.26,25.2,25.2481,22008
2024-10-25,25.75,25.75,25.21,25.2499,24797
2024-10-28,25.2772,25.29,25.24,25.26,23713
2024-10-29,25.2,25.33,25.2,25.31,82324
2024-10-30,25.33,25.34,25.2642,25.34,26301
2024-10-31,25.325,25.325,24.83,24.83,176901
2024-11-01,24.93,24.93,24.7761,24.88,93071
2024-11-04,24.85,24.88,24.71,24.88,27757
2024-11-05,24.9078,25.04,24.9,25.04,172118
2024-11-06,25.2599,25.35,25.1201,25.35,8751
2024-11-07,25.3177,25.49,25.3177,25.49,41820
2024-11-08,25.405,25.47,25.405,25.46,22484
2024-11-11,25.4147,25.6505,25.4147,25.6505,10702
2024-11-12,25.4784,25.52,25.39,25.46,75049
2024-11-13,25.48,25.49,25.4,25.44,22289
2024-11-14,25.4019,25.41,25.39,25.4002,30124
