date,open,high,low,close,volume
2024-07-18,24.95,24.95,24.88,24.8984,15681
2024-07-19,24.7,24.91,24.7,24.81,20311
2024-07-22,24.9211,24.9785,24.9132,24.9785,3931
2024-07-23,24.9999,25.008,24.96,24.968,3938
2024-07-24,24.97,24.97,24.6887,24.6887,2552
2024-07-25,24.68,24.73,24.6094,24.6094,2137
2024-07-26,24.74,24.82,24.7399,24.7671,2909
2024-07-29,24.84,24.87,24.78,24.8208,10367
2024-07-30,24.8501,24.8501,24.735,24.7784,1334
2024-07-31,24.94,25.05,24.91,25.02,3427
2024-08-01,25.1599,25.1599,24.68,24.7511,2465
2024-08-02,24.55,24.55,24.22,24.3941,5810
2024-08-05,23.766,24.01,23.7573,23.8394,8210
2024-08-06,23.88,24.23,23.88,24.0465,4059
2024-08-07,24.26,24.31,23.9522,23.9522,3550
2024-08-08,24.04,24.2926,24.04,24.2646,110514
2024-08-09,24.26,24.4999,24.26,24.3926,2322
2024-08-12,24.4,24.4799,24.37,24.3809,1349
2024-08-13,24.48,24.61,24.4607,24.5976,24043
2024-08-14,24.57,24.66,24.56,24.6546,5451
2024-08-15,24.76,24.79,24.73,24.7598,2816
2024-08-16,24.79,24.79,24.7301,24.7647,2468
2024-08-19,24.74,24.82,24.74,24.7949,715
2024-08-20,24.82,24.83,24.7851,24.7851,1259
2024-08-21,24.8126,24.83,24.8126,24.8151,2026
2024-08-22,25.14,25.14,24.7655,24.7762,2578
2024-08-23,24.825,24.85,24.78,24.8357,7196
2024-08-26,24.8378,24.8704,24.7901,24.8704,1836
2024-08-27,24.85,24.85,24.8,24.8448,1018
2024-08-28,24.83,24.8482,24.83,24.8482,916
2024-08-29,24.8,24.875,24.8,24.875,4041
2024-08-30,24.86,24.9,24.82,24.885,2302
2024-09-03,24.7161,24.77,24.6765,24.6765,3415
2024-09-04,24.98,24.98,24.37,24.6823,1661
2024-09-05,24.71,24.7122,24.69,24.7122,1152
2024-09-06,24.5,24.5,24.381,24.406,25854
2024-09-09,24.4828,24.59,24.4828,24.5715,3477
