date,open,high,low,close,volume
2005-02-25,3.09,3.2,3.07,3.17,1360
2005-02-28,3.16,3.16,3.07,3.07,1700
2005-03-01,3.06,3.16,3.03,3.03,4600
2005-03-02,3.05,3.18,3.03,3.13,6000
2005-03-03,3.03,3.19,3.01,3.08,4150
2005-03-04,3.03,3.05,3.0,3.0,3000
2005-03-07,3.07,3.07,3.0,3.06,3805
2005-03-08,3.0,3.12,3.0,3.12,10631
2005-03-09,3.0,3.12,3.0,3.0,4675
2005-03-10,3.0,3.1,3.0,3.1,3743
2005-03-11,3.09,3.1,3.0,3.1,4090
2005-03-14,3.02,3.03,3.0,3.02,4000
2005-03-15,3.01,3.01,3.01,3.01,700
2005-03-16,3.0,3.0,3.0,3.0,5800
2005-03-17,3.0,3.09,2.91,3.09,12255
2005-03-18,2.94,2.97,2.9,2.95,5100
2005-03-21,2.91,2.95,2.66,2.94,8425
2005-03-22,2.72,3.01,2.72,2.94,3110
2005-03-23,2.68,2.84,2.68,2.7,2496
2005-03-24,2.89,2.89,2.72,2.85,4410
2005-03-28,2.9,3.07,2.9,3.03,8990
2005-03-29,2.77,2.77,2.77,2.77,1000
2005-03-30,2.76,2.9,2.71,2.9,2575
2005-03-31,2.75,2.9,2.75,2.9,4566
2005-04-01,2.78,2.78,2.52,2.66,13847
2005-04-04,2.8,2.8,2.5,2.53,3800
2005-04-05,2.66,2.69,2.57,2.57,4904
2005-04-06,2.7,3.05,2.57,2.59,5300
2005-04-07,2.92,2.92,2.35,2.5,9148
2005-04-08,2.77,2.77,2.46,2.68,5366
2005-04-11,2.68,2.68,2.38,2.4,2400
2005-04-12,2.62,2.62,2.48,2.48,2534
2005-04-13,2.47,2.75,2.47,2.48,1602
2005-04-14,2.65,2.65,2.5,2.5,4292
2005-04-15,2.62,2.63,2.4,2.4,3755
2005-04-18,2.42,2.63,2.4,2.4,900
2005-04-19,2.72,2.9,2.58,2.71,1639
2005-04-20,2.9,4.73,2.8,3.07,343828
2005-04-21,2.94,3.19,2.81,2.92,84561
2005-04-22,2.8,3.0,2.69,2.88,16664
2005-04-25,2.9,2.99,2.4,2.9,34900
2005-04-26,2.9,2.9,2.67,2.79,3029
2005-04-27,2.41,2.8,2.41,2.57,15160
2005-04-28,2.45,2.6,2.17,2.23,98164
2005-04-29,3.02,3.75,2.66,3.4,1517869
2005-05-02,3.4,3.6,3.11,3.37,208962
2005-05-03,3.39,3.5,3.17,3.4,89117
2005-05-04,3.43,3.48,3.32,3.35,27746
2005-05-05,3.27,3.75,3.27,3.6,111999
2005-05-06,3.61,3.69,3.36,3.45,79911
2005-05-09,3.4,3.5,3.3,3.36,27970
2005-05-10,3.39,3.54,3.39,3.44,47672
2005-05-11,3.35,3.55,3.31,3.55,19000
2005-05-12,3.46,3.58,3.43,3.45,22450
2005-05-13,3.46,3.5,3.42,3.42,32917
2005-05-16,3.43,3.51,3.42,3.47,29526
2005-05-17,3.5,3.5,3.05,3.41,71036
2005-05-18,3.36,3.4,3.22,3.23,31017
2005-05-19,3.25,3.47,3.25,3.42,14560
2005-05-20,3.58,3.6,3.48,3.57,25608
2005-05-23,3.65,3.67,3.55,3.61,51516
2005-05-24,3.68,3.94,3.68,3.9,76696
2005-05-25,3.94,3.94,3.78,3.8,23265
2005-05-26,3.7,3.83,3.56,3.75,20387
2005-05-27,3.63,3.77,3.63,3.77,21835
2005-05-31,3.7,3.78,3.68,3.77,36644
2005-06-01,3.9,3.99,3.85,3.93,53475
2005-06-02,3.86,3.97,3.81,3.83,32638
2005-06-03,3.86,3.91,3.61,3.69,37225
2005-06-06,3.84,3.84,3.56,3.64,29720
2005-06-07,3.69,3.69,3.42,3.5,68547
2005-06-08,3.47,3.5,3.43,3.46,38660
2005-06-09,3.6,3.6,3.41,3.45,11770
2005-06-10,3.54,3.6,3.41,3.52,8195
2005-06-13,3.52,3.6,3.43,3.45,20554
2005-06-14,3.41,3.54,3.31,3.51,25329
2005-06-15,3.56,3.56,3.34,3.42,24918
2005-06-16,3.45,3.57,3.34,3.42,22060
2005-06-17,3.42,3.42,3.35,3.39,28499
2005-06-20,3.34,3.37,3.25,3.29,39357
2005-06-21,3.4,3.52,3.25,3.25,39235
2005-06-22,3.24,3.47,3.22,3.3,36170
2005-06-23,3.3,3.39,3.25,3.29,13927
2005-06-24,3.2,3.4,3.2,3.36,31612
2005-06-27,3.36,3.4,3.18,3.35,25100
2005-06-28,3.27,3.39,3.26,3.35,25759
2005-06-29,3.27,3.4,3.25,3.39,16354
2005-06-30,3.4,3.67,3.35,3.4,25595
2005-07-01,3.34,3.48,3.34,3.44,14914
2005-07-05,3.4,3.65,3.3,3.51,16431
2005-07-06,3.54,3.8,3.54,3.8,80389
2005-07-07,3.8,3.95,3.75,3.84,26494
2005-07-08,3.8,3.93,3.78,3.89,25425
2005-07-11,3.82,3.92,3.82,3.84,19250
2005-07-12,3.92,3.92,3.77,3.84,9830
2005-07-13,3.77,3.88,3.75,3.8,3934
2005-07-14,3.9,3.9,3.76,3.81,5388
2005-07-15,3.8,3.81,3.75,3.81,8599
2005-07-18,3.73,3.86,3.54,3.59,9575
2005-07-19,3.6,3.77,3.6,3.71,15500
2005-07-20,3.9,3.9,3.68,3.86,9554
2005-07-21,3.74,3.85,3.74,3.82,10830
2005-07-22,3.8,3.9,3.8,3.82,10459
2005-07-25,3.82,3.88,3.75,3.77,18458
2005-07-26,3.95,3.95,3.75,3.8,13250
