date,open,high,low,close,volume
2014-02-06,8.00071,8.2375,8.00071,8.2375,14951094.723719
2014-02-07,8.24956,8.6496,8.15925,8.38801,1507037.7592796
2014-02-10,8.36505,8.65582,8.29167,8.48121,623921.86609867
2014-02-11,8.49517,8.60358,8.34926,8.38801,408751.99599037
2014-02-12,8.35366,8.38275,8.11992,8.18575,300657.54627583
2014-02-13,8.14757,8.43987,8.11485,8.4082,501636.2572893
2014-02-14,8.36505,8.43987,8.29167,8.36505,317353.94976235
2014-02-18,8.31577,8.33127,8.20985,8.22794,110939.37054648
2014-02-19,8.1935,8.26755,8.17608,8.21933,62006.105142078
2014-02-20,8.26755,8.26755,8.03955,8.0738,280964.6740071
2014-02-21,8.02922,8.23311,8.02922,8.20985,127407.92952846
2014-02-24,8.26755,8.29167,8.10815,8.29167,203055.44051129
2014-02-25,8.24354,8.49173,8.19866,8.38801,185037.95696174
2014-02-26,8.38801,8.52483,8.15101,8.15427,231033.28244748
2014-02-27,8.15101,8.30132,8.14757,8.20985,467249.50479416
2014-02-28,8.14757,8.31061,8.11992,8.24354,270058.44737913
2014-03-03,8.11992,8.25291,8.10815,8.15925,1236135.8691703
2014-03-04,8.29167,8.33472,8.1935,8.26755,471677.84041684
2014-03-05,8.24354,8.26755,8.15101,8.16517,299280.0276658
2014-03-06,8.18575,8.45135,8.18575,8.37825,1868185.9311948
2014-03-07,8.45996,9.21296,8.42581,9.0194,1031371.594875
2014-03-10,9.04485,9.1613,8.96859,9.01002,358977.37817241
2014-03-11,9.06648,9.14407,8.92219,9.09049,712531.43004174
2014-03-12,9.0194,9.21296,8.94602,9.13833,723911.11336951
2014-03-13,9.16321,9.17755,8.98458,9.0194,548037.10418679
2014-03-14,9.0194,9.58611,8.80269,9.18904,541015.7308771
2014-03-17,9.26272,9.36892,8.92678,8.96103,618337.58542083
2014-03-18,8.92219,9.345,8.80269,9.18904,616682.05470893
2014-03-19,9.18904,9.19286,9.07212,9.14981,539941.3081676
2014-03-20,9.14981,9.20817,8.9573,9.12685,396338.65112593
2014-03-21,9.13833,9.21296,8.87865,8.87865,3229807.6838209
2014-03-24,8.97424,9.24741,8.85742,9.1613,405386.58633612
2014-03-25,9.16798,9.35744,9.11632,9.21296,446995.38253029
2014-03-26,9.22253,9.27037,8.92219,8.92678,463406.45780699
2014-03-27,8.95262,9.0194,8.83512,8.95262,382273.9561827
2014-03-28,8.9573,9.15555,8.94602,9.01375,264943.44276798
2014-03-31,9.04954,9.36126,9.01002,9.15555,3263577.7929323
2014-04-01,9.13833,9.38422,9.13546,9.3737,612565.17625301
2014-04-02,9.35552,9.4445,9.23784,9.32108,391126.44679496
2014-04-03,9.35552,9.42154,9.32108,9.38709,328602.98830541
2014-04-04,9.42728,9.54975,9.13546,9.27037,873832.79735826
2014-04-07,9.22635,9.27037,8.97424,9.00619,190956.68828844
2014-04-08,8.99395,9.09049,8.85368,8.96668,259981.03126539
2014-04-09,8.99395,9.45599,8.97424,9.43781,310949.21983651
2014-04-10,9.39953,9.39953,9.12206,9.16321,278119.75317516
2014-04-11,9.08149,9.18904,8.6496,8.78967,212436.78121207
2014-04-14,8.84803,9.06648,8.68949,8.79618,102972.12899544
2014-04-15,8.80652,8.8444,8.592,8.74863,188112.81261478
2014-04-16,8.8157,9.06179,8.80269,8.94075,104670.51119674
2014-04-17,8.97424,9.01002,8.81934,8.94075,163114.71692836
2014-04-21,8.97892,8.97892,8.87311,8.89349,78481.980231999
2014-04-22,8.8444,8.99959,8.7714,8.82402,250985.35396909
2014-04-23,8.76776,8.85368,8.68405,8.80269,196345.52436835
2014-04-24,8.81934,8.85742,8.5722,8.67773,183320.76191145
2014-04-25,8.63668,8.70949,8.3261,8.56684,601686.12374025
2014-04-28,8.61333,8.72767,8.46618,8.55794,205179.20213161
2014-04-29,8.55794,8.62597,8.49517,8.592,122187.36393127
2014-04-30,8.592,8.67773,8.51058,8.674,234148.89927335
2014-05-01,8.62061,8.62061,8.39853,8.58664,141317.94104658
2014-05-02,8.64013,8.7513,8.60721,8.69314,331716.51481473
2014-05-05,8.61162,8.86938,8.48464,8.86296,230188.79455908
2014-05-06,8.87311,8.87311,8.48464,8.66501,379888.90499295
2014-05-07,8.64481,8.6496,8.46618,8.58664,159772.30075622
2014-05-08,8.52847,8.54818,8.36065,8.48121,321033.95205819
2014-05-09,8.44695,8.51058,8.31061,8.40466,204359.79804188
2014-05-12,8.39853,8.48464,8.36505,8.39853,559181.62690208
2014-05-13,8.38801,8.58301,8.30554,8.44695,251904.0480952
2014-05-14,8.4082,8.41595,8.26755,8.29167,142124.80323698
2014-05-15,8.25291,8.31577,8.15925,8.20297,132342.12175756
2014-05-16,8.1802,8.28573,8.13839,8.26238,222687.69359992
2014-05-19,8.22794,8.38801,8.1802,8.32094,215726.93947032
2014-05-20,8.30554,8.35366,8.05457,8.06873,655620.47150353
2014-05-21,8.05954,8.1935,8.05954,8.13839,198676.22732765
2014-05-22,8.13839,8.34506,8.08145,8.31577,585933.49817851
2014-05-23,8.32094,8.4082,8.30132,8.36505,128993.43463575
2014-05-27,8.43366,8.58664,8.39241,8.51861,135895.6599018
2014-05-28,8.53383,8.74404,8.50436,8.70596,199492.49594256
2014-05-29,8.74863,8.76776,8.51861,8.53919,398062.11712589
2014-05-30,8.57679,9.07212,8.51058,8.99395,875617.9276966
2014-06-02,9.06648,9.30385,9.06648,9.22253,348037.70647955
2014-06-03,9.23114,9.35552,9.14981,9.32777,331319.3546692
2014-06-04,9.33256,9.46938,9.30385,9.4445,367336.55407758
2014-06-05,9.43781,9.60524,9.42728,9.51817,213925.08659954
2014-06-06,9.56698,9.68753,9.46173,9.5775,308737.66492086
2014-06-09,9.62534,9.64256,9.43589,9.51052,213375.33334546
2014-06-10,9.52104,9.56698,9.32108,9.47512,305024.21756014
2014-06-11,9.47512,9.52104,9.40623,9.5153,130968.78378064
2014-06-12,9.46651,9.46938,9.35744,9.45599,176226.22752231
2014-06-13,9.49234,9.5153,9.40623,9.47895,165836.30908353
2014-06-16,9.45025,9.46173,9.2187,9.31055,442148.98359652
2014-06-17,9.30098,9.42154,9.27419,9.3957,139597.61052147
2014-06-18,9.37944,9.3957,9.32108,9.345,127053.62087231
2014-06-19,9.37944,9.37944,9.22635,9.22635,138895.26415884
2014-06-20,9.21296,9.26272,9.09049,9.10006,625455.11329208
2014-06-23,9.12685,9.17755,9.02409,9.05231,162475.08006239
2014-06-24,9.0194,9.12685,8.72767,8.77781,187018.53189801
2014-06-25,8.72767,8.88698,8.70949,8.86296,144710.52481605
2014-06-26,8.9064,8.97424,8.77781,8.81015,162932.85938804
2014-06-27,8.7714,8.81015,8.66223,8.78135,478533.03356038
2014-06-30,8.79618,8.84803,8.67036,8.76135,203463.0522396
2014-07-01,8.8157,9.17755,8.7559,9.04954,602412.50874327
2014-07-02,9.07212,9.40623,8.99395,9.32777,512900.97320653
2014-07-03,9.32777,9.32777,9.2187,9.25028,45421.533591275
2014-07-07,9.22635,9.25028,9.08149,9.1058,204821.75800063
2014-07-08,9.08149,9.20243,9.02409,9.15555,318291.45673746
2014-07-09,9.17755,9.20243,9.11632,9.15555,59739.156837711
2014-07-10,9.08714,9.21296,9.02696,9.14981,90848.292973939
2014-07-11,9.13546,9.16798,9.1058,9.11632,109087.35007837
2014-07-14,9.24262,9.24262,9.03921,9.04954,104559.7244193
2014-07-15,9.05614,9.14407,8.97892,9.03921,233471.63670939
2014-07-16,9.11632,9.12206,9.01375,9.05614,83494.559331926
2014-07-17,9.00619,9.11632,8.89808,8.92219,100070.76961651
2014-07-18,8.89349,9.15555,8.85368,9.14981,200916.00151681
2014-07-21,9.13833,9.16798,9.01002,9.03921,92088.895849588
2014-07-22,9.09719,9.12206,8.96859,9.02409,79117.43646485
2014-07-23,9.02409,9.03261,8.96859,8.99959,58407.625191901
2014-07-24,9.02696,9.04954,8.93041,9.02409,200382.97079517
2014-07-25,8.96859,9.04485,8.80269,8.88238,117259.44265183
2014-07-28,8.94602,8.94602,8.60721,8.70596,148616.28129988
2014-07-29,8.70596,8.78422,8.64013,8.69314,184672.15156454
2014-07-30,8.7513,8.77781,8.68405,8.71313,97204.94561901
2014-07-31,8.66223,8.72767,8.48464,8.53383,229154.08786414
2014-08-01,8.50436,8.61333,8.41442,8.49977,176792.70330883
2014-08-04,8.55526,8.73226,8.49173,8.674,127184.26565703
2014-08-05,8.60721,8.80652,8.46618,8.51058,157555.52004918
2014-08-06,8.4082,8.56339,8.25291,8.37032,271065.97995885
2014-08-07,8.37032,8.41442,8.13839,8.24354,202264.25569506
2014-08-08,8.24956,8.35366,8.17111,8.18929,198852.8590766
2014-08-11,8.24354,8.51861,8.17111,8.35366,261067.99587422
2014-08-12,8.30554,8.42581,8.28573,8.4082,125543.36716102
2014-08-13,8.41442,8.63132,8.39241,8.61162,147379.85905734
2014-08-14,8.59822,8.67036,8.51861,8.64481,161583.5600515
