date,open,high,low,close,volume
2026-01-26,0.2,0.3,0.2,0.27,4852
2026-01-27,0.2851,0.3,0.2851,0.3,22134
2026-01-28,0.2901,0.5377,0.2901,0.48,153375
2026-01-29,0.449899,0.45,0.35,0.4,23742
2026-01-30,0.3001,0.3436,0.3,0.34,17450
2026-02-02,0.305,0.45,0.305,0.45,25806
2026-02-03,0.3695,0.3695,0.34,0.34,500
2026-02-05,0.35,0.36,0.35,0.36,3629
2026-02-12,0.32,0.3221,0.32,0.32,1113
2026-02-18,0.301,0.301,0.296,0.296,5243
2026-02-23,0.2998,0.2998,0.2998,0.2998,418
2026-02-24,0.28,0.28,0.28,0.28,16051
2026-02-25,0.2701,0.29,0.2701,0.29,10779
2026-02-26,0.2701,0.2701,0.2701,0.2701,200
2026-02-27,0.27,0.27,0.27,0.27,305
