date,open,high,low,close,volume
2012-11-08,2.34623,2.56711,2.34623,2.56711,5614.5273630352
2012-11-09,2.53956,2.53956,2.53396,2.53396,3803.5323382076
2012-11-12,2.56711,2.62221,2.51173,2.51173,2445.2860695869
2012-11-13,2.56711,2.56711,2.48418,2.56711,36409.191541323
2012-11-14,2.53396,2.53956,2.50071,2.53956,23003.843282972
2012-11-15,2.53956,2.53956,2.53956,2.53956,3985.07462676
2012-11-16,2.48418,2.48418,2.37388,2.42898,1812.1019900017
2012-11-26,2.42898,2.42898,2.42898,2.42898,3260.0124377245
2012-11-27,2.48418,2.48418,2.48418,2.48418,364.1915422789
2012-11-29,2.53956,2.53956,2.53956,2.53956,364.1915422789
2012-11-30,2.48978,2.48978,2.48418,2.48418,2534.950248689
2012-12-05,2.50631,2.50631,2.50631,2.50631,364.1915422789
2012-12-07,2.59457,2.59457,2.59457,2.59457,3077.363183998
2012-12-10,2.56711,2.56711,2.56711,2.56711,364.1915422789
2012-12-11,2.57244,2.57244,2.56711,2.56711,9237.6243778645
2012-12-13,2.51173,2.51173,2.51173,2.51173,179.3283582042
2012-12-14,2.51173,2.51173,2.51173,2.51173,907.711442762
2012-12-17,2.62221,2.67741,2.51173,2.51173,4348.1592038648
2012-12-18,2.6167,3.00859,2.53956,2.53956,4891.6791043479
2012-12-26,2.65546,2.65546,2.62763,2.62763,2716.4925372414
2012-12-28,2.64426,2.70496,2.6167,2.70496,2898.0348257938
2012-12-31,2.70496,2.70496,2.70496,2.70496,1812.1019900017
2013-01-03,2.76025,2.76025,2.76025,2.76025,364.1915422789
2013-01-04,2.79882,2.90922,2.77669,2.7878,3260.0124377245
2013-01-08,2.71047,2.76025,2.67741,2.67741,2898.0348257938
2013-01-09,2.66639,2.73252,2.66639,2.68834,3440.4477611028
2013-01-11,2.65546,2.65546,2.64977,2.64977,7719.9751241734
2013-01-14,2.76025,2.76025,2.76025,2.76025,1089.2537313144
2013-01-15,2.77127,2.77127,2.73252,2.73252,2211.7164178518
2013-01-16,2.6719,2.6719,2.6719,2.6719,364.1915422789
2013-01-29,2.7878,2.8981,2.73252,2.7878,4891.6791043479
2013-01-30,2.7878,2.8374,2.7878,2.8374,22644.07960139
2013-01-31,2.79882,2.80984,2.7878,2.7878,17569.751243315
2013-02-04,2.76025,2.76025,2.76025,2.76025,1812.1019900017
2013-02-06,2.843,2.843,2.79882,2.79882,1812.1019900017
2013-02-07,2.7878,2.843,2.76025,2.79331,3803.5323382076
2013-02-19,2.90922,2.90922,2.90922,2.90922,364.1915422789
2013-02-21,2.73252,2.75474,2.72701,2.75474,2716.4925372414
2013-03-07,2.76025,2.76025,2.76025,2.76025,54342.027361743
2013-03-11,2.76025,2.88157,2.76025,2.88157,9237.6243778645
2013-03-12,2.83207,2.83207,2.80984,2.81536,68475.758704652
2013-03-13,2.7878,2.843,2.7878,2.843,13767.325870282
2013-03-18,2.843,2.843,2.843,2.843,4266.2437809814
2013-03-26,2.81536,2.81536,2.71607,2.71607,4312.7363182936
2013-03-27,2.77669,2.77669,2.70496,2.70496,2913.5323382312
2013-04-03,2.70496,2.76025,2.60559,2.69963,103190.18656443
2013-04-04,2.70496,2.70496,2.64977,2.69963,1664.8756218464
2013-04-05,2.69963,2.69963,2.69963,2.69963,194.8258706416
2013-04-08,2.73252,2.73252,2.73252,2.73252,688.5323382902
2013-04-10,2.73252,2.73252,2.73252,2.73252,4529.7014924172
2013-04-11,2.86504,2.86504,2.86504,2.86504,1070.4353233547
2013-04-12,2.74914,2.74914,2.74914,2.74914,364.1915422789
2013-04-15,2.8981,2.8981,2.80442,2.80442,2330.1616914805
2013-04-16,2.7878,2.7878,2.7878,2.7878,433.9303482472
2013-04-18,2.85953,2.85953,2.73252,2.73252,1089.2537313144
2013-04-24,2.60559,2.60559,2.60559,2.60559,381920.69650729
2013-04-25,2.75474,2.78229,2.75474,2.77127,5336.6791043361
2013-04-29,2.76567,2.76567,2.76567,2.76567,179.3283582042
2013-04-30,2.85953,2.85953,2.85953,2.85953,179.3283582042
2013-05-03,2.73252,2.73252,2.73252,2.73252,1812.1019900017
2013-05-08,2.67741,2.73821,2.67741,2.73821,1270.7960198668
2013-05-10,2.76025,2.77127,2.73821,2.74914,9222.1268654271
2013-05-13,2.68834,2.68834,2.68834,2.68834,179.3283582042
2013-05-14,2.76567,2.76567,2.76567,2.76567,364.1915422789
2013-05-16,2.73821,2.73821,2.64977,2.67741,3440.4477611028
2013-05-20,2.71607,2.71607,2.71607,2.71607,8056.4925370998
2013-05-22,2.75474,2.75474,2.71607,2.71607,1270.7960198668
2013-05-24,2.77669,2.77669,2.77669,2.77669,364.1915422789
2013-05-28,2.8486,2.8486,2.8486,2.8486,1452.3383084192
2013-05-29,2.7878,2.8981,2.64426,2.843,44018.470148086
2013-05-31,2.88157,2.93135,2.81536,2.843,5631.1318406467
2013-06-03,2.99756,3.0197,2.95908,2.96992,1089.2537313144
2013-06-05,2.95339,2.95339,2.88157,2.90922,5434.0920396569
2013-06-06,2.93686,2.94219,2.93686,2.94219,364.1915422789
2013-06-07,2.93686,2.93686,2.93135,2.93135,725.0621890355
2013-06-10,2.93135,2.93135,2.88717,2.88717,3260.0124377245
2013-06-14,2.843,2.87064,2.77669,2.80984,32386.480098644
2013-06-17,2.80442,2.82647,2.79331,2.82647,9781.1442783476
2013-06-18,2.86504,2.86504,2.8374,2.86504,13643.345770783
2013-06-19,2.8981,2.8981,2.76025,2.76025,18659.00497463
2013-06-20,2.68834,2.79331,2.63333,2.67741,20287.350745731
2013-06-21,2.71047,2.76025,2.64977,2.6719,57424.925371612
2013-06-24,2.64426,2.64426,2.59457,2.61119,7894.8756216812
2013-06-25,2.61119,2.66088,2.61119,2.66088,543.5199004831
2013-06-26,2.79882,2.82078,2.77127,2.80442,4710.1368157955
2013-06-27,2.81536,2.87064,2.77669,2.78229,6471.3184077886
2013-06-28,2.77127,2.77127,2.76567,2.76567,364.1915422789
2013-07-02,2.73821,2.76025,2.66088,2.67741,26445.398009249
2013-07-03,2.66639,2.66639,2.64977,2.64977,1270.7960198668
2013-07-05,2.59457,2.64977,2.54498,2.64977,27570.074626135
2013-07-08,2.57804,2.57804,2.57244,2.57244,543.5199004831
2013-07-10,2.56151,2.59457,2.50071,2.57244,9070.4726365754
2013-07-12,2.58364,2.58364,2.58364,2.58364,179.3283582042
2013-07-15,2.57244,2.57804,2.57244,2.57804,907.711442762
2013-07-16,2.59457,2.59457,2.59457,2.59457,543.5199004831
