date,open,high,low,close,volume
2025-02-28,10.02,10.03,10.01,10.02,4192088
2025-03-03,10.025,10.04,10.02,10.02,426547
2025-03-04,10.03,10.04,10.0,10.0,288295
2025-03-05,10.03,10.03,10.03,10.03,62351
2025-03-06,10.03,10.03,10.03,10.03,507
2025-03-07,10.04,10.04,10.0399,10.04,120557
2025-03-10,10.02,10.02,10.02,10.02,170
2025-03-11,10.04,10.05,10.03,10.03,276943
2025-03-12,10.04,10.05,10.04,10.05,17407
2025-03-14,10.05,10.05,10.05,10.05,25175
2025-03-17,10.05,10.05,10.05,10.05,214
2025-03-18,10.06,10.07,10.05,10.0588,26615
2025-03-20,10.06,10.07,10.06,10.07,51506
2025-03-21,10.05,10.07,10.05,10.07,946
2025-03-24,10.05,10.07,10.05,10.07,10690
2025-03-26,10.1127,10.1127,10.1127,10.1127,2043
2025-03-31,10.08,10.08,10.08,10.08,165378
2025-04-01,10.08,10.08,10.08,10.08,50000
2025-04-03,10.0879,10.1,10.08,10.1,797
2025-04-07,10.1,10.1,10.1,10.1,233
2025-04-11,10.09,10.11,10.0801,10.09,110926
2025-04-22,10.07,10.07,10.07,10.07,170
2025-04-23,10.1,10.1,10.079,10.0999,2614
2025-04-24,10.1,10.1402,10.08,10.13,7192
2025-04-25,10.15,10.15,10.15,10.15,3005
2025-04-30,10.18,10.18,10.18,10.18,32523
2025-05-05,10.18,10.18,10.18,10.18,101
2025-05-07,10.18,10.18,10.18,10.18,132
2025-05-08,10.2,10.2,10.2,10.2,263
2025-05-13,10.21,10.32,10.2,10.21,5008
2025-05-19,10.25,10.25,10.25,10.25,600
2025-05-21,10.23,10.23,10.23,10.23,574
2025-05-29,10.43,10.5,10.43,10.5,200607
2025-05-30,11.2,11.23,10.45,11.23,11642
2025-06-13,10.95,11.2,10.95,11.1268,1059
2025-06-17,11.09,11.1,11.09,11.1,417
2025-06-20,11.0999,11.0999,11.0999,11.0999,600
2025-06-26,11.1,11.1,10.925,11.1,59111
2025-07-01,11.75,11.75,11.75,11.75,244
2025-07-09,10.7502,10.7502,10.75,10.75,900
2025-07-10,10.8,10.8,10.75,10.75,800
2025-07-11,10.75,10.85,10.75,10.85,1000
2025-07-15,10.5,10.5,10.5,10.5,328
2025-07-16,10.6,10.6,10.6,10.6,200
2025-07-17,10.6,10.6,10.6,10.6,100
2025-07-28,10.6,10.6,10.6,10.6,150
2025-07-29,10.6,10.6,10.6,10.6,150
2025-08-01,11.49,11.49,11.49,11.49,500
2025-08-06,11.05,11.1,10.72,10.9,10579
2025-08-07,10.9,11.34,10.8,11.0,5216
2025-08-11,11.0,11.7,10.5,10.96,13067
2025-08-15,10.7,10.94,10.47,10.47,152888
2025-08-20,10.45,10.45,10.4,10.4,4896
2025-08-21,10.4,10.4,10.39,10.4,11890
2025-08-26,10.69,10.69,10.51,10.51,1000
2025-08-27,10.49,10.49,10.45,10.45,700
2025-08-28,10.45,10.45,10.45,10.45,120
2025-08-29,10.6,10.6,10.5,10.5,3700
2025-09-02,10.6,10.99,10.5,10.5,5700
2025-09-08,10.41,10.41,10.41,10.41,128
2025-09-19,10.41,10.41,10.41,10.41,105
2025-09-22,10.43,10.43,10.43,10.43,104
2025-09-24,10.99,10.99,10.5,10.5,1202
2025-09-26,10.52,10.52,10.4,10.4,840
2025-09-29,10.4,10.4,10.4,10.4,298
2025-10-10,10.44,10.44,10.44,10.44,103
2025-10-16,10.42,10.42,10.42,10.42,102
2025-10-27,10.42,10.57,10.42,10.56,2383
2025-10-28,10.55,10.55,10.55,10.55,200
2025-11-13,10.64,10.65,10.57,10.6101,3840
2025-11-14,10.58,10.882,10.5,10.882,5549
2025-11-20,10.66,10.66,10.66,10.66,294
2025-11-25,10.85,11.0,10.68,10.68,1684
2025-12-01,10.71,10.71,10.71,10.71,143
2025-12-02,10.71,10.71,10.71,10.71,130
2025-12-04,10.66,10.66,10.66,10.66,121
2025-12-11,10.66,10.66,10.66,10.66,104
2025-12-12,10.66,10.66,10.66,10.66,103
2025-12-15,10.83,10.83,10.83,10.83,206
2025-12-16,10.58,10.58,10.58,10.58,201
2025-12-22,10.75,10.75,10.62,10.75,1350
2025-12-31,10.75,10.7502,10.55,10.7501,50086
2026-01-07,10.8,10.8,10.79,10.8,1391
2026-01-12,10.99,10.99,10.99,10.99,124
2026-01-26,10.75,10.99,10.75,10.99,202
