date,open,high,low,close,volume
2024-07-15,9.96,9.96,9.95,9.95,935292
2024-07-16,9.96,9.9609,9.95,9.95,1466988
2024-07-17,9.96,9.9719,9.95,9.96,1544027
2024-07-18,9.97,9.97,9.96,9.97,62401
2024-07-19,9.965,9.965,9.96,9.96,70030
2024-07-22,9.97,9.97,9.955,9.96,108078
2024-07-23,9.97,9.97,9.96,9.96,20062
2024-07-24,9.97,9.97,9.96,9.96,45724
2024-07-25,9.97,9.97,9.96,9.96,12958
2024-07-26,9.98,9.98,9.96,9.97,83154
2024-07-29,9.98,9.98,9.96,9.97,90284
2024-07-30,9.98,9.98,9.97,9.98,36427
2024-07-31,9.97,9.9799,9.96,9.96,40266
2024-08-01,9.98,9.98,9.9601,9.97,5298
2024-08-02,9.98,9.98,9.9659,9.97,44622
2024-08-05,9.98,9.99,9.97,9.97,141761
2024-08-06,9.97,9.97,9.96,9.97,217436
2024-08-07,9.97,9.97,9.95,9.96,177938
2024-08-08,9.965,9.98,9.965,9.98,327629
2024-08-09,9.96,9.98,9.96,9.97,9338
2024-08-12,9.96,9.975,9.96,9.97,107897
2024-08-13,9.97,9.97,9.96,9.97,75856
2024-08-14,9.9625,9.97,9.9625,9.97,3894
2024-08-15,9.97,9.97,9.96,9.97,10936
2024-08-16,9.97,9.97,9.96,9.97,4620
2024-08-19,9.97,9.98,9.96,9.97,5123
2024-08-20,9.97,9.98,9.97,9.98,76351
2024-08-21,9.9701,9.98,9.97,9.98,6362
2024-08-23,9.99,9.99,9.96,9.96,1519
2024-08-26,9.97,9.98,9.97,9.98,357110
2024-08-27,9.97,9.98,9.97,9.98,335488
2024-08-28,9.98,9.98,9.97,9.97,3753
2024-08-29,9.9872,9.9872,9.98,9.98,1052
2024-08-30,9.98,9.99,9.98,9.99,72227
2024-09-03,9.99,9.99,9.98,9.99,16498
2024-09-04,9.99,10.01,9.98,10.0,255536
2024-09-05,9.9937,9.9987,9.9937,9.9987,3524
2024-09-09,10.0,10.0,9.99,9.9967,6071
2024-09-10,9.995,9.995,9.98,9.98,4876
2024-09-12,9.97,10.01,9.96,9.98,22748
2024-09-13,10.0,10.0,10.0,10.0,10696
2024-09-16,10.0,10.0,9.99,9.99,7490
2024-09-17,10.0,10.0,10.0,10.0,5017
2024-09-18,10.0,10.02,10.0,10.02,17800
2024-09-19,10.01,10.01,10.01,10.01,5064
2024-09-20,10.0,10.0,10.0,10.0,280
2024-09-25,10.01,10.01,10.01,10.01,2332
2024-09-26,10.005,10.005,10.0,10.0012,3418
2024-10-01,10.02,10.02,10.01,10.01,10178
2024-10-02,10.0099,10.01,10.005,10.01,10116
2024-10-08,10.01,10.01,10.01,10.01,15034
2024-10-09,10.01,10.01,10.01,10.01,1259
2024-10-10,10.005,10.02,10.005,10.01,57165
2024-10-11,10.0,10.0,10.0,10.0,4827
2024-10-14,10.009,10.02,10.009,10.02,854
2024-10-17,10.01,10.01,10.01,10.01,5386
2024-10-18,10.0,10.005,9.9965,10.0,33882
2024-10-21,10.01,10.02,10.01,10.02,1898
2024-10-23,10.01,10.01,10.0001,10.0001,1155
2024-10-28,10.0,10.0,10.0,10.0,364
2024-10-29,10.0,10.02,10.0,10.02,4610
2024-10-30,10.0,10.0,9.99,10.0,2217
2024-10-31,10.01,10.02,10.01,10.02,2329
2024-11-01,10.01,10.01,10.01,10.01,25158
2024-11-04,10.01,10.01,10.01,10.01,2137
2024-11-05,10.02,10.02,10.01,10.01,2292
2024-11-06,10.0177,10.0195,10.01,10.0177,3148
2024-11-07,10.0177,10.02,10.0099,10.02,2091
2024-11-08,10.0178,10.02,10.0114,10.02,562
2024-11-11,10.02,10.02,10.02,10.02,181
2024-11-12,10.01,10.01,10.01,10.01,648
2024-11-13,10.0179,10.04,10.0179,10.02,9759
2024-11-14,10.02,10.04,10.02,10.04,15956
2024-11-15,10.0285,10.03,10.02,10.02,693
2024-11-18,10.03,10.04,10.03,10.0392,2129
2024-11-19,10.04,10.05,10.04,10.05,1122
2024-11-21,10.05,10.07,10.05,10.0501,3494
2024-11-22,10.04,10.0551,10.04,10.0548,5452
2024-11-27,10.05,10.055,10.05,10.055,164030
2024-12-02,10.06,10.06,10.055,10.0592,2130
2024-12-03,10.06,10.06,10.0598,10.06,1436
2024-12-09,10.06,10.06,10.06,10.06,883
2024-12-10,10.0646,10.0646,10.0646,10.0646,2180
2024-12-11,10.07,10.12,10.07,10.12,14758
2024-12-12,10.1,10.1,10.07,10.07,312
2024-12-13,10.08,10.08,10.08,10.08,300
2024-12-17,10.06,10.0601,10.06,10.0601,3004
2024-12-18,10.0778,10.08,10.0699,10.08,2200
2024-12-19,10.08,10.08,10.06,10.08,14096
2024-12-20,10.1,10.1,10.1,10.1,427
2024-12-23,10.1,10.1,10.1,10.1,989
2024-12-26,10.09,10.09,10.09,10.09,193
2025-01-02,10.1,10.14,10.09,10.09,2622
2025-01-08,10.12,10.12,10.12,10.12,1056
2025-01-10,10.1117,10.13,10.11,10.12,4106
2025-01-14,10.13,10.13,10.13,10.13,1653
2025-01-15,10.12,10.1306,10.12,10.12,40706
2025-01-16,10.15,10.15,10.15,10.15,653
2025-01-17,10.15,10.24,10.15,10.24,3158
2025-01-21,10.14,10.14,10.14,10.14,148
2025-01-27,11.0,11.0,10.13,10.13,1020
2025-01-30,10.59,10.59,10.14,10.15,679
2025-01-31,10.16,10.2,10.13,10.2,7536
2025-02-03,10.2,10.2,10.2,10.2,751
2025-02-04,10.2,10.2,10.1596,10.2,4536
2025-02-05,10.2,10.2,10.2,10.2,165
2025-02-11,10.2,10.71,10.14,10.22,6071
2025-02-12,10.37,10.39,10.37,10.37,1723
