date,open,high,low,close,volume
2024-12-02,0.138,0.138,0.135,0.135,54775
2024-12-03,0.15,0.15,0.12,0.13,100048
2024-12-04,0.1364,0.1364,0.13,0.13,47967
2024-12-05,0.135,0.2178,0.135,0.2178,2187
2024-12-06,0.237,0.2471,0.15,0.1599,327001
2024-12-09,0.174,0.1742,0.16,0.16,2687
2024-12-10,0.198,0.198,0.1763,0.1763,1381
2024-12-11,0.1818,0.1818,0.17,0.18,6900
2024-12-13,0.2,0.2,0.173003,0.173003,956
2024-12-16,0.18,0.184,0.178,0.18,204575
2024-12-17,0.2,0.2,0.18,0.191,52756
2025-01-07,0.2019,0.22,0.2,0.2,213004
2025-01-08,0.2,0.2,0.192,0.2,10174
2025-01-14,0.2,0.2,0.2,0.2,50005
2025-01-15,0.2092,0.2092,0.19,0.19,36994
2025-01-16,0.18,0.18,0.18,0.18,329
2025-01-17,0.2175,0.22,0.2175,0.22,1500
2025-01-21,0.2,0.2,0.2,0.2,263
2025-01-22,0.188,0.2,0.17,0.18,90843
2025-01-23,0.2,0.2,0.1839,0.1839,2896
2025-01-30,0.176,0.176,0.176,0.176,356
2025-02-05,0.17,0.2,0.16,0.19,533137
2025-02-06,0.19,0.19,0.19,0.19,45044
2025-02-10,0.19,0.19,0.19,0.19,111
2025-02-12,0.208,0.21,0.208,0.21,50602
2025-02-13,0.218,0.22,0.218,0.22,65410
2025-02-14,0.248,0.32,0.24,0.24,71964
2025-02-18,0.2937,0.302,0.24,0.24,5438
2025-02-19,0.27,0.27,0.25,0.2599,47664
2025-02-20,0.206,0.27,0.2059,0.27,800
2025-02-24,0.2587,0.27,0.206,0.25,5927
2025-02-25,0.27,0.27,0.2129,0.2129,3686
2025-02-26,0.23705,0.23705,0.2,0.2,1870
2025-02-27,0.248,0.26,0.2,0.2,3119
2025-02-28,0.26,0.268,0.1999,0.2,190826
2025-03-03,0.2,0.2,0.2,0.2,25000
2025-03-04,0.214,0.22,0.2,0.22,968
2025-03-05,0.2,0.2,0.2,0.2,10295
2025-03-06,0.2,0.2353,0.2,0.2353,826
2025-03-07,0.214,0.2376,0.2,0.21,2011
2025-03-12,0.2191,0.2191,0.2191,0.2191,289
2025-03-14,0.2102,0.2102,0.2,0.2,1807
2025-03-19,0.2206,0.2206,0.2022,0.2147,697
2025-03-20,0.21,0.2447,0.21,0.2447,660
2025-03-27,0.21,0.21,0.21,0.21,500
2025-04-01,0.21,0.21,0.21,0.21,2466
2025-04-03,0.21,0.2398,0.21,0.2398,755
2025-04-09,0.2119,0.2119,0.1825,0.2,42082
2025-04-11,0.15,0.2099,0.15,0.2099,75511
2025-04-14,0.165,0.18,0.165,0.165,4010
2025-04-16,0.13,0.16,0.126387,0.16,18894
2025-04-17,0.18,0.18,0.1601,0.1639,1786
2025-04-21,0.18,0.18,0.18,0.18,638
2025-04-22,0.178,0.18,0.178,0.18,1584
2025-04-23,0.18,0.2218,0.1701,0.2218,75852
2025-04-24,0.19001,0.20995,0.19001,0.20995,1955
2025-04-28,0.21,0.25,0.21,0.25,75311
2025-04-29,0.22,0.22,0.22,0.22,500
2025-05-01,0.22,0.22,0.2151,0.22,3200
2025-05-02,0.22,0.22,0.22,0.22,100
2025-05-05,0.222,0.222,0.215,0.215,4100
2025-05-07,0.2209,0.2209,0.2208,0.2208,302
2025-05-08,0.22,0.27,0.22,0.2611,18200
2025-05-12,0.271,0.271,0.2415,0.2415,16436
2025-05-13,0.274,0.28,0.25,0.269051,31749
2025-05-14,0.320001,0.3407,0.32,0.32,16867
2025-05-15,0.32,0.4009,0.32,0.35,9130
2025-05-16,0.36,0.4,0.35,0.4,53273
2025-05-19,0.4,0.4,0.4,0.4,871
2025-05-20,0.4,0.4,0.4,0.4,421
2025-05-22,0.35,0.3501,0.35,0.35,67028
2025-05-23,0.37,0.47,0.35,0.4,26268
2025-05-29,0.3504,0.425101,0.3504,0.425101,376
2025-05-30,0.3521,0.435,0.2938,0.3701,28946
2025-06-02,0.35,0.35,0.3277,0.347,101902
2025-06-03,0.4,0.4,0.34,0.35,73214
2025-06-06,0.35,0.35,0.28,0.3,8029
2025-06-09,0.3,0.3,0.3,0.3,644
2025-06-10,0.37,0.3701,0.37,0.3701,1762
2025-06-11,0.37,0.4,0.36,0.4,16006
2025-06-12,0.4,0.4001,0.4,0.4001,6416
2025-06-13,0.4801,0.51,0.43,0.45,38732
2025-06-16,0.4604,0.4604,0.4001,0.42,6183
2025-06-17,0.4001,0.4001,0.4001,0.4001,1252
2025-06-18,0.4397,0.48,0.4397,0.4501,108151
2025-06-23,0.46,0.4621,0.4064,0.4621,1374
2025-07-01,0.41995,0.41995,0.41995,0.41995,110
2025-07-03,0.4,0.4,0.34,0.3434,4534
2025-07-08,0.4,0.440601,0.36,0.440601,49192
2025-07-09,0.4,0.4,0.370049,0.4,51652
2025-07-11,0.4404,0.4404,0.4231,0.4231,464
2025-07-14,0.42,0.4799,0.4,0.4799,50256
2025-07-15,0.5625,0.5625,0.525,0.525,782
2025-07-18,0.44,0.44,0.44,0.44,408
2025-07-21,0.41,0.42,0.4,0.4,8846
2025-07-23,0.433,0.433,0.3011,0.3685,16607
2025-07-24,0.34,0.365,0.34,0.365,1043
2025-07-25,0.3587,0.3813,0.3587,0.3813,593
2025-07-29,0.4,0.4,0.3782,0.4,28764
2025-07-30,0.4,0.4,0.4,0.4,632
2025-08-08,0.4501,0.4502,0.45,0.4502,514
2025-08-11,0.45,0.45,0.45,0.45,283
2025-08-12,0.276,0.276,0.276,0.276,7779
2025-08-13,0.34,0.34,0.32,0.32,784
2025-08-15,0.29,0.3525,0.29,0.322,1443
2025-08-18,0.3,0.3823,0.3,0.3823,1420
2025-08-19,0.314,0.32,0.3,0.3,2658
2025-08-20,0.3,0.3752,0.3,0.315,1265
2025-08-21,0.31,0.3856,0.31,0.3856,1281
2025-08-22,0.312,0.3201,0.3031,0.32,7225
2025-08-25,0.32,0.3902,0.302,0.32,3298
2025-08-26,0.3,0.32,0.3,0.32,4364
2025-08-29,0.3001,0.3002,0.3,0.3,2952
2025-09-05,0.3486,0.3486,0.2761,0.3,23418
2025-09-09,0.3254,0.3254,0.2771,0.3,26400
2025-09-15,0.3462,0.3462,0.3462,0.3462,100
2025-09-16,0.37999,0.37999,0.33,0.33,9572
2025-09-17,0.3,0.3174,0.277,0.3174,9922
2025-09-18,0.3248,0.3249,0.3248,0.3249,314
2025-09-19,0.33,0.3308,0.325,0.325,2512
2025-09-22,0.3201,0.3915,0.3201,0.36,2668
2025-09-24,0.39,0.45,0.38,0.38,4406
2025-09-25,0.424,0.4245,0.424,0.424,500
2025-09-26,0.42,0.42,0.335,0.3497,3553
2025-09-29,0.349,0.3501,0.320064,0.3501,30964
2025-09-30,0.364,0.37,0.3625,0.37,502
2025-10-01,0.3835,0.45,0.3835,0.45,1411
2025-10-02,0.4369,0.4454,0.4369,0.44,530
2025-10-07,0.44,0.44,0.44,0.44,211
2025-10-08,0.45,0.47,0.45,0.46,5051
2025-10-09,0.5194,0.5194,0.5,0.5,271
2025-10-13,0.4601,0.5188,0.45,0.4759,94026
2025-10-14,0.5481,0.5481,0.5481,0.5481,192
2025-10-15,0.5,0.51,0.5,0.51,687
2025-10-16,0.5398,0.5398,0.5011,0.5101,828
2025-10-17,0.52,0.52,0.52,0.52,182
2025-10-20,0.4971,0.4971,0.4971,0.4971,178
2025-10-21,0.5,0.5,0.46,0.46,2580
2025-10-27,0.45,0.45,0.45,0.45,113
2025-10-29,0.53,0.54,0.53,0.53,1004
2025-10-31,0.4503,0.4503,0.4503,0.4503,103
2025-11-04,0.485,0.485,0.45,0.45,1306
2025-11-06,0.45,0.45,0.45,0.45,164
2025-11-07,0.5,0.5,0.5,0.5,1011
