date,open,high,low,close,volume
2025-01-23,35.32,35.55,35.32,35.5198,1221
2025-01-24,35.55,35.599,35.41,35.4929,2592
2025-01-27,35.32,35.32,35.18,35.2918,16002
2025-01-28,35.35,35.4652,35.33,35.4652,3001
2025-01-29,35.6147,35.6147,35.4,35.5155,14511
2025-01-30,35.77,35.9336,35.77,35.9336,181
2025-02-03,35.015,35.372,35.015,35.372,724
2025-02-05,35.6132,36.06,35.6132,36.06,54565
2025-02-06,35.9,35.95,35.71,35.8759,11177
2025-02-07,35.95,35.95,35.57,35.57,3101
2025-02-10,35.57,35.66,35.5503,35.5503,11606
2025-02-11,35.39,35.448,35.39,35.448,778
2025-02-12,35.15,35.26,35.12,35.2479,1766
2025-02-13,35.26,35.47,35.165,35.4545,23403
2025-02-14,35.47,35.53,35.4194,35.4194,14536
2025-02-18,35.43,35.5025,35.43,35.5025,14789
2025-02-19,35.28,35.3742,35.27,35.3742,1934
2025-02-20,35.1455,35.1455,34.9,35.0919,2012
2025-02-21,34.9,34.9,34.06,34.0863,8438
2025-02-24,33.88,34.24,33.88,34.1,5324
2025-02-25,33.99,34.0302,33.85,34.0302,1335
2025-02-26,34.46,34.46,34.1763,34.1763,742
2025-02-27,34.07,34.26,33.7538,33.7538,2544
2025-02-28,33.78,34.1147,33.7289,34.1147,1533
2025-03-03,34.47,34.47,33.641,33.641,2154
2025-03-04,32.94,33.44,32.93,33.0756,5997
2025-03-05,33.42,33.775,33.42,33.6509,3248
2025-03-06,33.2,33.21,32.9329,32.9329,742
2025-03-07,32.775,32.9965,32.775,32.9965,3280
2025-03-10,32.335,32.335,31.87,32.0198,7051
2025-03-11,31.86,32.21,31.86,31.8816,1971
2025-03-12,31.72,31.9035,31.72,31.9035,100
2025-03-13,31.83,31.83,31.4105,31.4105,100
2025-03-14,31.77,32.1813,31.77,32.1813,100
2025-03-17,32.34,32.7,32.34,32.6138,3688
2025-03-18,32.28,32.3276,32.28,32.3276,100
2025-03-19,32.33,32.7609,32.33,32.7609,435
2025-03-20,32.93,32.93,32.7235,32.7235,472
2025-03-21,32.49,32.6233,32.49,32.6233,631
2025-03-24,33.06,33.2112,33.06,33.2112,325
2025-03-25,33.41,33.41,33.305,33.3272,332
2025-03-26,33.33,33.33,33.0717,33.0717,100
2025-03-27,33.2016,33.2016,33.05,33.1055,1077
2025-03-28,32.71,32.71,32.2501,32.3861,2329
2025-03-31,32.09,32.4793,32.09,32.4793,4240
2025-04-01,32.46,32.5712,32.46,32.5712,624
2025-04-02,32.9062,32.94,32.8199,32.9243,1678
2025-04-03,31.46,31.6,31.3637,31.3637,1572
2025-04-04,29.72,29.99,29.57,29.6283,10157
2025-04-07,30.09,30.16,29.4012,29.4012,600
2025-04-08,30.1858,30.1858,29.038,29.038,1553
2025-04-09,31.575,31.575,30.99,31.4426,573
2025-04-11,30.9067,30.92,30.9067,30.92,1094
2025-04-14,31.33,31.39,31.2648,31.2648,417
2025-04-15,31.4928,31.4928,31.42,31.44,9417
2025-04-17,31.35,31.3501,31.1618,31.1618,3729
2025-04-21,31.19,31.19,30.34,30.4467,1558
2025-04-23,31.62,31.6727,31.6199,31.6727,1967
2025-04-24,31.8,32.18,31.7999,32.1774,1978
2025-04-28,32.22,32.3875,32.16,32.3875,21211
2025-04-29,32.34,32.71,32.34,32.6472,7245
2025-04-30,32.3899,32.6769,32.35,32.6769,446
2025-05-01,32.81,32.9033,32.81,32.9033,307
2025-05-05,33.61,33.61,33.6043,33.6043,529
2025-05-06,33.5801,33.6165,33.58,33.6165,381
2025-05-07,33.84,33.89,33.68,33.758,23842
2025-05-08,33.86,34.06,33.8138,33.8138,1133
2025-05-12,34.25,34.29,34.16,34.2686,2782
2025-05-13,34.5784,34.6,34.5254,34.5254,1200
2025-05-14,34.45,34.46,34.43,34.46,498
2025-05-15,34.5,34.7147,34.5,34.7147,2201
2025-05-19,35.02,35.0498,35.02,35.0498,756
2025-05-20,34.963,35.0413,34.963,35.0413,151
2025-05-21,34.94,34.94,34.6132,34.6132,100
2025-05-30,34.8,34.9771,34.8,34.9771,3828
2025-06-02,34.59,35.18,34.59,35.1641,1074
2025-06-03,35.1899,35.2665,35.1899,35.2665,223
2025-06-04,35.34,35.34,35.1929,35.1929,3577
2025-06-05,35.41,35.41,35.21,35.2445,4122
2025-06-10,35.26,35.26,35.26,35.26,254
2025-06-11,35.3409,35.39,35.2815,35.2815,2891
2025-06-12,35.43,35.4912,35.43,35.4912,134
2025-06-13,35.32,35.33,35.15,35.17,15769
2025-06-16,35.5076,35.51,35.33,35.41,5485
2025-06-17,35.5,35.5,35.3,35.3,3578
2025-06-18,35.6076,35.62,35.3726,35.3726,10129
2025-06-20,35.52,35.52,35.25,35.3,21932
2025-06-23,35.4311,35.77,35.4311,35.7581,1663
2025-06-24,36.15,36.16,36.0936,36.0936,2562
2025-06-25,36.04,36.04,35.9238,35.9238,633
2025-06-26,36.27,36.3746,36.27,36.3746,2704
2025-06-27,36.33,36.4352,36.33,36.4352,372
2025-06-30,36.65,36.7642,36.65,36.7642,374
2025-07-01,36.795,36.795,36.69,36.7223,170635
2025-07-02,36.61,36.7198,36.59,36.7198,2954
2025-07-03,37.12,37.1289,36.8,37.1289,965
2025-07-07,37.14,37.14,36.95,37.0025,1775
2025-07-08,36.91,37.11,36.7339,36.7866,6516
2025-07-09,36.83,36.93,36.7869,36.9131,9144
2025-07-10,36.81,36.92,36.81,36.8242,1242
2025-07-11,36.66,36.66,36.55,36.5712,4887
2025-07-14,36.75,36.75,36.69,36.7268,342
2025-07-15,36.6,36.61,36.4043,36.4043,4053
2025-07-16,36.4,36.5,36.37,36.4875,493
2025-07-17,36.55,36.739,36.55,36.739,302
2025-07-18,36.66,36.66,36.6,36.6117,856
2025-07-21,36.77,36.965,36.77,36.8088,2377
2025-07-22,36.7719,36.789,36.7719,36.789,423
2025-07-23,36.94,37.0598,36.94,37.0598,125
2025-07-24,36.93,36.93,36.8602,36.8602,286
2025-07-25,36.9079,37.0,36.9079,36.9547,3108
2025-07-28,36.79,36.79,36.7167,36.7378,2405
2025-07-29,36.86,36.86,36.71,36.7751,4820
2025-07-30,36.73,36.85,36.6,36.6162,1666
2025-07-31,37.02,37.02,36.6,36.6072,1220
2025-08-01,36.42,36.42,36.03,36.1241,6890
2025-08-04,36.4887,36.7701,36.4887,36.7701,1873
2025-08-05,36.96,36.96,36.76,36.7986,6479
2025-08-06,36.86,37.021,36.86,37.021,1105
2025-08-07,36.84,36.84,36.6078,36.7014,1582
2025-08-08,36.85,36.8912,36.81,36.8912,9561
2025-08-11,37.01,37.01,36.8386,36.8386,621
2025-08-12,37.1278,37.45,37.1278,37.4259,1725
2025-08-13,37.51,37.52,37.46,37.5044,6893
2025-08-14,37.4,37.4923,37.4,37.4923,218
2025-08-15,37.569,37.569,37.4197,37.4197,1126
2025-08-18,37.4131,37.4689,37.33,37.4689,6555
2025-08-19,37.489,37.53,37.245,37.2523,8536
2025-08-20,37.1034,37.3684,37.1034,37.33,6711
2025-08-21,37.29,37.42,37.2899,37.3537,5289
2025-08-22,37.5608,38.08,37.5608,37.9798,5547
2025-08-25,38.04,38.04,37.8648,37.8648,13492
2025-08-26,37.94,38.01,37.915,38.0094,17311
2025-08-27,37.986,38.18,37.986,38.1414,2606
2025-08-28,38.061,38.25,38.06,38.22,23150
2025-08-29,38.1711,38.199,38.0,38.0886,15827
2025-09-02,37.83,38.03,37.61,38.03,171453
2025-09-03,38.04,38.15,38.03,38.1169,6785
2025-09-04,38.24,38.4604,38.24,38.4604,6870
2025-09-05,38.47,38.53,38.36,38.4664,12237
2025-09-08,38.56,38.59,38.47,38.557,5213
2025-09-09,38.59,38.78,38.54,38.7273,4511
2025-09-10,39.23,39.23,39.12,39.18,969
2025-09-11,39.25,39.5536,39.25,39.5536,370
2025-09-12,39.5,39.5,39.3044,39.3044,2181
2025-09-15,39.826,39.826,39.37,39.42,3476
2025-09-16,39.21,39.21,39.06,39.18,6439
2025-09-17,39.3199,39.32,39.14,39.27,5352
2025-09-18,39.3492,39.62,39.3492,39.59,4597
2025-09-19,39.5508,39.7329,39.5,39.7329,22518
2025-09-22,39.705,39.989,39.705,39.989,6072
2025-09-23,40.2199,40.2199,39.905,39.97,7672
2025-09-24,39.9712,40.01,39.6401,39.7152,9985
2025-09-25,39.4,39.48,39.31,39.4141,3414
2025-09-26,39.59,39.762,39.59,39.7602,30233
2025-09-29,39.7831,39.88,39.7315,39.8392,6639
2025-09-30,39.84,39.92,39.7,39.8863,440
2025-10-01,39.75,39.98,39.75,39.8873,37057
2025-10-02,39.84,39.9,39.62,39.8594,31433
2025-10-03,39.91,40.0,39.7538,39.7538,32503
2025-10-06,40.279,40.279,39.85,39.9194,2661
2025-10-07,39.87,39.87,39.46,39.5939,9528
2025-10-08,39.76,39.85,39.76,39.8148,2539
2025-10-09,39.76,39.84,39.45,39.51,6359
2025-10-10,39.67,39.71,38.7366,38.7366,39110
2025-10-13,39.26,39.3,39.05,39.2447,1782
2025-10-14,39.1183,39.78,39.1183,39.5946,6558
2025-10-15,39.95,40.11,39.72,39.8662,12543
2025-10-16,39.92,39.92,39.46,39.5703,2646
2025-10-17,39.45,39.48,39.2555,39.467,1709
2025-10-20,39.72,39.88,39.6212,39.8151,5367
2025-10-21,39.63,39.77,39.63,39.6922,1775
2025-10-22,39.68,39.68,39.32,39.431,2151
2025-10-23,39.72,39.77,39.57,39.6426,8297
2025-10-24,40.01,40.1,39.984,40.01,6381
2025-10-27,40.16,40.16,40.0161,40.13,1891
2025-10-28,39.985,40.2,39.985,40.1197,7430
2025-10-29,39.99,40.05,39.7801,39.7801,1757
2025-10-30,39.95,39.95,39.67,39.67,1697
2025-10-31,39.5542,39.6099,39.4808,39.4976,934
2025-11-03,39.42,39.62,39.34,39.42,12083
2025-11-04,38.87,39.2493,38.87,39.04,15540
2025-11-05,39.43,39.7,39.35,39.65,10242
2025-11-06,39.589734,39.589734,39.2908,39.3383,3391
2025-11-07,39.2,39.4328,39.0221,39.4328,2075
2025-11-10,39.68,40.0099,39.68,39.9137,5615
2025-11-11,39.83,40.0215,39.83,40.0024,1646
2025-11-12,40.24,40.35,40.24,40.2423,2422
2025-11-13,40.13,40.13,39.587,39.6036,4217
2025-11-14,39.2558,39.68,39.2558,39.4714,3729
2025-11-17,39.49,39.5185,38.8964,38.9704,9395
2025-11-18,38.9,39.19,38.824,39.0205,2232
2025-11-19,39.0601,39.19,38.956,39.0038,2499
2025-11-20,38.92,39.08,37.804,37.804,1306
2025-11-21,38.0,38.5436,37.97,38.3037,10429
2025-11-24,38.53,38.8248,38.53,38.7979,3832
2025-11-25,39.19,39.402,39.09,39.3799,11121
2025-11-26,39.67,39.88,39.55,39.6842,8446
2025-11-28,39.85,39.99,39.85,39.8881,3175
2025-12-01,39.6601,39.83,39.5457,39.5457,2367
2025-12-02,39.64,39.76,39.54,39.5523,2703
2025-12-03,39.67,39.83,39.67,39.7413,7022
2025-12-04,39.945,40.06,39.9378,39.9378,2406
2025-12-05,40.19,40.19,39.915,39.9705,6825
2025-12-08,40.06,40.06,39.8962,39.8962,2498
2025-12-09,40.09,40.09,39.8874,39.8874,1638
2025-12-10,39.92,40.38,39.92,40.334,5268
2025-12-11,40.105,40.66,40.105,40.61,3750
2025-12-12,40.47,40.76,40.11,40.155,25341
2025-12-15,40.33,40.34,40.18,40.2292,2090
2025-12-16,40.2,40.68,39.85,39.97,3278
2025-12-17,40.035,40.1,39.723,39.77,3080
2025-12-18,39.96,40.19,39.95,39.97,4106
2025-12-19,40.38,40.41,40.3748,40.3748,1262
2025-12-22,40.72,40.72,40.65,40.69,1225
2025-12-23,40.7654,40.82,40.7517,40.7517,2710
2025-12-24,40.81,40.87,40.8044,40.8359,4733
2025-12-26,40.855,40.95,40.78,40.95,8026
2025-12-29,40.5855,40.6,40.5,40.54,31943
2025-12-30,40.56,40.6,40.4696,40.4696,7406
2025-12-31,40.43,40.43,40.15,40.15,4639
2026-01-02,40.165,40.47,40.165,40.4386,3623
2026-01-05,40.8998,41.12,40.805,40.9451,11941
2026-01-06,41.1,41.5,41.1,41.5,2498
2026-01-07,41.13,41.33,41.13,41.32,4629
2026-01-08,41.36,41.39,41.24,41.3175,8747
2026-01-09,41.42,41.57,41.42,41.4508,16938
2026-01-12,41.41,41.77,41.41,41.77,18377
2026-01-13,41.51,41.63,41.43,41.4537,4503
2026-01-14,41.48,41.48,41.17,41.3556,9834
2026-01-15,41.6222,41.9,41.6222,41.8054,13687
2026-01-16,41.66,41.81,41.55,41.5529,3507
2026-01-20,41.414,41.59,41.08,41.27,6311
2026-01-21,41.6,41.93,41.5801,41.82,56722
2026-01-22,42.23,42.23,41.9995,42.05,13044
2026-01-23,42.02,42.03,41.78,41.8769,47620
2026-01-26,42.29,42.49,42.15,42.2387,1382160
2026-01-27,42.23,42.29,42.11,42.24,33601
2026-01-28,42.3899,42.4,42.02,42.1333,25587
2026-01-29,42.2,42.5,41.674,42.39,49175
2026-01-30,41.83,41.95,41.31,41.58,56554
2026-02-02,41.46,42.09,41.46,42.09,21040
2026-02-03,42.42,42.6,41.91,42.31,58421
2026-02-04,42.5026,42.5026,41.8385,42.135,76797
2026-02-05,42.38,42.38,41.9,42.05,34561
2026-02-06,42.56,43.02,42.43,42.975,61854
2026-02-09,43.08,43.3903,43.01,43.251,101261
2026-02-10,43.26,43.47,42.94,42.995,33799
