date,open,high,low,close,volume
2023-05-02,25.07,25.07,24.674,24.83,13968
2023-05-03,24.83,24.9,24.6602,24.7,61330
2023-05-04,24.53,24.62,24.53,24.5701,18344
2023-05-05,24.84,24.9699,24.78,24.9052,405545
2023-05-08,24.9083,24.93,24.8772,24.8954,12732
2023-05-09,24.86,24.8999,24.78,24.835,12820
2023-05-10,25.07,25.07,24.825,24.9052,17169
2023-05-11,24.93,24.93,24.7821,24.8489,9278
2023-05-12,25.05,25.05,24.7379,24.8401,9359
2023-05-15,25.0,25.0,24.8525,24.9001,12065
2023-05-16,24.98,24.98,24.82,24.84,41128
2023-05-17,24.85,25.06,24.85,25.06,40976
2023-05-18,24.9614,25.23,24.9614,25.18,6373
2023-05-19,25.21,25.21,25.1145,25.1545,8825
2023-05-22,25.155,25.2399,25.12,25.17,6901
2023-05-23,25.105,25.14,24.965,24.999,35352
2023-05-24,24.98,24.98,24.7415,24.8102,13803
2023-05-25,24.905,25.02,24.89,24.9602,15117
2023-05-26,25.149,25.27,25.149,25.225,17964
2023-05-30,25.42,25.42,25.1933,25.1933,17313
2023-05-31,25.0,25.19,25.0,25.1511,21435
2023-06-01,25.07,25.33,25.07,25.2805,20545
2023-06-02,25.55,25.6,25.36,25.5853,7448
2023-06-05,25.61,25.62,25.5249,25.5249,6943
2023-06-06,25.54,25.628,25.4806,25.628,7539
2023-06-07,25.51,25.609,25.4927,25.5088,11846
2023-06-08,25.5224,25.6176,25.5224,25.6176,5231
2023-06-09,25.71,25.7599,25.61,25.6501,8078
2023-06-12,25.6613,25.8121,25.62,25.7963,2432
2023-06-13,25.92,25.96,25.89,25.9163,8107
2023-06-14,25.9899,26.01,25.825,25.99,8956
2023-06-15,25.92,26.2,25.92,26.1407,7242
2023-06-16,26.1269,26.2199,26.0938,26.0938,7321
2023-06-20,25.9162,26.05,25.9162,26.0154,7460
2023-06-21,25.9,26.02,25.8995,25.9464,7177
2023-06-22,26.01,26.02,25.9185,25.9936,8916
2023-06-23,25.97,25.97,25.8839,25.8839,3149
2023-06-26,25.84,25.875,25.8157,25.8206,1708
2023-06-27,25.86,26.04,25.86,26.0164,2273
2023-06-28,26.0,26.049,25.95,25.996,3049
2023-06-29,25.99,26.11,25.99,26.0686,5619
2023-06-30,26.31,26.36,26.25,26.3137,5699
2023-07-03,26.2501,26.36,26.2501,26.3249,19770
2023-07-05,26.16,26.34,26.16,26.2948,11973
2023-07-06,26.0101,26.1999,26.0,26.1395,5241
2023-07-07,26.19,26.22,26.112,26.112,6316
2023-07-10,26.16,26.2,26.1108,26.146,4239
2023-07-11,26.185,26.28,26.1389,26.25,20241
2023-07-12,26.47,26.47,26.425,26.455,5302
2023-07-13,26.55,26.589,26.4984,26.5211,2200
2023-07-14,26.61,26.61,26.5352,26.5352,3970
2023-07-17,26.49,26.6799,26.49,26.6207,8788
2023-07-18,26.5501,26.7301,26.5501,26.7301,6989
2023-07-19,26.71,26.81,26.709,26.7449,3202
2023-07-20,26.7399,26.7399,26.5901,26.6402,5361
2023-07-21,26.65,26.6999,26.61,26.6418,1628
2023-07-24,26.67,26.77,26.67,26.709,6405
2023-07-25,26.61,26.82,26.61,26.7715,4982
2023-07-26,26.78,26.83,26.7382,26.7562,2980
2023-07-27,26.89,26.89,26.6463,26.6463,3150
2023-07-28,26.8499,26.86,26.7501,26.8247,6075
2023-07-31,26.845,26.87,26.8088,26.8088,3757
2023-08-01,26.849,26.85,26.75,26.84,10778
2023-08-02,26.595,26.6499,26.52,26.6,9815
2023-08-03,26.48,26.5899,26.48,26.57,2258
2023-08-04,26.57,26.6499,26.4518,26.4518,2608
2023-08-07,26.47,26.62,26.47,26.6052,6473
2023-08-08,26.3904,26.5449,26.3904,26.5449,2280
2023-08-09,26.55,26.55,26.38,26.4309,2726
2023-08-10,26.51,26.5199,26.4254,26.4254,3744
2023-08-11,26.42,26.47,26.37,26.4151,4618
2023-08-14,26.52,26.52,26.44,26.4967,5457
2023-08-15,26.3611,26.41,26.3108,26.3108,6751
2023-08-16,26.3361,26.3361,26.151,26.1952,3236
2023-08-17,26.2499,26.2499,26.02,26.0695,5329
2023-08-18,25.97,26.05,25.97,26.0351,825
2023-08-21,26.12,26.215,25.992,26.1758,9084
2023-08-22,26.194,26.194,26.1032,26.1197,2720
2023-08-23,26.1301,26.35,26.1301,26.35,5424
2023-08-24,26.14,26.18,26.0947,26.0947,1057
2023-08-25,26.0806,26.2047,26.0806,26.2047,4867
2023-08-28,26.2691,26.36,26.2601,26.3204,3233
2023-08-29,26.43,26.61,26.4,26.5683,33073
2023-08-30,26.67,26.69,26.636,26.636,866
2023-08-31,26.61,26.72,26.61,26.6437,3305
2023-09-01,26.67,26.6899,26.6335,26.6751,2834
2023-09-05,26.6653,26.6653,26.58,26.6127,2110
2023-09-06,26.4801,26.5,26.4001,26.4969,5861
2023-09-07,26.3791,26.545,26.32,26.4233,3791
2023-09-08,26.47,26.475,26.4476,26.4476,1365
2023-09-11,26.54,26.5654,26.54,26.5654,338
2023-09-12,26.465,26.56,26.4548,26.484,7867
2023-09-13,26.495,26.5799,26.4872,26.5047,8638
2023-09-14,26.62,26.7,26.6101,26.6559,3748
2023-09-15,26.6099,26.6099,26.42,26.4448,5354
2023-09-18,26.49,26.5052,26.4493,26.4493,1733
2023-09-19,26.36,26.4246,26.33,26.4246,7296
2023-09-20,26.4537,26.4958,26.26,26.2625,5226
2023-09-21,26.05,26.1,25.9471,25.9471,7721
2023-09-22,26.01,26.025,25.8953,25.8953,1152
2023-09-25,25.84,25.9899,25.84,25.9559,4311
2023-09-26,25.9,25.9,25.695,25.74,34006
2023-09-27,25.63,25.82,25.61,25.6899,6034
2023-09-28,25.75,25.86,25.75,25.84,5279
2023-09-29,25.84,25.9,25.67,25.81,8868
2023-10-02,25.805,25.98,25.67,25.8,14532
2023-10-03,25.59,25.59,25.44,25.54,10965
2023-10-04,25.545,25.72,25.4601,25.6847,16392
2023-10-05,25.55,25.7,25.4911,25.64,13389
2023-10-06,25.795,25.92,25.78,25.84,6973
2023-10-09,25.85,25.982,25.74,25.982,6555
2023-10-10,26.23,26.23,26.07,26.0909,4090
2023-10-11,26.03,26.21,26.03,26.21,5047
2023-10-12,26.15,26.21,25.95,26.0649,7988
2023-10-13,25.94,26.035,25.91,25.9651,9425
2023-10-16,26.22,26.23,26.18,26.1966,9190
2023-10-17,26.0801,26.27,26.0801,26.1649,10289
2023-10-18,26.03,26.05,25.89,25.8967,7789
2023-10-19,25.855,25.9563,25.715,25.768,7787
2023-10-20,25.57,25.6999,25.49,25.524,3346
2023-10-23,25.49,25.63,25.4875,25.4875,1952
2023-10-24,25.65,25.66,25.5185,25.6388,5036
2023-10-25,25.43,25.53,25.325,25.369,6933
2023-10-26,25.25,25.25,25.07,25.1457,14352
2023-10-27,25.09,25.09,24.94,25.0384,2522
2023-10-30,25.1789,25.35,25.155,25.2865,7669
2023-10-31,25.3078,25.3841,25.3078,25.3841,4154
2023-11-01,25.4763,25.6299,25.4763,25.6026,6217
2023-11-02,25.91,25.96,25.87,25.96,8638
2023-11-03,26.12,26.21,26.083,26.1348,9146
2023-11-06,26.16,26.195,26.08,26.1465,4594
2023-11-07,26.28,26.28,26.18,26.2166,4039
2023-11-08,26.26,26.29,26.1101,26.2443,14474
2023-11-09,26.27,26.28,26.02,26.0622,24630
2023-11-10,26.1,26.41,26.08,26.3949,8929
2023-11-13,26.2887,26.44,26.26,26.3848,5284
2023-11-14,26.8,26.81,26.73,26.7643,17458
2023-11-15,26.91,26.91,26.78,26.8016,7376
2023-11-16,26.846,26.85,26.73,26.8376,6475
2023-11-17,26.83,26.875,26.78,26.8549,3732
2023-11-20,26.96,27.065,26.946,27.01,5112
2023-11-21,26.91,27.01,26.91,26.9806,5294
2023-11-22,27.015,27.1,27.015,27.0602,7299
2023-11-24,27.0567,27.0659,27.052,27.0659,1189
2023-11-27,27.0518,27.11,27.01,27.0454,6197
2023-11-28,27.04,27.11,27.01,27.0592,7729
2023-11-29,27.1,27.12,27.0307,27.0449,3440
2023-11-30,27.08,27.1223,26.99,27.1223,8528
2023-12-01,27.13,27.27,27.13,27.2523,5944
2023-12-04,27.0368,27.19,27.0368,27.1374,7293
2023-12-05,27.125,27.1999,27.08,27.1267,13881
2023-12-06,27.19,27.19,27.03,27.0549,8431
2023-12-07,27.16,27.26,27.16,27.2148,5730
2023-12-08,27.2577,27.36,27.22,27.3209,8969
2023-12-11,27.25,27.41,27.25,27.36,9851
2023-12-12,27.44,27.51,27.405,27.4902,5386
2023-12-13,27.56,27.81,27.51,27.7382,15884
2023-12-14,27.78,27.845,27.775,27.7867,4363
2023-12-15,27.8059,27.832,27.7561,27.829,29711
2023-12-18,27.8755,27.91,27.865,27.8767,6603
2023-12-19,27.935,27.99,27.885,27.9777,26509
2023-12-20,27.89,27.9791,27.74,27.75,11664
2023-12-21,27.79,27.8851,27.72,27.8851,26851
2023-12-22,27.9,27.98,27.9,27.9267,9086
2023-12-26,27.9,28.0599,27.9,28.0141,3433
2023-12-27,28.2299,28.2299,28.03,28.0365,3609
2023-12-28,28.079,28.1201,28.0547,28.0636,4024
2023-12-29,28.02,28.0772,27.9901,28.0408,994876
2024-01-02,27.898,27.97,27.87,27.97,4277
2024-01-03,27.89,27.89,27.82,27.82,1957
2024-01-04,27.8136,27.8136,27.7448,27.7448,290
2024-01-05,27.76,27.7908,27.76,27.7908,544
2024-01-08,27.935,28.0548,27.935,28.0548,740
2024-01-09,28.025,28.0381,28.025,28.0381,668
2024-01-10,28.0885,28.1358,28.07,28.1358,906
2024-01-11,28.03,28.15,28.03,28.1359,638
2024-01-12,28.13,28.1649,28.12,28.1649,2000
2024-01-16,28.02,28.12,28.01,28.12,1679
2024-01-17,28.02,28.02,27.9759,27.9849,1096
2024-01-18,28.0719,28.147,28.012,28.147,1014
2024-01-19,28.255,28.3848,28.255,28.3848,502
2024-01-22,28.4001,28.4348,28.4001,28.4348,396
2024-01-23,28.4403,28.4949,28.44,28.4949,2277
2024-01-24,28.5084,28.5084,28.5084,28.5084,70
2024-01-25,28.5553,28.5553,28.5553,28.5553,34
2024-01-26,28.53,28.5651,28.53,28.5651,304
2024-01-29,28.6562,28.6562,28.6562,28.6562,35
2024-01-30,28.6574,28.6574,28.6574,28.6574,1
2024-01-31,28.4289,28.4289,28.4289,28.4289,1
2024-02-01,28.49,28.5928,28.49,28.5928,378
2024-02-02,28.72,28.79,28.72,28.7593,3432
2024-02-05,28.7041,28.7465,28.7041,28.7465,1100
2024-02-06,28.7,28.7652,28.7,28.7652,943
2024-02-07,28.8632,28.8632,28.8632,28.8632,1
2024-02-08,28.8206,28.8665,28.8206,28.8665,1192
2024-02-09,28.9114,28.935,28.91,28.935,1187
2024-02-12,28.92,28.935,28.9,28.9248,6627
2024-02-13,28.75,28.8,28.7001,28.7533,1743
2024-02-14,28.81,28.9078,28.81,28.9078,660
2024-02-15,28.92,28.9471,28.91,28.9471,6641
2024-02-16,28.91,28.9723,28.91,28.9348,456
2024-02-20,28.8616,28.8616,28.8,28.8348,612
2024-02-21,28.81,28.8948,28.81,28.8948,1096
2024-02-22,29.06,29.1049,29.05,29.1049,15854
2024-02-23,29.1398,29.1398,29.1398,29.1398,1
2024-02-26,29.1381,29.1381,29.1298,29.1298,371
2024-02-27,29.13,29.1499,29.13,29.1499,270
2024-02-28,29.1308,29.1308,29.1308,29.1308,9
2024-02-29,29.12,29.1649,29.12,29.1649,1475
2024-03-01,29.26,29.26,29.215,29.2248,1308
2024-03-04,29.2515,29.2515,29.2,29.2077,4267
2024-03-05,29.175,29.175,29.1,29.1547,1019
2024-03-06,29.1701,29.2,29.15,29.1997,2243
