date,open,high,low,close,volume
2022-12-16,7.75,9.33,7.545,9.3,36235887
2022-12-19,8.44,8.68,7.93,8.47,5475764
2022-12-20,8.22,8.22,7.47,7.5,11173272
2022-12-21,7.355,7.93,7.18,7.54,9610291
2022-12-22,7.38,8.025,7.37,7.72,4887927
2022-12-23,7.54,7.65,7.26,7.58,2614001
2022-12-27,7.45,7.72,7.2,7.71,2161416
2022-12-28,7.73,8.0,7.355,7.5,2321378
2022-12-29,7.45,7.67,7.291,7.58,1609993
2022-12-30,7.43,7.58,7.35,7.55,1135937
2023-01-03,7.44,7.77,7.4,7.65,1978437
2023-01-04,7.55,7.75,7.49,7.73,1727731
2023-01-05,7.52,7.63,7.36,7.37,2571541
2023-01-06,7.29,7.55,7.17,7.55,3381260
2023-01-09,7.47,7.7,7.38,7.65,1987131
2023-01-10,7.65,7.9,7.505,7.84,1209045
2023-01-11,7.67,8.36,7.64,8.01,4421447
2023-01-12,8.13,8.21,7.95,8.13,1133123
2023-01-13,8.03,8.38,7.935,8.29,1518675
2023-01-17,8.21,8.5,8.15,8.35,1591592
2023-01-18,8.44,8.6373,8.085,8.17,2963063
2023-01-19,8.14,8.2,7.96,8.0,1481529
2023-01-20,8.1,8.32,7.91,8.32,3309310
2023-01-23,8.34,8.7,8.221,8.54,1006763
2023-01-24,8.43,8.9,8.43,8.79,1766352
2023-01-25,8.67,8.97,8.44,8.94,703642
2023-01-26,9.08,9.23,8.79,8.93,1753953
2023-01-27,8.87,9.28,8.76,9.15,1073101
2023-01-30,9.07,9.11,8.77,8.95,1192564
2023-01-31,8.89,9.23,8.76,9.2,1224033
2023-02-01,9.23,9.64,8.92,9.49,2729893
2023-02-02,9.56,9.94,9.46,9.72,1658472
2023-02-03,9.55,9.78,9.44,9.76,1285762
2023-02-06,9.64,10.15,9.455,9.66,2943643
2023-02-07,9.52,9.76,9.36,9.75,1045701
2023-02-08,9.68,9.84,9.51,9.58,881438
2023-02-09,9.66,9.8353,9.58,9.62,1084023
2023-02-10,9.59,9.86,9.48,9.82,1135595
2023-02-13,9.77,10.21,9.6,10.16,1414891
2023-02-14,10.04,10.08,9.695,9.73,1068311
2023-02-15,9.59,9.95,9.5,9.9,1081488
2023-02-16,9.86,10.035,9.76,10.02,981190
2023-02-17,9.98,10.0,9.74,9.92,655629
2023-02-21,9.8,9.94,9.47,9.55,1126821
2023-02-22,9.6,9.73,9.46,9.47,1006647
2023-02-23,9.51,9.86,9.5,9.81,783304
2023-02-24,9.67,9.78,9.5,9.67,1518356
2023-02-27,9.8,10.085,9.755,9.8,1292158
2023-02-28,9.77,9.9,9.67,9.74,1210698
2023-03-01,9.73,10.06,9.615,10.0,1211373
2023-03-02,9.85,10.05,9.83,9.99,1625880
2023-03-03,10.08,10.08,9.91,10.0,1227316
2023-03-06,9.95,9.95,9.575,9.6,1148230
2023-03-07,9.55,9.71,9.43,9.55,1197722
2023-03-08,8.59,9.4,8.59,9.33,2966320
2023-03-09,9.3,9.48,9.11,9.14,2138975
2023-03-10,9.14,9.26,8.81,9.02,2005617
2023-03-13,8.86,9.09,8.6,8.66,1169489
2023-03-14,8.83,8.91,8.59,8.61,1078861
2023-03-15,8.49,8.53,8.105,8.29,1998617
2023-03-16,8.23,8.39,8.05,8.35,1262451
2023-03-17,8.18,8.33,8.03,8.09,4004259
2023-03-20,8.18,8.18,7.75,7.79,1077458
2023-03-21,7.93,8.14,7.93,7.94,1375918
2023-03-22,7.9,8.04,7.8025,7.82,1043718
2023-03-23,7.85,7.88,7.33,7.44,1174181
2023-03-24,7.34,7.41,7.08,7.26,1215013
2023-03-27,7.4,7.755,7.33,7.66,1292909
2023-03-28,7.63,7.98,7.57,7.84,1091746
2023-03-29,7.9,7.95,7.635,7.72,1044281
2023-03-30,7.82,8.0,7.745,7.95,943262
2023-03-31,8.03,8.14,7.83,8.04,1700387
2023-04-03,8.07,8.15,7.94,7.94,937974
2023-04-04,7.91,7.91,7.31,7.59,1864190
2023-04-05,7.59,7.7,7.46,7.49,1512892
2023-04-06,7.49,7.63,7.435,7.47,868702
2023-04-10,7.445,7.73,7.38,7.7,739064
2023-04-11,7.76,7.87,7.67,7.69,740657
2023-04-12,7.79,7.83,7.57,7.72,705051
2023-04-13,7.77,7.865,7.66,7.74,616171
2023-04-14,7.75,7.91,7.5,7.59,743311
2023-04-17,7.67,7.78,7.605,7.63,558219
2023-04-18,7.65,7.75,7.495,7.56,1021271
2023-04-19,7.49,7.86,7.49,7.84,861245
2023-04-20,7.78,8.01,7.72,8.0,1175556
2023-04-21,8.09,8.16,7.795,7.87,1011586
2023-04-24,7.79,7.975,7.725,7.76,547201
2023-04-25,7.64,7.7,7.325,7.47,972127
2023-04-26,7.5,7.61,7.45,7.6,825157
2023-04-27,7.64,7.83,7.62,7.83,612576
2023-04-28,7.82,8.1,7.805,8.07,807309
2023-05-01,8.03,8.21,8.0,8.08,922297
2023-05-02,8.03,8.03,7.61,7.86,985777
2023-05-03,7.91,8.08,7.845,7.88,598660
2023-05-04,7.85,7.92,7.6725,7.73,589293
2023-05-05,7.77,8.11,7.76,8.02,700070
2023-05-08,8.08,8.42,8.03,8.39,702744
2023-05-09,8.36,8.79,8.3,8.64,1391327
2023-05-10,10.45,10.64,9.87,9.94,2763147
2023-05-11,9.81,10.27,9.77,10.25,1457331
2023-05-12,10.245,10.455,10.17,10.24,1342529
2023-05-15,10.33,10.82,10.22,10.74,2119565
2023-05-16,10.63,10.92,10.6,10.69,1524232
2023-05-17,10.78,10.87,10.395,10.5,1281528
2023-05-18,10.47,10.83,10.46,10.79,2140346
2023-05-19,10.83,11.105,10.775,10.86,1669416
2023-05-22,10.97,11.04,10.79,10.92,1197629
2023-05-23,10.89,11.085,10.82,10.84,968187
2023-05-24,10.78,10.85,10.59,10.68,624019
2023-05-25,10.7,10.83,10.55,10.68,556378
2023-05-26,10.72,10.91,10.615,10.63,631684
2023-05-30,10.71,10.71,10.385,10.41,499987
2023-05-31,10.4,10.47,10.21,10.38,1204866
2023-06-01,10.34,10.49,10.125,10.43,1041997
2023-06-02,10.5,10.77,10.45,10.6,1261724
2023-06-05,10.52,10.85,10.44,10.76,1449444
2023-06-06,10.73,11.03,10.68,10.99,1303866
2023-06-07,11.07,11.24,10.9,11.04,6539867
2023-06-08,11.07,11.155,10.75,10.82,1811624
2023-06-09,10.89,10.9,10.495,10.7,1367582
2023-06-12,10.71,11.02,10.595,11.0,2001693
2023-06-13,11.1,11.225,10.965,11.08,4123180
2023-06-14,11.18,11.36,10.88,10.89,2072233
2023-06-15,10.89,11.26,10.81,11.16,2051392
2023-06-16,11.22,11.3,11.07,11.11,3862729
2023-06-20,11.25,11.445,11.095,11.36,1573544
2023-06-21,12.0,12.0582,11.43,11.49,3761121
2023-06-22,11.51,11.55,11.24,11.38,1424488
2023-06-23,11.24,11.35,11.0,11.06,17431438
2023-06-26,11.09,11.29,11.06,11.06,1820060
2023-06-27,11.07,11.55,11.06,11.39,1509754
2023-06-28,11.33,11.45,11.105,11.43,1207630
2023-06-29,11.47,11.54,11.335,11.51,947209
2023-06-30,11.59,11.82,11.495,11.63,1163033
2023-07-03,11.53,11.74,11.515,11.6,571674
2023-07-05,11.51,11.615,11.39,11.42,1028907
2023-07-06,11.23,11.37,10.97,10.97,895792
2023-07-07,11.02,11.24,10.96,11.09,902382
2023-07-10,11.05,11.44,11.01,11.41,877818
2023-07-11,11.5,11.69,11.42,11.6,888304
2023-07-12,11.75,11.94,11.7,11.75,902166
2023-07-13,11.85,12.66,11.78,12.61,1818510
2023-07-14,12.61,12.62,11.98,12.16,932789
2023-07-17,12.24,12.3892,11.99,12.1,841452
2023-07-18,11.93,12.23,11.91,12.22,690925
2023-07-19,12.26,12.47,12.2,12.21,786025
2023-07-20,12.3,12.33,11.935,12.03,2082457
2023-07-21,12.11,12.2,11.815,11.84,1446168
2023-07-24,12.07,12.25,11.98,12.23,603032
2023-07-25,12.17,12.51,12.15,12.3,779216
2023-07-26,12.22,12.38,12.17,12.19,765873
2023-07-27,12.34,12.57,12.22,12.26,872603
2023-07-28,12.4,12.44,12.04,12.16,540951
2023-07-31,12.26,12.4372,12.195,12.35,615539
2023-08-01,12.4,12.85,12.37,12.81,975259
2023-08-02,12.65,12.805,12.5601,12.66,513595
2023-08-03,12.59,12.59,12.39,12.4,449401
2023-08-04,12.35,12.54,12.29,12.34,516545
2023-08-07,12.41,12.52,12.3,12.4,441060
2023-08-08,12.15,12.54,12.12,12.54,742135
2023-08-09,12.55,13.26,12.255,12.56,1004399
2023-08-10,12.69,13.305,12.685,13.17,706820
2023-08-11,13.16,13.16,12.81,12.88,508088
2023-08-14,12.73,12.76,12.49,12.54,505490
2023-08-15,12.5,12.73,12.495,12.62,601635
2023-08-16,12.54,12.85,12.54,12.64,742155
2023-08-17,12.73,12.755,12.485,12.52,657679
