date,open,high,low,close,volume
2024-09-13,23.0,26.08,22.0,23.65,1828000
2024-09-16,24.0,24.2425,20.515,21.65,246001
2024-09-17,21.98,22.875,20.92,21.5,101382
2024-09-18,21.5,22.45,20.688,21.0,53549
2024-09-19,21.17,21.98,20.2852,21.23,119525
2024-09-20,21.26,24.49,21.0,22.55,438199
2024-09-23,22.59,23.0,21.4,22.27,106745
2024-09-24,22.67,23.25,22.12,22.99,106343
2024-09-25,23.3,23.75,22.15,23.16,132863
2024-09-26,23.09,25.31,23.05,24.49,154229
2024-09-27,24.6,24.74,23.29,23.95,88073
2024-09-30,23.35,26.19,23.28,25.98,125580
2024-10-01,25.52,25.99,22.91,24.06,192121
2024-10-02,23.92,24.59,22.61,23.56,131006
2024-10-03,23.5,25.5,23.2,24.5,118635
2024-10-04,24.11,24.99,22.51,23.75,182621
2024-10-07,23.67,24.29,23.25,24.2,31566
2024-10-08,25.51,26.1495,21.34,21.85,250691
2024-10-09,21.85,24.29,21.85,23.07,267565
2024-10-10,23.02,24.53,22.6685,23.56,191566
2024-10-11,23.7,24.65,23.53,23.94,156395
2024-10-14,23.78,24.31,22.57,23.55,93555
2024-10-15,23.82,24.41,23.055,24.09,84240
2024-10-16,23.76,24.19,23.505,24.19,39886
2024-10-17,24.56,24.89,22.8,23.16,64682
2024-10-18,23.15,24.2,22.9456,24.07,125514
2024-10-21,24.19,24.88,23.1,23.89,108041
2024-10-22,24.02,24.2,23.31,23.97,35882
2024-10-23,23.89,24.12,22.92,23.13,48421
2024-10-24,23.06,24.1,22.85,23.14,114522
2024-10-25,23.19,23.29,20.65,21.24,246500
2024-10-28,21.24,22.875,19.33,19.86,163347
2024-10-29,19.83,22.46,19.5,21.86,98683
2024-10-30,21.86,23.225,21.44,22.26,60853
2024-10-31,21.93,23.25,21.59,22.9,33736
2024-11-01,23.01,23.71,22.39,22.46,39060
2024-11-04,21.87,22.6,21.145,21.86,51799
2024-11-05,22.0,23.88,20.985,23.06,91021
2024-11-06,23.12,27.5,22.2,22.75,66435
2024-11-07,22.53,23.865,21.44,23.22,77751
2024-11-08,23.32,24.3,21.77,22.91,60673
2024-11-11,21.02,24.0,21.02,23.5,69700
2024-11-12,23.33,23.88,22.22,22.72,44807
2024-11-13,22.77,23.89,20.4,20.85,96278
2024-11-14,21.02,21.16,19.37,19.49,82026
2024-11-15,19.3,20.45,17.0,17.61,227872
2024-11-18,18.33,19.155,15.63,16.42,134897
2024-11-19,15.72,17.78,15.57,15.94,126928
2024-11-20,16.34,16.75,15.31,16.24,166659
2024-11-21,16.22,16.61,15.65,16.51,116023
2024-11-22,16.75,19.0,16.75,18.5,127310
2024-11-25,19.0,20.26,18.86,19.39,201980
2024-11-26,19.67,20.78,19.67,19.83,94497
2024-11-27,20.13,22.6,20.0,20.97,119078
2024-11-29,21.29,22.325,19.93,20.34,83444
2024-12-02,20.42,21.285,18.21,19.0,136764
2024-12-03,18.87,20.49,18.55,19.77,88180
2024-12-04,19.47,21.99,19.06,19.24,95782
2024-12-05,19.02,20.41,18.71,19.29,102330
2024-12-06,18.82,22.21,18.82,22.18,157779
2024-12-09,22.69,24.19,20.49,22.83,271328
2024-12-10,22.8,23.82,20.85,21.65,377229
2024-12-11,21.66,23.25,20.78,22.74,205817
2024-12-12,22.55,22.85,20.38,20.5,160169
2024-12-13,20.3,20.855,18.635,18.94,194312
2024-12-16,19.45,20.72,17.9263,19.14,290679
2024-12-17,18.95,20.74,18.735,19.9,444241
2024-12-18,20.2,20.65,18.85,19.49,322471
2024-12-19,19.58,20.95,18.92,20.27,351473
2024-12-20,19.55,21.64,19.21,20.36,2771835
2024-12-23,20.44,20.705,19.14,20.57,136566
2024-12-24,20.62,21.64,20.25,21.56,42408
2024-12-26,21.46,22.62,20.55,21.89,80418
2024-12-27,21.57,21.66,19.43,20.07,90664
2024-12-30,20.01,20.65,17.405,17.91,228944
2024-12-31,18.0,18.72,17.55,18.43,221059
2025-01-02,18.8,19.39,17.995,18.25,291238
2025-01-03,18.17,18.655,16.2925,18.59,346928
2025-01-06,18.63,18.89,16.28,16.28,305710
2025-01-07,15.75,16.665,14.57,14.6,359040
2025-01-08,14.94,14.94,13.775,14.51,188866
2025-01-10,14.26,14.815,13.32,13.69,380941
2025-01-13,13.41,13.41,12.32,12.46,238297
2025-01-14,12.51,13.395,11.84,12.04,248110
2025-01-15,12.08,13.18,11.77,11.89,272268
2025-01-16,11.59,11.6,9.65,10.54,364342
2025-01-17,10.56,10.96,9.821,9.89,225165
2025-01-21,10.01,10.39,9.424,10.23,153824
2025-01-22,10.3,11.07,10.2,10.85,267380
2025-01-23,10.83,12.21,10.64,11.73,557484
2025-01-24,11.7,11.8507,10.69,10.75,153176
2025-01-27,10.13,10.825,9.81,10.39,377880
2025-01-28,10.42,10.85,9.775,10.84,280932
2025-01-29,10.89,11.0,9.9,10.27,290285
2025-01-30,10.6,11.65,10.4,11.64,147609
2025-01-31,11.67,11.885,9.81,10.01,382358
2025-02-03,9.84,10.72,9.57,10.49,314442
2025-02-04,10.49,10.99,10.41,10.93,218621
2025-02-05,10.98,11.71,10.98,11.25,152720
2025-02-06,12.9,14.23,12.21,12.26,942127
2025-02-07,12.21,13.4252,12.0,12.34,565575
2025-02-10,12.86,12.9,8.631,10.26,732406
2025-02-11,9.92,9.97,9.07,9.65,251463
2025-02-12,9.21,9.7,8.8,9.02,259713
2025-02-13,8.93,9.062,8.69,8.99,206239
2025-02-14,9.03,10.49,9.03,10.41,242972
2025-02-18,10.53,11.47,10.25,10.9,396939
2025-02-19,10.82,11.43,10.36,11.22,131853
2025-02-20,11.69,12.0,11.14,11.83,184766
2025-02-21,11.99,12.3099,10.81,10.88,151829
2025-02-24,10.63,11.0433,10.26,10.36,102251
2025-02-25,10.22,10.59,9.67,9.77,209428
2025-02-26,9.72,10.68,9.6951,10.0,199382
2025-02-27,10.04,11.04,9.3128,9.82,195899
2025-02-28,9.65,10.13,9.0,9.6,191215
2025-03-03,9.3,10.23,9.0,10.14,363790
2025-03-04,9.94,10.93,9.345,10.78,135913
2025-03-05,10.75,11.47,10.55,11.25,233950
2025-03-06,10.79,11.25,9.805,10.26,236601
2025-03-07,10.21,10.79,9.8,9.89,138704
2025-03-10,9.73,10.2229,8.835,8.98,216484
2025-03-11,8.98,9.35,8.5831,9.19,139669
2025-03-12,9.19,9.92,8.67,9.39,153272
2025-03-13,9.78,9.8,8.54,8.63,215799
2025-03-14,8.63,9.48,8.58,8.7,159770
2025-03-17,9.2,9.6866,8.72,8.85,560632
2025-03-18,8.6,9.1614,8.32,8.42,197205
2025-03-19,8.42,8.96,8.3,8.4,140651
2025-03-20,8.35,8.76,7.7847,7.97,426952
2025-03-21,7.86,8.27,7.645,7.89,261934
2025-03-24,7.98,8.3,7.82,8.13,228866
2025-03-25,8.15,8.23,7.59,7.79,209730
2025-03-26,7.74,7.99,7.5128,7.75,126627
2025-03-27,7.75,7.815,7.38,7.41,209501
2025-03-28,7.25,8.1,7.25,7.76,321021
2025-03-31,7.57,7.925,7.16,7.38,218470
2025-04-01,7.31,7.71,6.77,6.86,197317
2025-04-02,6.67,7.12,6.67,6.97,268542
2025-04-03,6.84,7.15,6.33,6.37,232296
2025-04-04,6.34,6.42,5.66,6.04,491076
2025-04-07,5.48,6.28,4.8069,6.0,334494
2025-04-08,6.43,6.498,5.63,5.79,322155
2025-04-09,5.71,6.54,5.64,6.4,369413
2025-04-10,6.56,6.76,6.0,6.27,727167
2025-04-11,6.34,7.825,6.34,7.41,1184682
2025-04-14,7.58,7.705,6.81,7.43,232902
2025-04-15,7.36,7.56,6.94,7.38,321240
2025-04-16,7.37,7.86,7.095,7.51,313148
2025-04-17,7.48,7.85,7.09,7.62,218710
2025-04-21,7.57,7.86,7.2,7.64,301231
2025-04-22,7.69,8.89,7.38,8.64,441915
2025-04-23,8.68,9.3467,8.65,8.99,419348
2025-04-24,8.99,9.805,8.92,9.27,353329
2025-04-25,9.07,9.64,8.75,9.17,265788
2025-04-28,9.13,9.415,8.995,9.35,184511
2025-04-29,9.38,9.99,9.025,9.87,178042
2025-04-30,9.76,10.94,9.38,10.49,345746
2025-05-01,10.53,11.36,10.0704,11.28,277059
2025-05-02,11.28,13.0,10.83,12.0,629525
2025-05-05,11.82,12.24,10.95,12.07,191858
2025-05-06,11.84,11.84,10.18,10.82,436964
2025-05-07,10.64,11.73,10.48,10.83,158953
2025-05-08,10.84,11.73,10.5,11.71,171393
2025-05-09,11.71,11.985,10.8,11.11,172110
2025-05-12,11.18,11.61,10.61,11.14,168780
2025-05-13,11.21,11.565,10.21,10.27,210417
2025-05-14,10.3,10.62,9.84,10.17,228779
2025-05-15,10.17,10.71,9.815,10.65,142700
2025-05-16,10.74,11.17,10.39,11.16,167007
2025-05-19,10.83,12.28,10.77,12.15,347577
2025-05-20,12.13,12.43,11.47,12.36,235546
2025-05-21,11.92,12.34,10.97,12.25,645718
2025-05-22,12.04,12.575,11.81,12.51,272254
2025-05-23,12.18,12.46,11.905,12.15,198240
2025-05-27,12.5,12.7,12.11,12.6,191203
2025-05-28,12.55,12.74,12.24,12.52,212687
2025-05-29,12.71,12.995,12.42,12.72,152628
2025-05-30,12.74,12.91,12.325,12.42,177747
2025-06-02,12.51,13.43,12.2,13.14,349745
2025-06-03,13.18,14.07,12.67,13.66,264842
2025-06-04,13.81,14.335,13.56,13.635,222064
2025-06-05,13.49,13.49,11.73,11.86,154771
2025-06-06,11.88,12.46,11.3,11.37,170592
2025-06-09,11.61,11.91,11.1203,11.36,178686
2025-06-10,11.4,11.75,10.9,11.455,554133
2025-06-11,11.63,11.715,10.91,10.94,101168
2025-06-12,10.81,11.34,10.65,10.72,141315
2025-06-13,10.51,10.83,10.34,10.37,123060
2025-06-16,10.33,10.67,9.975,10.5,240846
2025-06-17,10.5,11.17,10.05,10.1,265907
2025-06-18,10.12,10.58,9.93,10.28,184797
2025-06-20,10.39,10.78,9.43,9.74,383374
2025-06-23,9.56,10.1699,9.48,9.73,297345
2025-06-24,9.89,11.24,9.7236,11.05,391061
2025-06-25,11.16,12.01,10.68,11.91,645860
2025-06-26,11.95,12.51,10.64,11.29,495782
2025-06-27,11.39,11.645,10.3,10.75,1142718
2025-06-30,10.71,12.0,10.62,11.41,209886
2025-07-01,11.41,12.0,11.01,11.61,276249
2025-07-02,11.65,12.42,11.47,12.33,425670
2025-07-03,12.36,12.47,11.76,12.47,92284
2025-07-07,12.33,13.1,12.15,12.88,451005
2025-07-08,12.88,13.15,12.54,13.07,194548
2025-07-09,13.19,14.11,12.9,13.28,588765
2025-07-10,13.0,13.28,12.2,12.4,199131
2025-07-11,12.0,13.53,11.8,13.04,566164
2025-07-14,13.1,13.99,12.93,13.87,388969
2025-07-15,14.06,14.7351,12.99,13.4,307036
2025-07-16,14.0,14.2358,11.8044,12.43,599296
2025-07-17,12.43,12.8757,12.0201,12.195,239822
2025-07-18,12.34,13.164,11.56,11.75,273419
2025-07-21,11.83,13.12,11.725,12.19,365294
