date,open,high,low,close,volume
2025-12-11,10.015,10.02,10.0,10.0,1092089
2025-12-12,10.005,10.01,10.0,10.0,736082
2025-12-15,10.0,10.03,10.0,10.01,627685
2025-12-16,10.0,10.017,10.0,10.01,36327
2025-12-17,10.01,10.02,10.0,10.01,384441
2025-12-18,10.015,10.015,10.0,10.01,410913
2025-12-19,10.01,10.01,10.0,10.0,62707
2025-12-22,10.0,10.0,10.0,10.0,26295
2025-12-23,10.0,10.0028,10.0,10.0028,58977
2025-12-24,10.0,10.0,10.0,10.0,11231
2025-12-26,10.01,10.02,10.01,10.02,437
2025-12-29,10.0,10.01,10.0,10.0,7464
2025-12-30,10.01,10.01,10.0,10.01,237810
2025-12-31,10.0,10.005,10.0,10.0,7109
2026-01-02,10.0,10.01,10.0,10.005,4884
2026-01-05,10.0,10.01,10.0,10.01,254505
2026-01-06,10.0,10.01,10.0,10.01,8380
2026-01-07,10.0,10.01,10.0,10.0,42610
2026-01-08,10.0,10.01,10.0,10.01,3082
2026-01-09,10.0,10.01,10.0,10.005,12127
2026-01-12,10.02,10.02,10.005,10.01,108407
2026-01-13,10.02,10.02,10.0,10.02,560468
2026-01-14,10.01,10.015,10.01,10.01,5926
2026-01-15,10.01,10.0252,10.01,10.02,7791
2026-01-20,10.01,10.015,10.01,10.01,1331
2026-01-21,10.01,10.02,10.01,10.02,1960
2026-01-22,10.02,10.02,10.01,10.02,55346
2026-01-23,10.01,10.02,10.01,10.01,35488
2026-01-26,10.015,10.02,10.01,10.02,5143
2026-01-27,10.015,10.015,10.01,10.01,29770
2026-01-28,10.03,10.035,10.02,10.03,455134
2026-01-29,10.03,10.035,10.0284,10.03,40054
2026-01-30,10.04,10.04,10.0199,10.0199,28216
2026-02-02,10.025,10.0301,10.01,10.02,30697
2026-02-03,10.02,10.0342,10.02,10.0301,36352
2026-02-04,10.01,10.03,10.01,10.02,6040
2026-02-05,10.01,10.03,10.01,10.03,3884
2026-02-06,10.04,10.04,10.03,10.03,671
2026-02-09,10.07,10.07,10.005,10.02,7395
2026-02-10,9.99,10.01,9.99,10.01,517
