date,open,high,low,close,volume
2025-12-09,20.02,20.07,20.02,20.044,35528
2025-12-10,20.23,20.23,19.93,20.0376,33191
2025-12-11,20.06,20.16,19.9464,20.1272,15661
2025-12-12,20.12,20.125,19.8916,19.8916,9106
2025-12-15,20.08,20.08,19.83,19.8314,6237
2025-12-16,20.01,20.01,19.76,19.821,4777
2025-12-17,19.787,19.8,19.5598,19.5598,3353
2025-12-18,19.9,19.9,19.8,19.8266,8034
2025-12-19,19.97,20.15,19.93,20.1014,17123
2025-12-22,20.33,20.33,20.2484,20.2853,8043
2025-12-23,20.49,20.49,20.2,20.283,16058
2025-12-24,20.26,20.36,20.26,20.3317,4311
2025-12-26,20.34,20.34,20.3031,20.3031,545
2025-12-29,20.45,20.45,20.1647,20.2231,5729
2025-12-30,20.18,20.21,20.17,20.1705,8072
2025-12-31,20.12,20.12,20.0,20.0011,7382
2026-01-02,19.95,19.95,19.778,19.8747,2714
2026-01-05,20.23,20.23,20.02,20.0471,5946
2026-01-06,20.08,20.25,20.03,20.235,17994
2026-01-07,20.33,20.46,20.28,20.3434,26210
2026-01-08,20.56,20.56,20.1799,20.205,15495
2026-01-09,20.185,20.34,20.18,20.3157,16952
2026-01-12,20.41,20.41,20.17,20.3407,6175
2026-01-13,20.53,20.53,20.2,20.2504,16391
2026-01-14,20.42,20.42,19.9,19.9903,14356
2026-01-15,20.37,20.37,19.9449,19.9449,11790
2026-01-16,20.06,20.06,19.8813,19.8813,38480
2026-01-20,19.74,19.74,19.485,19.4898,17226
2026-01-21,19.53,19.75,19.49,19.6599,15137
2026-01-22,19.8,19.83,19.7463,19.7859,16273
2026-01-23,20.03,20.03,19.76,19.7886,10902
2026-01-26,20.0,20.0,19.88,19.93,14206
2026-01-27,20.039,20.05,20.0,20.0199,20874
2026-01-28,20.31,20.31,19.93,19.9387,15630
2026-01-29,19.7665,19.9291,19.66,19.9291,5787
2026-01-30,19.78,20.06,19.5499,19.5704,3143
2026-02-02,19.61,19.76,19.61,19.6725,23520
2026-02-03,19.72,19.72,19.1349,19.2594,3458
2026-02-04,19.07,19.09,18.9848,18.9859,4261
2026-02-05,18.4997,18.91,18.08,18.6644,4249
2026-02-06,18.8435,18.99,18.8061,18.9841,16209
2026-02-09,19,19.14,19,19.1178,4264
2026-02-10,19.21,19.25,19.12,19.14,7539
