date,open,high,low,close,volume
2023-09-19,9.015,10.9,8.585,9.94,18636.1
2023-09-20,9.885,10.24,9.3,9.51,5120.12
2023-09-21,8.755,9.49995,8.465,8.715,7410.16
2023-09-22,8.715,8.715,8.085,8.095,3046.88
2023-09-25,7.8,8.665,7.5,8.0,3253.28
2023-09-26,8.0,9.125,7.505,7.9,5926.08
2023-09-27,8.05,8.49,7.955,8.25,4978.68
2023-09-28,8.275,8.95,7.995,8.325,2015.36
2023-09-29,8.03,8.995,8.005,8.14,2464.6
2023-10-02,8.35,8.35,7.65,7.68,4442.68
2023-10-03,8.135,8.375,7.1,7.5,5076.76
2023-10-04,7.4,8.2,7.37,8.2,2572.82
2023-10-05,7.715,8.5,7.635,7.775,1226.26
2023-10-06,7.965,8.5,7.505,8.12,1151.86
2023-10-09,7.65,8.04,7.65,7.805,1090.42
2023-10-10,7.805,8.49,7.65,8.075,2256.1
2023-10-11,8.35,8.45,7.7,8.225,14404.88
2023-10-12,8.5,9.18,8.25,8.35,8352.4
2023-10-13,8.44,8.57995,8.0,8.44,2772.26
2023-10-16,8.75,8.75,7.75,8.06,3676.16
2023-10-17,8.27,8.315,7.94505,8.105,2475.76
2023-10-18,8.115,8.615,7.885,7.885,1635.78
2023-10-19,8.25,8.26,7.5,8.015,2583.02
2023-10-20,7.64,7.995,7.02,7.425,2979.78
2023-10-23,7.5,7.945,7.48,7.49,4771.96
2023-10-24,7.67,7.89,7.14,7.745,1866.84
2023-10-25,7.73,7.895,7.35,7.465,2378.04
2023-10-26,7.55,7.9,7.275,7.495,8392.46
2023-10-27,7.305,7.67,6.75,7.24,3599.62
2023-10-30,7.4,7.4,6.76,7.155,4268.3
2023-10-31,7.14,7.14,6.5,6.59,2304.0
2023-11-01,6.59,6.745,6.025,6.625,5523.32
2023-11-02,6.86,6.955,6.505,6.53,1279.42
2023-11-03,6.63,7.025,6.55,6.785,2058.82
2023-11-06,6.83,7.415,6.645,6.7548,1876.16
2023-11-07,7.1,7.245,6.445,6.465,4427.0
2023-11-08,6.5,7.0,6.5,6.89765,3318.22
2023-11-09,6.905,6.905,6.0,6.56,8237.84
2023-11-10,6.365,6.575,6.15,6.445,2611.4
2023-11-13,6.43,6.875,6.3,6.615,900.4
2023-11-14,6.7,7.25,6.65505,7.05,3385.44
2023-11-15,7.03,7.77,6.9,7.5,5355.58
2023-11-16,7.2,7.9,7.035,7.7,4085.36
2023-11-17,7.915,7.915,7.03,7.105,6745.24
2023-11-20,6.95,7.925,6.95,7.425,6286.14
2023-11-21,7.55,7.875,6.15,7.48,7427.1
2023-11-22,7.255,7.4,6.9,6.99,2488.32
2023-11-24,7.0,7.7002,7.0,7.505,2661.72
2023-11-27,7.495,7.79,7.335,7.625,2391.06
2023-11-28,7.325,7.78,7.325,7.465,2051.14
2023-11-29,7.655,7.88,7.47,7.605,1727.2
2023-11-30,7.87,7.87,7.225,7.48,855.6
2023-12-01,7.41,10.11,7.41,9.19,48191.38
2023-12-04,9.0,9.0,7.75,8.75,7051.88
2023-12-05,8.915,10.5,7.575,9.75,12951.34
2023-12-06,9.595,10.89,8.78,9.005,10574.36
2023-12-07,9.65,9.65,8.45,8.855,1845.66
2023-12-08,9.215,9.745,8.45,9.0,4262.08
2023-12-11,8.87,8.88995,7.005,7.55,7271.48
2023-12-12,7.64,7.64,7.365,7.4,650.84
2023-12-13,7.49,7.62,7.075,7.62,2300.48
2023-12-14,7.645,8.005,7.25,8.005,1901.88
2023-12-15,8.615,9.03,8.105,8.465,3765.02
2023-12-18,8.5,8.745,7.5,8.265,2236.08
2023-12-19,8.2,8.86,8.2,8.35,2218.98
2023-12-20,8.5,9.66,8.345,8.985,5130.76
2023-12-21,8.55,9.345,8.55,9.135,1264.88
2023-12-22,9.3,10.3775,9.205,9.675,8457.04
