date,open,high,low,close,volume
2025-05-22,21.0,26.88,20.76,26.36,11555728
2025-05-23,25.93,32.49,24.5606,27.71,4008639
2025-05-27,27.9846,28.48,25.25,25.55,1464023
2025-05-28,25.255,26.5,24.51,25.9,611770
2025-05-29,26.0,26.14,25.2,26.0,440238
2025-05-30,26.0,26.04,23.5001,25.23,425045
2025-06-02,24.9479,26.62,23.31,26.59,661962
2025-06-03,26.595,26.69,24.65,24.94,332187
2025-06-04,25.195,25.38,24.5224,24.77,137889
2025-06-05,24.5994,25.15,24.02,24.5,312026
2025-06-06,24.09,24.99,23.76,24.95,414918
2025-06-09,24.995,25.04,24.01,24.16,275238
2025-06-10,24.05,24.19,20.05,21.21,1146848
2025-06-11,21.01,21.36,18.87,19.97,683993
2025-06-12,20.5944,20.5944,19.59,19.91,728319
2025-06-13,19.37,19.69,18.25,18.51,541887
2025-06-16,19.48,23.09,18.82,22.69,1185310
2025-06-17,22.311,23.3431,19.69,19.88,612204
2025-06-18,19.98,21.297,19.5,21.04,736911
2025-06-20,21.5,22.14,18.9,19.61,693309
2025-06-23,19.32,19.9999,18.37,19.01,315305
2025-06-24,19.375,20.81,18.5901,20.26,585890
2025-06-25,20.27,22.53,20.15,22.14,1008916
2025-06-26,22.1,23.43,21.0,23.28,484970
2025-06-27,23.2,23.28,20.93,22.01,1059066
2025-06-30,22.0,22.7299,20.62,21.87,798455
2025-07-01,21.14,22.32,20.85,21.16,986234
2025-07-02,21.39,21.865,20.88,20.93,829254
2025-07-03,20.9,21.75,20.89,21.42,98829
2025-07-07,21.3628,21.59,20.6,20.79,549998
2025-07-08,20.69,21.55,20.6,21.0,768461
2025-07-09,23.405,25.15,22.4,22.5,1822863
2025-07-10,23.0,23.5099,21.6,21.79,677236
2025-07-11,22.01,23.74,21.6,23.18,746440
2025-07-14,22.85,24.3,22.6,23.27,525767
2025-07-15,23.7,23.905,22.88,23.35,433485
2025-07-16,23.67,25.79,23.51,25.39,552434
2025-07-17,25.78,29.36,25.06,27.84,1307075
2025-07-18,28.09,29.0,27.5,28.2,793666
2025-07-21,27.84,29.99,27.78,28.92,707908
2025-07-22,29.2538,29.62,27.2066,27.38,642514
2025-07-23,26.9,29.0,26.51,28.94,379203
2025-07-24,29.0,30.0,28.54,29.18,349559
2025-07-25,29.0,29.09,27.5907,28.61,629234
2025-07-28,28.75,30.3,27.86,28.0,743700
2025-07-29,28.35,28.765,26.51,27.22,401903
2025-07-30,27.75,29.95,27.2,29.17,892005
2025-07-31,29.01,29.2262,27.75,28.16,372144
2025-08-01,27.34,28.16,26.265,27.72,377278
2025-08-04,27.69,30.08,27.3238,29.22,439328
2025-08-05,30.05,31.82,28.86,31.47,1595762
2025-08-06,32.0,32.0,25.5,25.85,2837336
2025-08-07,26.39,27.49,24.935,24.98,1028184
2025-08-08,25.1,25.71,21.8,21.83,1473311
2025-08-11,23.4,23.86,22.24,22.62,770103
2025-08-12,22.6,23.1376,22.05,22.98,635622
2025-08-13,23.075,23.44,22.05,23.08,610905
2025-08-14,22.2,22.99,21.7,21.98,654500
2025-08-15,21.7551,22.2299,20.89,21.4,882597
2025-08-18,21.246,22.92,21.23,22.85,717358
2025-08-19,22.775,23.1999,21.855,22.1,630730
2025-08-20,22.11,22.65,21.76,22.5,439017
2025-08-21,22.345,22.8399,22.03,22.28,216601
2025-08-22,22.3214,23.25,22.27,23.0,618576
2025-08-25,22.7201,22.895,20.84,21.13,796768
2025-08-26,21.4039,21.48,20.33,20.76,980472
2025-08-27,20.8662,21.07,20.5,20.98,550724
2025-08-28,20.96,21.125,20.325,20.4,316414
2025-08-29,20.4,20.72,19.95,20.41,733526
2025-09-02,20.315,20.45,19.25,19.98,640123
2025-09-03,20.055,21.7,19.83,20.89,693819
2025-09-04,21.0,21.3,19.66,20.52,501321
2025-09-05,20.655,21.0427,19.775,20.02,804961
2025-09-08,20.19,20.19,19.16,19.99,707117
2025-09-09,19.94,19.97,19.33,19.94,438665
2025-09-10,20.07,20.57,19.27,19.34,666882
2025-09-11,19.32,20.01,19.32,19.77,618872
2025-09-12,19.855,20.15,19.52,19.75,605643
2025-09-15,19.905,19.937,19.351,19.85,560890
2025-09-16,19.8,20.46,19.49,20.19,390748
2025-09-17,20.09,20.71,20.01,20.07,622427
2025-09-18,20.55,20.86,20.05,20.08,758585
2025-09-19,20.1325,20.84,20.05,20.22,1420560
2025-09-22,20.4351,20.6415,19.96,20.35,450700
2025-09-23,20.3393,20.5215,18.04,18.11,977620
2025-09-24,18.4183,18.4282,17.22,18.33,911900
2025-09-25,18.016,18.09,17.49,17.71,731418
2025-09-26,17.7,17.81,17.29,17.37,436266
2025-09-29,17.77,18.9589,17.61,18.67,550338
2025-09-30,18.66,18.81,18.07,18.55,951196
2025-10-01,18.6104,18.6104,17.72,17.94,526554
2025-10-02,18.0,18.555,17.94,18.3,515448
2025-10-03,18.3,18.745,17.97,17.97,335797
2025-10-06,18.2,18.39,17.68,18.16,285611
2025-10-07,18.12,18.3,17.13,17.14,441165
2025-10-08,17.51,17.6,16.9348,17.52,611635
2025-10-09,17.5,17.6969,16.665,16.99,343502
2025-10-10,16.99,17.18,16.0,16.06,406816
2025-10-13,16.25,16.395,15.25,15.88,501221
2025-10-14,15.6856,16.25,15.27,15.88,243501
2025-10-15,16.2345,16.56,15.1,15.28,998724
2025-10-16,15.36,15.41,14.85,15.05,517333
2025-10-17,14.875,15.05,14.71,15.03,383703
2025-10-20,15.0,15.29,14.8677,15.13,311174
2025-10-21,15.35,16.26,15.12,16.04,551321
2025-10-22,15.83,16.1599,15.31,15.65,1373986
2025-10-23,15.98,16.42,15.74,16.01,695091
2025-10-24,17.18,18.47,16.83,18.47,1295164
2025-10-27,18.55,18.605,17.49,17.95,1043701
2025-10-28,18.4281,18.4281,16.415,16.55,838271
2025-10-29,16.56,17.06,16.32,16.4,573991
2025-10-30,16.36,16.585,16.05,16.37,517709
2025-10-31,16.71,16.795,16.2901,16.58,390959
2025-11-03,16.91,16.91,15.45,15.49,725200
2025-11-04,15.45,15.605,14.57,14.85,988558
2025-11-05,14.0,14.98,13.36,13.65,2765024
2025-11-06,13.48,14.7,13.3,14.37,2983153
2025-11-07,14.325,14.79,13.335,14.39,3027801
2025-11-10,14.6699,14.89,13.83,13.9,1029422
2025-11-11,13.86,14.17,13.63,14.07,818163
2025-11-12,14.0,14.3,13.8577,14.27,1056771
2025-11-13,14.26,14.26,13.55,13.95,681514
2025-11-14,13.59,14.2537,13.34,14.0,960728
2025-11-17,13.85,14.34,13.3801,13.64,637002
2025-11-18,13.63,14.17,13.45,14.0,819324
2025-11-19,13.98,14.18,13.42,13.9,694155
2025-11-20,14.17,14.235,13.38,13.69,555956
2025-11-21,13.7,13.92,13.43,13.82,585443
2025-11-24,13.705,14.0,13.495,13.62,738599
