date,open,high,low,close,volume
2022-02-11,5.8,6.05,4.02,4.26,11599217
2022-02-14,3.7934,4.0,3.5,3.85,870973
2022-02-15,3.84,3.88,3.61,3.65,364746
2022-02-16,3.65,3.74,3.45,3.5,360160
2022-02-17,3.54,3.5422,3.2,3.34,309267
2022-02-18,3.48,3.48,2.74,3.01,334771
2022-02-22,2.77,2.9,2.5501,2.85,167243
2022-02-23,2.86,3.02,2.68,2.96,74956
2022-02-24,2.85,2.95,2.85,2.95,120488
2022-02-25,2.92,3.3348,2.87,3.29,61578
2022-02-28,3.12,3.49,3.07,3.47,87315
2022-03-01,3.45,3.63,3.21,3.63,144215
2022-03-02,3.46,3.96,3.42,3.95,142149
2022-03-03,4.04,4.1,3.9047,4.03,146106
2022-03-04,4.07,4.07,3.85,3.99,73675
2022-03-07,3.99,4.68,3.95,4.42,228104
2022-03-08,4.4,4.42,4.08,4.15,146139
2022-03-09,4.25,4.46,4.0666,4.35,114253
2022-03-10,4.3,4.5,4.195,4.39,61147
2022-03-11,4.39,4.5,4.315,4.45,61922
2022-03-14,4.38,4.4241,3.86,3.95,64632
2022-03-15,4.1001,4.5,4.08,4.35,93480
2022-03-16,4.27,4.47,4.18,4.4,44556
2022-03-17,4.26,4.44,4.24,4.38,31178
2022-03-18,4.46,4.46,3.8,3.8,134231
2022-03-21,4.11,4.11,4.0,4.0,33168
2022-03-22,4.05,4.14,3.95,4.0,48882
2022-03-23,3.99,4.139,3.95,3.95,28135
2022-03-24,3.83,4.251,3.82,4.0,120321
2022-03-25,4.46,4.46,4.17,4.25,96970
2022-03-28,4.19,4.39,4.0045,4.15,41669
2022-03-29,4.04,4.76,4.04,4.52,45351
2022-03-30,4.45,4.6876,4.18,4.18,74486
2022-03-31,4.3,4.5589,4.19,4.4,43345
2022-04-01,4.5,4.5,4.25,4.25,18319
2022-04-04,4.25,4.6208,4.25,4.51,74411
2022-04-05,4.37,4.6937,4.35,4.35,86893
2022-04-06,4.08,4.6599,4.04,4.32,29295
2022-04-07,4.5069,4.5069,4.15,4.23,34762
2022-04-08,4.23,4.42,4.0042,4.18,26630
2022-04-11,4.1195,4.2323,3.89,3.89,66364
2022-04-12,4.01,4.1377,3.82,4.03,32206
2022-04-13,4.46,4.46,3.9,4.11,29726
2022-04-14,4.5,4.7199,4.2004,4.24,61137
2022-04-18,4.41,4.41,4.21,4.23,21423
2022-04-19,4.21,4.3443,4.21,4.28,13468
2022-04-20,4.31,4.325,4.0201,4.1472,8667
2022-04-21,4.27,4.29,4.2,4.22,17024
2022-04-22,4.4,4.44,4.2,4.4,16719
2022-04-25,4.4077,4.968,4.34,4.8,99832
2022-04-26,4.67,4.8746,4.34,4.75,33392
2022-04-27,4.62,5.07,4.4401,4.9,74512
2022-04-28,5.0,5.0,4.42,4.53,37851
2022-04-29,4.42,4.53,4.2717,4.53,18733
2022-05-02,4.32,4.4,4.14,4.32,40565
2022-05-03,4.28,4.28,4.11,4.22,11364
2022-05-04,4.16,4.204,4.1007,4.16,10663
2022-05-05,4.17,4.3,4.17,4.23,14797
2022-05-06,4.62,4.62,4.2,4.39,40102
2022-05-09,4.57,4.57,4.1707,4.35,36161
2022-05-10,4.44,4.4967,4.17,4.17,25808
2022-05-11,4.28,4.35,3.95,3.95,44923
2022-05-12,4.11,4.14,3.9501,4.14,7382
2022-05-13,4.24,4.35,4.0354,4.3374,9769
2022-05-16,4.39,4.81,4.2,4.71,61327
2022-05-17,4.6,4.6,4.51,4.59,5915
2022-05-18,4.66,4.9099,4.6185,4.68,39569
2022-05-19,4.76,4.76,4.5,4.76,45871
2022-05-20,4.76,4.76,4.5521,4.63,83665
2022-05-23,4.63,4.66,4.5,4.65,12144
2022-05-24,4.5,4.75,4.27,4.5,31334
2022-05-25,4.65,4.7,4.47,4.69,11841
2022-05-26,4.5,4.75,4.5,4.53,5988
2022-05-27,4.5368,4.76,4.5368,4.76,13945
2022-05-31,4.49,4.75,4.49,4.75,2044
