date,open,high,low,close,volume
2022-10-14,25.0687,25.09,24.9634,24.9634,392760
2022-10-17,25.65,25.65,25.5803,25.5803,401794
2022-10-18,25.7957,25.7957,25.7957,25.7957,64
2022-10-19,25.65,25.65,25.5538,25.6279,389177
2022-10-20,25.709,25.71,25.4766,25.4766,389456
2022-10-21,25.76,25.997,25.76,25.997,356479
2022-10-24,26.2,26.44,26.2,26.3406,393012
2022-10-25,26.665,26.7822,26.643,26.7822,6745
2022-10-26,26.87,26.87,26.5697,26.5697,491168
2022-10-27,26.56,26.56,26.2706,26.2706,7546
2022-10-28,26.78,26.94,26.76,26.9342,3129
2022-10-31,26.9,26.9,26.7219,26.7219,563
2022-11-01,26.61,26.6155,26.5958,26.6155,615
2022-11-02,26.45,26.46,25.955,25.955,12752
2022-11-03,25.75,25.75,25.6026,25.6026,475622
2022-11-04,25.7822,25.8462,25.7822,25.8462,1276
2022-11-07,25.85,26.13,25.84,26.0979,407395
2022-11-08,26.28,26.33,26.2225,26.2225,362459
2022-11-09,25.7957,25.7957,25.7957,25.7957,2027
2022-11-10,26.7689,27.09,26.76,27.0879,3145
2022-11-11,26.9975,27.29,26.9975,27.2259,2002
2022-11-14,27.26,27.26,27.0677,27.0677,293841
2022-11-15,27.5398,27.5398,27.129,27.2646,1292
2022-11-16,27.15,27.15,27.1356,27.1356,1003
2022-11-17,26.9132,27.0658,26.9132,27.03,30490
2022-11-18,27.2095,27.2095,27.2095,27.2095,417
2022-11-21,27.1681,27.22,27.1375,27.1375,26551
2022-11-22,27.4415,27.4779,27.4415,27.4779,604
2022-11-23,27.5811,27.6747,27.5575,27.6747,2273
2022-11-25,27.71,27.71,27.6776,27.6776,2402
2022-11-28,27.53,27.53,27.33,27.3641,27444
2022-11-29,27.44,27.44,27.2,27.2349,23766
2022-11-30,27.3,28.1069,27.21,28.1069,33655
2022-12-01,28.1835,28.1835,28.1835,28.1835,2
2022-12-02,28.02,28.1689,28.02,28.1689,3793
2022-12-05,27.921,27.96,27.7772,27.7772,350
2022-12-06,27.3978,27.3978,27.3978,27.3978,2
2022-12-08,27.62,27.6526,27.62,27.6526,150
2022-12-09,27.4595,27.4595,27.4595,27.4595,105
2022-12-12,27.55,27.8251,27.5334,27.8251,588
2022-12-13,28.197,28.197,27.91,28.0037,2357
