date,open,high,low,close,volume
2018-07-19,20.75,20.95,19.3,19.7,558761
2018-07-20,19.63,19.9799,19.02,19.1,38259
2018-07-23,19.1,19.4786,19.09,19.09,30288
2018-07-24,19.28,19.75,18.3,18.87,23264
2018-07-25,18.81,18.81,18.41,18.51,29534
2018-07-26,18.75,18.965,18.25,18.42,8673
2018-07-27,18.3,18.3,17.12,18.0,14376
2018-07-30,20.1,20.1,17.1653,18.11,64741
2018-07-31,17.44,17.76,17.43,17.76,5308
2018-08-01,17.65,17.65,16.0,16.36,15911
2018-08-02,16.85,17.45,16.85,17.06,35554
2018-08-03,16.2677,17.5,16.2677,17.3,20563
2018-08-06,17.3,17.5,17.0,17.0,9024
2018-08-07,17.42,17.98,17.01,17.98,23563
2018-08-08,17.68,18.15,17.6,18.15,5803
2018-08-09,17.8758,18.35,17.75,17.83,16682
2018-08-10,17.06,17.49,17.06,17.24,1358
2018-08-13,17.52,18.49,17.25,17.46,47045
2018-08-14,17.9999,18.0,17.01,17.1,4177
2018-08-15,17.505,17.88,17.04,17.69,9903
2018-08-16,17.5,17.75,17.5,17.5,17648
2018-08-17,17.5,17.6,17.45,17.6,33187
2018-08-20,17.5,17.75,16.89,17.75,21423
2018-08-21,17.75,17.79,16.501,17.17,24696
2018-08-22,17.25,17.5,17.25,17.48,18763
2018-08-23,17.25,18.0,17.25,17.9999,39211
2018-08-24,18.0,18.0,17.75,17.825,34786
2018-08-27,17.7499,17.8,17.155,17.7,4984
2018-08-28,17.02,17.58,17.0,17.52,6378
2018-08-29,17.255,17.5,17.01,17.1,3553
2018-08-30,16.735,17.6,16.471,17.4,7564
2018-08-31,17.4,18.5,17.4,18.4,81420
2018-09-04,18.0001,18.4,17.2601,18.2,36984
2018-09-05,18.2,18.4,17.95,18.3,2997
2018-09-06,18.4,18.4,17.95,17.97,4765
2018-09-07,17.76,18.9102,17.76,17.96,16550
2018-09-10,18.6126,18.8,17.95,17.95,8457
2018-09-11,17.83,17.98,16.76,17.89,10556
2018-09-12,17.9,18.39,16.97,17.33,16655
2018-09-13,17.51,17.97,17.25,17.65,4772
2018-09-14,18.0,18.0,17.31,17.31,626
2018-09-17,17.89,18.5,17.89,17.9,10514
2018-09-18,18.5,18.5,17.73,17.9,11717
2018-09-19,17.83,18.25,17.55,17.55,23166
2018-09-20,17.6,18.25,17.4979,17.6,12648
2018-09-21,17.75,18.0,16.53,16.53,46262
2018-09-24,16.91,18.04,16.91,17.0,7020
2018-09-25,17.05,17.9519,17.0,17.5,24543
2018-09-26,17.7027,17.99,17.51,17.61,1741
2018-09-27,17.75,18.0,17.275,17.52,15835
2018-09-28,17.24,17.935,17.03,17.49,12195
2018-10-01,17.34,17.3564,16.56,16.56,13521
2018-10-02,16.61,16.7534,16.38,16.54,33930
2018-10-03,16.98,16.98,16.35,16.475,41565
2018-10-04,16.7,16.7,16.6,16.6,956
2018-10-05,16.8799,16.8799,16.35,16.56,768
2018-10-08,16.45,16.56,16.22,16.56,1845
2018-10-09,16.23,16.26,15.55,16.0,10837
2018-10-10,16.25,16.25,15.8,15.85,6190
2018-10-11,15.9,16.65,15.6863,15.85,15224
2018-10-12,15.7,16.4961,15.7,15.99,685
2018-10-15,15.96,15.96,15.62,15.93,2374
2018-10-16,15.62,15.8978,15.62,15.8,2955
2018-10-17,15.42,15.85,15.26,15.85,46693
2018-10-18,15.75,15.85,15.5,15.7,7745
2018-10-19,15.51,15.51,14.8,15.01,2672
2018-10-22,15.0,15.99,14.5,15.4,25967
2018-10-23,15.25,15.5,14.58,15.12,14375
2018-10-24,15.73,15.73,14.55,14.55,13569
2018-10-25,14.63,15.67,14.63,15.05,2249
2018-10-26,15.177,15.177,14.6,14.7,6371
2018-10-29,14.96,15.0,13.7,14.75,8173
2018-10-30,14.3,14.3,12.85,13.5,391662
2018-10-31,13.64,13.64,13.2525,13.3942,4342
2018-11-01,13.3,13.704,12.8,12.89,18438
2018-11-02,12.99,13.0,12.75,12.81,94554
2018-11-05,12.5,12.5806,12.075,12.25,9485
2018-11-06,12.19,12.95,12.19,12.95,1009
2018-11-07,13.0,13.0,12.52,12.6,6990
2018-11-08,12.6,12.663,12.05,12.25,11936
2018-11-09,12.1085,12.9499,12.05,12.6,12164
2018-11-12,12.52,12.75,12.52,12.58,17948
2018-11-13,12.56,12.9,12.56,12.71,15007
2018-11-14,13.0,13.08,12.75,12.9,41638
2018-11-15,13.0,13.1703,12.8,12.8427,6166
2018-11-16,13.1518,13.1518,12.11,12.22,8245
2018-11-19,12.22,12.8,12.13,12.535,1834
2018-11-20,12.33,13.0,12.33,12.7,9925
2018-11-21,12.56,13.0,12.55,12.7,5386
2018-11-26,12.79,13.042,12.7,13.0,32414
2018-11-27,12.9807,13.1377,12.9362,13.0,5820
2018-11-28,12.8354,13.1,12.8354,12.9,18821
2018-11-29,12.8,12.9383,12.8,12.92,2025
2018-11-30,12.8101,13.08,12.81,13.075,8666
2018-12-03,13.08,13.08,12.81,12.92,15035
2018-12-04,12.92,12.92,12.61,12.61,6972
2018-12-06,12.52,12.52,12.25,12.27,8492
2018-12-07,12.47,12.5,12.2,12.22,12799
2018-12-10,12.21,12.2903,12.13,12.15,61305
2018-12-11,12.15,12.3405,12.15,12.15,104035
2018-12-12,12.08,12.2,12.01,12.1,13073
2018-12-13,12.1,12.3,12.0,12.3,5200
2018-12-14,12.01,12.2108,12.01,12.15,15820
2018-12-17,12.15,12.18,12.1,12.15,18878
2018-12-18,12.06,12.15,11.87,11.87,28694
2018-12-19,11.81,11.98,11.5,11.52,7728
2018-12-20,11.27,11.67,11.27,11.32,2241
2018-12-21,11.36,12.42,11.26,11.35,22339
2018-12-24,11.29,11.35,10.91,10.96,9335
2018-12-26,10.91,11.8,10.91,11.16,8959
2018-12-27,11.45,11.45,10.96,11.01,6128
2018-12-28,11.02,11.4,10.96,11.13,12593
2018-12-31,11.4,11.71,11.23,11.71,13043
2019-01-04,11.75,11.7726,11.66,11.75,8394
2019-01-08,11.66,11.66,11.66,11.66,547
2019-01-09,11.7424,11.86,11.62,11.715,18075
2019-01-10,11.885,12.15,11.63,12.15,15056
2019-01-11,12.15,12.69,12.1,12.65,8530
2019-01-14,12.44,13.0959,12.44,13.0,20466
2019-01-15,12.3994,13.53,12.3994,13.3144,32820
2019-01-16,13.3,13.65,12.955,13.5,28043
2019-01-17,13.25,14.05,13.21,13.75,33718
2019-01-18,13.66,14.1,13.5,13.75,38365
2019-01-22,14.24,14.33,13.75,13.75,16252
2019-01-23,13.75,14.25,12.78,14.25,8935
