date,open,high,low,close,volume
2020-12-11,18.15,19.33,16.0,16.98,624542
2020-12-14,17.45,17.45,15.89,15.95,220037
2020-12-15,16.2,16.7767,16.2,16.6,25711
2020-12-16,17.47,21.55,17.04,18.75,194371
2020-12-17,19.35,20.9,19.023,19.4,130053
2020-12-18,19.85,19.85,18.23,18.43,56026
2020-12-21,18.25,18.25,16.71,17.0348,59992
2020-12-22,17.1,17.4399,16.52,16.61,10204
2020-12-23,17.53,17.98,17.17,17.98,33954
2020-12-24,18.23,18.28,16.81,17.24,17150
2020-12-28,16.95,17.045,16.3,16.6,34829
2020-12-29,16.47,17.0299,16.305,16.41,52822
2020-12-30,16.55,17.1,16.54,16.73,6263
2020-12-31,16.7,17.28,16.1,16.5,15535
2021-01-04,16.94,17.0,16.24,16.5,40330
2021-01-05,17.64,19.93,17.23,19.18,85514
2021-01-06,18.49,19.99,18.39,19.3,101785
2021-01-07,18.7,19.18,18.08,18.21,77270
2021-01-08,19.08,19.3399,18.525,19.08,12684
2021-01-11,18.66,19.49,18.5,18.82,8152
2021-01-12,18.64,19.9,18.58,18.75,25239
2021-01-13,18.69,19.09,18.17,18.69,11018
2021-01-14,18.55,19.181,17.8,18.12,24928
2021-01-15,19.09,19.57,18.66,18.75,35471
2021-01-19,19.73,20.63,18.43,19.1,28629
2021-01-20,19.73,20.0,19.28,19.68,26619
2021-01-21,19.49,19.56,19.2,19.4851,4529
2021-01-22,18.74,19.0,18.42,19.0,7543
2021-01-25,17.9,18.145,17.046,17.77,68814
2021-01-26,18.05,18.05,17.32,17.47,13781
2021-01-27,17.39,17.82,16.8,16.91,17665
2021-01-28,17.6,17.6,16.98,17.01,2279
2021-01-29,17.4,17.45,16.6,16.67,12944
2021-02-01,17.89,18.4299,17.41,18.0,16975
2021-02-02,17.74,18.0119,17.43,17.91,11323
2021-02-03,17.6941,17.9499,17.25,17.31,3688
2021-02-04,17.94,18.2899,17.67,17.71,7344
2021-02-05,18.02,18.45,17.91,17.93,5691
2021-02-08,18.46,18.46,18.012,18.03,6425
2021-02-09,18.2,18.21,17.86,17.93,3472
2021-02-10,18.48,18.48,17.98,18.19,9285
2021-02-11,18.2,18.29,17.58,17.61,15564
2021-02-12,17.6277,18.0,17.56,17.87,6393
2021-02-16,17.62,18.0,17.6,18.0,5726
2021-02-17,17.8,18.15,17.5,17.56,10093
2021-02-18,17.48,17.48,16.86,16.87,18882
2021-02-19,17.3876,17.5,17.01,17.35,7309
2021-02-22,17.22,17.4,17.2,17.25,5241
2021-02-23,16.8415,17.0,16.7,16.7,10208
2021-02-24,16.87,17.03,16.8028,16.8028,2979
2021-02-25,16.84,16.975,16.35,16.577,6429
2021-02-26,16.51,16.85,16.4452,16.6161,3719
2021-03-01,16.25,16.82,16.25,16.7794,1246
2021-03-02,16.81,16.81,16.67,16.67,1023
2021-03-03,17.05,17.05,16.49,16.49,5471
2021-03-04,16.44,16.44,15.05,15.51,10733
2021-03-05,15.32,15.55,15.06,15.5,5288
2021-03-08,15.31,15.7905,15.31,15.46,5179
2021-03-09,15.92,16.49,15.92,16.2,14243
2021-03-10,16.47,16.47,16.3214,16.3214,1578
2021-03-11,16.82,16.82,16.43,16.65,1541
2021-03-12,16.27,16.7522,16.2088,16.2088,708
2021-03-15,16.3,16.53,16.16,16.16,2041
2021-03-16,16.09,16.44,16.09,16.44,769
2021-03-17,16.14,16.14,15.75,15.75,2175
2021-03-19,15.75,15.75,15.3,15.5,4422
2021-03-22,16.08,16.08,16.08,16.08,522
2021-03-23,15.3483,15.3483,15.3483,15.3483,141
2021-03-24,15.25,15.565,15.25,15.275,2315
2021-03-26,15.6915,15.6915,14.6,14.946,7582
2021-03-29,15.5,15.74,14.96,15.235,21174
2021-03-30,15.1,15.3,15.0873,15.18,17089
2021-03-31,15.35,15.8,12.85,15.04,94098
2021-04-01,15.8784,15.8784,15.51,15.66,4011
2021-04-05,16.0555,16.0555,15.53,15.545,5095
2021-04-06,15.3,15.3,15.3,15.3,400
2021-04-07,15.97,15.97,15.13,15.13,943
2021-04-08,16.2319,16.6,16.01,16.01,1256
2021-04-09,16.31,16.88,15.86,16.2,25741
2021-04-12,16.18,16.18,16.0,16.0,631
2021-04-13,15.66,15.7,15.66,15.66,1050
2021-04-14,15.9039,16.58,15.37,15.37,2893
2021-04-15,16.6306,16.81,16.53,16.6,1097
2021-04-16,16.3882,16.445,16.38,16.38,1337
2021-04-19,16.35,16.55,16.35,16.55,707
2021-04-20,15.55,15.55,15.55,15.55,176
2021-04-21,15.325,16.077,15.325,16.077,454
2021-04-22,15.3066,15.65,15.3066,15.65,3117
2021-04-23,15.61,16.38,15.61,16.38,665
2021-04-26,16.135,16.135,15.89,16.0221,1074
2021-04-28,16.0332,16.0332,15.92,15.92,1135
2021-04-30,15.96,15.96,15.47,15.47,765
2021-05-04,15.5831,15.6,15.5,15.6,1721
2021-05-05,14.9,15.5124,14.9,15.5124,655
2021-05-06,14.41,14.5267,14.27,14.3,2893
2021-05-07,14.7,15.32,14.7,15.06,2579
2021-05-10,14.8917,15.35,14.35,15.31,12329
