date,open,high,low,close,volume
2025-02-28,10.04,10.05,10.02,10.02,7614465
2025-03-03,10.02,10.04,10.02,10.02,244541
2025-03-04,10.03,10.03,10.02,10.02,63343
2025-03-05,10.03,10.04,10.02,10.03,237279
2025-03-06,10.02,10.0301,10.02,10.02,162487
2025-03-07,10.025,10.03,10.025,10.03,158809
2025-03-10,10.03,10.04,10.03,10.04,2057
2025-03-11,10.04,10.05,10.0399,10.04,51500
2025-03-12,10.04,10.05,10.04,10.0492,169453
2025-03-13,10.0394,10.04,10.0349,10.04,51062
2025-03-17,10.0406,10.05,10.04,10.05,3448
2025-03-18,10.0412,10.05,10.0412,10.05,367
2025-03-19,10.04,10.04,10.0389,10.0398,71140
2025-03-21,10.02,10.0653,10.02,10.04,11700
2025-03-24,10.02,10.05,10.02,10.0499,46048
2025-03-25,10.04,10.04,10.04,10.04,100
2025-03-26,10.03,10.03,10.03,10.03,25053
2025-03-27,10.08,10.0801,10.07,10.07,38372
2025-04-01,10.03,10.03,10.03,10.03,3384
2025-04-02,10.0399,10.1,10.0399,10.05,5500
2025-04-03,10.05,10.05,10.04,10.05,520
2025-04-04,10.04,10.04,10.04,10.04,653
2025-04-07,10.04,10.04,10.03,10.03,306727
2025-04-08,10.05,10.05,10.05,10.05,502
2025-04-10,10.05,10.05,10.05,10.05,100000
2025-04-11,10.02,10.05,10.02,10.05,26493
2025-04-14,10.04,10.04,10.02,10.02,1701
2025-04-15,10.04,10.04,10.03,10.03,300
2025-04-17,10.05,10.1,10.05,10.07,33000
2025-04-21,10.0702,10.0702,10.05,10.05,5433
2025-04-22,10.05,10.09,10.05,10.09,584
2025-04-23,10.06,10.06,10.06,10.06,113
2025-04-24,10.06,10.06,10.06,10.06,108
2025-04-25,10.06,10.06,10.05,10.05,509
2025-04-28,10.06,10.0601,10.06,10.06,912
2025-04-29,10.06,10.1701,10.06,10.1021,18275
2025-04-30,10.16,10.16,10.08,10.08,226
2025-05-02,10.1,10.1,10.08,10.08,774
2025-05-05,10.1,10.1,10.08,10.1,1788
2025-05-06,10.1,10.1265,10.1,10.1103,2188
2025-05-08,10.1,10.1006,10.1,10.1,2952
2025-05-14,10.1,10.1,10.1,10.1,798
2025-05-19,10.1,10.1,10.1,10.1,103
2025-05-21,10.111,10.12,10.111,10.12,52400
2025-05-22,10.1367,10.1367,10.1367,10.1367,200
2025-05-27,10.14,10.14,10.14,10.14,130
2025-05-28,10.12,10.14,10.12,10.14,700
2025-06-02,10.15,10.16,10.15,10.16,1101
2025-06-04,10.2,10.215,10.2,10.215,700
2025-06-05,10.21,10.21,10.21,10.21,176
2025-06-06,10.23,10.23,10.23,10.23,204
2025-06-11,10.27,10.27,10.27,10.27,150
2025-06-12,10.24,10.3792,10.24,10.25,561
2025-06-13,10.31,10.3513,10.31,10.3513,455
2025-06-16,10.5,10.5,10.5,10.5,490
2025-06-18,10.55,10.55,10.46,10.46,1190
2025-07-01,10.51,10.52,10.3,10.3,782
2025-07-07,10.33,10.33,10.33,10.33,111
2025-07-17,10.32,10.32,10.32,10.32,1215
2025-08-06,10.34,10.34,10.34,10.34,436
2025-08-13,10.34,10.34,10.33,10.33,6100
2025-08-14,10.2363,10.3,10.1675,10.2999,25934
2025-08-15,10.21,10.21,10.21,10.21,150000
2025-08-18,10.29,10.35,10.29,10.31,400
2025-08-19,10.33,11.1502,10.24,10.8,6207
2025-08-20,10.37,10.65,10.27,10.28,11137
2025-08-21,10.5,10.51,10.29,10.3318,7184
2025-08-22,10.3,10.3,10.3,10.3,168
2025-08-25,10.29,10.3101,10.25,10.31,3496
2025-08-26,10.3,10.3159,10.27,10.3,2949
2025-08-28,10.35,10.52,10.25,10.31,11778
2025-09-02,10.45,11.0,10.31,10.4,2500
2025-09-03,10.39,10.39,10.31,10.31,200
2025-09-04,10.49,11.7,10.35,10.35,3261
2025-09-05,10.49,11.51,10.3,10.31,6307
2025-09-09,10.35,10.35,10.35,10.35,350
2025-09-10,10.31,10.31,10.31,10.31,580
2025-09-17,10.3,10.31,10.27,10.31,8031
2025-09-18,10.28,10.3,10.2,10.3,50410
2025-09-22,10.35,10.35,10.27,10.27,325
2025-09-23,10.3,10.3,10.3,10.3,125
2025-09-24,10.3,10.3,10.3,10.3,1239
2025-09-25,10.3,10.3,10.3,10.3,123
