date,open,high,low,close,volume
2025-01-17,0.1,0.112,0.0901,0.11,65915
2025-01-21,0.1096,0.1096,0.0861,0.0902,1272
2025-01-22,0.0901,0.0999,0.0871,0.0871,1306
2025-01-23,0.0999,0.0999,0.0999,0.0999,100
2025-01-24,0.0951,0.0951,0.0951,0.0951,228
2025-01-27,0.0949,0.0949,0.05,0.0799,226513
2025-01-28,0.073205,0.0797,0.073205,0.0797,1268
2025-01-29,0.07,0.07,0.05,0.0699,291554
2025-01-30,0.07,0.075,0.0502,0.0502,4562
2025-01-31,0.06,0.06,0.06,0.06,923
2025-02-03,0.104,0.104,0.0601,0.0601,865
2025-02-04,0.0747,0.0747,0.07,0.07,978
2025-02-07,0.07,0.075,0.07,0.075,25186
2025-02-14,0.09,0.0952,0.0849,0.0899,30251
2025-02-18,0.1,0.1,0.099001,0.1,9434
2025-02-20,0.1,0.1,0.08,0.1,1415
2025-02-24,0.1,0.1,0.1,0.1,2032
2025-02-26,0.08,0.1,0.075,0.1,1060
2025-03-12,0.089999,0.09,0.0857,0.0857,9561
2025-03-13,0.085,0.09,0.085,0.089,82166
2025-03-17,0.1,0.1,0.1,0.1,20373
2025-03-25,0.1015,0.1015,0.1015,0.1015,996
2025-04-01,0.1125,0.1125,0.1125,0.1125,1080
2025-04-02,0.1,0.1,0.1,0.1,321
2025-04-07,0.0899,0.09,0.0899,0.09,2221
2025-04-08,0.09,0.101,0.09,0.101,281700
2025-04-23,0.1,0.1,0.1,0.1,16921
2025-05-01,0.1239,0.1239,0.0968,0.0968,5300
2025-05-07,0.15,0.15,0.097577,0.097577,1403
2025-05-08,0.1,0.1,0.1,0.1,312
2025-05-09,0.1,0.1,0.1,0.1,116
2025-05-12,0.1,0.1,0.1,0.1,1068
2025-05-13,0.1,0.1,0.1,0.1,5300
2025-05-14,0.1,0.15,0.1,0.1,8381
2025-05-15,0.0903,0.0903,0.0903,0.0903,100
2025-05-16,0.0885,0.0885,0.0775,0.0799,65678
2025-05-19,0.07745,0.07745,0.0563,0.0563,16344
2025-05-20,0.0665,0.0665,0.0665,0.0665,260
2025-05-21,0.0551,0.065,0.0445,0.065,53370
2025-05-22,0.0777,0.0977,0.0525,0.0977,4643
2025-05-23,0.09,0.0982,0.09,0.0968,1036
2025-05-28,0.09,0.0988,0.073999,0.093,1996
2025-05-29,0.09,0.09,0.09,0.09,349
2025-05-30,0.09,0.1099,0.09,0.09,22459
2025-06-02,0.081,0.081,0.081,0.081,248
2025-06-03,0.0609,0.124,0.0609,0.124,324
2025-06-04,0.1249,0.1249,0.12,0.1225,28868
2025-06-05,0.0901,0.125,0.0901,0.125,546
2025-06-06,0.090201,0.1498,0.090201,0.1498,1041
2025-06-10,0.101,0.101,0.1001,0.1001,673
2025-06-11,0.145,0.1498,0.1003,0.1003,3365
2025-06-16,0.1498,0.1498,0.1132,0.12,6387
2025-06-17,0.112,0.112,0.1111,0.1111,4436
2025-06-18,0.09,0.09,0.09,0.09,188
2025-06-20,0.09,0.09,0.09,0.09,325
2025-06-23,0.104577,0.104577,0.09,0.09,1363
2025-06-26,0.09,0.09,0.09,0.09,194
2025-06-30,0.09,0.09,0.09,0.09,488
2025-07-01,0.0938,0.1099,0.0938,0.1099,1686
2025-07-02,0.11011,0.11011,0.1101,0.1101,3628
2025-07-03,0.1099,0.1099,0.1098,0.109823,301
2025-07-07,0.1097,0.1097,0.1097,0.1097,228
2025-07-08,0.1096,0.1096,0.1095,0.1095,243
2025-07-09,0.109,0.1099,0.09011,0.1099,1028
2025-07-11,0.0901,0.0902,0.0901,0.0902,3017
2025-07-14,0.1096,0.12,0.1095,0.11,19977
2025-07-15,0.1998,0.1998,0.11,0.11,3807
2025-07-16,0.17,0.17,0.1073,0.11,1776
2025-07-18,0.1122,0.1122,0.1122,0.1122,197
2025-07-21,0.1745,0.1745,0.1,0.1,709
2025-07-22,0.17,0.2489,0.1022,0.1461,2900
2025-07-23,0.1607,0.1607,0.1062,0.140999,1248
2025-07-24,0.156,0.156,0.120101,0.1499,1149
2025-07-25,0.17,0.1725,0.1196,0.16,3429
2025-07-28,0.17,0.17,0.17,0.17,588
2025-07-31,0.179,0.179,0.179,0.179,430
2025-08-04,0.13,0.2299,0.13,0.17,3545
2025-08-14,0.174,0.174,0.174,0.174,245
2025-08-15,0.1745,0.1745,0.1745,0.1745,327
2025-08-18,0.18,0.18,0.18,0.18,110
2025-08-22,0.13,0.13,0.11,0.12,2640
2025-08-26,0.101,0.101,0.1,0.1,1529
2025-08-28,0.1561,0.1561,0.1002,0.15,1543
2025-09-02,0.1502,0.2129,0.1502,0.163293,5959
2025-09-03,0.1945,0.19455,0.15,0.15,1730
2025-09-04,0.15,0.15,0.15,0.15,448
2025-09-08,0.1805,0.1805,0.15,0.15,1146
2025-09-09,0.1798,0.1799,0.15,0.15,335
2025-09-10,0.1699,0.1699,0.15,0.15,4953
2025-09-11,0.1906,0.1906,0.1501,0.1501,1453
2025-09-12,0.14,0.14,0.14,0.14,2817
2025-09-15,0.12,0.12,0.1015,0.1015,2537
2025-09-17,0.15,0.15579,0.14,0.1479,5393
2025-09-18,0.17,0.1702,0.1553,0.1553,601
2025-09-19,0.1686,0.1686,0.14,0.14,719
2025-09-22,0.17,0.1786,0.17,0.17,3344
2025-09-23,0.1777,0.1777,0.14001,0.14001,1414
2025-09-24,0.1323,0.17,0.1323,0.17,874
2025-09-25,0.139,0.139,0.139,0.139,120
2025-09-26,0.134,0.1713,0.1004,0.1694,50095
2025-09-30,0.1691,0.1691,0.1691,0.1691,807
2025-10-01,0.1696,0.17,0.1695,0.17,4565
2025-10-06,0.1775,0.1788,0.1703,0.1703,11228
2025-10-07,0.178,0.178,0.178,0.178,245
2025-10-08,0.18,0.2355,0.18,0.1933,27102
2025-10-10,0.2391,0.24,0.17,0.24,13762
2025-10-13,0.2106,0.2106,0.17,0.17,25309
2025-10-14,0.2025,0.2251,0.17,0.19,2505
2025-10-15,0.2,0.2338,0.1952,0.1952,22261
2025-10-16,0.23,0.23,0.1901,0.215,2292
2025-10-17,0.229,0.229,0.19011,0.21,1510
2025-10-20,0.24,0.24,0.2125,0.2129,7833
2025-10-21,0.2038,0.215,0.2038,0.215,2702
2025-10-22,0.21,0.2112,0.20745,0.21,13937
2025-10-23,0.2146,0.235,0.17,0.17,59636
2025-10-24,0.1717,0.2399,0.1716,0.1825,55193
2025-10-27,0.173,0.2393,0.173,0.18,3028
2025-10-28,0.173,0.24,0.173,0.173,32410
2025-10-29,0.14,0.2217,0.14,0.19,21540
2025-10-30,0.17,0.18,0.1495,0.17,110141
2025-10-31,0.1777,0.18,0.1006,0.18,20806
2025-11-03,0.18,0.18,0.18,0.18,277
2025-11-04,0.18,0.18,0.1799,0.1799,22997
2025-11-05,0.18,0.18,0.169951,0.169951,8000
2025-11-06,0.15,0.18,0.15,0.18,61269
2025-11-10,0.15,0.2201,0.13921,0.21,36442
2025-11-11,0.2189,0.22,0.16,0.22,1117
2025-11-12,0.2,0.2201,0.2,0.207,10250
2025-11-13,0.1729,0.1735,0.1728,0.1734,599
2025-11-14,0.18,0.2181,0.18,0.2181,1337
2025-11-17,0.2176,0.2181,0.1505,0.182,3384
2025-11-18,0.1602,0.2201,0.1471,0.22,119188
2025-11-19,0.2198,0.2201,0.21,0.215,16816
2025-11-24,0.17,0.17,0.1699,0.17,11800
