date,open,high,low,close,volume
2005-02-25,17.173,17.53,17.165,17.335,17966
2005-02-28,17.28,17.63,17.11,17.575,24014
2005-03-01,17.575,17.732,17.543,17.732,15950
2005-03-02,17.782,17.88,17.684,17.76,9534
2005-03-03,17.827,17.908,17.428,17.428,12100
2005-03-04,17.449,17.76,17.449,17.756,7149
2005-03-07,17.7,17.7,17.552,17.561,11733
2005-03-08,17.596,17.635,17.449,17.449,6237
2005-03-09,17.406,17.504,17.264,17.269,16133
2005-03-10,17.302,17.449,17.264,17.264,9716
2005-03-11,17.323,17.362,17.192,17.214,12100
2005-03-14,17.236,17.368,17.236,17.292,6966
2005-03-15,17.378,17.384,17.248,17.248,6784
2005-03-16,17.258,17.351,17.133,17.323,14482
2005-03-17,17.323,17.657,17.269,17.651,16133
2005-03-18,17.739,17.739,17.504,17.596,85249
2005-03-21,17.63,17.63,17.302,17.323,19248
2005-03-22,17.302,17.389,17.226,17.226,15034
2005-03-23,17.231,17.253,17.143,17.143,15584
2005-03-24,17.11,17.176,17.083,17.133,8067
2005-03-28,17.214,17.214,16.811,16.811,27318
2005-03-29,16.811,16.827,16.625,16.664,24199
2005-03-30,16.674,16.915,16.674,16.915,14667
2005-03-31,16.942,17.044,16.881,16.92,21083
2005-04-01,16.962,17.008,16.588,16.588,38132
2005-04-04,16.609,17.09,16.609,17.083,13568
2005-04-05,17.176,17.302,17.09,17.09,32451
2005-04-06,17.176,17.44,17.176,17.302,16133
2005-04-07,17.214,17.465,17.214,17.406,13384
2005-04-08,17.46,17.46,17.309,17.309,11733
2005-04-11,17.323,17.428,17.323,17.323,11733
2005-04-12,17.323,17.356,17.156,17.302,23468
2005-04-13,17.378,17.422,17.182,17.182,14482
2005-04-14,17.236,17.415,17.192,17.214,16681
2005-04-15,17.214,17.221,17.106,17.11,13750
2005-04-18,17.192,17.34,17.101,17.123,14667
2005-04-19,17.101,17.101,16.936,17.044,22184
2005-04-20,17.09,17.09,16.795,17.008,25298
2005-04-21,17.09,17.09,16.888,16.92,22366
2005-04-22,16.98,16.98,16.642,16.691,32632
2005-04-25,16.724,16.92,16.679,16.92,6418
2005-04-26,16.904,16.985,16.839,16.881,17966
2005-04-27,16.844,16.942,16.844,16.848,7517
2005-04-28,16.839,16.866,16.37,16.397,21819
2005-04-29,16.461,16.467,16.336,16.375,21266
2005-05-02,16.42,16.491,16.315,16.452,12650
2005-05-03,16.452,16.811,16.452,16.631,13019
2005-05-04,16.708,18.038,16.708,17.929,35200
2005-05-05,17.929,18.632,17.929,18.583,43084
2005-05-06,18.688,18.792,18.409,18.563,22551
2005-05-09,18.563,18.563,18.032,18.159,13203
2005-05-10,18.12,18.147,17.973,17.978,6237
2005-05-11,17.973,17.973,17.929,17.935,2382
2005-05-12,17.885,17.885,17.678,17.684,15401
2005-05-13,17.739,17.978,17.661,17.661,15401
2005-05-16,17.635,17.836,17.635,17.827,9898
2005-05-17,17.831,17.831,17.7,17.777,7333
2005-05-18,17.847,18.289,17.847,18.289,11366
2005-05-19,18.267,18.267,18.159,18.202,11733
2005-05-20,18.126,18.338,18.126,18.338,6237
2005-05-23,18.317,18.349,18.202,18.225,20900
2005-05-24,18.12,18.147,18.12,18.147,4951
2005-05-25,18.056,18.113,18.056,18.072,9350
2005-05-26,18.104,18.284,18.104,18.278,13568
2005-05-27,18.327,18.327,18.098,18.098,42901
2005-05-31,18.045,18.094,17.978,17.995,35017
2005-06-01,17.973,17.995,17.885,17.939,20351
2005-06-02,17.973,18.077,17.739,17.76,15217
2005-06-03,17.782,17.815,17.739,17.739,39232
2005-06-06,17.706,17.891,17.706,17.891,17598
2005-06-07,17.847,18.202,17.847,18.169,15950
2005-06-08,18.109,18.109,17.989,18.098,21819
2005-06-09,18.048,18.208,17.995,18.202,8432
2005-06-10,18.144,18.267,18.144,18.202,5319
2005-06-13,18.262,18.394,18.225,18.394,9350
2005-06-14,18.344,19.091,18.344,18.862,33002
2005-06-15,18.6,18.862,18.425,18.846,31715
2005-06-16,18.846,18.895,18.769,18.895,19248
2005-06-17,18.895,18.895,18.475,18.475,32632
2005-06-20,18.475,18.6,18.394,18.566,38500
2005-06-21,18.496,18.589,18.492,18.589,13019
2005-06-22,18.583,18.6,18.383,18.541,15950
2005-06-23,18.6,18.764,18.589,18.654,14300
2005-06-24,18.616,18.661,18.415,18.415,22917
2005-06-27,18.42,18.425,18.383,18.383,13750
2005-06-28,18.404,18.96,18.404,18.916,18516
2005-06-29,18.895,18.922,18.475,18.648,23099
2005-06-30,18.709,18.769,18.508,18.508,9168
2005-07-01,18.555,18.555,18.415,18.452,5135
2005-07-05,18.394,18.792,18.394,18.792,14482
2005-07-06,18.688,18.802,18.563,18.693,16681
2005-07-07,18.621,18.769,18.546,18.748,11366
2005-07-08,18.748,20.302,18.748,19.986,54448
2005-07-11,19.861,20.138,19.692,19.986,56100
2005-07-12,19.882,19.952,19.73,19.915,37583
2005-07-13,19.823,19.823,19.456,19.675,23283
2005-07-14,19.734,19.734,19.065,19.069,8432
2005-07-15,18.937,19.065,18.937,19.065,10448
2005-07-18,19.021,19.036,18.47,18.563,29332
2005-07-19,18.563,18.933,18.518,18.933,13019
2005-07-20,18.851,18.999,18.563,18.889,14482
2005-07-21,18.889,18.889,18.632,18.632,9716
2005-07-22,18.638,18.895,18.638,18.879,34832
2005-07-25,18.873,18.873,18.688,18.693,11914
2005-07-26,18.629,18.748,18.621,18.72,26401
2005-07-27,18.664,18.688,18.621,18.644,10998
2005-07-28,18.709,18.726,18.621,18.726,7517
2005-07-29,18.664,18.792,18.629,18.726,10816
2005-08-01,18.792,18.808,18.638,18.654,14482
2005-08-02,18.693,18.726,18.518,18.518,12284
2005-08-03,18.563,18.563,18.333,18.394,33367
2005-08-04,18.394,18.508,18.372,18.394,15034
2005-08-05,18.372,18.372,18.131,18.306,21266
2005-08-08,18.246,19.649,18.144,19.13,61232
2005-08-09,19.189,19.451,19.13,19.13,42532
2005-08-10,19.036,19.13,18.999,19.021,11366
2005-08-11,18.999,19.294,18.982,19.108,20900
2005-08-12,19.167,19.167,18.802,18.889,27500
2005-08-15,18.96,18.999,18.818,18.846,16133
2005-08-16,18.873,18.889,18.688,18.688,17233
2005-08-17,18.664,18.676,18.6,18.616,8797
2005-08-18,18.714,18.714,18.6,18.682,17598
2005-08-19,18.682,18.796,18.671,18.688,6601
2005-08-22,18.726,18.905,18.606,18.835,10998
2005-08-23,18.873,18.873,18.688,18.726,15034
2005-08-24,18.688,18.726,18.595,18.638,20166
2005-08-25,18.688,18.72,18.583,18.671,12100
2005-08-26,18.688,18.764,18.632,18.682,32266
2005-08-29,18.705,18.705,18.583,18.664,11550
2005-08-30,18.671,18.714,18.621,18.688,8980
2005-08-31,18.644,18.726,18.621,18.726,12100
2005-09-01,18.742,18.742,18.654,18.676,9716
2005-09-02,18.6,18.644,18.58,18.621,4951
2005-09-06,18.726,19.212,18.693,19.065,22366
2005-09-07,19.025,19.167,18.862,19.167,14482
2005-09-08,19.162,19.249,18.862,18.999,17782
2005-09-09,19.081,19.157,18.944,19.036,11914
2005-09-12,18.982,19.025,18.812,18.812,21819
2005-09-13,18.895,18.895,18.606,18.682,36847
2005-09-14,18.6,18.6,18.415,18.492,81033
2005-09-15,18.541,18.58,18.415,18.508,24382
2005-09-16,18.616,18.638,18.327,18.327,110181
2005-09-19,18.436,18.638,18.436,18.6,11550
2005-09-20,18.769,18.769,18.267,18.273,26034
2005-09-21,18.273,18.273,17.973,18.016,33551
2005-09-22,18.016,18.065,17.908,17.973,16133
2005-09-23,17.925,18.159,17.913,17.913,29882
2005-09-26,18.005,18.234,17.978,18.234,14300
2005-09-27,18.159,18.185,18.032,18.098,13568
2005-09-28,18.032,18.077,17.973,17.978,20533
2005-09-29,17.995,18.164,17.885,17.973,29882
2005-09-30,17.973,18.012,17.908,17.978,17966
2005-10-03,18.016,18.42,18.016,18.42,41251
2005-10-04,18.452,18.851,18.415,18.737,18149
2005-10-05,18.812,18.818,18.267,18.267,26217
2005-10-06,18.273,18.415,18.164,18.256,18334
2005-10-07,18.327,18.58,18.306,18.541,12467
2005-10-10,18.58,18.58,18.147,18.219,14667
2005-10-11,18.289,18.327,18.225,18.225,10265
2005-10-12,18.306,18.638,18.0,18.0,37034
2005-10-13,18.032,18.088,17.962,18.048,27132
2005-10-14,18.056,18.425,18.0,18.425,36847
2005-10-17,18.394,18.475,18.306,18.388,21083
2005-10-18,18.354,18.508,18.313,18.372,6784
2005-10-19,18.415,18.812,18.415,18.802,31898
2005-10-20,18.851,18.9,18.508,18.534,10265
2005-10-21,18.534,18.835,18.534,18.802,5500
2005-10-24,18.851,18.982,18.829,18.982,13019
2005-10-25,19.042,19.042,18.709,18.851,8432
2005-10-26,18.895,18.937,18.654,18.654,8067
2005-10-27,18.709,18.709,18.42,18.436,19800
2005-10-28,18.475,18.58,18.436,18.541,10448
2005-10-31,18.475,18.541,18.366,18.404,18334
2005-11-01,18.361,18.464,18.349,18.415,8067
2005-11-02,18.475,19.167,18.475,19.146,31534
2005-11-03,19.065,19.162,18.895,19.118,14300
2005-11-04,19.13,19.381,19.101,19.358,12650
2005-11-07,19.31,19.31,19.167,19.299,16315
2005-11-08,19.232,19.408,19.197,19.358,21266
2005-11-09,19.365,19.609,19.365,19.478,9898
2005-11-10,19.484,19.783,19.401,19.783,12832
2005-11-11,19.783,19.882,19.73,19.839,5866
2005-11-14,19.8,19.8,19.529,19.529,4767
2005-11-15,19.529,19.529,18.873,18.895,33915
2005-11-16,18.895,18.895,18.442,18.546,26583
2005-11-17,18.546,18.563,18.436,18.518,20166
2005-11-18,18.58,18.58,18.475,18.479,9534
2005-11-21,18.436,18.6,18.225,18.58,24933
2005-11-22,18.638,19.048,18.606,19.048,19800
2005-11-23,18.999,19.086,18.937,18.937,26034
2005-11-25,18.851,18.857,18.714,18.714,2566
2005-11-28,18.812,18.812,18.534,18.58,11914
2005-11-29,18.6,18.818,18.6,18.769,6237
2005-11-30,18.709,18.851,18.688,18.709,20900
2005-12-01,18.781,18.851,18.709,18.829,29148
2005-12-02,18.873,18.873,18.551,18.671,14117
2005-12-05,18.621,18.621,18.246,18.361,20533
2005-12-06,18.327,18.327,18.185,18.193,12467
2005-12-07,18.159,18.159,17.908,17.925,19800
2005-12-08,17.925,18.098,17.925,18.048,18149
2005-12-09,18.077,18.404,18.077,18.394,12832
2005-12-12,18.452,18.46,18.327,18.349,17782
2005-12-13,18.349,18.349,18.267,18.306,32451
2005-12-14,18.306,18.383,18.306,18.383,17417
2005-12-15,18.442,18.475,18.398,18.475,23833
2005-12-16,18.6,19.418,18.6,19.162,98264
2005-12-19,19.065,19.315,19.065,19.254,19983
2005-12-20,19.254,19.271,18.944,19.167,12467
2005-12-21,19.254,19.418,19.13,19.418,12284
2005-12-22,19.484,19.533,19.418,19.456,10448
2005-12-23,19.529,19.675,19.484,19.604,7701
2005-12-27,19.505,19.512,19.108,19.146,10816
2005-12-28,19.232,19.294,19.004,19.108,6237
2005-12-29,19.167,19.167,18.905,18.905,6601
2005-12-30,18.835,18.895,18.621,18.621,13384
2006-01-03,18.644,18.644,18.153,18.394,22184
2006-01-04,18.349,18.46,18.333,18.452,4584
