date,open,high,low,close,volume
2025-09-24,25.03,25.03,25.03,25.03,300100
2025-09-25,25.04,25.05,25.04,25.05,395017
2025-09-26,25.01,25.02,25.0041,25.015,401172
2025-09-30,25.05,25.07,25.05,25.055,150307
2025-10-02,25.1,25.1193,25.1,25.105,81062
2025-10-06,25.105,25.1197,25.105,25.105,200725
2025-10-07,25.11,25.11,25.09,25.11,150378
2025-10-08,25.19,25.1902,25.19,25.1902,549
2025-10-09,25.115,25.115,25.11,25.11,531
2025-10-10,25.14,25.14,25.13,25.13,747
2025-10-14,25.1795,25.18,25.1795,25.18,220
2025-10-15,25.18,25.18,25.175,25.175,200010
2025-10-16,25.18,25.185,25.18,25.185,160000
2025-10-17,25.2,25.2,25.2,25.2,214
2025-10-23,25.22,25.22,25.215,25.215,200009
2025-10-27,25.21,25.22,25.21,25.2101,50183
2025-10-28,25.2,25.2,25.2,25.2,200156
2025-11-04,25.08,25.09,25.08,25.09,330037
2025-11-07,25.17,25.17,25.115,25.115,160100
2025-11-11,25.17,25.2,25.13,25.13,200100
2025-11-13,25.165,25.165,25.14,25.14,352
2025-11-14,25.15,25.15,25.145,25.145,260006
2025-11-19,25.2,25.2018,25.153,25.155,200400
2025-11-21,25.2,25.2,25.195,25.195,390000
2025-11-24,25.22,25.225,25.22,25.225,100
2025-11-25,25.24,25.24,25.235,25.235,147
2025-12-05,25.199,25.199,25.1851,25.1851,869
2025-12-09,25.165,25.165,25.16,25.16,477
2025-12-10,25.17,25.185,25.17,25.185,126
2025-12-11,25.21,25.21,25.2,25.2,541
2025-12-12,25.19,25.1992,25.16,25.19,1000
2025-12-16,25.23,25.23,25.22,25.22,304
2025-12-17,25.225,25.225,25.22,25.22,1413
2025-12-18,25.13,25.13,25.13,25.13,100047
2025-12-30,25.16,25.16,25.144,25.15,113389
2026-01-06,25.17,25.18,25.14,25.18,507
2026-01-07,25.2,25.2,25.19,25.19,90000
2026-01-09,25.205,25.205,25.1922,25.1922,125
2026-01-16,25.225,25.225,25.22,25.22,119380
2026-01-22,25.23,25.23,25.22,25.22,40000
2026-01-28,25.28,25.28,25.28,25.28,80007
2026-01-30,25.31,25.31,25.31,25.31,160001
2026-02-03,25.22,25.22,25.215,25.215,249
2026-02-04,25.29,25.29,25.23,25.23,80004
