date,open,high,low,close,volume
2007-11-30,13.0,13.0,13.0,13.0,3000
2007-12-07,12.5,12.5,12.5,12.5,3000
2007-12-11,12.5,12.5,12.5,12.5,3000
2007-12-14,12.667,12.667,12.667,12.667,30000
2008-01-29,12.667,12.667,12.542,12.667,150000
2008-01-31,12.542,12.667,12.542,12.542,150000
2008-02-05,12.708,12.708,12.542,12.708,283200
2008-02-14,12.542,12.667,12.542,12.542,18000
2008-02-20,12.75,12.75,12.583,12.75,4200
2008-03-10,12.683,12.683,12.667,12.683,180000
2008-03-26,12.042,12.042,11.979,12.042,300000
2008-04-23,12.458,12.458,12.375,12.458,150000
2008-05-13,12.583,12.583,12.5,12.583,180000
2008-05-15,12.5,12.583,12.5,12.5,33870
2008-05-28,12.5,12.542,12.5,12.5,225000
2008-05-29,12.533,12.533,12.533,12.533,63000
2008-06-13,12.5,12.5,12.417,12.5,150000
2008-06-17,12.55,12.55,12.55,12.55,75000
2008-06-18,12.583,12.583,12.583,12.583,15000
2008-06-24,12.5,12.683,12.5,12.5,600000
2008-07-01,12.542,12.542,12.542,12.542,64113
2008-07-09,12.5,12.5,12.5,12.5,75000
2008-09-15,12.417,12.417,12.417,12.417,158400
2009-03-05,4.0833,4.0833,4.0,4.0,743028
2009-03-10,4.0,4.0667,4.0,4.0,12378
2009-03-16,5.4583,5.5417,5.4583,5.5417,600000
2009-03-18,6.5833,6.6667,6.5833,6.6667,23028
2010-01-08,6.0,6.0167,6.0,6.0167,180000
2010-01-11,4.95,5.05,4.95,5.05,793242
2010-01-12,5.3333,5.3333,5.3333,5.3333,3000
2010-01-27,4.95,5.05,4.95,5.05,150000
2010-01-29,4.8367,4.8367,4.8367,4.8367,78000
2010-02-05,4.86,4.86,4.86,4.86,39000
2010-02-18,4.1667,4.25,4.1667,4.25,90000
2010-02-22,4.17,4.9167,4.17,4.9167,180024
2010-03-19,5.5,5.6667,5.5,5.6667,37554
2010-03-25,4.8333,5.0,4.8333,5.0,81000
2010-04-14,4.75,4.8333,4.75,4.8333,75000
2010-05-04,5.9167,6.0,5.9167,6.0,60000
2010-10-20,5.125,5.2083,5.125,5.2083,150000
2010-10-22,4.8667,4.95,4.8667,4.95,726000
2010-10-25,4.6667,4.75,4.6667,4.75,1645200
