date,open,high,low,close,volume
2020-05-01,0.078,0.078,0.078,0.078,100
2020-05-04,0.07,0.07,0.04,0.04,16403
2020-05-05,0.052,0.052,0.052,0.052,200
2020-05-06,0.06,0.06,0.06,0.06,1200
2020-05-07,0.0421,0.065,0.0421,0.065,109066
2020-05-08,0.0708,0.0708,0.05,0.0501,10500
2020-05-12,0.0409,0.0409,0.0409,0.0409,911
2020-05-13,0.0409,0.0409,0.0409,0.0409,3189
2020-05-19,0.05,0.05,0.05,0.05,82535
2020-05-20,0.05,0.05,0.045399,0.05,21690
2020-05-22,0.0409,0.0412,0.0409,0.0412,7000
2020-05-26,0.0548,0.0548,0.0408,0.0409,14890
2020-05-27,0.044,0.044,0.044,0.044,10000
2020-05-28,0.0409,0.0409,0.0409,0.0409,2270
2020-06-03,0.0451,0.0451,0.045,0.045,7525
2020-06-04,0.050101,0.050101,0.05,0.05,1000
2020-06-08,0.0585,0.095,0.0585,0.080476,35600
2020-06-10,0.0922,0.13,0.07,0.13,28975
2020-06-11,0.13,0.13,0.13,0.13,575
2020-06-12,0.15,0.2,0.13,0.2,4318
2020-06-15,0.2,0.2,0.14,0.14,2941
2020-06-16,0.118999,0.14,0.118999,0.1393,10758
2020-06-17,0.181,0.21,0.14,0.14,63123
2020-06-18,0.15,0.15,0.15,0.15,6000
2020-06-19,0.17,0.1949,0.135,0.14,34647
2020-06-22,0.15,0.175,0.13,0.13,47322
2020-06-23,0.1649,0.1649,0.1649,0.1649,101
2020-06-24,0.12,0.14,0.1,0.14,9481
2020-06-25,0.17,0.17,0.1693,0.1693,8040
2020-06-26,0.1001,0.1499,0.1001,0.1494,2310
2020-06-29,0.15,0.15,0.1199,0.1399,59110
2020-06-30,0.15,0.17,0.12,0.16,42568
2020-07-01,0.1899,0.2079,0.13,0.18,28463
2020-07-02,0.14,0.1799,0.14,0.1402,5350
2020-07-06,0.14,0.18,0.14,0.16,57017
2020-07-07,0.155,0.2101,0.155,0.1999,32290
2020-07-08,0.1901,0.191249,0.1901,0.190249,2454
2020-07-09,0.1999,0.1999,0.1902,0.1974,11610
2020-07-10,0.19,0.2052,0.19,0.2,9689
2020-07-13,0.23,0.26,0.215,0.26,9415
2020-07-14,0.26,0.260451,0.2,0.2025,4310
2020-07-17,0.1601,0.22,0.1601,0.1921,10757
2020-07-20,0.2002,0.2002,0.1799,0.199,7931
2020-07-21,0.2,0.2,0.16,0.1799,20404
2020-07-22,0.1799,0.181,0.1602,0.1809,21724
2020-07-23,0.16,0.179,0.136,0.152,15980
2020-07-24,0.155,0.16,0.1416,0.1595,17200
2020-07-27,0.1594,0.1594,0.124517,0.155,21458
2020-07-28,0.1404,0.1404,0.1002,0.12,21184
2020-07-29,0.1492,0.1492,0.1,0.1492,53350
2020-07-30,0.1002,0.15,0.1002,0.105,2500
2020-07-31,0.12,0.12,0.11,0.11795,16242
2020-08-03,0.12,0.13,0.1,0.1,37265
2020-08-04,0.1375,0.18,0.12,0.18,19623
2020-08-05,0.104,0.17,0.104,0.17,744
2020-08-06,0.140101,0.140101,0.1085,0.1085,11786
2020-08-07,0.14,0.1401,0.125,0.125,22432
2020-08-10,0.127,0.1401,0.127,0.1298,26100
2020-08-11,0.121549,0.132999,0.121549,0.132999,1000
2020-08-12,0.1101,0.132,0.1,0.100101,25035
2020-08-13,0.1101,0.132,0.1101,0.132,10287
2020-08-14,0.132,0.1422,0.1,0.14,50500
2020-08-18,0.1345,0.14,0.12275,0.136226,3450
2020-08-19,0.14,0.14,0.1035,0.1374,2210
2020-08-20,0.1035,0.1283,0.1035,0.1283,2272
2020-08-21,0.1035,0.1195,0.1,0.1001,14400
2020-08-24,0.1001,0.13,0.1,0.126,12292
2020-08-25,0.126,0.139,0.126,0.138899,10010
2020-08-31,0.118001,0.135,0.1,0.1339,19640
2020-09-01,0.139,0.15,0.126,0.13,10550
2020-09-02,0.1465,0.1465,0.14,0.145818,17400
2020-09-03,0.1402,0.15,0.1402,0.1459,10898
2020-09-04,0.14,0.15,0.14,0.15,22050
2020-09-08,0.15,0.18,0.15,0.179716,39221
2020-09-09,0.161,0.2075,0.161,0.2075,25966
2020-09-10,0.21,0.215,0.2,0.2,21214
2020-09-11,0.21,0.239899,0.21,0.22,9725
2020-09-14,0.22,0.22,0.213481,0.22,13144
2020-09-15,0.23,0.247501,0.23,0.2301,13018
2020-09-16,0.24,0.24,0.2389,0.24,2507
2020-09-17,0.232249,0.232249,0.21,0.21,10970
2020-09-18,0.26,0.27,0.2151,0.2151,3300
2020-09-21,0.26,0.26,0.2589,0.2599,13825
2020-09-22,0.2222,0.3,0.22,0.27,10132
2020-09-23,0.27,0.2834,0.221,0.23,27398
2020-09-24,0.212,0.22,0.212,0.22,10804
2020-09-25,0.22,0.22,0.212,0.212,9873
2020-09-28,0.28,0.3,0.2202,0.2202,10800
2020-09-30,0.29,0.29,0.29,0.29,1700
2020-10-01,0.29,0.29,0.26,0.2613,8200
2020-10-02,0.3,0.3322,0.265501,0.31,8978
2020-10-05,0.295,0.295,0.295,0.295,100
2020-10-06,0.29,0.31,0.285,0.295,10240
2020-10-07,0.3,0.3,0.28,0.28,29102
2020-10-08,0.28,0.3,0.28,0.2999,31700
2020-10-09,0.26,0.36,0.242,0.36,29387
2020-10-12,0.35,0.350101,0.35,0.35,3325
2020-10-14,0.36,0.3998,0.252,0.3998,1384
2020-10-15,0.36,0.36,0.36,0.36,400
2020-10-16,0.35,0.35,0.34,0.35,9301
2020-10-20,0.2429,0.32,0.2429,0.32,7000
2020-10-21,0.3,0.307501,0.265,0.307501,2375
2020-10-22,0.34,0.34,0.33,0.34,5220
2020-10-23,0.29,0.35,0.28,0.29,9345
2020-10-26,0.315001,0.315001,0.28,0.28,1400
2020-10-27,0.28,0.2801,0.28,0.2801,5082
2020-10-28,0.28,0.2801,0.28,0.2801,3900
2020-10-29,0.24,0.24,0.24,0.24,370
2020-10-30,0.23,0.24,0.23,0.24,1220
2020-11-02,0.2,0.275,0.2,0.2348,7449
2020-11-03,0.23,0.23,0.23,0.23,184
2020-11-04,0.25,0.25,0.2387,0.2387,15200
2020-11-05,0.14,0.1701,0.14,0.1701,15505
2020-11-09,0.24,0.289999,0.24,0.28,64677
2020-11-10,0.2399,0.275,0.2399,0.257499,6198
2020-11-11,0.2,0.3398,0.2,0.3,4005
2020-11-12,0.5,0.520001,0.3364,0.371,709093
2020-11-13,0.4,0.45,0.3678,0.395501,318807
2020-11-16,0.51,0.679899,0.51,0.66,565422
2020-11-17,0.77,0.9,0.7102,0.73,905560
2020-11-18,0.75,0.75,0.53,0.6389,439068
2020-11-19,0.69,0.83,0.680056,0.7122,763819
2020-11-20,0.83,0.8899,0.7602,0.85,587768
2020-11-23,1.2,1.75,1.03,1.65,2185493
