date,open,high,low,close,volume
2022-10-03,29.61,30.48,29.6,30.2,399361
2022-10-04,31.55,32.089,31.32,31.56,34329
2022-10-05,30.98,31.27,30.53,30.9439,12241
2022-10-06,30.86,31.3,30.48,30.534,14573
2022-10-07,29.63,29.63,29.2375,29.2375,1552
2022-10-10,28.687,28.687,28.687,28.687,103
2022-10-11,28.42,28.47,28.05,28.2018,5674
2022-10-12,28.13,28.23,28.05,28.0801,5239
2022-10-13,27.14,28.98,27.14,28.5716,15952
2022-10-14,27.7727,27.7727,27.5702,27.5702,3562
2022-10-17,28.2534,28.28,28.2088,28.2088,445
2022-10-18,28.555,29.28,28.5092,28.5189,25550
2022-10-19,28.02,28.02,27.8987,27.9871,294097
2022-10-20,28.39,28.45,27.735,27.7774,18608
2022-10-21,28.075,28.47,27.74,28.3911,13197
2022-10-24,27.72,28.29,27.72,28.2269,2251
2022-10-25,29.2752,29.2752,29.03,29.2752,1334
2022-10-26,30.2799,30.28,29.7465,29.8437,6938
2022-10-27,29.7701,29.83,29.5759,29.5759,9720
2022-10-28,29.52,30.1714,29.52,30.1714,8240
2022-10-31,30.02,30.27,29.99,30.0751,24523
2022-11-01,30.32,30.4,30.12,30.1411,7588
2022-11-02,30.2439,30.65,29.5314,29.5314,4161
2022-11-03,29.2,29.6699,29.2,29.4504,3045
2022-11-04,30.01,30.01,29.5,29.9081,4455
2022-11-07,29.9301,30.08,29.83,30.0185,2298
2022-11-08,30.28,30.86,30.28,30.5741,4293
2022-11-09,30.26,30.26,30.0123,30.0123,5442
2022-11-10,31.41,33.03,31.33,32.7644,5248
2022-11-11,33.25,33.5052,33.25,33.3809,5687
2022-11-14,33.11,33.63,32.885,32.885,22038
2022-11-15,33.68,34.03,33.63,33.7198,3692
2022-11-16,33.005,33.16,32.8639,32.9745,8492
2022-11-17,32.54,32.7709,32.54,32.7709,5647
2022-11-18,32.7,32.7,32.39,32.5477,3184
2022-11-21,32.31,32.31,31.99,32.0866,21118
2022-11-22,32.19,32.4763,32.19,32.4763,6096
2022-11-23,32.68,33.305,32.565,32.7918,21606
2022-11-25,32.81,32.91,32.7726,32.7845,4107
2022-11-28,31.97,31.97,31.9,31.9059,5554
2022-11-29,32.27,32.27,31.9452,31.9628,3492
2022-11-30,32.125,33.3903,32.07,33.3903,17122
2022-12-01,33.22,33.38,33.1201,33.1795,8679
2022-12-02,33.21,33.5101,33.21,33.4219,7212
2022-12-05,33.22,33.22,32.4658,32.5253,3883
2022-12-06,32.04,32.04,31.559,31.6538,1999
2022-12-07,31.5,31.78,31.5,31.5721,3241
2022-12-08,32.09,32.09,31.8,31.9128,8151
2022-12-09,31.98,32.2,31.7852,31.7852,4347
2022-12-12,31.76,31.9973,31.744,31.9973,836
2022-12-13,33.38,36.51,32.57,32.8,96989
2022-12-14,33.0209,33.37,32.56,32.89,14089
2022-12-15,32.0471,32.08,31.76,31.8318,19740
2022-12-16,31.07,31.379,31.0,31.201,12152
2022-12-19,31.28,31.28,30.3399,30.4114,8286
2022-12-20,30.15,31.54,30.14,30.3222,21512
2022-12-21,30.63,31.15,30.63,30.7781,12845
2022-12-22,29.89,30.12,29.52,30.12,8705
2022-12-23,29.81,29.81,29.7,29.79,2792
2022-12-27,29.34,29.35,29.0584,29.08,8838
2022-12-28,29.1,29.1,28.51,28.51,17011
2022-12-29,29.14,29.43,29.14,29.34,12279
2022-12-30,29.08,29.29,28.9356,29.29,96896
2023-01-03,29.63,29.67,28.9295,29.04,67512
2023-01-04,29.41,29.8114,29.41,29.79,9044
2023-01-05,29.45,29.46,29.26,29.3072,6293
2023-01-06,29.63,30.44,29.25,30.37,9705
2023-01-09,30.72,31.2,30.72,30.7361,5326
2023-01-10,31.0189,31.44,30.979,31.44,28768
2023-01-11,31.62,32.25,31.62,32.2366,5563
2023-01-12,32.43,32.8516,32.07,32.8516,2047
2023-01-13,32.58,33.04,32.58,33.0288,7017
