date,open,high,low,close,volume
2018-08-15,24.98,25.005,24.94,24.9672,168430
2018-08-15,24.98,25.005,24.94,24.9672,168430
2018-08-16,24.98,25.02,24.96,24.99,234827
2018-08-17,25.01,25.02,24.99,25,246425
2018-08-20,25.02,25.07,25.01,25.05,171717
2018-08-21,25.05,25.1,25.03,25.07,201186
2018-08-22,25.09,25.12,25.05,25.07,157647
2018-08-23,25.08,25.08,25.01,25.05,73207
2018-08-24,25.02,25.06,25.02,25.05,55252
2018-08-27,25.05,25.07,24.98,25.01,161886
2018-08-28,25.0173,25.07,25.01,25.07,46449
2018-08-29,25.06,25.07,25.01,25.03,165105
2018-08-30,25.06,25.08,25.0353,25.06,75701
2018-08-31,25.08,25.09,25.02,25.02,71151
2018-09-04,25.04,25.07,24.97,24.98,157752
2018-09-05,24.99,24.9952,24.88,24.9299,126373
2018-09-06,24.93,24.97,24.9,24.9323,107479
2018-09-07,24.92,24.93,24.7878,24.81,97735
2018-09-10,24.889,24.92,24.84,24.8899,43875
2018-09-11,24.901,25,24.9,24.9455,108301
2018-09-12,24.95,24.99,24.92,24.9847,90258
2018-09-13,24.99,25.04,24.97,25.02,142196
2018-09-14,24.99,24.99,24.86,24.93,56747
2018-09-17,24.87,24.887,24.7,24.84,115289
2018-09-18,24.8258,24.85,24.75,24.85,58385
2018-09-19,24.86,24.86,24.69,24.83,68390
2018-09-20,24.806,24.86,24.77,24.83,46380
2018-09-21,24.8053,24.9,24.8,24.9,22282
2018-09-24,24.91,24.99,24.8869,24.98,35845
2018-09-25,24.87,24.94,24.82,24.8786,62394
2018-09-26,24.86,24.9694,24.8,24.89,60528
2018-09-27,24.92,24.92,24.8,24.87,145873
2018-09-28,24.86,24.92,24.84,24.87,118489
2018-10-01,24.87,24.91,24.78,24.85,93000
2018-10-02,24.82,24.96,24.82,24.95,68073
2018-10-03,24.85,24.98,24.2302,24.49,153722
2018-10-04,24.49,24.6096,24.13,24.25,116741
2018-10-05,24.22,24.45,24.12,24.43,168288
2018-10-08,24.39,24.615,24.18,24.28,89999
2018-10-09,24.33,24.37,24.2,24.34,125509
2018-10-10,24.33,24.34,24.21,24.3,80435
2018-10-11,24.3,24.38,24.28,24.33,103457
2018-10-12,24.55,24.55,24.3,24.4,49670
2018-10-15,24.4,24.46,24.31,24.38,215348
2018-10-16,24.48,24.48,24.37,24.4,55855
2018-10-17,24.45,24.47,24.35,24.46,58056
2018-10-18,24.53,24.56,24.36,24.45,76688
2018-10-19,24.52,24.79,24.31,24.72,1326795
2018-10-22,24.65,24.7,24.63,24.68,38940
2018-10-23,24.71,24.71,24.56,24.66,45127
2018-10-24,24.65,24.79,24.6372,24.74,38975
2018-10-25,24.8007,24.95,24.8007,24.909,29847
2018-10-26,24.92,24.99,24.7327,24.98,26021
2018-10-29,24.99,25.0188,24.83,24.958,56665
2018-10-30,25.02,25.05,24.9499,25.03,65536
2018-10-31,25.05,25.15,24.8765,25.15,84808
2018-11-01,25.14,25.14,25.0102,25.1,25808
2018-11-02,25.13,25.135,25.0418,25.11,24443
2018-11-05,25.11,25.11,25.035,25.1,27651
2018-11-06,25.06,25.11,25.001,25.09,35956
2018-11-07,25.11,25.11,25.01,25.02,24627
2018-11-08,25.03,25.11,25.01,25.11,11462
2018-11-09,25.03,25.11,25.0101,25.11,6700
2018-11-12,25.11,25.14,25.05,25.11,17532
2018-11-13,25.15,25.15,25.05,25.13,13439
2018-11-14,25.13,25.14,25,25,28571
2018-11-15,24.67,25.03,24.57,24.67,75153
2018-11-16,24.74,24.75,24.5401,24.66,23969
2018-11-19,24.71,24.74,24.36,24.36,39248
2018-11-20,24.49,24.49,23.7501,24.1,68727
2018-11-21,24.11,24.3398,24.11,24.25,43596
2018-11-23,24.31,24.43,24.3,24.43,7885
2018-11-26,24.54,24.76,24.29,24.34,22510
2018-11-27,24.36,24.73,24.35,24.7,24393
2018-11-28,24.67,24.7,24.41,24.7,30446
2018-11-29,24.26,24.3386,24.15,24.15,35050
2018-11-30,24.07,24.19,23.91,23.93,17877
2018-12-03,24.2587,24.35,24.08,24.35,39936
2018-12-04,24.24,24.55,24.18,24.44,62469
2018-12-06,24.41,24.41,23.77,24.1544,26309
2018-12-07,24.07,24.88,24.0501,24.7585,29460
2018-12-10,24.3295,24.5983,23.9,23.99,44926
2018-12-11,24.3097,24.43,23.56,23.75,64019
2018-12-12,23.5635,23.9287,23.449,23.449,64770
2018-12-13,23.51,23.51,23.06,23.3,79455
2018-12-14,23.15,23.3,23.0053,23.1799,81087
2018-12-17,23.06,23.159,22.36,22.83,92132
2018-12-18,22.72,22.8999,22.56,22.85,67551
2018-12-19,22.85,22.85,22.43,22.5251,90158
2018-12-20,22.52,22.6699,21.3,21.64,128876
2018-12-21,21.95,21.95,21.536,21.88,70118
2018-12-24,21.85,22.04,21.4373,21.88,42273
2018-12-26,21.9,22.489,21.41,22.11,82622
2018-12-27,22.15,22.15,21.65,21.7999,79201
2018-12-28,22,22.4,21.7347,22.2806,130590
2018-12-31,22.34,22.72,22.21,22.7,100973
2019-01-02,22.69,23.01,22.62,22.94,36045
2019-01-03,22.99,23.12,22.6,22.94,31264
2019-01-04,23.1362,23.3,23.1362,23.2253,38981
2019-01-07,23.38,23.94,23.3373,23.65,93537
2019-01-08,23.8,24.59,23.79,24.34,103446
2019-01-09,24.15,24.42,23.955,24.25,30970
2019-01-10,24.26,24.39,23.85,23.85,34677
2019-01-11,24,24.3204,23.85,24,14961
2019-01-14,24.2266,24.36,24.11,24.15,30340
2019-01-15,24.2,24.49,24.2,24.49,29285
2019-01-16,24.48,24.48,24.12,24.26,37370
2019-01-17,24.43,24.46,24.2296,24.46,11978
2019-01-18,24.29,24.49,24.11,24.29,74287
2019-01-22,24.42,24.4899,24.2,24.2,22290
2019-01-23,24.15,24.33,24.1,24.2391,16539
2019-01-24,24.15,24.34,24.15,24.31,9416
2019-01-25,24.37,24.48,24.06,24.26,66438
2019-01-28,24.19,24.27,23.98,24.14,54376
2019-01-29,24.13,24.13,23.85,23.96,28791
2019-01-30,24.1,24.46,24.05,24.45,47798
2019-01-31,24.4699,24.7599,24.4465,24.68,32282
2019-02-01,24.7,24.76,24.62,24.7,40661
2019-02-04,24.67,24.7,24.62,24.66,38756
2019-02-05,24.68,24.7,24.63,24.6535,37972
2019-02-06,24.6757,24.6757,24.54,24.6,25130
2019-02-07,24.6125,24.64,24.3051,24.64,35785
2019-02-08,24.59,24.61,24.44,24.6027,17055
2019-02-11,24.6393,24.79,24.6,24.79,10017
2019-02-12,24.7416,25,24.7416,24.927,60939
2019-02-13,24.95,24.98,24.91,24.98,46528
2019-02-14,24.95,24.97,24.63,24.63,86172
2019-02-15,24.66,24.9875,24.61,24.83,29994
2019-02-19,24.96,24.9799,24.82,24.95,21411
2019-02-20,24.98,24.98,24.86,24.86,23925
2019-02-21,24.96,24.98,24.77,24.97,21021
2019-02-22,24.92,25.01,24.906,25,18043
2019-02-25,25.04,25.04,24.93,24.96,28325
2019-02-26,24.99,24.99,24.73,24.88,107907
2019-02-27,24.92,24.96,24.91,24.95,28376
2019-02-28,24.65,24.83,24.65,24.83,47314
2019-03-01,24.76,25.04,24.7476,25,42085
2019-03-04,25,25,24.6501,24.82,22209
2019-03-05,24.85,24.98,24.85,24.98,31070
2019-03-06,24.98,25,24.87,24.96,90442
