date,open,high,low,close,volume
2025-12-22,28.87,29.0,28.28,28.4228,167748
2025-12-23,28.17,28.385,27.91,28.1839,139672
2025-12-24,28.04,28.135,27.86,28.0476,157769
2025-12-26,27.97,28.1994,27.95,28.1994,31670
2025-12-29,28.11,28.28,27.97,27.9929,330645
2025-12-30,28.29,28.68,28.21,28.2734,32157
2025-12-31,28.22,28.245,27.98,28.1636,6264
2026-01-02,28.55,29.22,28.5,28.8316,68910
2026-01-05,29.81,30.4899,29.78,30.346,89379
2026-01-06,30.365,30.365,29.235,29.7324,39014
2026-01-07,29.42,29.515,29.0808,29.0808,16085
2026-01-08,28.76,29.4109,28.76,29.2683,17186
2026-01-09,29.1,29.57,29.0004,29.073,7366
2026-01-12,29.055,29.65,29.055,29.39,26584
2026-01-13,29.7,30.41,29.63,30.3,66427
2026-01-14,30.73,31.4857,30.73,31.3,50010
2026-01-15,31.11,31.24,30.45,30.6538,24450
2026-01-16,30.79,30.8,30.35,30.69,33722
2026-01-20,29.28,29.28,28.661,28.8,33286
2026-01-21,28.905,29.05,27.885,28.97,47762
2026-01-22,28.66,28.87,28.086,28.72,39593
2026-01-23,28.61,29.29,28.55,28.74,31172
2026-01-26,28.11,28.6199,28.03,28.03,4513
2026-01-27,28.35,28.81,28.0311,28.69,288182
2026-01-28,28.89,28.91,28.61,28.61,9030
2026-01-29,27.42,27.47,26.821,26.98,66517
2026-01-30,26.785,27.24,26.5,26.93,19155
2026-02-02,25.05,25.41,25.0001,25.05,17658
2026-02-03,25.29,25.29,23.52,24.5947,26024
2026-02-04,24.22,24.22,23.16,23.6047,42760
2026-02-05,22.5,22.7733,20.07,20.4075,32366
2026-02-06,21.62,22.99,21.62,22.5863,16953
2026-02-09,22.375,22.96,22.2,22.7854,5905
2026-02-10,22.4,22.4,22.08,22.16,10274
