date,open,high,low,close,volume
2005-02-25,4.08586,4.14048,4.08586,4.11328,1282782.9721319
2005-02-28,4.08391,4.1489,4.08391,4.08998,1285387.5152842
2005-03-01,4.09243,4.16426,4.07755,4.09712,1131218.792118
2005-03-02,4.08215,4.16602,4.06072,4.08,1591079.5468571
2005-03-03,4.06502,4.06688,3.78786,3.86841,9576812.1878135
2005-03-04,3.87036,3.92106,3.83846,3.89581,2834611.4712647
2005-03-07,3.91265,3.92526,3.809,3.81742,2864498.8338393
2005-03-08,3.80695,3.90207,3.80695,3.84883,1635104.3982721
2005-03-09,3.85128,3.92938,3.83631,3.85128,1419678.3324152
2005-03-10,3.91265,3.91265,3.78571,3.78571,1158923.610882
2005-03-11,3.76457,3.78571,3.69684,3.69909,2395652.4563145
2005-03-14,3.71603,3.77524,3.6947,3.74138,1543625.5676201
2005-03-15,3.72454,3.7499,3.66543,3.66543,976053.82353282
2005-03-16,3.65231,3.73501,3.63353,3.69684,1628980.8097623
2005-03-17,3.667,3.73062,3.66543,3.66925,873103.354603
2005-03-18,3.69048,3.70115,3.6209,3.63137,937897.11308424
2005-03-21,3.65037,3.68843,3.64801,3.66543,987348.69211055
2005-03-22,3.65897,3.72004,3.62707,3.62707,1100803.1640238
2005-03-23,3.67364,3.67364,3.58058,3.61669,1302221.5083923
2005-03-24,3.61669,3.64605,3.58478,3.59536,1047908.1521128
2005-03-28,3.61455,3.63353,3.56149,3.56384,1044802.9317757
2005-03-29,3.70115,3.71181,3.59976,3.63783,2994460.3260053
2005-03-30,3.64801,3.809,3.64605,3.79031,5579350.3660301
2005-03-31,3.80695,3.85979,3.80695,3.81742,3129440.8515034
2005-04-01,3.86371,3.94024,3.809,3.87241,2954651.3808461
2005-04-04,3.87036,3.96755,3.81742,3.95463,2077591.6546914
2005-04-05,3.95296,4.01844,3.81536,3.87036,1752714.490821
2005-04-06,3.88083,3.91479,3.79206,3.79206,1839324.4912964
2005-04-07,3.76457,3.76457,3.68432,3.7033,2769782.9719176
2005-04-08,3.7033,3.76457,3.61669,3.61669,2108059.3940845
2005-04-11,3.65897,3.65897,3.55328,3.55523,3438760.2381923
2005-04-12,3.21895,3.23775,3.16395,3.2124,20824029.580813
