date,open,high,low,close,volume
2025-12-03,13.0,13.44,9.53,10.25,481900
2025-12-04,10.35,12.125,10.35,11.54,68800
2025-12-05,12.31,13.6,11.39,13.3,82000
2025-12-08,13.01,13.71,12.75,13.22,40900
2025-12-09,13.62,16.26,13.13,15.77,98876
2025-12-10,16.22,17.84,13.65,14.19,180069
2025-12-11,13.96,14.6528,13.9,14.06,55430
2025-12-12,13.9,14.75,13.9,14.02,31657
2025-12-15,14.84,14.84,13.9,14.39,55499
2025-12-16,14.37,14.55,13.44,13.44,59042
2025-12-17,13.66,14.3,13.6,13.88,31271
2025-12-18,14.0,14.01,13.375,13.74,22768
2025-12-19,13.77,14.1,13.4,14.1,43528
2025-12-22,13.82,15.5,13.5201,13.53,98139
2025-12-23,13.5,13.5,12.85,13.03,31901
2025-12-24,13.36,14.1524,13.1201,13.92,140818
2025-12-26,13.99,15.32,13.88,14.68,101154
2025-12-29,14.7,16.28,14.475,15.99,88767
2025-12-30,15.24,15.42,12.29,12.41,52043
2025-12-31,12.32,14.8,12.32,14.76,37235
2026-01-02,15.0,15.17,13.6935,14.8,43382
2026-01-05,15.0,15.5,14.8195,15.25,25078
2026-01-06,15.37,15.79,14.0,14.39,38054
2026-01-07,14.46,15.73,13.08,14.16,107161
2026-01-08,14.0,14.755,14.0,14.31,30810
2026-01-09,14.83,15.0,14.15,14.53,36961
2026-01-12,14.85,15.62,14.67,15.03,29075
2026-01-13,15.03,15.72,14.185,15.45,102006
2026-01-14,15.5,17.53,14.67,16.4,63192
2026-01-15,16.4,16.4,14.7658,15.3,37573
2026-01-16,14.83,15.608,14.65,15.13,30873
2026-01-20,14.64,15.92,14.64,15.6,26541
2026-01-21,16.01,19.0,15.58,18.49,50462
2026-01-22,18.7,19.92,18.0,19.36,46628
2026-01-23,19.55,20.2,18.95,19.4,25441
2026-01-26,19.45,19.78,18.675,19.47,12347
2026-01-27,18.8548,21.595,18.78,19.37,67035
2026-01-28,19.41,19.41,16.2,16.84,38746
2026-01-29,16.77,18.55,16.5,17.3,57967
2026-01-30,18.2001,18.6212,16.25,16.31,67446
2026-02-02,16.76,17.3,16.76,17.26,21462
2026-02-03,17.3608,17.5,15.0201,15.1,96112
2026-02-04,15.2,15.6,14.41,15.12,55003
2026-02-05,15.1,16.225,14.8,15.73,72650
2026-02-06,17,17.43,15.385,17.2,117290
2026-02-09,16.78,18.455,16.71,17.64,73224
2026-02-10,17.685,19.74,17.52,18.98,44280
