date,open,high,low,close,volume
2024-06-28,25.47,25.5,25.4,25.435,7313
2024-07-01,27.98,29.71,25.35,25.4689,254949
2024-07-02,25.51,25.57,25.5,25.552,4152
2024-07-03,25.67,25.7,25.58,25.6805,53496
2024-07-05,25.63,25.73,25.63,25.72,19037
2024-07-08,25.69,25.71,25.666,25.69,14679
2024-07-09,25.73,26.74,25.695,25.695,13056
2024-07-10,25.73,25.795,25.71,25.795,1107
2024-07-11,25.8,25.8,25.72,25.7309,1620
2024-07-12,25.81,25.84,25.7857,25.7857,768
2024-07-15,25.8368,25.855,25.82,25.83,11098
2024-07-16,25.83,25.875,25.82,25.875,2700
2024-07-17,25.78,25.78,25.74,25.74,495
2024-07-18,25.75,25.75,25.62,25.6544,2129
2024-07-19,25.64,25.65,25.5762,25.5908,3354
2024-07-22,25.68,25.715,25.66,25.7141,500
2024-07-23,25.72,25.73,25.69,25.6904,700
2024-07-24,25.52,25.52,25.44,25.44,1730
2024-07-25,25.43,25.55,25.3929,25.3929,7989
2024-07-26,25.48,25.56,25.48,25.5096,600
2024-07-29,25.53,25.555,25.52,25.5275,8325
2024-07-30,25.51,25.51,25.47,25.486,2700
2024-07-31,25.67,25.67,25.6503,25.6503,5014
2024-08-01,25.59,25.59,25.4799,25.4951,1625
2024-08-02,25.2794,25.2794,25.2794,25.2794,800
2024-08-05,25.02,25.02,24.89,24.89,1073
2024-08-06,25.17,25.32,25.1466,25.1466,2525
2024-08-07,24.963,24.963,24.963,24.963,7
2024-08-08,25.2375,25.2375,25.2375,25.2375,7
2024-08-09,25.3246,25.3246,25.3246,25.3246,300
2024-08-12,25.38,25.38,25.332,25.36,1067
2024-08-13,25.5425,25.5425,25.5425,25.5425,7
2024-08-14,25.6057,25.6057,25.6057,25.6057,7
2024-08-15,25.76,25.76,25.76,25.76,7
2024-08-16,25.8055,25.8055,25.8055,25.8055,7
2024-08-19,25.91,25.911,25.91,25.911,1100
2024-08-20,25.8911,25.8911,25.8911,25.8911,7
2024-08-21,25.9496,25.9496,25.9496,25.9496,7
2024-08-22,25.825,25.825,25.825,25.825,7
2024-08-23,25.9897,25.9897,25.9897,25.9897,7
2024-08-26,25.9401,25.9516,25.92,25.9516,3939
2024-08-27,25.9862,25.9862,25.9862,25.9862,7
2024-08-28,25.9331,25.9331,25.9331,25.9331,7
2024-08-29,25.9195,25.9195,25.9195,25.9195,7
2024-08-30,26.0483,26.0483,26.0483,26.0483,7
2024-09-03,25.7853,25.7853,25.7853,25.7853,7
2024-09-04,25.7958,25.7958,25.7958,25.7958,7
2024-09-05,25.77,25.77,25.72,25.7508,1800
2024-09-06,25.5693,25.5693,25.5693,25.5693,7
2024-09-09,25.7043,25.7043,25.7043,25.7043,7
2024-09-10,25.712,25.7739,25.712,25.7739,300
2024-09-11,25.8956,25.8956,25.8956,25.8956,7
2024-09-12,25.9775,25.9775,25.9775,25.9775,7
2024-09-13,26.0631,26.0631,26.0631,26.0631,7
2024-09-16,26.01,26.0889,26.01,26.0889,1209
2024-09-17,26.0784,26.0784,26.0784,26.0784,7
2024-09-18,26.0573,26.0573,26.0573,26.0573,7
2024-09-19,26.25,26.25,26.25,26.25,7
2024-09-20,26.2408,26.2408,26.2408,26.2408,7
2024-09-23,26.246,26.2727,26.246,26.2727,980
2024-09-24,26.305,26.305,26.305,26.305,53
2024-09-25,26.2902,26.2902,26.2902,26.2902,7
2024-09-26,26.3354,26.3354,26.3354,26.3354,7
