date,open,high,low,close,volume
2022-10-20,17.5426,17.5426,16.9496,17,3392
2022-10-20,17.5426,17.5426,16.9496,17,3392
2022-10-21,16.8944,17.28,16.8944,17.1,1993
2022-10-27,17.39,17.4,17.39,17.4,505
2022-11-01,17.04,17.04,16.67,16.83,1352
2022-11-03,16.94,17.04,16.9399,17,32047
2022-11-07,17.075,17.3,16.77,16.78,1502
2022-11-08,17,17.24,17,17,2120
2022-11-10,16.75,17.2236,16.75,16.8119,3020
2022-11-11,17.075,17.075,17.075,17.075,587
2022-11-14,17,17,17,17,110
2022-11-15,17,17,17,17,629
2022-11-21,17.1,17.1,17.05,17.05,710
2022-11-23,17.29,17.29,17.25,17.29,511
2022-11-25,17.29,17.29,17.29,17.29,100
2022-11-30,16.8,17,16.8,17,2425
2022-12-02,17.1,17.1,17,17,1687
2022-12-06,16.8001,17.25,16.8,16.8001,1324
2022-12-07,16.8,16.842,16.8,16.842,406
2022-12-08,16.8,16.8,16.8,16.8,231
2022-12-09,16.82,16.82,16.82,16.82,100
2022-12-12,16.83,16.98,16.68,16.914,13821
2022-12-13,16.83,17,16.83,16.83,1225
2022-12-14,16.9,17.075,16.9,16.9,1910
2022-12-15,16.9511,17.12,16.9,16.9423,4600
2022-12-16,16.9268,17.22,16.9268,17.22,767
2022-12-19,16.9753,16.9753,16.68,16.68,4172
2022-12-20,17,17,16.9,16.9,400
2022-12-21,16.9,16.9979,16.9,16.9979,255
2022-12-23,16.95,16.95,16.95,16.95,711
2022-12-27,17,17,17,17,275
2022-12-28,16.8941,16.8941,16.68,16.68,1003
2022-12-29,16.7,16.7,16.675,16.675,411
2023-01-03,16.6,16.67,16.6,16.67,1417
2023-01-04,17.21,17.22,16.7499,16.7499,1593
2023-01-05,17.21,17.21,17.21,17.21,151
2023-01-06,17.25,17.25,17.25,17.25,645
2023-01-09,17.1625,17.25,17.1625,17.25,480
2023-01-11,17,17.105,17,17.105,2495
2023-01-12,17.1084,17.53,17.1084,17.53,3220
2023-01-17,18.0096,18.0241,17.5,17.6312,2538
2023-01-18,17.5967,17.6067,17.48,17.48,1610
2023-01-19,17.5,17.6062,17.4707,17.4707,1621
2023-01-20,17.7499,17.7499,17.625,17.625,1519
2023-01-23,17.6,17.6828,17.58,17.58,922
2023-01-24,17.7,17.75,17.7,17.75,5406
2023-01-25,17.75,18.83,17.75,17.75,3131
2023-01-26,17.9,18.14,17.9,18.0001,2800
2023-01-27,17.85,18.09,17.85,18.0248,1701
2023-01-30,17.85,17.85,17.6,17.6,2798
2023-01-31,17.7488,17.95,17.7334,17.95,675
2023-02-02,17.8,18,17.53,17.875,17887
2023-02-03,17.5,18.8699,17.5,18.7195,36510
2023-02-06,18.075,18.08,17.5,18.08,3688
2023-02-08,18.53,18.56,17.75,18.56,869
2023-02-09,18.08,18.08,18.08,18.08,518
2023-02-10,17.65,17.9742,17.65,17.9742,1971
2023-02-13,17.96,17.984,17.96,17.984,317
2023-02-14,17.75,17.82,17.73,17.82,1574
2023-02-15,17.7,18.4999,17.7,17.7,2141
2023-02-16,17.53,17.8693,17.53,17.8693,2463
2023-02-17,18.038,18.58,17.75,18.58,5579
2023-02-21,17.53,18.3635,17.53,18.3635,5008
2023-02-22,17.6,18.14,17.6,18.14,3022
2023-02-23,17.6,18.57,17.6,18.18,6794
2023-02-24,17.6,18.305,17.6,18.0301,3100
2023-02-27,17.55,18.3511,17.55,18.3511,3121
2023-02-28,17.75,18.39,17.75,18.39,602
2023-03-01,17.55,17.87,17.55,17.75,5098
2023-03-02,17.86,17.97,17.53,17.53,16190
2023-03-03,17.74,17.74,17.494,17.5599,2166
2023-03-06,17.74,17.98,17.59,17.98,7159
2023-03-07,17.59,17.76,17.5,17.76,3666
2023-03-08,17.69,18,17.69,18,1503
2023-03-09,17.54,17.55,17.47,17.47,3304
2023-03-10,17.45,17.5,17.45,17.5,726
2023-03-13,16.54,17.7,16.54,17.38,3366
2023-03-14,17.35,17.75,17.2277,17.5,6148
2023-03-15,17.5,17.75,17.5,17.75,1429
2023-03-16,17.51,17.75,17.51,17.51,2592
2023-03-20,17.54,17.55,17.51,17.55,2044
2023-03-21,17.9274,17.9274,17.75,17.75,352
2023-03-24,17.75,17.75,17.55,17.6,603
2023-03-27,17.035,17.275,17.035,17.275,239
2023-03-28,17.55,17.55,17.5,17.52,4160
2023-03-29,17.56,17.56,17.56,17.56,2066
2023-03-31,17.9999,17.9999,17.7,17.7,883
2023-04-03,18,18,18,18,210
2023-04-05,17.85,17.925,17.85,17.925,510
2023-04-06,17.95,18,17.95,18,710
2023-04-10,17.85,17.99,17.7098,17.98,1535
2023-04-11,17.98,17.98,17.98,17.98,319
2023-04-13,17.7939,17.7939,17.6,17.7001,924
2023-04-14,17.6,17.9,17.6,17.9,1886
2023-04-17,17.285,17.52,17.285,17.52,230
2023-04-19,17.75,17.75,17.75,17.75,230
