date,open,high,low,close,volume
2012-12-11,21.1649,21.2186,21.1002,21.1002,19748.547644257
2012-12-12,21.1808,21.2594,21.1499,21.1748,76463.56243615
2012-12-13,21.2594,21.2594,21.1081,21.1171,22896.25508557
2012-12-14,21.1251,21.1251,21.0932,21.0932,6225.0638223169
2012-12-17,21.1748,21.2345,21.1748,21.2186,18196.80425684
2012-12-18,21.4265,21.4265,21.2186,21.335,26114.313587194
2012-12-19,21.3867,21.4355,21.3867,21.3867,7267.264530057
2012-12-20,21.3797,21.3867,21.3797,21.3867,361.80545302455
2012-12-21,21.5987,21.5987,21.4375,21.5032,43979.462845429
2012-12-24,21.5728,21.5728,21.3977,21.4047,11428.027239839
2012-12-26,21.4047,21.4047,21.2862,21.3469,8046.1512692071
2012-12-27,21.4465,21.4465,21.2862,21.2862,16774.707823424
2012-12-28,21.2464,21.328,21.136,21.136,45598.542247713
2012-12-31,21.0813,21.2664,20.941,20.9589,57135.11112346
2013-01-02,21.1529,21.1927,21.1529,21.1609,1615.0593416957
2013-01-03,21.2017,21.2375,21.2017,21.2116,8729.5615693646
2013-01-04,21.2206,21.2544,21.2206,21.2206,9578.799368825
2013-01-07,21.3101,21.3101,21.1768,21.1768,7267.264530057
2013-01-08,21.1111,21.1111,21.0404,21.0404,1289.4344339736
2013-01-09,21.0863,21.136,21.0863,21.136,1078.3812530426
2013-01-10,21.2375,21.2375,21.1679,21.2276,2748.7164278393
2013-01-11,21.2206,21.2206,21.1529,21.1529,3857.2481353006
2013-01-14,21.2116,21.2116,21.1111,21.1529,3326.6001375313
2013-01-15,21.1111,21.1111,21.0544,21.1111,1914.5538555882
2013-01-17,21.2464,21.2772,21.2464,21.2772,1315.5648278032
2013-01-18,21.2017,21.2017,21.1609,21.1679,1401.9961304701
2013-01-22,21.1609,21.2544,21.1609,21.2544,716.57580001807
2013-01-23,21.3022,21.328,21.2116,21.3022,17820.928591754
2013-01-25,21.4047,21.4305,21.3549,21.4305,120355.58896377
2013-01-28,21.4554,21.4554,21.3977,21.4127,36857.925511729
2013-01-29,21.4127,21.4723,21.4127,21.4653,19503.323948318
2013-01-30,21.54,21.54,21.4047,21.4215,99511.57480896
2013-01-31,21.4295,21.4375,21.3897,21.4295,20529.444413701
2013-02-01,21.3977,21.6066,21.3977,21.6066,1228.1285099889
2013-02-04,21.5032,21.5032,21.4375,21.4653,10964.715256938
2013-02-05,21.5728,21.5907,21.5569,21.5907,7012.9956977925
2013-02-06,21.5987,21.5987,21.522,21.5648,1988.9249764877
2013-02-07,21.4375,21.5032,21.4375,21.5032,591.95392175406
2013-02-08,21.6485,21.6893,21.6146,21.6893,47105.059953502
2013-02-11,21.6733,21.6733,21.6235,21.6485,5842.1530511992
2013-02-12,21.6573,21.6893,21.6415,21.6733,6850.1832439315
2013-02-13,21.727,21.727,21.6325,21.6573,2755.7515338703
2013-02-14,21.6415,21.7648,21.6415,21.7071,52852.741580855
2013-02-15,21.736,21.736,21.6235,21.6733,12399.876887269
2013-02-19,21.727,21.7986,21.727,21.7986,18466.148316314
2013-02-20,21.8893,21.8893,21.6146,21.6146,26413.808101087
2013-02-21,21.7818,21.7818,21.4554,21.4554,89271.475473219
2013-02-22,21.6972,21.6972,21.5818,21.6573,25581.65555913
2013-02-25,21.7648,21.7648,21.4972,21.53,7981.8302997805
2013-02-26,21.3639,21.4803,21.3639,21.4803,15343.566253682
2013-02-27,21.4554,21.53,21.4215,21.53,32179.580001091
2013-02-28,21.6972,21.727,21.5022,21.6972,20719.392276539
2013-03-01,21.7549,21.7549,21.54,21.6653,18140.523408592
2013-03-04,21.6573,21.6573,21.5987,21.6415,3457.252106679
2013-03-05,21.7648,21.8076,21.7071,21.7131,5372.8109774146
2013-03-06,21.9161,21.9161,21.746,21.746,8820.0129326207
2013-03-07,21.8146,21.8146,21.7648,21.7828,6922.5443345364
2013-03-08,21.8146,21.8236,21.7648,21.8076,7801.9325884155
2013-03-11,21.7648,21.7898,21.7549,21.7898,6671.2905477138
2013-03-12,21.7549,21.7648,21.7549,21.7549,983.90982919732
2013-03-13,21.7828,21.8076,21.7828,21.7908,1553.753417711
2013-03-14,21.8494,21.8673,21.8325,21.8494,1992.9450370769
2013-03-15,21.8584,21.9251,21.8325,21.8902,10382.811486657
2013-03-18,21.8325,21.8673,21.8325,21.8325,4221.0636186198
2013-03-19,21.7986,21.8236,21.7648,21.8076,4025.0856648981
2013-03-20,21.6653,21.7908,21.6653,21.7738,1675.3602505331
