date,open,high,low,close,volume
2019-03-19,1900.0,1900.0,1899.98,1900.0,5.32105262679
2019-03-20,1900.0,1900.0,1900.0,1900.0,0.04736842101
2019-03-22,1861.2,1861.2,1861.2,1861.2,1.0526315780000002
2019-04-11,1814.5,1843.0,1814.5,1843.0,2.1052631560000004
2019-04-17,1871.5,1871.5,1871.5,1871.5,1.00526315699
2019-04-18,1871.5,1871.5,1871.5,1871.5,0.15263157881
2019-05-01,1841.1,1841.1,1841.1,1841.1,2.6894736817900005
2019-05-02,1852.5,1852.5,1852.5,1852.5,2.63684210289
2019-05-03,1831.6,1843.0,1831.6,1843.0,9.473684202
2019-05-06,1843.0,1846.8,1843.0,1846.8,15.78947367
2019-05-08,1919.0,1919.0,1848.7,1862.0,4.210526312000001
2019-05-09,1862.0,1862.0,1862.0,1862.0,0.02631578945
2019-05-21,1903.8,1903.8,1875.3,1875.3,1.6947368405800003
2019-05-22,1875.3,1875.3,1875.3,1875.3,0.03157894734
2019-05-24,1854.4,1854.4,1854.4,1854.4,0.55263157845
2019-06-03,1854.4,1854.4,1854.4,1854.4,0.5263157890000001
2019-06-06,1858.2,1862.0,1858.2,1862.0,257.89999976789005
2019-06-14,1858.2,1858.2,1858.2,1858.2,1052.631578
2019-06-19,1863.9,1867.51,1860.1,1860.1,107.894736745
2019-06-20,1863.9,1863.9,1863.9,1863.9,3.68947368089
2019-06-21,1863.9,1863.9,1863.9,1863.9,0.5263157890000001
2019-06-26,1862.0,1862.0,1860.1,1860.1,16.32631577478
2019-06-27,1860.1,1860.1,1860.1,1860.1,0.00526315789
2019-07-01,1862.0,1862.0,1862.0,1862.0,0.5263157890000001
2019-07-17,1949.4,2023.5,1949.4,2023.5,3547.7684178596405
2019-07-18,1993.1,2223.0,1983.62,1993.1,64.16315783699
2019-07-19,1957.02,2023.5,1957.02,2023.5,91.9999999172
2019-07-22,2160.3,2261.0,2031.1,2046.3,117.12631568406002
2019-07-23,2038.7,2038.7,2038.7,2038.7,15.847368406790002
2019-07-24,2023.5,2050.1,2014.0,2014.0,54.052631530300005
2019-07-25,1963.44,2014.0,1957.0,2012.1,73.34736835504
2019-07-26,2021.13,2023.5,2004.5,2004.5,516.46315742992
2019-07-29,1957.0,1996.9,1957.0,1996.9,2.8684210500500003
2019-07-30,1966.79,1991.2,1966.79,1989.3,21.17368419147
2019-07-31,1994.43,1994.43,1994.43,1994.43,15.81578945945
2019-08-05,1960.8,1970.3,1947.5,1970.3,53.29999995203001
2019-08-06,1962.7,1962.7,1947.5,1947.5,7.894736835000001
2019-08-08,1949.4,1974.1,1949.4,1974.1,1.578947367
2019-08-09,1976.0,1998.8,1951.4,1957.0,10.099999990910002
2019-08-12,1953.2,1953.2,1947.5,1947.5,5.27368420578
2019-08-16,1938.0,1938.0,1938.0,1938.0,0.5315789468900001
2019-08-19,1955.1,1957.0,1955.1,1957.0,11.58947367378
2019-08-21,1957.0,1957.0,1957.0,1957.0,0.5263157890000001
2019-08-22,1949.4,1951.3,1949.4,1951.3,17.24210524764
2019-08-26,1948.45,1948.45,1948.45,1948.45,0.7894736835
2019-08-27,1947.5,1947.5,1938.0,1938.0,27.368421028
