date,open,high,low,close,volume
2025-01-03,25.14,25.1859,25.14,25.1859,100
2025-01-06,25.43,25.43,25.3047,25.3047,225
2025-01-07,25.2,25.2,25.15,25.1644,7570
2025-01-08,25.1,25.1094,25.06,25.1094,1000
2025-01-10,25.08,25.08,24.8889,24.8889,200
2025-01-13,24.9292,24.9292,24.9221,24.9221,500
2025-01-14,24.99,24.99,24.8753,24.8876,509
2025-01-15,25.2,25.2,25.1986,25.1986,550
2025-01-16,25.2,25.2296,25.1086,25.1086,417
2025-01-17,25.34,25.36,25.31,25.3491,623
2025-01-21,25.33,25.45,25.33,25.4298,714
2025-01-23,25.49,25.6,25.49,25.5983,694
2025-01-24,25.6302,25.65,25.53,25.5524,3622
2025-01-27,25.2,25.2,25.08,25.1466,2453
2025-01-28,25.2916,25.4227,25.2916,25.3737,1193
2025-01-29,25.06,25.42,24.98,25.3575,37246
2025-01-30,25.38,25.4308,25.32,25.4308,8516
2025-01-31,25.63,25.63,25.389,25.389,5690
2025-02-03,25.32,25.32,25.27,25.2993,7395
2025-02-04,25.43,25.49,25.43,25.4659,1110
2025-02-05,25.4943,25.5184,25.4943,25.5184,315
2025-02-07,25.49,25.52,25.475,25.475,5317
2025-02-10,25.62,25.62,25.6001,25.6001,500
2025-02-12,25.54,25.5688,25.5399,25.5623,2481
2025-02-13,25.74,25.7406,25.7,25.7406,882
2025-02-18,25.78,25.84,25.78,25.8343,617
2025-02-19,25.8764,25.8764,25.8699,25.8699,202
2025-02-20,25.67,25.775,25.67,25.775,4348
2025-02-21,25.8141,25.8141,25.5596,25.5596,800
2025-02-24,25.37,25.5574,25.37,25.46,5013
2025-02-25,25.2,25.2305,25.2,25.2305,199
2025-02-26,25.38,25.38,25.2767,25.2767,100
2025-02-27,25.0,25.0,24.8291,24.8291,220
2025-02-28,24.95,25.1128,24.78,25.1128,24203
2025-03-03,25.07,25.07,24.7363,24.7363,1500
2025-03-04,24.92,24.92,24.7175,24.7175,4110
2025-03-05,24.72,24.9474,24.72,24.9474,100
2025-03-06,24.74,24.74,24.44,24.5018,1320
2025-03-07,24.57,24.6498,24.48,24.6498,1181
2025-03-10,24.22,24.25,24.0561,24.0561,870
2025-03-11,24.0,24.0148,24.0,24.0148,100
2025-03-12,24.18,24.18,24.17,24.1778,224
2025-03-13,24.12,24.12,23.9019,23.9019,100
2025-03-17,24.33,24.52,24.33,24.405,224
2025-03-18,24.13,24.1811,24.13,24.1811,300
2025-03-19,24.3,24.345,24.3,24.345,100
2025-03-20,24.43,24.43,24.3218,24.3218,300
2025-03-21,24.2,24.3733,24.2,24.3733,100
2025-03-25,24.74,24.775,24.74,24.775,100
2025-03-26,24.61,24.61,24.495,24.495,100
